time (ms),latency (ms),consume (ms)
0,20,0
1,14,1
1,12,0
2,11,1
2,10,0
4,10,2
5,10,1
5,5,0
5,4,0
7,4,2
7,2,0
10,4,3
10,2,0
11,1,1
13,1,2
15,2,2
17,2,2
18,1,1
20,2,2
21,1,1
23,2,2
24,1,1
26,2,2
27,1,1
30,3,3
31,2,1
33,3,2
33,1,0
35,1,2
37,2,2
38,1,1
40,2,2
41,1,1
43,2,2
45,2,2
46,1,1
48,1,2
50,2,2
52,2,2
53,1,1
55,2,2
57,2,2
58,1,1
60,2,2
61,1,1
63,1,2
65,2,2
67,2,2
68,1,1
70,2,2
72,2,2
73,1,1
75,1,2
77,2,2
78,1,1
80,1,2
81,1,1
83,1,2
85,2,2
87,2,2
88,1,1
90,2,2
91,1,1
93,1,2
95,2,2
96,1,1
98,2,2
99,1,1
101,2,2
103,2,2
104,1,1
106,2,2
107,1,1
109,2,2
110,1,1
112,2,2
113,1,1
115,2,2
116,1,1
118,2,2
119,1,1
120,1,1
122,1,2
124,2,2
125,1,1
126,1,1
128,1,2
130,2,2
131,1,1
133,2,2
134,1,1
135,1,1
137,1,2
138,1,1
140,1,2
141,1,1
143,1,2
145,2,2
146,1,1
148,1,2
149,1,1
151,2,2
153,2,2
154,1,1
156,2,2
157,1,1
159,1,2
161,2,2
162,1,1
164,1,2
166,2,2
168,2,2
169,2,1
170,1,1
172,1,2
174,2,2
175,1,1
176,1,1
179,2,3
181,2,2
182,1,1
184,1,2
186,2,2
187,1,1
189,1,2
191,2,2
192,1,1
194,2,2
196,2,2
197,1,1
198,1,1
200,2,2
201,1,1
203,2,2
204,1,1
205,1,1
207,1,2
208,1,1
210,2,2
211,1,1
213,2,2
214,1,1
216,2,2
217,1,1
218,1,1
220,1,2
221,1,1
223,2,2
224,1,1
226,2,2
227,1,1
228,1,1
230,1,2
232,1,2
233,1,1
235,1,2
237,2,2
242,5,5
243,4,1
244,3,1
245,3,1
247,3,2
247,2,0
248,1,1
249,1,1
251,2,2
252,1,1
253,1,1
255,1,2
256,1,1
258,2,2
259,1,1
261,2,2
262,1,1
264,2,2
266,2,2
266,1,0
268,2,2
269,1,1
271,2,2
272,1,1
274,2,2
275,1,1
276,1,1
278,1,2
280,2,2
281,1,1
283,2,2
284,1,1
285,1,1
287,1,2
289,2,2
290,2,1
291,1,1
293,2,2
294,1,1
296,2,2
297,1,1
298,1,1
300,1,2
301,1,1
303,2,2
317,2,14
318,2,1
319,1,1
321,2,2
322,1,1
323,1,1
325,1,2
326,1,1
328,2,2
329,1,1
331,2,2
332,2,1
333,1,1
335,2,2
336,1,1
352,16,16
353,15,1
353,14,0
353,12,0
353,11,0
353,9,0
353,8,0
354,7,1
354,6,0
354,5,0
354,3,0
354,2,0
355,1,1
356,1,1
358,1,2
360,2,2
361,1,1
362,1,1
364,2,2
365,1,1
366,1,1
368,1,2
369,1,1
371,2,2
372,1,1
373,1,1
375,1,2
376,1,1
378,1,2
379,1,1
381,1,2
382,1,1
384,2,2
385,1,1
387,2,2
388,1,1
390,2,2
391,1,1
394,2,3
395,1,1
396,1,1
398,1,2
400,2,2
401,1,1
402,1,1
404,1,2
406,2,2
