time (ms),latency (ms),consume (ms)
0,8,0
14,4,14
24,3,10
37,3,13
50,3,13
62,2,12
76,2,14
88,2,12
102,3,14
115,3,13
128,2,13
141,2,13
154,2,13
170,5,16
185,3,15
198,3,13
211,2,13
227,2,16
242,4,15
258,4,16
272,2,14
285,3,13
297,1,12
311,3,14
323,2,12
337,2,14
352,3,15
366,2,14
380,2,14
396,2,16
409,2,13
426,2,17
441,3,15
454,2,13
466,1,12
479,2,13
492,2,13
506,4,14
519,3,13
532,2,13
545,2,13
558,2,13
571,2,13
584,2,13
597,2,13
613,4,16
626,2,13
642,5,16
655,3,13
669,3,14
683,3,14
695,2,12
707,1,12
719,2,12
734,4,15
746,2,12
760,3,14
775,5,15
787,2,12
802,5,15
814,2,12
828,2,14
842,3,14
856,2,14
871,3,15
887,3,16
900,2,13
913,2,13
926,2,13
939,2,13
951,2,12
965,3,14
978,2,13
995,6,17
1008,2,13
1020,2,12
1033,2,13
1048,3,15
1063,3,15
1080,6,17
1096,3,16
1112,5,16
1130,4,18
1147,5,17
1164,4,17
1178,3,14
1191,3,13
1203,2,12
1216,2,13
1229,2,13
1242,2,13
1255,2,13
1268,2,13
1282,2,14
1295,2,13
1310,4,15
1324,3,14
1338,3,14
1352,3,14
1364,3,12
1377,3,13
1391,3,14
1405,3,14
1418,2,13
1431,2,13
1444,2,13
1457,2,13
1470,2,13
1483,2,13
1497,3,14
1509,2,12
1529,8,20
1543,3,14
1555,2,12
1568,2,13
1582,3,14
1596,2,14
1610,3,14
1623,3,13
1642,6,19
1656,2,14
1671,3,15
1684,2,13
1699,3,15
1713,2,14
1728,2,15
1742,2,14
1772,19,30
1779,2,7
1797,3,18
1810,2,13
1823,2,13
1850,16,27
1869,2,19
1884,4,15
1898,3,14
1911,3,13
1926,4,15
1940,3,14
1955,2,15
1968,2,13
1980,2,12
1993,2,13
2010,6,17
2024,3,14
2038,3,14
2052,4,14
2065,2,13
2078,2,13
2092,3,14
2105,3,13
2121,3,16
2135,3,14
2148,3,13
2160,2,12
2173,2,13
2188,2,15
2206,7,18
2247,23,41
2248,13,1
2249,4,1
2258,2,9
2270,3,12
2280,2,10
2293,2,13
2307,3,14
2321,3,14
2334,3,13
2350,5,16
2367,3,17
2381,2,14
2394,2,13
2407,2,13
2427,9,20
2447,2,20
2460,2,13
2473,3,13
2486,2,13
2498,1,12
2511,2,13
2524,2,13
2537,3,13
2554,6,17
2566,3,12
2576,2,10
2589,2,13
2605,5,16
2622,2,17
