time (ms),latency (ms),consume (ms)
0,8,0
36,35,36
36,33,0
36,32,0
36,30,0
36,29,0
37,28,1
37,27,0
37,25,0
37,24,0
37,22,0
38,22,1
41,24,3
41,23,0
41,21,0
41,19,0
41,17,0
41,16,0
45,18,4
45,17,0
47,17,2
47,16,0
83,43,36
83,41,0
83,40,0
84,38,1
84,37,0
85,36,1
85,34,0
85,33,0
85,32,0
85,31,0
85,29,0
90,32,5
90,31,0
90,29,0
92,30,2
92,28,0
92,27,0
92,26,0
92,25,0
92,23,0
96,25,4
96,24,0
96,22,0
98,23,2
98,21,0
98,20,0
100,12,2
100,10,0
100,7,0
100,6,0
100,5,0
100,3,0
102,2,2
106,4,4
106,2,0
106,1,0
108,2,2
109,1,1
110,1,1
114,3,4
119,3,5
120,1,1
122,2,2
124,2,2
125,1,1
126,1,1
127,1,1
129,1,2
130,1,1
131,1,1
132,1,1
133,1,1
135,1,2
136,1,1
138,2,2
139,1,1
140,1,1
142,1,2
143,1,1
146,3,3
148,2,2
149,1,1
191,42,42
192,41,1
192,40,0
192,38,0
192,36,0
192,35,0
192,32,0
192,30,0
192,28,0
193,28,1
193,26,0
193,25,0
193,23,0
193,22,0
194,21,1
196,22,2
196,21,0
196,19,0
197,19,1
197,17,0
197,16,0
197,14,0
198,14,1
198,12,0
231,35,33
231,34,0
231,32,0
231,31,0
231,29,0
231,28,0
231,27,0
232,26,1
232,25,0
232,23,0
232,22,0
232,20,0
232,19,0
232,17,0
232,16,0
233,15,1
233,13,0
234,8,1
235,1,1
275,40,40
275,36,0
276,36,1
276,28,0
280,30,4
280,25,0
280,24,0
280,22,0
281,22,1
281,20,0
281,19,0
281,18,0
281,16,0
282,16,1
282,14,0
282,13,0
315,37,33
315,35,0
315,34,0
316,33,1
316,32,0
316,30,0
316,29,0
316,27,0
316,25,0
316,24,0
316,23,0
316,21,0
317,21,1
317,19,0
317,18,0
317,16,0
317,15,0
318,15,1
319,15,1
319,14,0
319,12,0
319,11,0
319,9,0
355,36,36
355,35,0
355,34,0
356,34,1
356,32,0
356,31,0
356,29,0
356,28,0
356,26,0
356,25,0
356,23,0
357,23,1
357,22,0
357,21,0
357,20,0
357,18,0
357,17,0
357,15,0
358,14,1
358,13,0
358,12,0
359,12,1
359,10,0
395,45,36
395,35,0
395,34,0
396,34,1
396,33,0
396,31,0
396,30,0
396,28,0
396,27,0
396,26,0
396,24,0
396,23,0
397,22,1
397,21,0
397,19,0
398,19,1
398,17,0
398,16,0
410,26,12
410,25,0
410,24,0
410,23,0
411,23,1
411,21,0
435,36,24
435,28,0
435,27,0
436,27,1
436,26,0
436,25,0
436,24,0
436,22,0
436,21,0
436,19,0
436,18,0
436,17,0
437,17,1
437,15,0
437,14,0
437,13,0
437,11,0
437,10,0
437,8,0
438,8,1
440,1,2
483,43,43
483,42,0
483,41,0
483,40,0
483,39,0
483,37,0
483,36,0
484,36,1
484,35,0
484,34,0
486,34,2
486,33,0
486,31,0
487,31,1
487,29,0
487,28,0
487,26,0
487,25,0
487,23,0
487,22,0
487,20,0
487,19,0
488,18,1
488,17,0
488,16,0
488,15,0
488,13,0
489,13,1
489,11,0
524,36,35
524,35,0
524,33,0
524,32,0
524,30,0
524,29,0
524,27,0
525,27,1
525,26,0
525,25,0
525,23,0
525,22,0
525,21,0
525,19,0
525,18,0
525,16,0
525,15,0
526,14,1
526,13,0
526,11,0
526,10,0
526,8,0
527,1,1
528,1,1
569,39,41
570,39,1
572,39,2
572,38,0
572,37,0
572,35,0
572,34,0
572,32,0
572,31,0
572,29,0
573,29,1
573,27,0
573,26,0
573,24,0
574,23,1
575,22,1
575,20,0
575,19,0
575,18,0
575,16,0
575,15,0
575,13,0
575,12,0
575,9,0
612,42,37
612,36,0
612,35,0
612,34,0
612,32,0
612,31,0
613,30,1
613,29,0
613,27,0
613,26,0
613,24,0
613,23,0
613,22,0
613,21,0
613,20,0
613,18,0
614,18,1
614,16,0
614,14,0
614,13,0
614,11,0
614,10,0
614,9,0
615,9,1
652,37,37
652,36,0
652,34,0
652,33,0
652,31,0
652,30,0
652,29,0
653,29,1
653,28,0
653,26,0
653,25,0
653,23,0
653,22,0
653,20,0
653,19,0
653,18,0
654,18,1
654,16,0
654,15,0
654,13,0
654,12,0
655,11,1
655,10,0
656,1,1
657,1,1
699,42,42
699,40,0
699,39,0
699,38,0
699,36,0
700,36,1
700,34,0
700,33,0
700,32,0
700,30,0
700,29,0
700,27,0
700,26,0
701,25,1
702,25,1
702,23,0
702,22,0
702,21,0
703,21,1
703,19,0
703,18,0
703,16,0
703,15,0
703,13,0
703,12,0
706,13,3
736,42,30
737,29,1
737,28,0
738,27,1
738,26,0
738,24,0
738,23,0
749,31,11
