time (ms),latency (ms),consume (ms)
0,7,0
12,2,12
25,2,13
36,1,11
48,2,12
59,1,11
71,1,12
82,1,11
94,2,12
105,1,11
117,1,12
129,1,12
141,1,12
156,4,15
168,1,12
179,1,11
191,0,12
203,1,12
216,3,13
228,1,12
239,0,11
250,0,11
262,1,12
273,1,11
290,0,17
302,1,12
313,0,11
325,1,12
336,1,11
347,1,11
358,0,11
369,0,11
381,1,12
393,1,12
404,0,11
416,1,12
427,1,11
439,1,12
451,1,12
462,0,11
474,1,12
485,1,11
496,0,11
507,0,11
518,0,11
530,1,12
541,0,11
556,4,15
567,1,11
579,1,12
590,1,11
601,1,11
612,1,11
623,1,11
634,1,11
645,1,11
656,1,11
667,0,11
678,0,11
690,1,12
701,1,11
712,1,11
724,1,12
735,1,11
747,0,12
759,1,12
770,1,11
781,1,11
792,1,11
803,1,11
814,1,11
825,1,11
837,1,12
848,1,11
860,1,12
871,1,11
883,1,12
895,1,12
906,1,11
919,3,13
930,1,11
941,0,11
953,0,12
965,1,12
977,1,12
988,1,11
999,0,11
1011,1,12
1022,1,11
1034,1,12
1046,1,12
1057,1,11
1068,1,11
1079,1,11
1091,1,12
1103,1,12
1114,0,11
1125,0,11
1137,1,12
1148,0,11
1160,1,12
1171,1,11
1182,1,11
1193,1,11
1204,0,11
1215,1,11
1226,1,11
1237,0,11
1248,0,11
1259,0,11
1270,0,11
1283,2,13
1298,1,15
1309,1,11
1320,1,11
1332,1,12
1343,1,11
1354,1,11
1365,0,11
1377,1,12
1389,1,12
1400,0,11
1412,1,12
1423,1,11
1434,0,11
1446,1,12
1457,1,11
1469,1,12
1481,1,12
1493,1,12
1504,1,11
1516,1,12
1527,1,11
1539,1,12
1551,1,12
1562,0,11
1573,0,11
1585,1,12
1596,1,11
1607,0,11
1619,1,12
1630,1,11
1642,1,12
1654,2,12
1666,1,12
1677,1,11
1689,1,12
1701,1,12
1713,1,12
1724,1,11
1737,2,13
1748,1,11
1760,1,12
1772,1,12
1783,1,11
1795,1,12
1807,1,12
1818,1,11
1832,1,14
1843,0,11
1854,0,11
1866,1,12
1877,1,11
1889,1,12
1900,1,11
1912,1,12
1923,1,11
1934,1,11
1947,2,13
1959,1,12
1971,1,12
1983,1,12
1994,1,11
2005,1,11
2016,1,11
2028,1,12
2039,1,11
2051,1,12
2062,1,11
2074,1,12
2086,1,12
2098,2,12
2110,1,12
2122,1,12
2134,1,12
2146,1,12
2158,1,12
2170,1,12
2183,2,13
2194,1,11
2207,1,13
2225,1,18
2239,1,14
2251,1,12
2262,1,11
2274,1,12
2285,1,11
2297,1,12
2309,1,12
2320,1,11
2332,1,12
2344,1,12
2355,1,11
2367,1,12
2378,1,11
2390,1,12
2401,0,11
2413,1,12
2424,1,11
2436,1,12
2447,1,11
2459,1,12
2470,1,11
2482,1,12
2493,1,11
2505,1,12
2516,1,11
2537,12,21
2538,2,1
2547,1,9
2557,0,10
2568,1,11
2580,3,12
2588,1,8
2599,1,11
2609,1,10
2619,0,10
2630,1,11
2640,1,10
2651,1,11
2661,1,10
2671,1,10
2681,0,10
2692,1,11
2702,0,10
2714,2,12
2726,2,12
2736,0,10
2747,1,11
2758,1,11
2768,0,10
2779,1,11
2791,2,12
2803,2,12
2813,1,10
2825,2,12
2836,1,11
2848,2,12
2858,0,10
2870,2,12
2883,2,13
2895,1,12
2907,2,12
2919,1,12
2931,2,12
2942,1,11
2954,1,12
2966,2,12
2978,1,12
2990,1,12
3002,1,12
3014,2,12
3025,1,11
3037,1,12
3049,1,12
3061,1,12
3073,1,12
3085,1,12
3097,1,12
3108,1,11
3120,1,12
3132,1,12
3144,1,12
3157,2,13
3169,1,12
3181,1,12
3192,1,11
3204,1,12
3216,1,12
3228,1,12
3240,1,12
3252,1,12
3264,1,12
3276,1,12
3288,1,12
3300,1,12
3312,1,12
3324,1,12
3336,1,12
3348,2,12
3360,2,12
3371,1,11
3383,1,12
3396,2,13
3408,1,12
3420,1,12
3436,5,16
3448,1,12
3461,2,13
3473,2,12
3488,5,15
3500,1,12
3513,2,13
3525,2,12
3537,1,12
3550,2,13
3562,2,12
3574,2,12
3586,1,12
3599,2,13
3611,1,12
3624,2,13
3637,2,13
3650,2,13
3663,1,13
3677,2,14
3690,2,13
3702,2,12
3715,2,13
3732,2,17
3744,1,12
3756,1,12
3769,2,13
3781,1,12
3796,4,15
3809,2,13
3820,1,11
3832,1,12
3848,5,16
3861,2,13
3873,1,12
3885,1,12
3898,2,13
3910,2,12
3922,1,12
3934,1,12
3947,2,13
3959,1,12
3971,2,12
3983,1,12
3994,1,11
4006,1,12
4017,1,11
4029,1,12
4040,1,11
4052,1,12
4064,2,12
4075,1,11
4087,1,12
4098,1,11
4110,1,12
4122,1,12
4133,1,11
4145,1,12
4156,1,11
4168,1,12
4180,2,12
4192,2,12
4203,1,11
4215,1,12
4227,1,12
4239,1,12
4251,2,12
4262,1,11
4274,1,12
4286,1,12
4298,1,12
4309,1,11
4321,1,12
4332,1,11
4345,2,13
4356,1,11
4368,1,12
4379,1,11
4391,1,12
4403,1,12
4415,1,12
4430,2,15
4444,4,14
4456,1,12
4471,1,15
4482,1,11
4494,1,12
4522,5,28
4544,2,22
4555,1,11
4567,1,12
4578,1,11
4589,0,11
4601,1,12
4612,1,11
4623,1,11
4635,1,12
4646,1,11
4658,1,12
4669,1,11
4680,1,11
4692,1,12
4703,1,11
4714,1,11
4725,0,11
4737,1,12
4748,1,11
4759,1,11
4770,1,11
4786,5,16
4792,1,6
4802,1,10
4813,1,11
4823,1,10
4833,1,10
4844,1,11
4854,1,10
4864,0,10
4875,1,11
4885,1,10
4896,1,11
4906,1,10
4916,0,10
4928,1,12
4939,1,11
4950,1,11
4961,0,11
4974,1,13
4985,0,11
4997,1,12
5008,1,11
5020,1,12
5032,1,12
5043,1,11
5054,1,11
5065,1,11
5076,1,11
5088,1,12
5099,1,11
5110,1,11
5121,1,11
5133,1,12
5144,1,11
5156,1,12
5167,1,11
5178,0,11
5190,1,12
5201,1,11
5212,1,11
5223,1,11
5234,0,11
5246,1,12
5257,1,11
5268,1,11
5279,0,11
5291,1,12
5302,1,11
5313,1,11
5324,1,11
5335,1,11
5347,1,12
5358,1,11
5369,1,11
5380,1,11
5391,0,11
5402,0,11
5414,1,12
5425,1,11
5436,1,11
5447,1,11
5458,1,11
5470,2,12
5481,1,11
5492,1,11
5503,1,11
5514,1,11
5525,1,11
5536,1,11
5547,1,11
5558,1,11
5569,1,11
5580,1,11
5591,1,11
5602,1,11
5613,1,11
5624,1,11
5635,1,11
5646,0,11
5660,3,14
5673,1,13
5684,1,11
5695,0,11
5707,1,12
5718,1,11
5730,1,12
5741,1,11
5752,1,11
5763,0,11
5775,1,12
5786,1,11
5797,0,11
5809,1,12
5820,1,11
5831,1,11
5843,1,12
5854,1,11
5865,1,11
5876,1,11
5888,2,12
5904,2,16
5915,1,11
5926,1,11
5936,0,10
5947,0,11
5960,2,13
5971,1,11
5982,1,11
5993,1,11
6004,1,11
6015,1,11
6025,0,10
6036,0,11
6047,0,11
6058,0,11
6069,1,11
6080,1,11
6090,0,10
6101,0,11
6114,3,13
6126,1,12
6137,1,11
6148,1,11
6159,0,11
6171,1,12
6181,0,10
6192,0,11
6204,1,12
6215,1,11
6226,1,11
6237,1,11
6248,1,11
6258,0,10
6269,0,11
6280,0,11
6291,1,11
6302,1,11
6316,3,14
6331,1,15
6342,1,11
6353,0,11
6365,1,12
6376,1,11
6387,1,11
6398,1,11
6410,1,12
6421,1,11
6432,1,11
6443,0,11
6454,1,11
6466,1,12
6478,1,12
6489,1,11
6501,1,12
6513,1,12
6525,1,12
6538,2,13
6550,1,12
6563,2,13
6575,1,12
6587,1,12
6599,1,12
6611,1,12
6623,1,12
6636,2,13
6649,2,13
6661,1,12
6673,1,12
6685,2,12
6697,2,12
6710,1,13
6723,2,13
6735,1,12
6747,1,12
6759,2,12
6770,0,11
6783,2,13
6796,1,13
6808,2,12
6820,2,12
6832,1,12
6844,1,12
6857,2,13
6869,1,12
6881,1,12
6893,1,12
6906,2,13
6918,1,12
6930,1,12
6947,6,17
6958,1,11
6971,2,13
6988,2,17
7001,2,13
7013,1,12
7025,1,12
7037,1,12
7049,1,12
7060,1,11
7072,1,12
7084,1,12
7096,1,12
7108,2,12
7119,1,11
7131,1,12
7143,1,12
7154,1,11
7166,1,12
7178,1,12
7189,1,11
7201,1,12
7213,1,12
7226,2,13
7238,2,12
7250,1,12
7263,2,13
7280,6,17
7292,2,12
7304,1,12
7316,1,12
7328,1,12
7340,2,12
7352,2,12
7363,1,11
7375,1,12
7387,1,12
7399,1,12
7411,1,12
7423,1,12
7435,1,12
7447,1,12
7459,1,12
7470,1,11
7482,1,12
7497,2,15
7508,1,11
7519,0,11
7531,1,12
7541,0,10
7552,0,11
7563,0,11
7574,0,11
7585,0,11
7596,0,11
7607,1,11
7618,1,11
7629,1,11
7640,0,11
7651,0,11
7662,0,11
7673,1,11
7684,1,11
7695,1,11
7706,1,11
7716,0,10
7727,0,11
7738,0,11
7749,0,11
7760,1,11
7771,1,11
7788,4,17
7799,0,11
7810,0,11
7821,1,11
7832,1,11
7843,1,11
7853,0,10
7864,0,11
7876,1,12
7887,1,11
7898,1,11
7908,0,10
7919,0,11
7930,0,11
7941,0,11
7952,0,11
7963,1,11
7974,1,11
7985,1,11
7996,1,11
8007,0,11
8018,1,11
8029,1,11
8040,0,11
8052,1,12
8063,1,11
8074,1,11
8085,1,11
8096,0,11
8107,0,11
8118,0,11
8130,1,12
8141,1,11
8152,1,11
8163,1,11
8174,1,11
8188,4,14
8199,0,11
8211,1,12
8222,1,11
8233,1,11
8244,0,11
8255,1,11
8267,1,12
8280,2,13
8292,1,12
8304,1,12
8317,2,13
8329,2,12
8341,2,12
8353,1,12
8366,2,13
8379,2,13
8391,1,12
8403,1,12
8415,1,12
8428,2,13
8440,1,12
8453,2,13
8466,2,13
8482,2,16
8495,2,13
8509,3,14
8524,1,15
8536,1,12
8548,1,12
8560,2,12
8572,2,12
8584,1,12
8596,2,12
8608,2,12
8620,1,12
8632,2,12
8645,2,13
8658,2,13
8671,2,13
8683,1,12
8696,2,13
8709,2,13
8721,1,12
8733,1,12
8745,1,12
8757,2,12
8769,1,12
8781,2,12
8793,1,12
8805,1,12
8817,1,12
8829,1,12
8841,1,12
8852,1,11
8865,2,13
8877,1,12
8889,2,12
8901,2,12
8914,2,13
8926,1,12
8938,1,12
8950,1,12
8961,1,11
8973,1,12
8985,1,12
8996,1,11
9007,0,11
9018,0,11
9030,1,12
9047,1,17
9057,0,10
9068,0,11
9079,0,11
9090,0,11
9101,0,11
9112,1,11
9123,1,11
9134,1,11
9145,1,11
9155,0,10
9166,0,11
9177,0,11
9188,1,11
9199,1,11
9210,1,11
9221,1,11
9231,0,10
9242,0,11
9253,0,11
9264,0,11
9275,0,11
9286,1,11
9297,1,11
9307,0,10
9318,0,11
9329,0,11
9340,1,11
9351,1,11
9362,1,11
9373,1,11
9384,1,11
9395,1,11
9405,0,10
9416,0,11
9427,0,11
9438,1,11
9449,1,11
9459,0,10
9470,0,11
9481,1,11
9492,1,11
9502,0,10
9514,0,12
9525,1,11
9536,1,11
9547,1,11
9558,1,11
9569,1,11
9580,1,11
9591,1,11
9601,0,10
9612,0,11
9623,0,11
9634,1,11
9645,1,11
9656,1,11
9667,1,11
9677,0,10
9688,0,11
9699,0,11
9710,1,11
9721,1,11
9732,1,11
9743,1,11
9754,1,11
9766,0,12
9777,0,11
9793,1,16
9802,0,9
9812,0,10
9823,1,11
9833,1,10
9843,0,10
9853,0,10
9864,1,11
9874,1,10
9884,0,10
9895,1,11
9905,1,10
9915,1,10
9925,0,10
9935,0,10
9946,1,11
9956,1,10
9966,0,10
9976,0,10
9987,1,11
9998,2,11
10007,0,9
10017,0,10
10028,1,11
10039,1,11
10049,0,10
10060,0,11
10071,0,11
10082,1,11
10093,1,11
10104,1,11
10115,0,11
10126,1,11
10137,1,11
10147,0,10
10158,0,11
10169,1,11
10180,1,11
10191,1,11
10202,1,11
10213,1,11
10224,1,11
10235,0,11
10246,0,11
10257,0,11
10268,0,11
10279,1,11
10290,0,11
10301,0,11
10312,0,11
10323,1,11
10335,1,12
10346,1,11
10357,1,11
10368,1,11
10379,1,11
10390,1,11
10401,1,11
10412,1,11
10423,1,11
10433,0,10
10445,1,12
10457,1,12
10470,1,13
10480,0,10
10492,1,12
10503,1,11
10513,0,10
10524,0,11
10535,1,11
10546,1,11
10557,0,11
10568,0,11
10579,0,11
10590,0,11
10601,0,11
10612,1,11
10623,0,11
10634,0,11
10645,0,11
10656,0,11
10667,0,11
10678,1,11
10689,1,11
10701,1,12
10712,1,11
10724,1,12
10735,1,11
10747,1,12
10761,1,14
10775,1,14
10786,1,11
10798,1,12
10809,1,11
10820,1,11
10831,1,11
10842,0,11
10853,0,11
10865,1,12
10876,1,11
10887,1,11
10898,1,11
10909,0,11
10920,0,11
10932,1,12
10943,1,11
10954,1,11
10965,1,11
10977,1,12
10988,1,11
10999,0,11
11011,1,12
11022,1,11
11033,1,11
11044,1,11
11055,0,11
11066,0,11
11077,0,11
11089,1,12
11100,1,11
11111,1,11
11121,0,10
11132,0,11
11143,0,11
11154,0,11
11165,0,11
11176,0,11
11187,1,11
11198,1,11
11208,0,10
11226,0,18
11237,0,11
11249,1,12
11260,1,11
11272,1,12
11283,1,11
11294,1,11
11305,0,11
11316,0,11
11328,1,12
11339,1,11
11350,0,11
11362,1,12
11373,1,11
11384,1,11
11395,1,11
11405,0,10
11419,3,14
11430,0,11
11441,0,11
11452,1,11
11463,1,11
11474,1,11
11485,1,11
11496,1,11
11507,1,11
11518,1,11
11529,1,11
11540,1,11
11551,1,11
11562,0,11
11573,0,11
11584,1,11
11595,1,11
11606,1,11
11617,0,11
11628,0,11
11639,0,11
11651,1,12
11662,1,11
11673,1,11
11684,1,11
11695,1,11
11706,1,11
11717,1,11
11728,1,11
11739,1,11
11750,1,11
11761,1,11
11771,0,10
11782,0,11
11799,1,17
11810,1,11
11821,1,11
11832,1,11
11843,0,11
11854,0,11
11865,1,11
11876,1,11
11887,1,11
11898,1,11
11909,1,11
11919,0,10
11930,0,11
11942,1,12
11952,0,10
11963,0,11
11974,0,11
11985,0,11
11996,0,11
12007,0,11
12018,0,11
12029,1,11
12040,1,11
12051,1,11
12061,0,10
12072,0,11
12083,0,11
12094,0,11
12108,1,14
12119,1,11
12130,1,11
12141,1,11
12151,0,10
12162,0,11
12173,0,11
12185,1,12
12196,1,11
12206,0,10
12217,0,11
12228,0,11
12239,0,11
12250,0,11
12261,0,11
12272,1,11
12283,1,11
12294,1,11
12305,1,11
12316,1,11
12327,1,11
12337,0,10
12348,0,11
12359,0,11
12372,1,13
12383,1,11
12397,1,14
12408,1,11
12419,1,11
12430,1,11
12441,0,11
12452,1,11
12463,1,11
12474,1,11
12485,1,11
12496,0,11
12507,0,11
12518,0,11
12530,1,12
12541,1,11
12552,0,11
12563,0,11
12574,0,11
12585,0,11
12596,0,11
12606,0,10
12617,1,11
12627,1,10
12637,0,10
12648,1,11
12657,0,9
12668,1,11
12678,1,10
12688,0,10
12699,1,11
12709,1,10
