time (ms),latency (ms),consume (ms)
0,49,0
2,42,2
3,36,1
3,31,0
3,25,0
3,20,0
3,14,0
4,10,1
8,2,4
12,1,4
18,2,6
25,3,7
28,1,3
34,2,6
40,2,6
46,2,6
50,1,4
56,2,6
62,2,6
67,1,5
74,3,7
77,1,3
83,2,6
90,3,7
95,3,5
100,2,5
104,1,4
110,2,6
115,2,5
120,1,5
129,5,9
132,2,3
137,2,5
143,2,6
150,3,7
155,2,5
159,1,4
164,1,5
170,1,6
176,2,6
182,2,6
187,1,5
193,2,6
198,1,5
204,2,6
210,2,6
216,2,6
220,1,4
226,2,6
231,2,5
237,2,6
243,2,6
248,2,5
254,3,6
259,1,5
264,1,5
270,1,6
276,2,6
282,2,6
288,2,6
294,2,6
300,2,6
308,4,8
313,3,5
319,4,6
324,1,5
329,1,5
335,1,6
341,1,6
347,1,6
353,2,6
359,2,6
365,2,6
369,1,4
374,1,5
379,1,5
387,3,8
391,2,4
396,2,5
401,2,5
406,2,5
413,4,7
416,1,3
421,1,5
427,1,6
433,2,6
439,2,6
445,2,6
450,2,5
457,4,7
461,1,4
466,1,5
471,1,5
480,4,9
482,1,2
488,2,6
494,2,6
500,1,6
506,2,6
512,2,6
516,1,4
521,1,5
527,1,6
533,2,6
539,2,6
545,2,6
550,2,5
554,1,4
560,1,6
566,1,6
572,1,6
578,2,6
584,2,6
588,1,4
594,2,6
599,1,5
605,1,6
611,2,6
617,2,6
623,2,6
627,1,4
632,1,5
637,1,5
642,1,5
652,5,10
656,1,4
662,2,6
670,4,8
675,2,5
685,7,10
690,4,5
700,7,10
704,1,4
710,2,6
716,2,6
720,1,4
726,1,6
732,2,6
738,2,6
742,1,4
747,1,5
753,1,6
759,2,6
765,2,6
769,1,4
774,1,5
780,1,6
786,1,6
792,2,6
798,2,6
804,2,6
809,2,5
814,2,5
818,1,4
824,1,6
830,2,6
848,14,18
849,10,1
849,5,0
851,2,2
856,2,5
862,2,6
867,1,5
873,2,6
878,1,5
884,2,6
889,1,5
895,2,6
900,1,5
907,2,7
912,1,5
918,2,6
922,1,4
