time (ms),latency (ms),consume (ms)
0,7,0
7,3,7
14,2,7
19,1,5
26,2,7
32,1,6
38,1,6
44,1,6
51,2,7
57,1,6
63,0,6
70,1,7
76,1,6
87,5,11
92,1,5
98,0,6
105,1,7
112,1,7
120,3,8
126,1,6
134,1,8
141,1,7
147,1,6
154,1,7
161,1,7
168,1,7
175,1,7
183,1,8
190,1,7
197,0,7
205,1,8
212,1,7
219,1,7
226,1,7
232,1,6
239,1,7
245,1,6
252,2,7
258,1,6
264,1,6
270,0,6
276,0,6
284,1,8
290,0,6
297,1,7
303,1,6
310,1,7
318,3,8
324,1,6
331,1,7
337,1,6
343,1,6
349,1,6
355,1,6
361,1,6
367,1,6
374,1,7
381,1,7
388,1,7
395,1,7
402,1,7
408,1,6
415,1,7
422,1,7
429,1,7
436,1,7
443,1,7
450,1,7
456,1,6
463,1,7
469,1,6
476,1,7
483,1,7
490,2,7
496,1,6
503,1,7
510,1,7
517,2,7
523,0,6
532,3,9
539,2,7
546,2,7
553,1,7
559,1,6
566,1,7
573,1,7
580,1,7
587,1,7
594,1,7
601,1,7
608,2,7
614,1,6
621,1,7
628,1,7
635,1,7
642,2,7
649,1,7
656,1,7
663,2,7
669,1,6
676,1,7
683,1,7
690,1,7
697,2,7
704,1,7
711,1,7
718,1,7
725,1,7
732,1,7
739,1,7
746,1,7
756,4,10
762,1,6
769,1,7
780,1,11
787,0,7
793,0,6
799,0,6
806,1,7
813,1,7
820,1,7
826,1,6
833,1,7
839,0,6
845,0,6
851,0,6
858,1,7
864,1,6
870,1,6
876,1,6
883,1,7
890,1,7
896,1,6
902,1,6
908,0,6
914,0,6
920,0,6
926,0,6
933,1,7
940,1,7
946,1,6
952,1,6
959,1,7
966,2,7
972,1,6
978,1,6
985,2,7
991,1,6
998,1,7
1004,1,6
1011,1,7
1018,1,7
1024,1,6
1031,1,7
1037,1,6
1043,1,6
1050,1,7
1056,1,6
1064,1,8
1070,1,6
1076,1,6
1082,1,6
1088,1,6
1094,1,6
1100,1,6
1107,1,7
1114,1,7
1120,1,6
1127,1,7
1136,1,9
1142,0,6
1149,1,7
1155,1,6
1161,1,6
1167,1,6
1173,0,6
1180,1,7
1186,1,6
1192,1,6
1198,0,6
1205,1,7
1212,2,7
1218,1,6
1225,1,7
1232,2,7
1239,1,7
1247,2,8
1254,1,7
1262,1,8
1268,1,6
1276,1,8
1290,1,14
1299,0,9
1306,1,7
1312,1,6
1318,1,6
1324,1,6
1330,1,6
1336,1,6
1342,1,6
1348,1,6
1354,1,6
1360,0,6
1366,0,6
1373,1,7
1379,1,6
1384,0,5
1390,0,6
1396,0,6
1402,0,6
1408,0,6
1414,0,6
1420,0,6
1426,1,6
1432,1,6
1439,1,7
1445,1,6
1458,8,13
1459,0,1
1465,0,6
1471,1,6
1477,1,6
1485,3,8
1491,1,6
1497,1,6
1503,1,6
1509,1,6
1514,0,5
1520,1,6
1526,1,6
1531,0,5
1538,1,7
1543,0,5
1549,0,6
1555,1,6
1562,2,7
1568,1,6
1574,1,6
1580,1,6
1586,1,6
1592,1,6
1598,1,6
1606,3,8
1613,2,7
1618,0,5
1625,2,7
1630,1,5
1638,3,8
1642,1,4
1649,2,7
1656,2,7
1664,2,8
1671,2,7
1678,1,7
1686,2,8
1693,2,7
1699,1,6
1705,0,6
1711,0,6
1717,0,6
1723,0,6
1730,1,7
1736,1,6
1742,0,6
1749,1,7
1755,1,6
1761,1,6
1771,4,10
1777,1,6
1784,1,7
1790,0,6
1797,1,7
1803,1,6
1809,1,6
1815,0,6
1821,0,6
1827,0,6
1833,0,6
1839,0,6
1845,0,6
1851,0,6
1857,1,6
1863,1,6
1869,1,6
1875,1,6
1881,1,6
1887,1,6
1893,1,6
1899,1,6
1905,1,6
1911,1,6
1918,1,7
1924,1,6
1930,1,6
1936,1,6
1942,1,6
1950,3,8
1957,1,7
1963,1,6
1969,1,6
1977,3,8
1983,1,6
1990,1,7
1998,2,8
2005,1,7
2012,1,7
2019,1,7
2026,1,7
2034,2,8
2041,1,7
2048,1,7
2055,1,7
2063,2,8
2070,2,7
2077,2,7
2084,1,7
2092,2,8
2099,1,7
2108,3,9
2121,2,13
2128,1,7
2136,2,8
2143,1,7
2151,2,8
2162,5,11
2169,1,7
2177,2,8
2185,2,8
2199,8,14
2207,2,8
2214,1,7
2223,3,9
2230,1,7
2238,2,8
2246,2,8
2253,1,7
2261,2,8
2269,2,8
2276,1,7
2284,2,8
2291,1,7
2300,3,9
2307,2,7
2314,2,7
2321,1,7
2328,1,7
2340,6,12
2348,3,8
2356,2,8
2364,2,8
2372,2,8
2380,2,8
2387,1,7
2395,2,8
2402,1,7
2409,1,7
2416,1,7
2424,2,8
2431,1,7
2439,2,8
2448,2,9
2456,2,8
2464,2,8
2472,1,8
2479,1,7
2487,2,8
2494,1,7
2502,2,8
2509,1,7
2516,1,7
2524,2,8
2533,3,9
2541,2,8
2549,2,8
2559,2,10
2567,2,8
2578,1,11
2586,2,8
2597,2,11
2610,6,13
2618,2,8
2626,2,8
2634,2,8
2642,2,8
2654,3,12
2661,1,7
2669,2,8
2677,2,8
2685,2,8
2693,2,8
2701,1,8
2709,2,8
2716,1,7
2744,22,28
2744,16,0
2745,12,1
2745,7,0
2747,2,2
2752,1,5
2758,1,6
2764,2,6
2770,2,6
2775,1,5
2781,1,6
2790,2,9
2796,2,6
2804,2,8
2812,2,8
2820,2,8
2828,2,8
2836,1,8
2844,1,8
2852,1,8
2860,2,8
2868,2,8
2877,3,9
2885,2,8
2892,1,7
2900,2,8
2908,2,8
2916,2,8
2924,2,8
2931,1,7
2943,3,12
2951,2,8
2959,2,8
2967,2,8
2974,1,7
2983,2,9
2991,2,8
2999,2,8
3007,2,8
3015,2,8
3022,1,7
3031,3,9
3038,1,7
3046,2,8
3053,2,7
3061,2,8
3069,2,8
3077,2,8
3085,2,8
3093,2,8
3101,2,8
3108,1,7
3116,2,8
3124,2,8
3132,2,8
3140,2,8
3148,2,8
3156,2,8
3164,2,8
3171,1,7
3180,3,9
3188,1,8
3196,1,8
3204,1,8
3215,4,11
3223,2,8
3230,2,7
3237,1,7
3245,2,8
3253,2,8
3261,2,8
3268,1,7
3276,1,8
3284,2,8
3292,2,8
3300,2,8
3307,1,7
3315,2,8
3322,1,7
3329,1,7
3336,1,7
3344,2,8
3351,1,7
3358,1,7
3366,2,8
3374,2,8
3382,2,8
3389,1,7
3397,1,8
3404,1,7
3412,2,8
3422,4,10
3433,2,11
3440,1,7
3448,1,8
3456,1,8
3464,2,8
3472,2,8
3479,1,7
3486,1,7
3493,1,7
3500,1,7
3506,1,6
3512,1,6
3518,0,6
3525,1,7
3531,1,6
3537,1,6
3543,1,6
3549,1,6
3555,1,6
3561,1,6
3571,1,10
3579,3,8
3586,1,7
3592,1,6
3598,0,6
3605,1,7
3630,7,25
3640,1,10
3646,1,6
3654,1,8
3660,1,6
3666,1,6
3672,1,6
3678,1,6
3685,1,7
3691,1,6
3697,1,6
3704,1,7
3710,1,6
3717,2,7
3724,1,7
3730,0,6
3736,0,6
3742,0,6
3749,1,7
3755,1,6
3761,1,6
3767,1,6
3773,1,6
3779,1,6
3785,1,6
3791,1,6
3798,1,7
3804,1,6
3810,1,6
3816,1,6
3823,1,7
3834,6,11
3841,1,7
3847,1,6
3854,1,7
3861,2,7
3867,1,6
3873,0,6
3880,1,7
3887,1,7
3893,1,6
3899,0,6
3906,1,7
3912,1,6
3918,1,6
3924,1,6
3930,1,6
3936,1,6
3942,1,6
3949,1,7
3955,1,6
3961,1,6
3968,0,7
3974,0,6
3981,1,7
