time (ms),latency (ms),consume (ms)
0,16,0
1,12,1
7,14,6
8,9,1
18,16,10
19,13,1
25,17,6
26,6,1
36,13,10
39,12,3
47,16,8
48,11,1
52,12,4
53,4,1
58,8,5
59,6,1
64,9,5
64,4,0
81,20,17
82,17,1
87,19,5
88,5,1
93,8,5
94,6,1
99,9,5
100,5,1
108,12,8
109,8,1
116,11,7
118,8,2
156,44,38
157,40,1
161,40,4
164,38,3
164,37,0
166,34,2
166,31,0
169,31,3
169,29,0
171,29,2
171,24,0
175,24,4
177,23,2
183,21,6
187,21,4
189,19,2
191,20,2
193,19,2
193,17,0
195,15,2
199,17,4
199,13,0
206,11,7
207,7,1
212,9,5
212,4,0
219,10,7
219,6,0
223,8,4
224,4,1
231,10,7
232,8,1
239,13,7
240,7,1
246,11,6
247,6,1
252,9,5
253,5,1
257,8,4
258,5,1
263,8,5
263,4,0
267,6,4
268,4,1
273,8,5
273,5,0
277,7,4
278,4,1
300,25,22
304,23,4
304,22,0
310,25,6
310,23,0
311,21,1
314,22,3
316,22,2
316,16,0
319,16,3
319,15,0
321,14,2
321,9,0
325,10,4
325,9,0
329,9,4
329,8,0
332,8,3
332,6,0
334,6,2
337,8,3
337,4,0
343,9,6
344,6,1
347,7,3
347,3,0
351,6,4
351,3,0
356,7,5
356,4,0
360,6,4
360,3,0
364,6,4
364,3,0
369,7,5
369,4,0
375,8,6
376,5,1
381,8,5
381,4,0
385,6,4
385,3,0
390,7,5
391,5,1
397,9,6
398,6,1
401,8,3
401,3,0
418,19,17
421,16,3
426,18,5
427,14,1
434,11,7
438,11,4
442,10,4
443,5,1
447,8,4
447,4,0
454,10,7
461,13,7
461,11,0
463,10,2
463,9,0
463,6,0
470,12,7
470,8,0
472,8,2
472,6,0
476,8,4
476,5,0
480,7,4
480,5,0
483,6,3
483,4,0
487,7,4
487,3,0
492,7,5
493,5,1
499,9,6
500,7,1
503,8,3
503,3,0
508,7,5
508,4,0
513,8,5
513,4,0
517,6,4
517,3,0
521,6,4
521,3,0
526,7,5
527,5,1
532,9,5
532,4,0
537,8,5
537,4,0
564,29,27
569,29,5
569,25,0
571,25,2
571,24,0
575,24,4
575,23,0
576,21,1
576,18,0
579,17,3
580,16,1
580,14,0
583,16,3
584,14,1
587,15,3
588,14,1
591,15,3
591,12,0
594,14,3
595,13,1
595,11,0
598,12,3
599,11,1
599,9,0
603,11,4
603,9,0
606,10,3
607,9,1
610,11,3
611,9,1
613,10,2
613,7,0
615,8,2
615,6,0
619,8,4
619,5,0
623,8,4
626,8,3
627,8,1
627,6,0
631,8,4
631,6,0
635,8,4
647,17,12
648,17,1
653,19,5
653,17,0
655,17,2
678,38,23
684,42,6
685,41,1
688,42,3
688,40,0
692,42,4
692,41,0
695,41,3
696,41,1
697,39,1
697,34,0
700,35,3
701,34,1
701,32,0
702,32,1
705,32,3
706,32,1
709,33,3
709,31,0
713,33,4
713,32,0
716,33,3
717,33,1
717,30,0
720,31,3
721,30,1
724,32,3
724,29,0
726,29,2
726,26,0
728,26,2
728,24,0
729,23,1
731,23,2
731,21,0
732,20,1
732,18,0
739,24,7
739,22,0
740,21,1
747,26,7
747,24,0
751,7,4
752,4,1
757,8,5
757,4,0
761,6,4
761,3,0
798,39,37
799,35,1
799,32,0
803,34,4
803,32,0
806,33,3
807,33,1
807,30,0
810,32,3
811,31,1
814,32,3
814,29,0
817,31,3
817,28,0
819,29,2
819,26,0
819,24,0
823,26,4
823,23,0
826,24,3
827,23,1
827,21,0
831,24,4
831,22,0
833,22,2
834,21,1
835,20,1
836,18,1
836,16,0
840,18,4
840,16,0
843,17,3
844,17,1
847,17,3
847,16,0
848,13,1
848,12,0
852,13,4
852,12,0
856,14,4
856,12,0
860,14,4
860,11,0
868,17,8
868,15,0
869,14,1
872,16,3
873,14,1
894,34,21
898,35,4
898,34,0
901,34,3
902,33,1
905,34,3
905,32,0
906,30,1
912,34,6
912,32,0
913,29,1
913,27,0
916,25,3
917,24,1
921,27,4
922,25,1
922,24,0
925,24,3
925,23,0
926,22,1
927,21,1
930,22,3
931,22,1
931,20,0
932,18,1
932,16,0
935,18,3
936,16,1
940,18,4
940,14,0
940,13,0
944,14,4
944,12,0
945,11,1
948,12,3
948,10,0
951,10,3
952,9,1
952,8,0
955,8,3
956,7,1
956,5,0
959,7,3
964,10,5
964,7,0
968,10,4
968,8,0
968,6,0
993,29,25
994,27,1
997,28,3
998,27,1
1001,28,3
1001,26,0
1004,27,3
1005,26,1
1008,27,3
1008,25,0
1010,26,2
1010,23,0
1010,20,0
1014,22,4
1014,20,0
1017,21,3
1017,20,0
1019,19,2
1019,18,0
1021,17,2
1021,16,0
1023,14,2
1023,13,0
1026,13,3
1028,13,2
1028,10,0
1044,22,16
1045,18,1
1049,7,4
1049,3,0
1054,7,5
1054,4,0
1059,7,5
1059,4,0
1064,7,5
1065,5,1
1070,8,5
1070,4,0
1075,8,5
1075,4,0
1080,8,5
