time (ms),latency (ms),consume (ms)
0,17,0
9,21,9
10,22,1
10,21,0
10,21,0
10,21,0
11,21,1
11,20,0
12,21,1
12,21,0
12,20,0
35,31,23
38,34,3
38,33,0
38,33,0
39,28,1
39,28,0
45,33,6
53,40,8
53,40,0
60,46,7
60,46,0
60,46,0
61,46,1
61,46,0
62,45,1
64,46,2
66,48,2
66,48,0
67,48,1
67,48,0
71,47,4
71,47,0
72,47,1
72,47,0
73,47,1
74,47,1
74,47,0
74,47,0
74,46,0
74,46,0
74,45,0
86,57,12
89,48,3
94,52,5
94,52,0
94,49,0
94,48,0
97,51,3
97,43,0
97,43,0
97,42,0
98,39,1
100,41,2
100,35,0
101,36,1
101,35,0
101,34,0
102,35,1
118,50,16
119,50,1
121,52,2
124,52,3
127,33,3
129,30,2
135,21,6
135,17,0
138,17,3
142,19,4
143,17,1
143,15,0
149,18,6
149,14,0
149,12,0
149,9,0
153,11,4
154,9,1
157,10,3
157,6,0
163,10,6
164,9,1
172,13,8
176,15,4
177,13,1
180,14,3
180,10,0
180,8,0
181,7,1
181,5,0
186,7,5
189,3,3
192,3,3
195,2,3
200,5,5
204,4,4
208,4,4
212,4,4
216,4,4
218,2,2
220,2,2
223,2,3
226,2,3
228,2,2
233,4,5
235,2,2
238,3,3
240,2,2
243,2,3
246,3,3
248,2,2
251,3,3
253,2,2
256,2,3
258,2,2
261,2,3
264,2,3
266,2,2
269,2,3
274,3,5
278,6,4
282,7,4
282,5,0
286,3,4
297,11,11
297,9,0
301,6,4
307,7,6
323,19,16
324,17,1
325,15,1
326,11,1
342,20,16
453,119,111
455,118,2
455,115,0
456,112,1
456,110,0
460,109,4
462,108,2
462,104,0
462,101,0
462,98,0
462,96,0
463,95,1
469,99,6
474,100,5
476,100,2
477,99,1
477,96,0
477,95,0
477,91,0
477,89,0
477,86,0
482,89,5
482,86,0
482,83,0
482,81,0
482,78,0
482,76,0
482,72,0
491,79,9
491,77,0
493,75,2
493,72,0
493,69,0
493,66,0
493,65,0
493,62,0
494,61,1
495,60,1
495,58,0
495,55,0
495,53,0
495,51,0
495,48,0
498,50,3
498,48,0
498,45,0
498,42,0
500,42,2
500,40,0
500,37,0
500,35,0
500,33,0
501,32,1
503,30,2
503,28,0
503,26,0
503,24,0
503,20,0
504,20,1
504,18,0
506,18,2
515,24,9
516,12,1
521,15,5
524,10,3
524,9,0
524,8,0
524,6,0
529,9,5
531,9,2
531,5,0
532,5,1
540,11,8
540,8,0
540,6,0
540,3,0
545,7,5
545,4,0
548,5,3
551,6,3
553,5,2
554,5,1
556,6,2
558,5,2
560,3,2
563,4,3
566,5,3
567,4,1
570,4,3
575,8,5
577,7,2
579,7,2
581,7,2
582,5,1
586,6,4
586,3,0
590,6,4
591,4,1
594,4,3
597,3,3
599,2,2
601,2,2
604,2,3
607,3,3
609,3,2
612,4,3
614,3,2
616,3,2
620,6,4
623,7,3
625,7,2
625,6,0
626,5,1
628,5,2
630,2,2
633,2,3
635,3,2
637,3,2
640,3,3
643,4,3
644,3,1
647,4,3
649,3,2
651,3,2
657,6,6
657,4,0
657,4,0
659,4,2
662,2,3
664,3,2
668,4,4
670,5,2
672,5,2
674,5,2
677,6,3
681,6,4
683,8,2
684,6,1
686,7,2
688,7,2
690,6,2
695,8,5
698,9,3
698,7,0
703,6,5
705,5,2
706,4,1
713,7,7
715,7,2
715,4,0
723,11,8
724,8,1
730,13,6
730,10,0
730,8,0
730,5,0
733,6,3
735,6,2
747,16,12
753,19,6
754,18,1
757,18,3
758,18,1
758,15,0
761,17,3
761,12,0
761,11,0
765,11,4
765,9,0
765,8,0
765,6,0
769,7,4
772,9,3
774,7,2
775,7,1
776,6,1
779,7,3
780,5,1
782,5,2
785,5,3
788,4,3
792,7,4
794,7,2
795,7,1
797,7,2
798,7,1
800,7,2
803,6,3
804,5,1
810,9,6
812,9,2
812,5,0
816,7,4
818,6,2
818,4,0
821,4,3
824,5,3
825,5,1
827,4,2
830,5,3
833,5,3
835,4,2
836,4,1
839,7,3
841,4,2
843,5,2
844,4,1
846,4,2
849,4,3
853,6,4
855,5,2
856,5,1
859,7,3
862,6,3
875,17,13
876,16,1
877,16,1
877,11,0
879,11,2
880,10,1
881,8,1
884,10,3
885,7,1
885,4,0
890,7,5
890,3,0
894,6,4
897,5,3
901,7,4
903,7,2
905,5,2
905,3,0
908,4,3
910,3,2
912,4,2
915,4,3
918,5,3
919,5,1
921,5,2
924,6,3
924,2,0
924,1,0
926,1,2
926,1,0
928,2,2
929,2,1
930,1,1
931,1,1
932,1,1
934,2,2
936,3,2
936,2,0
938,3,2
938,2,0
940,3,2
942,3,2
942,2,0
942,1,0
944,3,2
945,2,1
946,1,1
957,11,11
958,1,1
959,1,1
960,1,1
961,1,1
962,1,1
963,1,1
965,1,2
966,1,1
971,5,5
973,2,2
976,2,3
978,2,2
981,2,3
984,3,3
986,2,2
988,2,2
990,1,2
993,2,3
996,3,3
997,2,1
1000,2,3
1001,2,1
1004,2,3
1007,3,3
1008,3,1
1013,4,5
1016,7,3
1018,7,2
1020,9,2
1022,8,2
1023,8,1
1025,8,2
1026,6,1
1028,7,2
1030,4,2
1032,3,2
1035,4,3
1037,4,2
1040,5,3
1042,6,2
1044,5,2
1046,5,2
1048,5,2
1049,3,1
1052,5,3
1054,4,2
1056,5,2
1058,4,2
1060,4,2
1062,3,2
1064,3,2
1066,3,2
1069,2,3
1072,5,3
1074,5,2
1076,5,2
1078,6,2
1081,6,3
1081,3,0
1085,6,4
1088,6,3
1088,5,0
1090,4,2
1093,2,3
1096,3,3
1098,4,2
1101,5,3
1104,6,3
1105,5,1
1107,5,2
1109,6,2
1110,3,1
1113,5,3
1117,6,4
1117,4,0
1120,5,3
1122,5,2
1123,4,1
1125,3,2
1128,5,3
1130,4,2
1133,5,3
1135,4,2
1139,6,4
1139,5,0
1142,6,3
1143,6,1
1145,5,2
1148,6,3
1150,5,2
1152,5,2
1154,5,2
1156,5,2
1159,5,3
1164,9,5
1164,6,0
1169,11,5
1170,4,1
1172,3,2
1175,3,3
1177,3,2
1179,2,2
1181,2,2
1183,2,2
1188,5,5
1188,3,0
1190,4,2
1193,2,3
1196,5,3
1198,4,2
1201,6,3
1203,5,2
1206,7,3
1209,6,3
1210,6,1
1212,6,2
1213,4,1
1216,6,3
1218,5,2
1219,2,1
1221,2,2
1222,2,1
1224,4,2
1224,3,0
1226,3,2
1226,1,0
1228,2,2
1228,1,0
1229,1,1
1230,0,1
1231,1,1
1233,2,2
1234,2,1
1234,1,0
1236,2,2
1237,2,1
1237,1,0
1239,2,2
1240,2,1
1240,2,0
1241,1,1
1242,1,1
1244,2,2
1245,2,1
1246,3,1
1246,2,0
1247,2,1
1248,1,1
1249,1,1
1250,1,1
1251,1,1
1252,1,1
1253,1,1
1255,2,2
1255,1,0
1257,3,2
1257,1,0
1258,1,1
1260,3,2
1260,2,0
1261,2,1
1262,3,1
1263,2,1
1264,2,1
1264,1,0
1265,1,1
1267,2,2
1267,1,0
1268,1,1
1270,2,2
1270,1,0
1271,1,1
1272,1,1
1273,1,1
1274,0,1
1275,1,1
1277,2,2
1277,1,0
1279,1,2
1279,1,0
1281,2,2
1282,2,1
1283,2,1
1283,1,0
1284,1,1
1285,1,1
1286,1,1
1287,1,1
1288,1,1
1289,1,1
1290,1,1
1292,2,2
1294,3,2
1295,1,1
1297,1,2
1298,1,1
1299,1,1
1303,4,4
1304,3,1
1304,2,0
1305,2,1
1306,2,1
1306,1,0
1308,2,2
1309,2,1
1310,2,1
1311,2,1
1312,1,1
1313,1,1
1314,1,1
1315,1,1
1316,1,1
1317,1,1
1318,1,1
1319,1,1
1320,1,1
1321,1,1
1322,1,1
1323,1,1
1325,2,2
1326,2,1
1327,3,1
1327,2,0
1328,2,1
1329,2,1
1330,2,1
1331,2,1
1332,2,1
1333,2,1
1334,2,1
1335,2,1
1336,2,1
1336,1,0
1338,1,2
1339,2,1
1340,2,1
1341,2,1
1342,3,1
1343,3,1
1344,2,1
1345,2,1
1345,2,0
1347,3,2
1347,1,0
1348,2,1
1350,3,2
1351,3,1
1351,2,0
1352,2,1
1353,2,1
1354,3,1
1356,3,2
1356,2,0
1357,2,1
1358,3,1
1358,1,0
1360,2,2
1361,2,1
1362,2,1
1362,2,0
1388,26,26
1390,27,2
1391,24,1
1391,24,0
1391,24,0
1391,24,0
1392,24,1
1392,24,0
1393,25,1
1393,25,0
1395,26,2
1395,26,0
1396,27,1
1396,27,0
1396,26,0
1397,27,1
1398,28,1
1398,28,0
1399,29,1
1399,28,0
1399,28,0
1399,28,0
1401,30,2
1401,23,0
1402,24,1
1404,26,2
1404,26,0
1404,25,0
1404,25,0
1404,25,0
1405,26,1
1406,27,1
1406,27,0
1406,27,0
1406,27,0
1407,27,1
1407,27,0
1407,27,0
1407,27,0
1408,28,1
1409,29,1
1410,30,1
1410,30,0
1410,30,0
1411,30,1
1411,30,0
1411,30,0
1411,30,0
1411,30,0
1414,33,3
1415,34,1
1415,34,0
1415,34,0
1415,34,0
1417,35,2
1417,35,0
1419,37,2
1419,37,0
1419,37,0
1419,37,0
1419,37,0
1419,37,0
1419,37,0
1419,36,0
1423,40,4
1423,40,0
1423,40,0
1423,40,0
1427,44,4
1427,44,0
1427,44,0
1432,49,5
1432,49,0
1432,48,0
1432,48,0
1432,48,0
1432,48,0
1436,52,4
1436,52,0
1440,56,4
1440,56,0
1440,56,0
1441,57,1
1445,60,4
1446,61,1
1446,57,0
1449,60,3
1451,62,2
1454,65,3
1454,64,0
1454,62,0
1457,63,3
1457,63,0
1457,61,0
1457,60,0
1457,58,0
1460,59,3
1461,60,1
1462,60,1
1462,60,0
1462,60,0
1462,58,0
1467,61,5
1467,58,0
1469,57,2
1469,56,0
1472,58,3
1472,58,0
1472,56,0
1476,59,4
1476,59,0
1479,61,3
1482,62,3
1482,61,0
1482,60,0
1484,60,2
1484,59,0
1488,60,4
1488,57,0
1491,57,3
1491,56,0
1493,57,2
1493,55,0
1498,53,5
1498,52,0
1498,51,0
1499,49,1
1501,49,2
1505,51,4
1506,48,1
1506,48,0
1509,48,3
1512,48,3
1512,47,0
1512,45,0
1515,44,3
1518,46,3
1518,44,0
1518,42,0
1521,43,3
1526,46,5
1526,43,0
1526,40,0
1527,40,1
1530,41,3
1530,39,0
1533,38,3
1533,36,0
1537,38,4
1537,36,0
1537,33,0
1541,36,4
1541,34,0
1545,37,4
1545,34,0
1545,32,0
1545,29,0
1551,31,6
1551,31,0
1551,28,0
1554,30,3
1554,27,0
1557,28,3
1557,25,0
1560,27,3
1561,25,1
1563,23,2
1563,23,0
1567,24,4
1570,26,3
1570,22,0
1570,22,0
1571,20,1
1575,22,4
1576,20,1
1576,18,0
1576,16,0
1576,14,0
1580,15,4
1583,16,3
1583,15,0
1583,12,0
1587,14,4
1587,10,0
1589,12,2
1591,12,2
1592,10,1
1596,13,4
1596,10,0
1599,12,3
1599,9,0
1602,11,3
1604,9,2
1604,8,0
1606,8,2
1608,7,2
1612,8,4
1614,8,2
1616,8,2
1618,8,2
1619,8,1
1620,8,1
1622,6,2
1624,5,2
1626,5,2
1629,5,3
1630,5,1
1634,6,4
1634,4,0
1636,4,2
1639,4,3
1642,6,3
1643,4,1
1645,5,2
1648,6,3
1649,3,1
1651,4,2
1654,5,3
1656,4,2
1659,5,3
1660,4,1
1662,5,2
1664,5,2
1670,8,6
1671,6,1
1673,7,2
1673,6,0
1675,7,2
1677,7,2
1680,6,3
1681,4,1
1684,5,3
1687,6,3
1689,6,2
1691,6,2
1692,5,1
1693,5,1
1696,5,3
1699,5,3
1700,5,1
1702,5,2
1704,5,2
1706,4,2
1707,3,1
1709,2,2
1714,4,5
1715,4,1
1719,8,4
1720,7,1
1721,4,1
1722,5,1
1724,6,2
1727,4,3
1730,5,3
1732,6,2
1733,5,1
1736,6,3
1738,4,2
1741,5,3
1743,6,2
1745,6,2
1746,5,1
1749,5,3
1752,5,3
1753,5,1
1755,5,2
1758,6,3
1760,4,2
1762,5,2
1764,5,2
1767,6,3
