time (ms),latency (ms),consume (ms)
0,25,0
6,28,6
6,27,0
6,25,0
8,26,2
12,30,4
13,31,1
13,30,0
13,30,0
13,30,0
14,30,1
14,30,0
14,30,0
14,29,0
15,30,1
15,29,0
15,29,0
15,29,0
16,30,1
17,30,1
17,30,0
18,31,1
19,32,1
19,31,0
20,32,1
21,33,1
21,32,0
22,33,1
22,33,0
23,34,1
24,34,1
24,34,0
25,35,1
26,35,1
26,35,0
27,36,1
28,37,1
28,36,0
29,37,1
30,38,1
30,38,0
30,37,0
30,37,0
30,37,0
31,37,1
31,37,0
31,37,0
31,37,0
31,36,0
32,37,1
32,37,0
32,37,0
32,36,0
32,36,0
33,37,1
33,36,0
33,36,0
33,36,0
33,35,0
34,36,1
34,36,0
34,35,0
34,35,0
35,36,1
35,36,0
35,35,0
35,35,0
35,35,0
36,36,1
36,35,0
36,35,0
36,35,0
36,35,0
37,35,1
37,35,0
37,35,0
37,34,0
37,34,0
38,35,1
38,35,0
38,34,0
38,34,0
39,35,1
39,35,0
39,34,0
39,34,0
40,35,1
40,34,0
40,34,0
40,34,0
40,34,0
41,34,1
41,34,0
41,34,0
41,33,0
41,33,0
42,34,1
42,34,0
42,33,0
42,33,0
43,34,1
43,34,0
43,33,0
43,33,0
43,33,0
44,34,1
44,33,0
44,33,0
44,33,0
44,33,0
45,34,1
45,33,0
45,33,0
45,33,0
46,34,1
46,33,0
46,33,0
46,33,0
46,33,0
47,33,1
47,33,0
47,32,0
47,32,0
48,33,1
48,32,0
48,32,0
48,32,0
49,33,1
49,32,0
49,32,0
49,32,0
50,33,1
50,32,0
50,32,0
50,32,0
50,31,0
51,32,1
51,32,0
51,31,0
51,31,0
51,31,0
52,32,1
52,32,0
52,31,0
52,31,0
52,31,0
53,32,1
53,31,0
53,31,0
53,31,0
53,30,0
54,31,1
54,31,0
54,30,0
54,30,0
54,29,0
54,28,0
55,29,1
55,28,0
55,28,0
55,28,0
56,28,1
56,28,0
56,27,0
56,27,0
56,27,0
57,27,1
57,27,0
57,26,0
57,26,0
57,25,0
58,26,1
58,26,0
58,25,0
58,25,0
58,24,0
59,25,1
59,25,0
59,24,0
59,24,0
59,24,0
60,24,1
60,24,0
60,23,0
60,23,0
61,24,1
61,23,0
61,22,0
61,21,0
61,21,0
62,22,1
62,21,0
62,21,0
62,20,0
63,21,1
63,21,0
63,20,0
63,20,0
63,20,0
64,20,1
64,20,0
64,20,0
64,19,0
64,19,0
65,20,1
65,19,0
65,19,0
65,18,0
65,18,0
66,19,1
66,18,0
66,18,0
66,18,0
66,17,0
67,18,1
67,18,0
