time (ms),latency (ms),consume (ms)
0,10,0
6,3,6
16,2,10
28,3,12
38,2,10
49,1,11
61,2,12
72,1,11
84,2,12
94,1,10
105,1,11
116,2,11
127,2,11
139,3,12
148,1,9
159,1,11
170,2,11
181,2,11
193,3,12
203,1,10
214,2,11
224,1,10
235,2,11
245,1,10
256,2,11
266,1,10
278,2,12
288,1,10
299,2,11
310,2,11
320,1,10
331,2,11
342,1,11
354,2,12
365,2,11
376,2,11
387,1,11
398,1,11
410,2,12
421,2,11
432,2,11
443,1,11
454,1,11
468,4,14
476,2,8
487,2,11
497,1,10
508,1,11
520,2,12
531,2,11
542,2,11
553,2,11
563,1,10
574,1,11
585,2,11
595,1,10
606,1,11
617,2,11
627,1,10
638,2,11
649,2,11
659,1,10
670,2,11
681,2,11
691,2,10
701,1,10
712,2,11
722,1,10
733,1,11
744,2,11
762,9,18
765,1,3
776,2,11
786,1,10
797,2,11
807,1,10
818,2,11
828,1,10
839,2,11
849,1,10
860,2,11
870,1,10
881,2,11
892,2,11
902,1,10
913,1,11
923,1,10
934,1,11
945,2,11
955,1,10
966,2,11
977,2,11
988,2,11
998,1,10
1008,1,10
1019,1,11
1030,2,11
1040,1,10
1051,2,11
1061,1,10
1072,1,11
1082,1,10
1093,1,11
1103,1,10
1114,1,11
1124,1,10
1135,1,11
1145,1,10
1156,1,11
1170,2,14
1181,2,11
1191,1,10
1202,1,11
1214,2,12
1225,2,11
1236,2,11
1246,1,10
1257,2,11
1267,1,10
1278,2,11
1288,1,10
1299,2,11
1309,1,10
1320,1,11
1331,1,11
1342,2,11
1353,2,11
1363,1,10
1374,2,11
1384,1,10
1395,1,11
1405,1,10
1416,1,11
1426,1,10
1437,1,11
1447,1,10
1458,1,11
1470,2,12
1480,1,10
1491,1,11
1502,1,11
1513,1,11
1524,1,11
1535,1,11
1546,1,11
1557,1,11
1568,1,11
1579,1,11
1590,1,11
1601,1,11
1612,1,11
1623,2,11
1634,2,11
1645,1,11
1655,1,10
1666,2,11
1676,1,10
1687,2,11
1697,1,10
1707,1,10
1718,1,11
1728,1,10
1739,2,11
1749,1,10
1760,2,11
1770,1,10
1780,1,10
1791,1,11
1801,1,10
1812,1,11
1822,1,10
1833,2,11
1843,1,10
1854,2,11
1864,1,10
1874,1,10
1885,1,11
1895,1,10
1906,2,11
1916,1,10
1927,2,11
1937,1,10
1948,2,11
1958,1,10
1969,2,11
1979,1,10
1990,2,11
2000,1,10
2011,1,11
2021,1,10
2032,2,11
2042,1,10
2053,1,11
2064,2,11
2074,2,10
2084,1,10
2094,1,10
2105,1,11
2115,1,10
2126,1,11
2136,1,10
2147,1,11
2157,1,10
2168,2,11
2178,1,10
2189,2,11
2199,1,10
2209,1,10
2220,2,11
2230,1,10
2241,2,11
2251,1,10
2261,1,10
2272,1,11
2282,1,10
2293,2,11
2303,1,10
2327,14,24
2327,4,0
2335,1,8
2345,1,10
2356,1,11
2366,1,10
2377,1,11
2387,1,10
2398,1,11
2409,2,11
2419,1,10
2429,1,10
2440,1,11
2450,1,10
2461,2,11
2471,1,10
2482,2,11
2492,1,10
2503,2,11
2513,1,10
2524,2,11
2534,1,10
2544,1,10
2555,1,11
2565,1,10
2576,2,11
2586,1,10
2597,1,11
2608,2,11
2618,1,10
2628,1,10
2641,4,13
2649,1,8
2660,2,11
2670,1,10
2681,1,11
2692,2,11
2702,1,10
2714,2,12
2725,2,11
2735,2,10
2745,1,10
2756,2,11
2766,1,10
2777,2,11
2787,1,10
2797,1,10
2808,2,11
2818,1,10
2829,2,11
2839,1,10
2849,1,10
2860,2,11
2870,1,10
2881,2,11
2891,1,10
2901,1,10
2912,2,11
2922,1,10
2933,2,11
2943,1,10
2953,1,10
2964,1,11
2974,1,10
2985,2,11
2995,1,10
3006,2,11
3016,1,10
3026,1,10
3037,1,11
3047,1,10
3058,2,11
3068,1,10
3078,1,10
3089,1,11
3099,1,10
3110,2,11
3120,1,10
3130,1,10
3141,2,11
3151,1,10
3162,2,11
3172,1,10
3182,1,10
3193,2,11
3203,1,10
3213,1,10
3224,1,11
3234,1,10
3245,2,11
3255,1,10
3265,1,10
3276,1,11
3286,1,10
3297,1,11
3307,1,10
3318,1,11
3328,1,10
3339,1,11
3350,1,11
3364,5,14
3371,1,7
3382,1,11
3393,2,11
3403,1,10
3413,1,10
3424,1,11
3434,1,10
3445,2,11
3455,1,10
3466,2,11
3476,1,10
3486,1,10
3497,1,11
3508,1,11
3518,1,10
3529,1,11
3539,1,10
