time (ms),latency (ms),consume (ms)
0,12,0
6,11,6
11,15,5
16,19,5
17,18,1
18,16,1
19,16,1
20,17,1
21,18,1
22,17,1
23,18,1
24,17,1
25,17,1
30,22,5
31,22,1
31,22,0
32,22,1
32,20,0
33,21,1
34,20,1
34,20,0
35,20,1
35,20,0
37,0,2
39,1,2
40,1,1
42,1,2
43,1,1
44,0,1
47,1,3
48,1,1
52,1,4
53,1,1
54,1,1
55,0,1
56,0,1
58,1,2
59,1,1
60,1,1
62,1,2
63,1,1
64,1,1
65,1,1
67,1,2
68,1,1
70,1,2
72,1,2
77,4,5
79,0,2
82,2,3
82,0,0
83,0,1
85,0,2
86,0,1
87,1,1
88,0,1
90,2,2
92,1,2
93,1,1
96,1,3
97,1,1
98,1,1
99,0,1
101,1,2
102,0,1
103,0,1
104,0,1
107,0,3
109,1,2
110,1,1
111,1,1
113,1,2
115,2,2
116,1,1
117,1,1
118,0,1
120,1,2
123,0,3
124,0,1
127,2,3
128,1,1
130,1,2
131,1,1
133,0,2
135,0,2
136,0,1
138,1,2
139,0,1
141,1,2
142,1,1
143,0,1
144,1,1
147,1,3
149,1,2
150,1,1
155,1,5
156,1,1
157,1,1
158,1,1
158,0,0
159,0,1
160,0,1
161,1,1
162,1,1
163,1,1
164,1,1
166,1,2
167,1,1
168,1,1
169,1,1
169,0,0
170,0,1
171,0,1
173,1,2
174,1,1
175,1,1
176,1,1
179,1,3
180,0,1
181,0,1
183,0,2
184,0,1
185,1,1
186,1,1
187,0,1
188,0,1
191,1,3
193,1,2
194,1,1
195,1,1
198,1,3
199,1,1
200,1,1
201,1,1
202,1,1
204,1,2
205,1,1
206,1,1
207,0,1
210,1,3
211,0,1
214,0,3
216,1,2
217,1,1
218,1,1
219,1,1
224,1,5
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,0,1
231,0,1
232,0,1
233,1,1
234,1,1
235,0,1
236,0,1
237,0,1
238,1,1
239,0,1
244,1,5
245,1,1
246,0,1
248,1,2
249,1,1
250,1,1
251,0,1
253,1,2
254,1,1
255,1,1
256,0,1
263,1,7
264,1,1
267,0,3
268,0,1
269,0,1
270,0,1
271,0,1
272,0,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
284,2,6
288,1,4
289,1,1
290,1,1
291,0,1
292,0,1
294,1,2
295,1,1
296,1,1
297,1,1
298,1,1
299,0,1
301,1,2
303,0,2
305,1,2
306,1,1
307,1,1
308,1,1
312,1,4
313,1,1
314,1,1
315,1,1
320,1,5
321,1,1
322,1,1
323,0,1
324,0,1
325,0,1
327,1,2
329,2,2
331,1,2
332,1,1
333,0,1
334,0,1
336,1,2
341,4,5
342,1,1
342,0,0
347,0,5
348,0,1
349,1,1
350,1,1
350,0,0
351,0,1
352,0,1
353,1,1
354,1,1
355,1,1
356,1,1
358,2,2
359,1,1
359,0,0
360,0,1
361,1,1
362,1,1
364,1,2
365,1,1
367,1,2
368,1,1
369,1,1
370,1,1
370,0,0
371,0,1
373,1,2
375,0,2
376,0,1
379,0,3
380,0,1
381,0,1
382,0,1
383,1,1
384,1,1
387,0,3
388,0,1
389,1,1
390,1,1
391,1,1
391,0,0
392,0,1
393,0,1
395,0,2
396,1,1
397,1,1
397,0,0
398,0,1
399,1,1
400,1,1
400,0,0
401,0,1
402,1,1
403,1,1
403,0,0
407,1,4
409,1,2
410,1,1
410,0,0
411,0,1
412,0,1
413,1,1
413,0,0
414,0,1
415,0,1
416,1,1
417,1,1
417,0,0
418,0,1
419,1,1
420,1,1
420,0,0
421,0,1
422,1,1
422,0,0
423,0,1
424,1,1
425,1,1
425,0,0
429,0,4
430,1,1
431,1,1
431,0,0
432,0,1
433,1,1
434,1,1
434,0,0
435,0,1
436,0,1
437,1,1
437,0,0
438,0,1
439,0,1
440,0,1
443,0,3
450,1,7
451,1,1
452,1,1
453,1,1
453,0,0
454,0,1
459,4,5
461,1,2
463,0,2
467,3,4
468,0,1
471,0,3
472,0,1
473,1,1
474,1,1
475,0,1
476,1,1
477,1,1
477,0,0
478,0,1
479,1,1
483,1,4
484,1,1
485,1,1
486,1,1
487,0,1
501,12,14
508,13,7
510,15,2
513,17,3
515,19,2
516,20,1
516,20,0
517,20,1
518,21,1
519,22,1
523,24,4
523,24,0
528,26,5
529,27,1
529,26,0
530,27,1
531,28,1
532,29,1
533,29,1
535,31,2
535,31,0
536,32,1
537,32,1
540,35,3
541,36,1
542,37,1
543,36,1
544,37,1
547,40,3
550,42,3
555,46,5
557,48,2
557,47,0
558,44,1
559,42,1
559,41,0
560,42,1
561,41,1
562,38,1
563,35,1
564,34,1
564,34,0
565,34,1
566,33,1
567,34,1
568,33,1
569,33,1
571,34,2
572,33,1
573,32,1
573,31,0
574,31,1
575,31,1
575,31,0
579,32,4
580,30,1
581,27,1
581,23,0
582,23,1
583,23,1
583,22,0
584,23,1
585,23,1
586,24,1
587,24,1
589,25,2
590,25,1
591,26,1
591,24,0
592,24,1
593,25,1
594,23,1
594,22,0
595,21,1
596,22,1
597,21,1
597,18,0
599,19,2
606,26,7
606,25,0
607,25,1
608,25,1
608,24,0
609,24,1
610,25,1
610,23,0
611,23,1
612,22,1
613,23,1
613,22,0
614,22,1
619,26,5
620,27,1
620,26,0
621,26,1
621,25,0
621,25,0
622,25,1
622,24,0
623,24,1
624,25,1
624,25,0
625,26,1
626,26,1
627,20,1
627,18,0
628,19,1
631,21,3
631,20,0
632,20,1
633,21,1
633,20,0
633,19,0
637,1,4
644,1,7
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,1,1
650,0,0
651,0,1
652,0,1
653,1,1
653,0,0
654,0,1
655,1,1
655,0,0
656,0,1
657,1,1
658,1,1
658,0,0
659,0,1
660,1,1
661,1,1
661,0,0
662,0,1
663,1,1
663,0,0
665,0,2
666,1,1
667,1,1
667,0,0
671,0,4
672,1,1
673,1,1
673,0,0
674,0,1
675,1,1
675,0,0
676,0,1
677,1,1
677,0,0
678,0,1
679,1,1
680,1,1
680,0,0
681,0,1
682,1,1
683,1,1
683,0,0
685,1,2
687,2,2
688,1,1
690,2,2
715,8,25
719,0,4
720,0,1
721,0,1
722,1,1
723,1,1
723,0,0
724,0,1
725,1,1
726,1,1
726,0,0
727,0,1
728,1,1
730,2,2
731,1,1
732,1,1
733,1,1
733,0,0
734,1,1
735,1,1
735,0,0
736,0,1
737,1,1
738,1,1
738,0,0
739,1,1
742,3,3
743,1,1
744,1,1
745,1,1
747,0,2
748,0,1
749,1,1
750,1,1
753,1,3
754,0,1
755,0,1
756,0,1
757,1,1
758,1,1
758,0,0
759,1,1
763,4,4
764,1,1
764,0,0
765,0,1
771,0,6
772,0,1
773,1,1
774,1,1
774,0,0
775,0,1
776,1,1
776,0,0
777,0,1
778,1,1
779,1,1
779,0,0
780,0,1
781,1,1
783,0,2
784,1,1
785,1,1
785,0,0
786,0,1
787,1,1
788,1,1
788,0,0
789,0,1
790,1,1
790,0,0
791,0,1
792,0,1
795,3,3
796,3,1
797,4,1
797,4,0
798,0,1
799,0,1
800,0,1
801,1,1
802,1,1
802,0,0
807,0,5
808,1,1
809,1,1
810,1,1
810,0,0
815,0,5
816,1,1
817,1,1
817,0,0
818,0,1
819,1,1
820,1,1
821,1,1
822,0,1
823,0,1
824,0,1
825,0,1
826,0,1
827,1,1
828,1,1
829,1,1
830,1,1
831,1,1
832,1,1
833,1,1
834,1,1
835,1,1
836,1,1
837,1,1
838,1,1
838,0,0
839,0,1
840,1,1
840,0,0
841,0,1
842,1,1
843,1,1
843,0,0
844,1,1
847,0,3
848,1,1
849,1,1
849,0,0
851,1,2
858,3,7
859,1,1
860,1,1
860,0,0
861,0,1
862,1,1
863,1,1
863,0,0
864,0,1
865,1,1
865,0,0
866,0,1
867,1,1
867,0,0
868,0,1
869,1,1
869,0,0
870,0,1
871,1,1
871,0,0
872,0,1
875,0,3
876,1,1
876,0,0
879,0,3
880,1,1
880,0,0
887,6,7
888,0,1
889,1,1
889,0,0
890,0,1
891,1,1
891,0,0
892,0,1
893,1,1
893,0,0
894,0,1
895,1,1
895,0,0
896,0,1
897,1,1
897,0,0
898,0,1
899,1,1
900,1,1
900,0,0
901,1,1
903,0,2
904,1,1
911,0,7
912,0,1
913,1,1
913,0,0
914,0,1
915,1,1
915,0,0
916,0,1
917,1,1
917,0,0
918,0,1
919,0,1
920,0,1
921,0,1
923,0,2
924,0,1
925,0,1
926,0,1
927,0,1
928,0,1
929,0,1
931,0,2
933,1,2
934,1,1
935,0,1
936,0,1
937,0,1
938,0,1
939,0,1
940,0,1
947,0,7
948,0,1
949,1,1
949,0,0
950,0,1
951,0,1
952,0,1
953,1,1
954,1,1
955,0,1
956,1,1
957,1,1
957,0,0
958,0,1
959,0,1
963,0,4
965,1,2
966,1,1
967,1,1
971,0,4
972,0,1
973,0,1
974,1,1
975,1,1
976,1,1
977,1,1
978,1,1
978,0,0
979,0,1
980,0,1
981,1,1
982,1,1
983,0,1
984,0,1
985,0,1
986,0,1
987,1,1
988,1,1
991,1,3
992,1,1
993,1,1
995,0,2
996,0,1
997,0,1
998,1,1
999,0,1
1000,0,1
1003,0,3
1004,0,1
1005,0,1
1006,0,1
1007,0,1
1008,0,1
1009,1,1
1010,1,1
1016,1,6
1017,1,1
1018,1,1
1019,1,1
1024,1,5
1025,1,1
1027,0,2
1028,0,1
1029,1,1
1030,1,1
1031,1,1
1032,1,1
1033,1,1
1034,1,1
1035,1,1
1036,1,1
1037,1,1
1038,1,1
1039,0,1
1040,0,1
1043,0,3
1044,0,1
1045,0,1
1046,1,1
1047,1,1
1048,1,1
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,1,1
1053,0,0
1054,0,1
1055,0,1
1057,1,2
1059,0,2
1064,1,5
1068,1,4
1069,1,1
1070,1,1
1071,1,1
1073,2,2
1074,1,1
1075,1,1
1076,1,1
1077,1,1
1078,1,1
1079,0,1
1084,1,5
1085,1,1
1086,1,1
1087,1,1
1088,0,1
1095,5,7
1097,6,2
1098,3,1
1099,3,1
1101,3,2
1103,4,2
1104,3,1
1106,4,2
1107,3,1
1111,6,4
1114,7,3
1115,4,1
1117,4,2
1118,3,1
1119,3,1
1120,3,1
1121,3,1
1122,2,1
1123,2,1
1125,3,2
1126,3,1
1127,3,1
1128,3,1
1129,3,1
1136,9,7
1137,8,1
1138,3,1
1147,10,9
1148,10,1
1150,9,2
1151,2,1
1152,2,1
1153,2,1
1154,1,1
1155,1,1
1156,1,1
1156,0,0
1157,0,1
1158,1,1
1159,1,1
1160,1,1
1163,0,3
1164,0,1
1165,0,1
1166,0,1
1167,1,1
1168,1,1
1171,0,3
1172,0,1
1173,1,1
1174,1,1
1175,1,1
1176,1,1
1179,0,3
1180,0,1
1181,0,1
1182,1,1
1183,1,1
1184,1,1
1185,1,1
1186,0,1
1188,1,2
1189,1,1
1192,1,3
1193,1,1
1194,1,1
1195,0,1
1198,1,3
1199,1,1
1200,0,1
1201,1,1
1202,1,1
1207,5,5
1211,4,4
1212,1,1
1213,1,1
1215,2,2
1216,1,1
1217,1,1
1218,1,1
1218,0,0
1219,0,1
1220,1,1
1221,1,1
1223,0,2
1224,0,1
1225,1,1
1226,1,1
1227,1,1
1228,1,1
1229,1,1
1230,1,1
1231,1,1
1232,1,1
1233,0,1
1236,1,3
1239,3,3
1240,1,1
1241,1,1
1242,0,1
1243,1,1
1248,1,5
1252,1,4
1253,1,1
1253,0,0
1254,0,1
1255,0,1
1256,0,1
1257,0,1
1258,1,1
1259,1,1
1260,1,1
1264,1,4
1265,1,1
1265,0,0
1266,0,1
1267,0,1
1268,0,1
1269,1,1
1270,1,1
1271,1,1
1272,1,1
1272,0,0
1273,0,1
1274,1,1
1275,0,1
1276,1,1
1277,1,1
1279,0,2
1283,0,4
1284,0,1
1287,0,3
1288,0,1
1289,1,1
1290,1,1
1291,1,1
1292,1,1
1293,1,1
1293,0,0
1294,0,1
1295,0,1
1299,0,4
1301,1,2
1301,0,0
1302,0,1
1303,0,1
1304,1,1
1305,1,1
1306,1,1
1307,0,1
1308,1,1
1309,1,1
1310,1,1
1311,1,1
1316,1,5
1319,0,3
1320,0,1
1321,0,1
1322,1,1
1323,1,1
1324,1,1
1325,1,1
1325,0,0
1326,0,1
1327,1,1
1328,1,1
1329,1,1
1330,1,1
1331,0,1
1332,0,1
1333,1,1
1334,1,1
1335,1,1
1336,1,1
1336,0,0
1337,0,1
1339,0,2
1340,1,1
1343,1,3
1344,1,1
1345,1,1
1346,1,1
1346,0,0
1347,0,1
1348,0,1
1349,1,1
1351,0,2
1353,1,2
1354,1,1
1355,1,1
1356,0,1
1360,1,4
1361,1,1
1362,1,1
1363,0,1
1365,1,2
1368,1,3
1369,1,1
1370,0,1
1372,1,2
1373,1,1
1374,1,1
1375,1,1
1376,1,1
1380,1,4
1381,1,1
1382,1,1
