time (ms),latency (ms),consume (ms)
0,11,0
0,3,0
6,3,6
10,1,4
17,3,7
22,1,5
28,2,6
34,2,6
39,2,5
46,2,7
52,1,6
59,2,7
65,1,6
71,1,6
78,2,7
83,1,5
89,2,6
94,1,5
101,2,7
106,1,5
112,2,6
117,1,5
123,2,6
128,1,5
134,2,6
139,1,5
146,2,7
151,1,5
157,2,6
162,1,5
169,2,7
175,2,6
180,2,5
186,2,6
191,1,5
197,2,6
202,1,5
208,2,6
214,2,6
219,1,5
225,2,6
231,2,6
236,2,5
242,2,6
247,2,5
253,2,6
258,2,5
264,2,6
269,1,5
275,2,6
280,1,5
286,1,6
292,2,6
297,2,5
303,2,6
308,1,5
314,2,6
319,1,5
325,2,6
330,1,5
336,2,6
342,2,6
347,2,5
353,2,6
358,1,5
364,2,6
369,1,5
375,2,6
380,2,5
385,1,5
391,2,6
397,2,6
402,2,5
407,1,5
413,2,6
418,1,5
424,2,6
429,1,5
435,2,6
440,1,5
446,2,6
451,1,5
457,2,6
462,1,5
468,2,6
473,1,5
479,2,6
484,1,5
490,2,6
495,1,5
500,1,5
506,1,6
512,1,6
517,1,5
523,1,6
529,2,6
534,1,5
540,1,6
546,1,6
553,2,7
559,2,6
565,1,6
571,1,6
577,1,6
583,1,6
590,2,7
596,2,6
602,1,6
608,1,6
614,1,6
620,1,6
627,2,7
633,2,6
639,1,6
645,1,6
652,2,7
658,1,6
664,2,6
671,3,7
679,4,8
683,2,4
688,2,5
694,2,6
699,2,5
705,2,6
710,1,5
716,2,6
722,2,6
727,2,5
732,1,5
738,2,6
743,1,5
749,2,6
754,1,5
759,1,5
765,2,6
770,1,5
776,2,6
781,1,5
787,2,6
792,1,5
798,2,6
803,1,5
809,2,6
814,1,5
819,1,5
825,2,6
830,1,5
836,2,6
841,1,5
847,2,6
855,4,8
858,2,3
863,1,5
869,2,6
874,1,5
880,2,6
885,2,5
890,1,5
896,2,6
901,1,5
907,2,6
912,1,5
918,2,6
923,1,5
928,1,5
934,2,6
940,2,6
945,2,5
950,1,5
956,2,6
961,1,5
966,1,5
972,2,6
977,1,5
986,5,9
991,1,5
997,2,6
1002,1,5
1008,2,6
1013,1,5
1020,3,7
1025,1,5
1030,1,5
1036,1,6
1041,1,5
1048,3,7
1054,1,6
1061,2,7
1066,1,5
1071,1,5
1078,1,7
1084,2,6
1089,1,5
1095,2,6
1100,1,5
1106,2,6
1111,1,5
1116,1,5
1122,2,6
1127,1,5
1133,2,6
1138,1,5
1144,2,6
1149,1,5
1154,1,5
1160,2,6
1165,1,5
1171,2,6
1176,1,5
1182,2,6
1187,1,5
1193,2,6
1198,2,5
1203,1,5
1209,2,6
1214,1,5
1233,15,19
1233,9,0
1233,4,0
1236,2,3
1241,1,5
1248,3,7
1254,2,6
1259,1,5
1265,2,6
1270,1,5
1276,2,6
1281,1,5
1286,1,5
1292,2,6
1297,1,5
1303,2,6
1308,1,5
1314,2,6
1319,1,5
1324,1,5
1330,1,6
1335,1,5
1341,2,6
1346,1,5
1352,2,6
1357,1,5
1362,1,5
1368,1,6
1373,1,5
1379,1,6
1384,1,5
1390,2,6
1395,1,5
1401,2,6
1406,1,5
1412,1,6
1417,1,5
1423,1,6
1430,2,7
