time (ms),latency (ms),consume (ms)
0,7,0
7,2,7
14,2,7
20,1,6
27,2,7
34,2,7
40,1,6
46,1,6
55,3,9
61,1,6
68,1,7
74,0,6
81,1,7
96,3,15
99,1,3
105,1,6
111,0,6
118,1,7
126,3,8
132,0,6
139,1,7
145,1,6
151,1,6
157,0,6
164,1,7
170,0,6
177,1,7
183,0,6
190,1,7
197,1,7
204,1,7
213,1,9
220,1,7
227,1,7
233,1,6
239,0,6
246,1,7
253,2,7
259,1,6
265,1,6
271,1,6
277,0,6
283,0,6
289,0,6
295,0,6
303,2,8
309,1,6
316,2,7
322,1,6
329,1,7
335,1,6
341,1,6
347,0,6
354,1,7
360,1,6
367,1,7
373,1,6
379,1,6
386,1,7
393,1,7
399,1,6
405,1,6
411,1,6
417,0,6
423,0,6
429,0,6
435,0,6
441,0,6
448,1,7
454,1,6
460,1,6
467,1,7
473,1,6
479,1,6
485,1,6
491,1,6
498,1,7
504,0,6
511,1,7
518,2,7
524,0,6
531,1,7
537,0,6
545,1,8
551,1,6
557,1,6
563,0,6
569,0,6
576,1,7
582,1,6
588,1,6
594,0,6
601,1,7
607,1,6
613,1,6
619,0,6
626,1,7
632,0,6
639,1,7
645,0,6
652,1,7
658,0,6
664,0,6
671,1,7
677,1,6
683,1,6
689,1,6
695,0,6
702,1,7
708,1,6
715,1,7
723,3,8
729,1,6
736,1,7
746,1,10
753,1,7
759,1,6
765,1,6
772,1,7
779,1,7
787,1,8
795,2,8
801,1,6
807,1,6
814,1,7
820,1,6
827,1,7
834,2,7
840,1,6
846,1,6
853,1,7
859,1,6
865,1,6
871,0,6
878,1,7
884,1,6
890,1,6
896,1,6
902,0,6
909,0,7
915,1,6
921,0,6
927,0,6
934,1,7
941,1,7
947,1,6
954,1,7
960,0,6
966,0,6
972,0,6
978,0,6
985,0,7
991,0,6
997,0,6
1003,0,6
1009,0,6
1016,1,7
1022,0,6
1031,0,9
1037,0,6
1043,0,6
1050,1,7
1056,1,6
1062,0,6
1068,0,6
1075,1,7
1081,1,6
1087,0,6
1093,0,6
1101,1,8
1107,1,6
1113,1,6
1119,1,6
1126,2,7
1132,0,6
1139,1,7
1145,1,6
1151,0,6
1158,1,7
1165,1,7
1171,1,6
1178,2,7
1184,0,6
1191,1,7
1197,1,6
1204,1,7
1212,3,8
1219,1,7
1227,1,8
1233,1,6
1241,1,8
1254,2,13
1260,1,6
1267,2,7
1274,1,7
1280,1,6
1287,1,7
1294,1,7
1300,1,6
1306,1,6
1312,1,6
1319,1,7
1325,0,6
1332,1,7
1338,1,6
1344,1,6
1350,0,6
1356,1,6
1362,0,6
1368,0,6
1375,1,7
1381,1,6
1387,1,6
1393,1,6
1400,1,7
1413,1,13
1419,1,6
1432,8,13
1438,1,6
1445,1,7
1451,1,6
1457,1,6
1466,4,9
1470,1,4
1475,0,5
1481,1,6
1487,1,6
1493,1,6
1499,1,6
