time (ms),latency (ms),consume (ms)
0,8,0
38,37,38
39,38,1
39,35,0
39,35,0
39,34,0
39,34,0
39,34,0
40,34,1
40,34,0
48,41,8
55,48,7
56,49,1
56,48,0
57,48,1
57,46,0
57,46,0
57,45,0
63,51,6
64,52,1
68,55,4
68,55,0
68,54,0
68,54,0
70,56,2
70,55,0
71,55,1
74,58,3
74,56,0
80,62,6
80,62,0
80,62,0
80,61,0
91,72,11
91,72,0
91,72,0
91,71,0
94,74,3
95,74,1
95,74,0
95,74,0
95,73,0
97,75,2
99,76,2
100,77,1
100,77,0
100,76,0
100,76,0
103,79,3
103,78,0
103,78,0
104,78,1
105,79,1
105,78,0
105,76,0
107,78,2
108,78,1
108,78,0
109,78,1
111,80,2
111,79,0
115,83,4
116,59,1
116,55,0
116,52,0
119,46,3
149,72,30
149,70,0
153,72,4
153,71,0
153,69,0
155,69,2
155,67,0
156,66,1
156,64,0
156,63,0
158,64,2
158,61,0
159,61,1
159,59,0
162,60,3
171,67,9
171,63,0
171,61,0
171,59,0
172,59,1
172,58,0
174,58,2
174,57,0
174,56,0
174,46,0
175,46,1
181,50,6
181,49,0
181,47,0
183,48,2
183,47,0
183,45,0
183,43,0
184,42,1
184,40,0
185,39,1
186,39,1
189,39,3
192,42,3
192,41,0
192,39,0
193,39,1
193,38,0
194,37,1
194,36,0
194,34,0
194,33,0
195,32,1
198,32,3
198,30,0
199,30,1
200,30,1
205,33,5
210,37,5
211,36,1
211,35,0
211,34,0
214,36,3
221,41,7
223,24,2
226,22,3
232,26,6
233,25,1
234,24,1
236,16,2
252,25,16
270,33,18
270,31,0
271,30,1
272,29,1
272,28,0
272,26,0
272,25,0
272,24,0
275,26,3
276,26,1
276,24,0
276,23,0
280,26,4
280,24,0
280,23,0
281,22,1
284,23,3
284,21,0
284,20,0
284,18,0
286,19,2
287,18,1
292,22,5
293,22,1
293,20,0
293,19,0
293,18,0
296,19,3
301,22,5
301,20,0
304,22,3
304,20,0
304,19,0
304,18,0
304,16,0
305,15,1
307,16,2
312,19,5
313,19,1
313,16,0
316,18,3
316,17,0
317,16,1
318,15,1
320,15,2
321,15,1
321,14,0
324,16,3
324,14,0
325,14,1
325,12,0
