time (ms),latency (ms),consume (ms)
0,14,0
0,8,0
0,7,0
0,6,0
1,6,1
6,8,5
6,5,0
7,5,1
7,4,0
7,3,0
17,12,10
17,11,0
17,9,0
17,9,0
17,6,0
18,6,1
18,5,0
19,5,1
24,9,5
26,8,2
26,7,0
26,6,0
26,6,0
27,6,1
27,6,0
27,5,0
27,5,0
28,4,1
28,3,0
28,1,0
30,1,2
35,1,5
36,1,1
37,1,1
38,1,1
38,0,0
40,0,2
41,1,1
42,0,1
44,1,2
45,1,1
46,1,1
46,0,0
47,0,1
48,0,1
50,2,2
51,1,1
55,3,4
56,1,1
57,1,1
58,1,1
59,1,1
59,0,0
60,1,1
61,1,1
63,1,2
64,1,1
65,1,1
66,1,1
67,1,1
71,0,4
73,1,2
74,1,1
76,1,2
76,0,0
77,1,1
78,1,1
78,0,0
79,1,1
80,1,1
80,0,0
81,1,1
83,1,2
83,0,0
84,0,1
85,1,1
85,0,0
86,0,1
87,1,1
88,1,1
91,0,3
93,2,2
94,1,1
96,2,2
97,0,1
104,7,7
105,7,1
105,7,0
105,6,0
105,6,0
105,3,0
105,3,0
105,2,0
105,1,0
107,0,2
109,1,2
109,0,0
110,0,1
111,1,1
112,1,1
113,1,1
113,0,0
114,1,1
115,1,1
115,0,0
118,1,3
119,1,1
119,0,0
120,1,1
121,1,1
121,0,0
123,2,2
124,0,1
125,0,1
126,1,1
127,1,1
127,0,0
128,1,1
133,1,5
134,1,1
134,0,0
135,1,1
136,1,1
137,1,1
137,0,0
139,0,2
140,1,1
141,1,1
142,1,1
142,0,0
143,1,1
144,1,1
147,0,3
148,1,1
148,0,0
149,0,1
150,1,1
150,0,0
151,1,1
152,1,1
152,0,0
153,1,1
154,1,1
155,0,1
159,0,4
160,1,1
171,11,11
172,11,1
172,11,0
172,10,0
172,9,0
172,9,0
172,9,0
172,8,0
172,7,0
172,7,0
172,6,0
173,7,1
173,7,0
173,6,0
173,6,0
173,5,0
173,5,0
173,5,0
173,4,0
173,4,0
173,3,0
173,3,0
176,1,3
177,1,1
177,0,0
178,1,1
178,0,0
179,0,1
180,1,1
180,0,0
181,0,1
182,1,1
182,0,0
183,1,1
188,1,5
189,1,1
189,0,0
190,0,1
191,1,1
192,1,1
195,2,3
196,1,1
199,2,3
200,1,1
201,1,1
203,0,2
204,0,1
207,0,3
208,1,1
209,1,1
209,0,0
212,1,3
212,0,0
213,1,1
214,1,1
214,0,0
215,1,1
216,1,1
216,0,0
217,1,1
219,0,2
220,1,1
220,0,0
221,1,1
222,1,1
223,0,1
224,1,1
224,0,0
225,1,1
225,0,0
227,1,2
227,0,0
229,1,2
229,0,0
230,1,1
231,0,1
235,3,4
236,1,1
236,0,0
239,0,3
240,1,1
241,1,1
241,0,0
242,1,1
242,0,0
243,0,1
244,1,1
244,0,0
245,1,1
245,0,0
247,2,2
248,1,1
248,0,0
249,1,1
249,0,0
250,1,1
251,1,1
254,1,3
255,0,1
256,1,1
257,1,1
257,0,0
258,1,1
258,0,0
260,1,2
262,1,2
262,0,0
263,0,1
268,1,5
272,1,4
272,0,0
273,0,1
274,1,1
274,0,0
275,1,1
276,1,1
276,0,0
277,1,1
278,1,1
278,0,0
279,0,1
280,0,1
281,1,1
282,1,1
283,1,1
284,1,1
287,0,3
288,0,1
289,1,1
289,0,0
291,0,2
292,1,1
292,0,0
293,1,1
294,1,1
294,0,0
295,1,1
296,1,1
296,0,0
297,1,1
297,0,0
299,0,2
300,1,1
300,0,0
301,1,1
302,1,1
302,0,0
303,1,1
303,0,0
304,1,1
304,0,0
305,0,1
