time (ms),latency (ms),consume (ms)
0,30,0
2,18,2
40,45,38
41,35,1
41,23,0
41,13,0
44,2,3
55,2,11
105,42,50
107,32,2
107,22,0
107,11,0
145,37,38
145,26,0
146,16,1
189,47,43
190,31,1
190,20,0
192,10,2
230,37,38
230,27,0
230,16,0
230,5,0
268,32,38
268,21,0
269,11,1
312,43,43
312,32,0
313,21,1
314,11,1
352,38,38
352,28,0
352,14,0
392,39,40
392,29,0
393,20,1
393,10,0
433,39,40
433,29,0
434,20,1
434,9,0
472,35,38
473,26,1
473,15,0
473,4,0
512,32,39
512,21,0
513,11,1
556,43,43
556,31,0
557,22,1
557,11,0
596,39,39
597,29,1
597,18,0
597,8,0
636,36,39
637,26,1
637,16,0
637,5,0
676,34,39
676,24,0
677,14,1
720,46,43
721,33,1
723,24,2
723,13,0
760,37,37
761,27,1
761,17,0
761,6,0
801,36,40
801,23,0
801,13,0
801,3,0
840,32,39
840,21,0
841,12,1
880,39,39
882,30,2
882,19,0
885,12,3
920,36,35
920,26,0
937,33,17
937,22,0
963,37,26
963,27,0
963,16,0
1012,55,49
1013,33,1
1013,22,0
1013,12,0
1052,39,39
1053,29,1
1053,18,0
1053,8,0
1092,36,39
1092,25,0
1093,16,1
1093,5,0
1132,33,39
1132,23,0
1132,12,0
1172,39,40
1172,29,0
1173,20,1
1173,10,0
1212,38,39
1212,27,0
1213,18,1
1213,8,0
1252,37,39
1252,26,0
1253,17,1
1253,6,0
1292,34,39
1292,24,0
1293,15,1
1293,5,0
1332,33,39
1332,22,0
1332,12,0
1373,40,41
1374,30,1
1374,13,0
1415,43,41
1415,33,0
1415,20,0
1452,47,37
1453,33,1
1459,27,6
1492,37,33
1493,28,1
1494,19,1
1495,10,1
1532,36,37
1533,27,1
1534,17,1
1535,7,1
1573,35,38
1573,25,0
1574,16,1
1574,5,0
1613,34,39
1613,24,0
1613,13,0
1652,39,39
1653,29,1
1653,19,0
1653,8,0
1692,37,39
1693,28,1
1693,17,0
1693,6,0
1732,35,39
1733,25,1
1733,14,0
1733,4,0
1772,33,39
1773,24,1
1773,13,0
1816,43,43
1817,30,1
1817,19,0
1817,9,0
1856,37,39
1857,27,1
1857,17,0
1857,6,0
1896,35,39
1897,25,1
1897,14,0
1897,4,0
1937,33,40
1937,23,0
1938,13,1
1980,42,42
1980,32,0
1981,22,1
1981,11,0
2020,39,39
2021,30,1
2021,20,0
2021,9,0
2060,37,39
2061,28,1
2061,17,0
2061,6,0
2100,33,39
2101,24,1
2101,14,0
2101,4,0
2140,32,39
2140,21,0
2141,11,1
2184,42,43
2185,33,1
2185,22,0
2185,11,0
2226,41,41
2226,30,0
2226,19,0
2226,9,0
2265,38,39
2265,28,0
2265,17,0
2265,7,0
2304,36,39
2305,26,1
2305,16,0
2305,6,0
2344,34,39
2344,23,0
2345,13,1
2384,39,39
2385,30,1
2385,19,0
2385,8,0
2425,38,40
2425,28,0
2425,17,0
2425,7,0
2464,36,39
2476,37,12
2477,28,1
2477,18,0
2504,34,27
2505,25,1
2505,15,0
2505,4,0
2545,34,40
2546,25,1
2546,14,0
2584,40,38
