time (ms),latency (ms),consume (ms)
0,20,0
1,10,1
1,9,0
8,14,7
9,10,1
9,8,0
9,6,0
11,7,2
12,7,1
24,15,12
25,13,1
25,11,0
25,10,0
30,13,5
31,6,1
31,4,0
31,2,0
33,1,2
37,3,4
41,2,4
42,1,1
44,1,2
45,1,1
47,1,2
49,2,2
50,1,1
52,1,2
53,1,1
55,1,2
58,1,3
59,1,1
67,2,8
68,1,1
70,1,2
71,1,1
72,1,1
73,0,1
75,1,2
77,2,2
81,1,4
82,1,1
83,0,1
85,1,2
86,1,1
88,1,2
92,4,4
94,2,2
103,7,9
105,1,2
107,1,2
109,1,2
113,1,4
117,1,4
119,1,2
121,2,2
123,1,2
125,2,2
130,1,5
132,1,2
134,2,2
135,1,1
142,1,7
144,1,2
149,2,5
151,2,2
152,1,1
154,2,2
156,2,2
157,1,1
159,1,2
161,1,2
163,1,2
166,1,3
170,1,4
174,1,4
176,2,2
177,1,1
178,1,1
180,1,2
181,1,1
185,1,4
190,1,5
192,1,2
194,2,2
197,2,3
198,1,1
200,1,2
202,2,2
205,1,3
207,2,2
210,2,3
214,1,4
218,1,4
220,1,2
222,2,2
224,2,2
225,1,1
227,1,2
235,2,8
236,1,1
238,1,2
240,1,2
242,1,2
246,1,4
248,1,2
249,1,1
251,1,2
253,2,2
255,2,2
258,1,3
262,1,4
264,1,2
266,2,2
267,1,1
270,1,3
272,2,2
274,1,2
285,2,11
290,2,5
292,2,2
294,1,2
296,2,2
302,2,6
306,2,4
308,2,2
310,2,2
311,1,1
313,1,2
318,1,5
320,1,2
322,2,2
326,1,4
328,1,2
330,2,2
331,1,1
333,1,2
338,1,5
340,1,2
342,2,2
346,1,4
348,1,2
350,2,2
351,1,1
353,1,2
356,2,3
357,1,1
361,2,4
366,2,5
367,1,1
369,2,2
372,1,3
374,1,2
376,2,2
377,1,1
379,1,2
380,1,1
384,2,4
386,2,2
387,1,1
389,2,2
390,1,1
394,1,4
396,1,2
398,2,2
399,1,1
401,2,2
403,2,2
406,2,3
412,6,6
417,2,5
422,1,5
424,1,2
426,2,2
427,1,1
429,2,2
434,1,5
436,1,2
438,2,2
442,1,4
444,1,2
445,1,1
447,1,2
449,2,2
450,1,1
452,1,2
454,2,2
456,1,2
463,2,7
464,1,1
466,1,2
470,1,4
472,1,2
473,1,1
475,1,2
476,1,1
483,2,7
484,1,1
490,1,6
492,1,2
494,2,2
495,1,1
497,1,2
499,2,2
500,1,1
502,1,2
503,1,1
505,1,2
510,1,5
512,1,2
514,1,2
518,1,4
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
525,2,2
526,1,1
527,1,1
528,1,1
535,2,7
536,1,1
546,6,10
550,2,4
551,1,1
553,2,2
554,1,1
556,2,2
557,1,1
559,1,2
560,1,1
566,1,6
568,1,2
570,1,2
572,2,2
573,1,1
577,3,4
579,2,2
580,1,1
582,2,2
584,2,2
586,1,2
591,2,5
595,3,4
597,1,2
598,1,1
600,1,2
601,1,1
602,1,1
605,3,3
610,1,5
613,1,3
615,1,2
616,1,1
617,1,1
619,1,2
622,1,3
623,1,1
625,1,2
626,1,1
634,2,8
636,1,2
637,1,1
639,1,2
641,2,2
642,1,1
646,1,4
648,2,2
649,1,1
651,2,2
652,1,1
654,2,2
655,1,1
657,2,2
662,2,5
663,1,1
666,1,3
667,1,1
669,1,2
670,1,1
674,1,4
676,2,2
677,1,1
678,1,1
679,1,1
679,0,0
680,0,1
681,0,1
682,0,1
683,1,1
685,0,2
686,0,1
687,0,1
688,1,1
689,1,1
690,1,1
691,1,1
694,1,3
695,1,1
696,1,1
700,4,4
701,1,1
702,1,1
703,1,1
712,2,9
713,1,1
714,1,1
715,1,1
716,1,1
717,1,1
720,1,3
721,1,1
722,1,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
738,1,10
742,1,4
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,0,1
755,5,6
756,1,1
761,4,5
770,1,9
772,1,2
773,0,1
774,0,1
775,0,1
776,1,1
777,0,1
779,1,2
781,0,2
782,0,1
783,0,1
784,0,1
785,1,1
786,1,1
789,1,3
790,1,1
791,1,1
792,1,1
793,1,1
802,2,9
803,1,1
804,1,1
805,1,1
806,1,1
806,0,0
808,1,2
809,1,1
810,1,1
811,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,1,1
817,1,1
818,1,1
819,1,1
820,1,1
821,1,1
822,1,1
826,1,4
826,0,0
827,0,1
828,0,1
829,1,1
831,1,2
832,1,1
838,1,6
842,1,4
843,1,1
844,1,1
845,1,1
848,3,3
851,3,3
852,1,1
854,1,2
855,1,1
856,1,1
862,1,6
863,1,1
865,2,2
866,1,1
866,0,0
868,1,2
870,1,2
871,1,1
873,0,2
874,0,1
875,1,1
876,1,1
877,1,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,1
885,1,3
886,0,1
887,1,1
889,0,2
891,1,2
892,1,1
893,1,1
894,1,1
898,1,4
902,1,4
903,1,1
904,1,1
906,2,2
907,1,1
908,1,1
909,1,1
914,2,5
915,1,1
917,1,2
918,1,1
926,1,8
928,1,2
929,1,1
931,2,2
932,1,1
933,1,1
935,1,2
936,1,1
938,2,2
942,1,4
944,2,2
945,1,1
946,1,1
947,1,1
949,2,2
950,1,1
951,1,1
953,2,2
957,1,4
958,1,1
960,2,2
961,1,1
964,2,3
965,1,1
967,2,2
