time (ms),latency (ms),consume (ms)
0,11,0
6,13,6
8,9,2
12,11,4
14,11,2
19,15,5
20,9,1
25,14,5
26,13,1
37,22,11
38,15,1
41,9,3
46,13,5
49,16,3
53,10,4
55,10,2
57,11,2
65,18,8
67,15,2
69,13,2
70,13,1
75,14,5
76,5,1
77,5,1
80,8,3
84,11,4
85,6,1
86,5,1
89,8,3
94,12,5
95,7,1
96,8,1
98,8,2
102,11,4
104,5,2
105,6,1
108,8,3
113,13,5
114,8,1
118,12,4
119,10,1
125,14,6
128,13,3
130,15,2
132,15,2
149,29,17
151,28,2
176,30,25
178,31,2
181,34,3
182,28,1
184,30,2
186,31,2
188,32,2
191,32,3
194,35,3
196,35,2
200,39,4
202,38,2
220,56,18
224,58,4
225,59,1
229,58,4
230,57,1
232,57,2
237,51,5
238,46,1
240,47,2
244,49,4
247,52,3
249,50,2
250,50,1
255,54,5
258,56,3
259,55,1
262,57,3
265,58,3
267,58,2
271,60,4
274,61,3
275,61,1
277,59,2
280,59,3
281,60,1
283,60,2
285,62,2
287,59,2
289,58,2
292,60,3
293,60,1
300,64,7
301,65,1
304,67,3
307,67,3
310,67,3
311,68,1
314,62,3
316,62,2
318,62,2
320,64,2
321,64,1
323,63,2
326,62,3
327,63,1
329,63,2
331,65,2
332,62,1
334,63,2
338,65,4
340,50,2
343,49,3
344,49,1
347,51,3
348,51,1
353,54,5
356,57,3
358,56,2
359,57,1
364,58,5
365,59,1
369,61,4
371,63,2
401,87,30
414,91,13
417,92,3
421,88,4
424,87,3
444,107,20
447,108,3
449,108,2
451,102,2
461,109,10
471,107,10
473,106,2
475,105,2
476,106,1
480,108,4
481,109,1
483,107,2
486,110,3
488,110,2
491,113,3
492,111,1
494,113,2
496,113,2
499,116,3
502,116,3
503,116,1
507,119,4
508,120,1
510,117,2
512,118,2
515,121,3
517,122,2
518,122,1
520,123,2
524,125,4
525,126,1
527,124,2
528,125,1
533,128,5
534,129,1
537,128,3
539,129,2
542,131,3
543,131,1
545,130,2
548,133,3
550,134,2
553,134,3
554,132,1
556,133,2
558,134,2
561,135,3
563,135,2
564,135,1
567,137,3
576,145,9
577,143,1
579,145,2
581,145,2
583,147,2
584,145,1
587,148,3
589,146,2
591,148,2
592,144,1
595,147,3
596,146,1
598,147,2
600,146,2
602,147,2
604,147,2
607,147,3
608,144,1
610,145,2
612,145,2
639,172,27
641,169,2
643,170,2
647,173,4
650,175,3
651,172,1
654,175,3
656,174,2
658,175,2
660,173,2
663,176,3
664,175,1
666,177,2
668,174,2
670,176,2
672,175,2
674,177,2
675,174,1
678,176,3
681,177,3
682,177,1
684,175,2
687,177,3
688,177,1
690,177,2
692,176,2
695,179,3
696,177,1
698,178,2
701,178,3
703,180,2
704,178,1
706,179,2
709,179,3
711,180,2
712,180,1
714,181,2
715,177,1
719,181,4
720,180,1
720,179,0
721,177,1
722,175,1
723,176,1
724,175,1
724,172,0
726,174,2
727,172,1
727,172,0
729,169,2
730,170,1
730,168,0
731,169,1
732,165,1
732,165,0
733,165,1
734,165,1
735,163,1
737,165,2
739,166,2
739,164,0
740,161,1
741,162,1
741,159,0
743,161,2
744,157,1
744,157,0
745,155,1
747,157,2
747,153,0
748,153,1
749,151,1
750,152,1
752,149,2
752,148,0
754,148,2
754,148,0
755,143,1
756,144,1
768,154,12
769,155,1
769,151,0
770,152,1
771,151,1
772,152,1
773,148,1
774,148,1
774,148,0
776,149,2
776,148,0
777,148,1
777,147,0
779,148,2
779,146,0
780,147,1
780,145,0
782,147,2
782,144,0
783,144,1
783,141,0
785,142,2
785,138,0
786,139,1
787,138,1
788,139,1
788,135,0
789,135,1
790,133,1
791,133,1
792,130,1
793,131,1
794,129,1
795,130,1
796,126,1
797,127,1
797,124,0
798,125,1
799,121,1
801,123,2
801,121,0
802,122,1
803,117,1
803,117,0
805,116,2
805,115,0
807,113,2
808,114,1
808,111,0
809,111,1
810,108,1
811,109,1
812,107,1
813,107,1
814,104,1
815,105,1
815,102,0
816,102,1
817,99,1
819,101,2
819,98,0
820,99,1
821,98,1
821,96,0
823,98,2
823,98,0
825,97,2
826,98,1
826,98,0
827,99,1
828,97,1
829,98,1
830,97,1
831,98,1
832,98,1
832,98,0
833,98,1
834,98,1
849,111,15
849,111,0
850,112,1
853,115,3
854,114,1
855,114,1
856,114,1
857,115,1
858,115,1
858,113,0
860,115,2
860,114,0
862,115,2
863,116,1
864,116,1
864,116,0
865,114,1
866,115,1
868,117,2
868,117,0
869,116,1
870,117,1
871,118,1
871,118,0
872,115,1
874,117,2
874,116,0
875,117,1
876,117,1
877,117,1
879,119,2
885,125,6
887,126,2
889,128,2
889,128,0
892,131,3
892,129,0
893,130,1
894,128,1
903,137,9
905,118,2
906,117,1
906,117,0
907,118,1
909,118,2
910,118,1
910,118,0
911,119,1
912,118,1
913,119,1
914,119,1
914,119,0
915,118,1
916,119,1
917,120,1
918,119,1
919,119,1
920,120,1
921,121,1
922,122,1
923,121,1
924,121,1
924,120,0
925,121,1
926,120,1
927,121,1
928,122,1
930,123,2
930,121,0
932,123,2
932,122,0
933,123,1
935,124,2
936,124,1
936,123,0
937,124,1
950,135,13
953,138,3
955,139,2
955,138,0
957,139,2
957,139,0
958,140,1
959,141,1
959,138,0
961,140,2
961,139,0
963,141,2
963,139,0
964,140,1
965,141,1
965,141,0
967,140,2
968,141,1
969,141,1
970,142,1
970,140,0
971,141,1
972,142,1
973,142,1
975,142,2
975,142,0
976,143,1
977,143,1
978,143,1
979,143,1
980,144,1
981,145,1
982,144,1
982,144,0
983,145,1
984,146,1
985,145,1
986,146,1
988,148,2
988,148,0
989,147,1
990,148,1
991,149,1
992,150,1
993,149,1
994,150,1
994,150,0
995,150,1
996,151,1
997,151,1
998,152,1
999,153,1
999,151,0
1000,152,1
1001,150,1
1002,151,1
1003,151,1
1004,152,1
1005,153,1
1006,154,1
1006,151,0
1008,153,2
1008,153,0
1009,154,1
1010,153,1
1012,154,2
1012,154,0
1013,154,1
1014,153,1
1014,153,0
1016,155,2
1017,156,1
1017,154,0
1018,155,1
1019,156,1
1021,156,2
1021,155,0
1023,156,2
1037,170,14
1040,173,3
1040,171,0
1041,172,1
1042,172,1
1044,174,2
1044,171,0
1046,173,2
1046,173,0
1047,174,1
1048,173,1
1049,173,1
1049,172,0
1050,173,1
1051,173,1
1052,173,1
1053,174,1
1053,174,0
1055,175,2
1055,174,0
1056,175,1
1057,176,1
1058,175,1
1059,176,1
1059,176,0
1061,178,2
1061,176,0
1063,178,2
1063,178,0
1064,178,1
1065,178,1
1066,178,1
1066,178,0
1067,179,1
1068,178,1
1070,180,2
1070,180,0
1071,181,1
1072,179,1
1072,179,0
1074,180,2
1074,180,0
1076,180,2
1077,181,1
1077,181,0
1078,181,1
1079,181,1
1080,182,1
1081,183,1
1082,184,1
1083,183,1
1084,184,1
1085,184,1
1085,184,0
1086,184,1
1087,185,1
1088,186,1
1089,187,1
1090,186,1
1091,187,1
1092,187,1
1093,188,1
1094,186,1
1095,187,1
1096,188,1
1097,189,1
1098,187,1
1098,187,0
1099,187,1
1100,188,1
1101,188,1
1102,189,1
1103,189,1
1104,189,1
1105,189,1
1106,190,1
1107,189,1
1107,189,0
1119,200,12
1120,201,1
1121,201,1
1123,202,2
1123,201,0
1124,201,1
1124,201,0
1126,203,2
1127,202,1
1127,202,0
1128,202,1
1129,202,1
1130,202,1
1131,203,1
1131,202,0
1132,203,1
1133,202,1
1135,204,2
1135,204,0
1136,205,1
1137,203,1
1137,203,0
1139,205,2
1139,205,0
1141,204,2
1142,205,1
1142,204,0
1143,205,1
1144,205,1
1144,205,0
1145,206,1
1147,208,2
1148,205,1
1148,205,0
1150,207,2
1152,208,2
1152,208,0
1153,209,1
1154,209,1
1154,209,0
1155,210,1
1156,210,1
1158,212,2
1158,212,0
1159,210,1
1159,210,0
1160,211,1
1162,213,2
1163,212,1
1163,212,0
1164,213,1
1165,214,1
1166,213,1
1166,212,0
1168,214,2
1168,214,0
1169,213,1
1170,214,1
1171,215,1
1172,216,1
1172,214,0
1173,214,1
1174,214,1
1175,215,1
1177,215,2
1177,215,0
1178,216,1
1179,217,1
1179,215,0
1181,216,2
1181,215,0
1183,217,2
1183,216,0
1184,216,1
1185,217,1
1185,217,0
1187,216,2
1187,216,0
1201,229,14
1202,229,1
1204,230,2
1204,230,0
1205,231,1
1206,232,1
1206,230,0
1208,231,2
1209,231,1
1209,231,0
1210,230,1
1211,231,1
1213,232,2
1213,232,0
1214,231,1
1215,232,1
1215,231,0
1217,233,2
1218,232,1
1218,231,0
1219,232,1
1220,233,1
1221,232,1
1222,233,1
1223,233,1
1223,233,0
1225,233,2
1225,233,0
1227,235,2
1228,235,1
1228,233,0
1229,234,1
1230,234,1
1231,235,1
1233,236,2
1233,235,0
1235,237,2
1236,236,1
1236,235,0
1237,236,1
1238,236,1
1239,237,1
1240,236,1
1240,236,0
1241,236,1
1242,237,1
1243,236,1
1243,236,0
1244,237,1
1245,236,1
1247,237,2
1247,236,0
1248,237,1
1249,238,1
1249,236,0
1251,238,2
1252,237,1
1252,237,0
1254,238,2
1254,238,0
1256,240,2
1256,238,0
1257,238,1
1258,238,1
1259,239,1
1259,239,0
1260,238,1
1261,239,1
1263,241,2
1263,241,0
1265,241,2
1266,242,1
1266,242,0
1267,242,1
1268,242,1
1268,242,0
1269,242,1
1271,244,2
1280,252,9
1282,253,2
1283,254,1
1284,255,1
1285,254,1
1286,255,1
1286,255,0
1287,256,1
1289,257,2
1290,258,1
1290,258,0
1291,258,1
1292,258,1
1292,258,0
1293,258,1
1295,260,2
1297,261,2
1298,262,1
1298,262,0
1299,261,1
1300,261,1
1301,262,1
1302,263,1
1303,264,1
1304,262,1
1305,263,1
1307,265,2
1307,264,0
1308,263,1
1308,263,0
1309,264,1
1310,265,1
1311,263,1
1312,264,1
1312,262,0
1314,264,2
1314,262,0
1316,263,2
1317,264,1
1317,263,0
1318,262,1
1319,263,1
1319,262,0
1321,264,2
1322,264,1
1323,264,1
1323,263,0
1324,264,1
1326,264,2
1326,264,0
1328,266,2
1328,266,0
1329,264,1
1330,265,1
1331,266,1
1332,266,1
1333,265,1
1334,265,1
1335,266,1
1336,267,1
1337,266,1
1338,266,1
1340,267,2
1340,267,0
1341,266,1
1342,267,1
1342,267,0
1343,268,1
1344,266,1
1345,267,1
1346,267,1
1347,268,1
1348,267,1
1349,268,1
1350,268,1
1351,269,1
1352,268,1
1353,269,1
1366,282,13
1366,280,0
1367,280,1
1368,281,1
1369,282,1
1370,281,1
