time (ms),latency (ms),consume (ms)
0,13,0
5,4,5
15,3,10
28,5,13
36,3,8
46,2,10
57,2,11
67,1,10
78,2,11
88,1,10
99,2,11
109,1,10
121,2,12
132,2,11
143,2,11
154,2,11
164,1,10
176,3,12
187,3,11
197,2,10
208,2,11
219,2,11
234,6,15
241,2,7
251,2,10
262,2,11
273,2,11
284,2,11
294,2,10
306,3,12
316,2,10
328,3,12
338,2,10
349,2,11
361,3,12
370,1,9
381,2,11
393,3,12
404,3,11
414,2,10
424,2,10
435,2,11
445,2,10
456,2,11
466,1,10
477,2,11
487,1,10
498,2,11
509,2,11
520,2,11
531,2,11
542,2,11
552,2,10
562,1,10
573,2,11
584,2,11
594,2,10
609,6,15
616,2,7
627,2,11
637,2,10
648,2,11
660,3,12
670,2,10
680,2,10
691,2,11
701,1,10
712,2,11
722,1,10
733,2,11
743,1,10
754,2,11
764,1,10
775,2,11
785,1,10
796,2,11
807,2,11
817,2,10
831,5,14
838,1,7
849,2,11
859,1,10
870,2,11
881,2,11
891,2,10
901,1,10
912,1,11
924,2,12
934,1,10
945,2,11
955,1,10
965,1,10
976,1,11
988,3,12
999,2,11
1011,2,12
1022,2,11
1032,1,10
1043,2,11
1053,1,10
1064,2,11
1074,1,10
1085,1,11
1095,1,10
1106,2,11
1116,1,10
1127,1,11
1137,1,10
1148,1,11
1159,2,11
1172,4,13
1183,5,11
1195,3,12
1206,1,11
1218,2,12
1230,2,12
1240,2,10
1250,1,10
1261,2,11
1271,1,10
1282,2,11
1292,1,10
1303,2,11
1313,1,10
1324,1,11
1335,2,11
1345,1,10
1356,2,11
1366,1,10
1377,2,11
1387,1,10
1398,2,11
1408,2,10
1418,1,10
1429,2,11
1439,1,10
1450,2,11
1460,1,10
1471,2,11
1481,1,10
1492,2,11
1502,1,10
1512,1,10
1523,2,11
1533,1,10
1544,2,11
1555,2,11
1565,2,10
1575,1,10
1586,2,11
1596,1,10
1607,2,11
1617,1,10
1627,1,10
1638,2,11
1649,2,11
1659,2,10
1669,1,10
1680,2,11
1690,1,10
1701,2,11
1711,1,10
1721,1,10
1732,1,11
1742,1,10
1753,1,11
1763,1,10
1774,2,11
1784,1,10
