time (ms),latency (ms),consume (ms)
0,6,0
12,2,12
25,3,13
35,1,10
47,2,12
58,1,11
69,1,11
80,0,11
92,2,12
103,1,11
115,1,12
127,1,12
138,1,11
152,4,14
164,1,12
175,1,11
187,2,12
199,1,12
212,3,13
224,1,12
236,1,12
247,1,11
258,1,11
270,1,12
281,1,11
293,1,12
305,1,12
317,1,12
330,2,13
343,1,13
355,2,12
370,2,15
381,1,11
394,2,13
406,2,12
418,2,12
430,1,12
443,2,13
455,2,12
468,2,13
480,2,12
492,2,12
503,1,11
515,2,12
526,1,11
538,2,12
550,1,12
562,2,12
577,1,15
607,17,30
608,8,1
612,1,4
624,1,12
635,1,11
647,2,12
659,2,12
670,1,11
682,1,12
694,1,12
706,2,12
718,1,12
730,1,12
742,1,12
755,1,13
768,1,13
782,2,14
793,1,11
805,1,12
817,1,12
829,2,12
840,1,11
852,2,12
864,1,12
875,1,11
887,1,12
899,2,12
910,1,11
923,2,13
934,1,11
948,3,14
960,1,12
973,2,13
987,3,14
1001,4,14
1015,2,14
1028,1,13
1040,1,12
1052,2,12
1065,1,13
1077,1,12
1089,2,12
1100,1,11
1112,1,12
1123,1,11
1136,2,13
1149,2,13
1161,1,12
1172,1,11
1184,1,12
1196,1,12
1207,1,11
1218,1,11
1230,1,12
1241,1,11
1253,1,12
1264,1,11
1276,1,12
1288,1,12
1299,1,11
1311,1,12
1322,1,11
1335,3,13
1349,1,14
1360,1,11
1372,1,12
1384,1,12
1396,2,12
1408,1,12
1420,2,12
1432,1,12
1443,0,11
1455,1,12
1467,1,12
1480,1,13
1492,1,12
1504,1,12
1517,1,13
1528,1,11
1539,1,11
1551,1,12
1562,1,11
1574,1,12
1586,2,12
1597,1,11
1609,2,12
1620,1,11
1632,1,12
1643,1,11
1655,1,12
1666,1,11
1678,1,12
1690,2,12
1702,2,12
1715,3,13
1727,2,12
1738,1,11
1751,3,13
1763,2,12
1774,1,11
1786,1,12
1798,2,12
1811,2,13
1823,1,12
1835,1,12
1847,1,12
1859,1,12
1871,1,12
1883,1,12
1898,2,15
1909,1,11
1921,1,12
1933,1,12
1944,1,11
1956,1,12
1967,1,11
1978,1,11
1990,1,12
2001,1,11
2014,3,13
2025,1,11
2036,1,11
2049,2,13
2060,1,11
2072,1,12
2084,1,12
2095,1,11
2106,1,11
2117,1,11
2128,1,11
2139,1,11
2150,1,11
2162,2,12
2173,1,11
2185,1,12
2196,1,11
2207,1,11
2219,2,12
2231,1,12
2243,1,12
2255,1,12
2266,1,11
2284,2,18
2296,1,12
2308,1,12
2319,1,11
2330,1,11
2342,1,12
2353,1,11
2364,1,11
2376,1,12
2387,1,11
2399,1,12
2410,1,11
2421,1,11
2433,1,12
2444,1,11
2455,1,11
2466,1,11
2478,1,12
2489,1,11
2500,1,11
2512,1,12
2523,1,11
2534,1,11
2546,1,12
2557,1,11
2569,1,12
2587,8,18
2595,1,8
2606,1,11
2617,1,11
2628,1,11
2643,5,15
2654,1,11
2666,2,12
2677,1,11
2688,1,11
2700,2,12
2711,1,11
2722,1,11
2734,2,12
2745,1,11
2756,1,11
2768,1,12
2780,2,12
2791,1,11
2805,4,14
2817,2,12
2828,1,11
2840,1,12
2851,1,11
2863,1,12
2876,2,13
2890,3,14
2902,1,12
2914,2,12
2925,1,11
2938,1,13
2949,1,11
2966,2,17
2978,2,12
2990,2,12
3002,2,12
3015,1,13
3027,1,12
3042,3,15
3054,1,12
3066,2,12
3077,1,11
3089,1,12
3100,1,11
3112,1,12
3123,1,11
3134,1,11
3146,1,12
3157,1,11
3168,1,11
3183,4,15
3196,1,13
3207,1,11
3219,1,12
3230,1,11
3242,1,12
3253,1,11
3265,1,12
3276,1,11
3288,2,12
3299,1,11
3310,1,11
3321,1,11
3332,1,11
3343,1,11
3354,1,11
3366,1,12
3377,1,11
3388,1,11
3399,1,11
3411,1,12
3422,1,11
3433,1,11
3444,1,11
3455,0,11
3467,1,12
3478,1,11
3490,1,12
3502,2,12
3514,2,12
3528,1,14
3540,1,12
3551,1,11
3564,3,13
3575,1,11
3587,1,12
3598,1,11
3609,1,11
3620,0,11
3632,1,12
3643,1,11
3654,1,11
3665,1,11
3677,2,12
3688,1,11
3699,1,11
3710,1,11
3721,1,11
3732,1,11
3744,1,12
3755,1,11
3766,1,11
3780,2,14
3793,1,13
3804,1,11
3815,1,11
3826,0,11
3842,5,16
3853,1,11
3864,1,11
3876,1,12
3890,4,14
3902,1,12
3913,1,11
3925,1,12
3936,1,11
3951,1,15
3961,1,10
3971,0,10
3982,1,11
3992,1,10
4003,1,11
4013,1,10
4023,1,10
4033,0,10
4044,1,11
4054,1,10
4065,1,11
4075,1,10
4085,0,10
4096,1,11
4107,1,11
4117,1,10
4128,1,11
4139,1,11
4150,1,11
4161,0,11
4173,1,12
4184,1,11
4195,1,11
4206,1,11
4217,1,11
4229,1,12
4240,1,11
4251,1,11
4262,1,11
4274,1,12
4285,1,11
4296,1,11
4307,1,11
4319,1,12
4330,1,11
4341,1,11
4354,2,13
4365,1,11
4376,1,11
4388,1,12
4399,1,11
4410,1,11
4422,2,12
4438,3,16
4452,4,14
4463,1,11
4477,1,14
4488,1,11
4500,1,12
4530,9,30
4546,2,16
4557,1,11
4568,1,11
4579,0,11
4591,2,12
4603,1,12
4614,1,11
4625,1,11
4636,1,11
4647,1,11
4658,1,11
4669,1,11
4680,1,11
4692,1,12
4703,1,11
4714,1,11
4725,1,11
4737,1,12
4748,1,11
4759,1,11
4771,1,12
4782,1,11
4793,1,11
4805,1,12
4816,1,11
4827,1,11
4838,1,11
4850,1,12
4861,1,11
4873,1,12
4884,1,11
4895,1,11
4906,1,11
4917,1,11
4929,1,12
4940,1,11
4951,1,11
4963,1,12
4974,1,11
4987,1,13
4998,1,11
5009,1,11
5021,1,12
5032,1,11
5043,1,11
5054,1,11
5065,0,11
5077,1,12
5088,1,11
5099,1,11
5110,1,11
5121,1,11
5133,1,12
5144,1,11
5155,1,11
5167,2,12
5178,1,11
5189,1,11
5200,1,11
5212,1,12
5223,1,11
5234,1,11
5246,1,12
5257,1,11
5268,1,11
5279,1,11
5291,1,12
5302,1,11
5313,1,11
5324,1,11
5336,1,12
5347,1,11
5358,1,11
5369,1,11
5381,1,12
5392,1,11
5403,1,11
5415,1,12
5426,1,11
5437,1,11
5448,1,11
5460,1,12
5471,1,11
5483,2,12
5494,1,11
