time (ms),latency (ms),consume (ms)
0,7,0
37,30,37
37,19,0
37,8,0
41,2,4
51,1,10
62,1,11
73,1,11
83,1,10
93,1,10
103,1,10
114,2,11
124,1,10
135,2,11
146,2,11
157,1,11
168,2,11
178,1,10
190,3,12
200,1,10
211,2,11
221,1,10
233,3,12
242,1,9
254,2,12
265,2,11
275,1,10
288,3,13
297,1,9
308,1,11
318,1,10
329,1,11
340,2,11
350,1,10
361,2,11
371,1,10
382,1,11
393,2,11
404,2,11
414,1,10
425,1,11
436,1,11
447,2,11
457,1,10
467,1,10
478,1,11
489,2,11
499,1,10
510,2,11
520,1,10
531,1,11
541,1,10
552,1,11
565,4,13
575,2,10
584,1,9
595,2,11
605,1,10
616,1,11
626,1,10
637,1,11
650,3,13
660,3,10
670,2,10
680,1,10
692,2,12
703,2,11
713,1,10
724,2,11
734,1,10
745,2,11
755,1,10
766,1,11
777,2,11
788,3,11
797,2,9
808,2,11
819,2,11
829,1,10
840,2,11
850,1,10
864,4,14
873,2,9
884,1,11
895,2,11
906,2,11
916,2,10
926,1,10
936,1,10
949,4,13
959,1,10
970,2,11
980,1,10
991,2,11
1001,1,10
1012,1,11
1022,1,10
1033,1,11
1043,1,10
1053,1,10
1063,1,10
1073,1,10
1083,1,10
1093,1,10
1103,1,10
1114,1,11
1125,2,11
1135,1,10
1146,2,11
1156,1,10
1167,2,11
1177,1,10
1187,1,10
1198,1,11
1208,1,10
1219,1,11
1229,1,10
1240,1,11
1251,2,11
1261,1,10
1273,3,12
1282,1,9
1293,1,11
1303,1,10
1317,4,14
1330,3,13
1338,1,8
1350,3,12
1361,2,11
1382,12,21
1393,4,11
1408,7,15
1416,1,8
1427,1,11
1437,1,10
1448,1,11
1458,1,10
1469,1,11
1479,1,10
1490,1,11
1500,1,10
1511,1,11
1521,1,10
1532,1,11
1542,1,10
1581,30,39
1582,21,1
1582,10,0
1621,38,39
1621,28,0
1621,17,0
1621,7,0
1661,37,40
1661,27,0
1661,17,0
1661,7,0
1701,37,40
1701,27,0
1701,15,0
1702,5,1
1741,34,39
1741,23,0
1741,13,0
1741,2,0
1781,32,40
1781,21,0
1781,11,0
1782,1,1
1793,1,11
1833,31,40
1833,20,0
1833,10,0
1874,40,41
1874,30,0
1874,19,0
1874,9,0
1913,37,39
1913,27,0
1913,16,0
1913,6,0
1953,35,40
1953,25,0
1953,14,0
1964,14,11
1994,33,30
1994,23,0
1994,12,0
1994,1,0
2005,2,11
2042,29,37
2042,18,0
2042,7,0
2082,37,40
2082,27,0
2082,15,0
2082,5,0
2121,33,39
2122,24,1
2122,13,0
2123,1,1
2133,1,10
2174,32,41
2174,22,0
2174,11,0
2213,39,39
2214,30,1
2214,20,0
2214,9,0
2253,37,39
2253,27,0
2253,16,0
2253,6,0
2293,35,40
2293,25,0
2293,14,0
2293,4,0
2333,34,40
2333,24,0
2333,14,0
2333,4,0
2373,34,40
2373,24,0
2373,14,0
2373,4,0
2413,34,40
2413,24,0
2413,14,0
2413,4,0
2453,33,40
2453,23,0
2453,13,0
2453,3,0
2493,33,40
2493,23,0
2493,13,0
2493,3,0
2533,33,40
2533,23,0
2533,13,0
2533,3,0
2573,33,40
2573,23,0
2573,13,0
2573,3,0
2613,32,40
2613,22,0
2613,11,0
2614,1,1
2625,1,11
2666,32,41
2666,21,0
2666,11,0
2706,40,40
2706,30,0
2706,20,0
2706,9,0
2745,37,39
2745,27,0
2745,16,0
2745,6,0
2785,35,40
2785,25,0
2785,14,0
2786,5,1
2825,34,39
2825,24,0
2825,13,0
2825,3,0
2865,32,40
2865,22,0
2865,11,0
2866,1,1
2877,1,11
2917,30,40
2917,20,0
2917,10,0
2957,40,40
2957,29,0
2957,18,0
2957,8,0
2997,38,40
2997,28,0
2997,17,0
2998,8,1
3037,36,39
3037,26,0
3037,15,0
3037,4,0
3077,34,40
3077,24,0
3077,14,0
3077,3,0
3117,33,40
3117,22,0
3117,12,0
3119,2,2
3129,1,10
3169,31,40
3169,20,0
3169,10,0
3209,38,40
3209,28,0
3209,17,0
3209,7,0
3249,36,40
3249,25,0
3249,15,0
3249,4,0
3289,34,40
3289,23,0
3290,13,1
3291,4,1
3301,1,10
3341,30,40
3341,20,0
3341,9,0
3381,39,40
3381,28,0
3381,18,0
3381,8,0
3421,38,40
3421,27,0
3421,17,0
3421,7,0
3461,37,40
3461,26,0
3461,16,0
3461,5,0
3501,34,40
3501,24,0
3501,13,0
3501,3,0
3541,32,40
3541,22,0
3541,9,0
3544,2,3
3554,1,10
3593,29,39
3593,19,0
3593,8,0
3633,38,40
3633,27,0
3633,17,0
3634,7,1
3673,35,39
3673,25,0
3674,16,1
3674,6,0
3713,35,39
3713,24,0
3713,14,0
3713,3,0
3753,33,40
3753,23,0
3754,13,1
3754,2,0
3763,1,9
3801,29,38
3801,19,0
3802,9,1
3841,38,39
3841,27,0
3841,16,0
3842,7,1
3881,35,39
3881,25,0
3881,14,0
3881,4,0
3922,35,41
3922,24,0
3922,13,0
3922,3,0
3961,32,39
3961,21,0
3961,11,0
3962,1,1
3973,2,11
4013,31,40
4013,20,0
4013,10,0
4053,39,40
4053,29,0
4053,18,0
4053,8,0
4093,37,40
4094,28,1
4094,17,0
4094,5,0
4133,33,39
4133,23,0
4133,12,0
4135,4,2
4145,2,10
4191,36,46
4191,12,0
4225,36,34
4225,26,0
4225,16,0
4225,5,0
4265,35,40
4265,24,0
4265,14,0
4265,3,0
4306,34,41
4306,23,0
4306,13,0
4306,1,0
4317,1,11
4357,31,40
4357,21,0
4357,11,0
4397,40,40
4397,29,0
4397,19,0
4397,8,0
4437,38,40
4437,27,0
4437,17,0
4437,6,0
4477,36,40
4477,25,0
4477,15,0
4477,4,0
4517,34,40
4517,24,0
4517,13,0
4517,3,0
4557,32,40
4557,22,0
4557,11,0
4558,1,1
4568,1,10
4609,31,41
4609,21,0
4609,10,0
4649,40,40
4649,30,0
4649,20,0
4649,9,0
4689,39,40
4689,28,0
4689,18,0
4689,7,0
4729,37,40
4729,26,0
4729,16,0
4729,5,0
4769,35,40
4769,24,0
4769,14,0
4769,3,0
4809,33,40
4809,22,0
4809,12,0
4810,1,1
4835,16,25
4861,31,26
4861,21,0
4861,10,0
4901,40,40
4901,29,0
4901,19,0
4902,9,1
4941,38,39
4941,27,0
4941,17,0
4941,6,0
4981,35,40
4981,25,0
4981,15,0
4982,6,1
5021,35,39
5021,25,0
5021,14,0
5021,4,0
5061,33,40
5061,23,0
5061,12,0
5063,1,2
5073,1,10
5114,31,41
5114,21,0
5114,4,0
5153,33,39
5153,23,0
5153,12,0
5193,39,40
5193,29,0
5196,21,3
5196,11,0
5233,37,37
5233,26,0
5233,16,0
5234,7,1
5274,37,40
5274,26,0
5274,16,0
5274,6,0
5313,35,39
5314,26,1
5314,16,0
5314,5,0
5353,29,39
5353,19,0
5353,9,0
5355,1,2
5365,1,10
5405,31,40
5405,20,0
5405,10,0
5445,39,40
5445,29,0
5445,18,0
5446,9,1
5485,37,39
5486,28,1
5486,17,0
5486,7,0
5525,35,39
5526,26,1
5526,15,0
5526,5,0
5565,33,39
5566,24,1
5566,13,0
5568,1,2
5578,1,10
5617,29,39
5617,19,0
5618,9,1
5657,38,39
5658,29,1
5658,19,0
5658,8,0
5697,37,39
5698,27,1
5698,17,0
5698,6,0
5737,34,39
5738,25,1
5738,14,0
5738,4,0
5777,32,39
5778,23,1
5778,12,0
5779,1,1
5789,1,10
5829,30,40
5829,20,0
5829,9,0
5869,39,40
5870,30,1
5870,20,0
5870,9,0
5910,39,40
5910,29,0
5910,19,0
5910,8,0
5949,37,39
5949,26,0
5949,16,0
5949,5,0
5989,35,40
5989,24,0
5989,14,0
5989,3,0
6029,33,40
6029,22,0
6029,12,0
6030,1,1
6040,1,10
6081,31,41
6081,21,0
6081,10,0
6121,40,40
6121,30,0
6121,20,0
6121,9,0
6161,39,40
6161,28,0
6161,18,0
6161,7,0
6201,37,40
6201,27,0
6201,16,0
6201,6,0
6241,35,40
6241,25,0
6241,14,0
6241,4,0
6281,33,40
6281,23,0
6281,12,0
6282,3,1
6292,1,10
6333,31,41
6333,21,0
6333,10,0
6373,40,40
6373,29,0
6373,19,0
6373,8,0
6413,38,40
6413,28,0
6413,18,0
6413,8,0
6453,38,40
6453,28,0
6453,18,0
6453,8,0
6493,38,40
6493,28,0
6493,18,0
6493,7,0
6533,37,40
6533,26,0
6533,16,0
6533,5,0
6573,35,40
6573,24,0
6573,14,0
6573,3,0
6613,33,40
6613,22,0
6613,12,0
6614,1,1
6625,1,11
6665,31,40
6665,21,0
6665,10,0
6705,40,40
6705,29,0
6705,19,0
6705,8,0
6745,38,40
6745,27,0
6745,17,0
6745,6,0
6785,36,40
6785,25,0
6786,16,1
6786,5,0
6825,33,39
6825,23,0
6825,12,0
6825,2,0
6865,31,40
6865,21,0
6865,10,0
6867,2,2
6877,1,10
6917,31,40
6917,20,0
6917,10,0
6957,40,40
6957,29,0
6957,19,0
6957,8,0
6997,38,40
6997,27,0
6997,16,0
6997,6,0
7037,35,40
7037,25,0
7037,14,0
7037,4,0
7077,33,40
7077,23,0
7077,13,0
7077,3,0
7117,33,40
7117,23,0
7117,13,0
7117,3,0
7157,33,40
7157,23,0
7157,12,0
7158,3,1
7168,1,10
7205,27,37
7205,17,0
7205,6,0
7245,36,40
7245,25,0
7245,15,0
7245,5,0
7285,35,40
7285,25,0
7285,15,0
7285,5,0
7325,35,40
7325,24,0
7325,14,0
7325,3,0
7365,33,40
7365,22,0
7365,12,0
7366,1,1
7376,1,10
7417,31,41
7417,21,0
7417,10,0
7457,40,40
7457,29,0
7457,19,0
7457,8,0
7497,38,40
7497,27,0
7497,17,0
7497,6,0
7537,36,40
7537,25,0
7537,15,0
7537,4,0
7577,34,40
7578,24,1
7578,13,0
7579,4,1
7587,1,8
7625,29,38
7625,18,0
7625,8,0
7665,37,40
7665,27,0
7665,16,0
7665,6,0
7705,35,40
7705,25,0
7705,14,0
7705,3,0
7745,33,40
7745,22,0
7745,12,0
7746,3,1
7785,32,39
7785,22,0
7785,12,0
7786,1,1
7796,1,10
7837,31,41
7837,21,0
7837,10,0
7877,40,40
7878,31,1
7878,21,0
7878,10,0
7917,39,39
7917,28,0
7917,18,0
7917,7,0
7957,37,40
7957,26,0
7957,16,0
7958,6,1
7997,34,39
7997,24,0
7997,13,0
7997,3,0
8037,32,40
8037,22,0
8037,11,0
8038,1,1
8049,1,11
8089,31,40
8089,21,0
8089,10,0
8129,40,40
8129,29,0
8129,19,0
8129,8,0
8169,38,40
8169,27,0
8169,16,0
8169,6,0
8209,35,40
8209,25,0
8209,15,0
8209,5,0
8249,35,40
8249,25,0
8249,14,0
8249,4,0
8289,33,40
8289,23,0
8289,12,0
8290,3,1
8301,2,11
8341,31,40
8341,21,0
8341,10,0
8381,40,40
8381,30,0
8381,20,0
8381,10,0
8421,40,40
8421,29,0
8421,19,0
8422,9,1
8461,38,39
8461,27,0
8461,16,0
8461,6,0
8501,35,40
8501,25,0
8501,14,0
8501,4,0
8541,33,40
8541,23,0
8541,12,0
8542,1,1
8553,2,11
8593,31,40
8593,21,0
8593,10,0
8633,40,40
8633,29,0
8633,19,0
8633,8,0
8673,37,40
8673,27,0
8673,16,0
8673,6,0
8713,35,40
8713,25,0
8713,15,0
8713,5,0
8753,35,40
8753,25,0
8753,14,0
8753,4,0
8793,33,40
8793,23,0
8793,13,0
8793,3,0
8833,32,40
8833,22,0
8833,11,0
8835,1,2
8845,1,10
8885,30,40
8885,20,0
8885,10,0
8925,40,40
8925,29,0
8925,18,0
8926,9,1
8966,38,40
8966,28,0
8966,17,0
8966,7,0
9005,35,39
9005,25,0
9005,14,0
9005,4,0
9045,33,40
9045,23,0
9045,13,0
9045,3,0
9085,33,40
9085,23,0
9085,13,0
9085,3,0
9125,32,40
9125,22,0
9125,11,0
9126,1,1
9137,2,11
9177,31,40
9177,20,0
9177,9,0
9217,39,40
9217,28,0
9217,18,0
9217,7,0
9257,37,40
9257,26,0
9257,16,0
9257,6,0
9297,36,40
9297,26,0
9297,16,0
9297,6,0
9337,36,40
9337,25,0
9337,15,0
9337,5,0
9377,35,40
9377,24,0
9377,14,0
9377,4,0
9417,34,40
9417,24,0
9417,14,0
9417,4,0
9457,34,40
9457,23,0
9457,13,0
9457,2,0
9497,32,40
9497,21,0
9497,11,0
9498,1,1
9509,1,11
9549,31,40
9549,21,0
9549,10,0
9589,40,40
9589,29,0
9589,19,0
9589,8,0
9629,38,40
9629,27,0
9629,16,0
9629,6,0
9669,35,40
9669,25,0
9669,14,0
9669,4,0
9709,33,40
9709,23,0
9709,13,0
9709,3,0
9749,33,40
9749,23,0
9749,12,0
9750,3,1
9760,1,10
9797,28,37
9797,17,0
9797,7,0
9853,52,56
9853,42,0
9853,31,0
9853,21,0
9877,34,24
9877,23,0
9877,13,0
9877,2,0
9917,32,40
9917,21,0
9919,13,2
9919,1,0
9930,1,11
9970,30,40
9970,20,0
9970,9,0
10009,37,39
10010,28,1
10010,17,0
10010,6,0
10049,35,39
10050,25,1
10050,14,0
10050,3,0
10090,33,40
10090,22,0
10090,10,0
10092,2,2
10102,1,10
10141,30,39
10141,19,0
10141,9,0
10181,38,40
10181,27,0
10182,18,1
10182,7,0
10221,36,39
10221,25,0
10222,16,1
10222,5,0
10261,34,39
10262,25,1
10262,15,0
10262,4,0
10301,33,39
10301,22,0
10301,12,0
10303,2,2
10313,1,10
10353,31,40
10353,20,0
10353,10,0
10393,39,40
10393,29,0
10393,18,0
10394,9,1
10433,37,39
10433,27,0
10433,16,0
10434,6,1
10473,35,39
10473,25,0
10473,15,0
10474,6,1
10513,35,39
10514,25,1
10514,15,0
10514,4,0
10553,33,39
10553,22,0
10554,13,1
10555,1,1
10565,1,10
10605,30,40
10606,21,1
10606,10,0
10645,39,39
10646,29,1
10646,19,0
10646,8,0
10686,38,40
10686,28,0
10686,18,0
10686,7,0
10725,36,39
10725,26,0
10726,17,1
10726,7,0
10765,36,39
10766,27,1
10766,17,0
10766,7,0
10805,36,39
10805,25,0
10806,16,1
10806,5,0
10845,34,39
10845,23,0
10846,14,1
10846,3,0
10885,32,39
10885,21,0
10886,12,1
10887,1,1
10897,1,10
10938,32,41
10938,21,0
10938,11,0
10978,40,40
10978,29,0
10978,19,0
10978,8,0
11017,37,39
11017,26,0
11017,16,0
11018,6,1
11058,36,40
11059,26,1
11059,15,0
11059,5,0
11097,32,38
11098,23,1
11098,12,0
11099,1,1
11109,1,10
11149,30,40
11149,20,0
11149,9,0
11189,39,40
11189,28,0
11190,19,1
11190,8,0
11229,37,39
11229,27,0
11229,16,0
11229,6,0
11270,36,41
11270,25,0
11270,15,0
11270,4,0
11309,32,39
11310,23,1
11310,12,0
11311,1,1
11321,1,10
11361,30,40
11361,20,0
11361,9,0
11401,39,40
11401,28,0
11401,18,0
11402,8,1
11441,37,39
11441,26,0
11441,16,0
11442,6,1
11481,35,39
11481,25,0
11481,15,0
11481,5,0
11521,35,40
11522,26,1
11522,16,0
11522,6,0
11562,36,40
11562,25,0
11562,15,0
11562,4,0
11602,33,40
11602,23,0
11603,13,1
11605,2,2
11615,2,10
11654,30,39
11654,19,0
11654,9,0
11693,37,39
11693,26,0
11693,16,0
11694,6,1
11733,35,39
11733,24,0
11733,14,0
11733,3,0
11773,33,40
11773,22,0
11773,12,0
11774,1,1
11785,1,11
11825,31,40
11825,20,0
11825,10,0
11865,39,40
11865,29,0
11865,19,0
11865,8,0
11905,38,40
11905,27,0
11905,17,0
11905,6,0
11945,36,40
11945,25,0
11945,15,0
11945,4,0
11985,34,40
11985,23,0
11985,13,0
11985,2,0
12025,32,40
12025,21,0
12025,11,0
12026,1,1
12037,2,11
12077,31,40
12077,21,0
12077,10,0
12117,40,40
12117,29,0
12117,19,0
12118,9,1
12157,38,39
12157,28,0
12157,18,0
12157,8,0
12197,38,40
12197,28,0
12197,18,0
12197,7,0
12237,37,40
12237,26,0
12237,16,0
12237,6,0
12277,34,40
12278,24,1
12278,14,0
12278,4,0
12317,32,39
12318,22,1
12318,12,0
12324,6,6
12329,1,5
12369,31,40
12369,21,0
12369,11,0
12409,39,40
12409,29,0
12410,19,1
12410,9,0
12450,38,40
12450,28,0
12450,17,0
12450,7,0
12489,35,39
12489,25,0
12490,15,1
12490,5,0
12529,34,39
12529,24,0
12529,14,0
12529,3,0
12569,33,40
12569,23,0
12570,14,1
12570,3,0
12610,33,40
12610,23,0
12611,14,1
12611,4,0
12649,32,38
12649,21,0
12649,11,0
12651,1,2
12661,1,10
12701,31,40
12701,20,0
12701,10,0
12741,39,40
12741,29,0
12742,19,1
12742,9,0
12782,38,40
12782,28,0
12782,17,0
12782,7,0
12821,35,39
12821,25,0
12821,14,0
12824,2,3
12833,1,9
12876,34,43
12876,23,0
12876,13,0
12913,37,37
12913,27,0
12914,16,1
12914,6,0
12953,34,39
12953,24,0
12953,13,0
12953,3,0
12993,32,40
12993,22,0
12993,11,0
12994,1,1
13007,3,13
13045,31,38
13045,20,0
13045,10,0
13085,40,40
13085,29,0
13085,19,0
13085,8,0
13125,38,40
13125,27,0
13125,16,0
13125,6,0
13165,35,40
13165,25,0
13165,14,0
13165,4,0
13205,33,40
13205,23,0
13205,13,0
13205,3,0
13245,33,40
13245,23,0
13245,13,0
13245,3,0
13285,32,40
13285,22,0
13285,11,0
13287,1,2
13297,1,10
13337,31,40
13337,20,0
13337,10,0
13377,39,40
13377,29,0
13381,22,4
13381,12,0
13417,36,36
13418,27,1
13418,17,0
13418,7,0
13458,36,40
13459,27,1
13459,16,0
13459,5,0
13497,32,38
13497,22,0
13497,11,0
13498,1,1
13508,1,10
13545,27,37
13545,17,0
13545,4,0
13585,34,40
13585,23,0
13585,13,0
13585,2,0
13625,32,40
13625,21,0
13625,11,0
13626,1,1
13637,2,11
13677,31,40
13677,21,0
13677,10,0
13717,40,40
13717,29,0
13717,19,0
13717,8,0
13757,38,40
13757,27,0
13757,17,0
13757,6,0
13797,36,40
13797,25,0
13798,16,1
13798,5,0
13837,34,39
13837,23,0
13837,13,0
13837,3,0
13877,32,40
13877,22,0
13878,13,1
13878,2,0
13887,1,9
13925,29,38
13925,19,0
13925,8,0
13965,38,40
13965,27,0
13966,18,1
13966,8,0
14005,37,39
14005,27,0
14005,17,0
14005,7,0
14045,37,40
14045,27,0
14045,17,0
14045,7,0
14085,37,40
14085,27,0
14085,17,0
14085,7,0
14125,37,40
14125,27,0
14125,17,0
14125,7,0
14165,37,40
14165,26,0
14165,16,0
14165,5,0
14205,35,40
14205,24,0
14205,14,0
14205,3,0
14245,33,40
14245,22,0
14245,12,0
14246,1,1
14257,2,11
14297,31,40
14297,21,0
14297,10,0
14337,40,40
14337,29,0
14337,19,0
14337,8,0
14377,38,40
14377,27,0
14377,17,0
14377,6,0
14417,36,40
14417,25,0
14417,15,0
14417,4,0
14457,34,40
14457,23,0
14457,13,0
14457,2,0
14497,32,40
14497,21,0
14497,11,0
14498,1,1
14508,1,10
14549,31,41
14549,21,0
14549,10,0
14589,40,40
14589,29,0
14589,19,0
14589,9,0
14629,39,40
14629,29,0
14629,19,0
14629,9,0
14670,40,41
14670,30,0
14670,20,0
14670,10,0
14709,39,39
14709,28,0
14709,18,0
14709,7,0
14749,36,40
14750,27,1
14750,16,0
14750,6,0
14790,35,40
14790,25,0
14790,14,0
14790,3,0
14829,32,39
14829,22,0
14829,12,0
14831,1,2
14842,2,11
14883,32,41
14883,22,0
14884,13,1
14921,38,37
14921,28,0
14922,18,1
14922,7,0
14961,36,39
14961,25,0
14961,15,0
14961,5,0
15001,35,40
15001,24,0
15001,14,0
15001,3,0
15041,33,40
15041,21,0
15041,11,0
15042,1,1
15053,1,11
15093,31,40
15093,20,0
15093,10,0
15133,39,40
15133,29,0
15133,18,0
15133,8,0
15173,37,40
15173,27,0
15173,16,0
15173,6,0
15213,36,40
15213,26,0
15213,16,0
15213,6,0
15253,36,40
15253,26,0
15253,16,0
15253,6,0
15293,35,40
15293,25,0
15293,14,0
15293,4,0
15333,33,40
15333,23,0
15333,12,0
15334,3,1
15344,1,10
15381,28,37
15381,17,0
15381,7,0
15421,36,40
15421,25,0
15421,15,0
15421,5,0
15461,35,40
15461,25,0
15461,15,0
15461,4,0
15501,34,40
15501,23,0
15501,13,0
15501,2,0
15541,32,40
15541,21,0
15541,11,0
15542,1,1
15552,1,10
15593,31,41
15593,21,0
15593,10,0
15633,40,40
15633,30,0
15633,20,0
15633,10,0
15673,40,40
15673,29,0
15673,19,0
15673,8,0
15713,38,40
15713,27,0
15713,16,0
15713,6,0
15753,35,40
15753,25,0
15753,14,0
15753,4,0
15793,33,40
15793,23,0
15793,12,0
15793,2,0
15833,31,40
15833,21,0
15833,10,0
15834,1,1
15845,2,11
15885,31,40
15885,21,0
15885,10,0
15925,40,40
15925,30,0
15925,20,0
15925,10,0
15965,40,40
15965,30,0
15965,20,0
15965,10,0
16005,40,40
16005,29,0
16005,19,0
16005,8,0
16045,38,40
16045,27,0
16045,17,0
16046,7,1
16085,35,39
16085,25,0
16085,14,0
16085,4,0
16125,33,40
16125,23,0
16125,12,0
16125,2,0
16165,31,40
16165,21,0
16165,10,0
16166,1,1
16177,2,11
16217,31,40
16217,20,0
16217,10,0
16257,39,40
16257,29,0
16257,18,0
16257,8,0
16297,37,40
16297,27,0
16297,16,0
16297,6,0
16337,35,40
16337,25,0
16337,14,0
16338,5,1
16377,33,39
16377,23,0
16377,12,0
16377,2,0
16417,31,40
16417,21,0
16417,10,0
16418,1,1
16428,1,10
16465,28,37
16465,17,0
16465,7,0
16505,36,40
16505,26,0
16505,15,0
16505,5,0
16545,34,40
16545,24,0
16545,13,0
16545,3,0
16585,32,40
16585,22,0
16585,11,0
16586,1,1
16596,1,10
16637,31,41
16637,21,0
16637,11,0
16677,40,40
16677,29,0
16677,19,0
16677,8,0
16717,38,40
16717,27,0
16717,17,0
16717,6,0
16757,36,40
16757,25,0
16757,15,0
16757,4,0
16797,34,40
16797,23,0
16797,13,0
16797,2,0
16837,32,40
16837,21,0
16837,11,0
