time (ms),latency (ms),consume (ms)
0,13,0
4,8,4
6,5,2
10,3,4
15,2,5
20,2,5
26,2,6
31,1,5
37,2,6
43,2,6
49,2,6
54,2,5
60,2,6
65,1,5
71,2,6
77,2,6
82,2,5
88,2,6
93,1,5
99,2,6
105,2,6
110,1,5
116,2,6
121,1,5
127,2,6
133,2,6
138,1,5
144,2,6
149,1,5
156,2,7
161,1,5
167,2,6
172,1,5
178,2,6
184,2,6
189,1,5
195,2,6
200,1,5
206,2,6
212,2,6
217,1,5
223,2,6
228,1,5
234,2,6
239,1,5
245,2,6
251,2,6
257,2,6
262,1,5
269,2,7
275,1,6
281,1,6
288,2,7
294,1,6
301,2,7
306,2,5
312,2,6
318,2,6
323,1,5
330,2,7
335,1,5
341,1,6
348,2,7
354,2,6
360,2,6
366,2,6
372,2,6
378,2,6
383,1,5
389,1,6
395,1,6
401,2,6
407,2,6
412,1,5
418,2,6
424,2,6
429,1,5
435,2,6
444,5,9
448,3,4
452,2,4
458,2,6
464,2,6
469,1,5
475,2,6
481,2,6
486,1,5
492,1,6
498,2,6
503,1,5
509,2,6
514,1,5
520,2,6
525,1,5
531,2,6
537,2,6
542,2,5
548,2,6
553,2,5
564,7,11
565,3,1
569,1,4
575,1,6
581,2,6
586,1,5
592,2,6
597,1,5
603,2,6
608,1,5
614,2,6
619,1,5
625,2,6
630,1,5
636,1,6
642,2,6
648,2,6
653,1,5
659,2,6
664,1,5
670,2,6
676,2,6
681,1,5
687,1,6
693,2,6
699,2,6
704,1,5
710,2,6
716,2,6
721,1,5
727,2,6
732,1,5
738,2,6
743,1,5
749,2,6
754,1,5
760,2,6
766,2,6
771,1,5
776,1,5
782,1,6
787,1,5
793,1,6
799,2,6
804,1,5
810,2,6
815,1,5
821,1,6
827,2,6
833,2,6
838,1,5
844,2,6
850,2,6
855,1,5
861,2,6
866,1,5
873,2,7
878,1,5
885,2,7
890,1,5
896,1,6
902,2,6
907,1,5
913,1,6
919,2,6
924,1,5
930,1,6
936,2,6
941,1,5
947,1,6
953,2,6
958,1,5
964,2,6
969,1,5
975,1,6
980,1,5
986,1,6
992,2,6
997,1,5
1003,2,6
1008,1,5
1014,1,6
1020,2,6
1031,7,11
1032,2,1
1037,1,5
1043,2,6
1048,1,5
1054,2,6
1059,1,5
1065,2,6
1070,1,5
1076,2,6
1081,1,5
1088,2,7
1093,2,5
1098,1,5
1103,1,5
1109,2,6
1114,1,5
1119,1,5
1125,2,6
1130,1,5
1135,1,5
1141,1,6
1147,2,6
1153,2,6
1159,1,6
1165,2,6
1170,1,5
1176,2,6
1181,1,5
1186,1,5
1192,2,6
1197,1,5
1203,2,6
1208,1,5
1215,3,7
1237,19,22
1239,16,2
1240,11,1
1242,8,2
1243,3,1
1246,1,3
1252,2,6
1257,1,5
1263,1,6
1268,1,5
1274,2,6
1279,1,5
1285,2,6
1290,1,5
1296,2,6
1301,1,5
1307,2,6
1312,1,5
1318,2,6
1323,1,5
1329,2,6
1334,1,5
1340,2,6
1345,1,5
1351,2,6
1356,1,5
1362,1,6
