time (ms),latency (ms),consume (ms)
0,6,0
3,4,3
4,5,1
6,5,2
7,6,1
7,5,0
8,5,1
9,6,1
10,6,1
10,5,0
11,5,1
12,6,1
13,7,1
13,6,0
14,7,1
15,7,1
16,8,1
16,7,0
17,8,1
18,8,1
18,7,0
19,8,1
20,8,1
21,9,1
21,8,0
23,9,2
24,10,1
25,11,1
26,12,1
27,12,1
29,14,2
31,16,2
33,17,2
34,18,1
35,19,1
37,20,2
37,18,0
38,19,1
39,20,1
39,19,0
42,22,3
43,23,1
43,23,0
44,24,1
45,24,1
46,25,1
46,25,0
47,26,1
47,26,0
48,26,1
49,27,1
49,27,0
50,28,1
51,29,1
51,28,0
52,29,1
53,30,1
53,30,0
54,31,1
54,30,0
55,31,1
56,32,1
56,32,0
57,32,1
58,33,1
59,34,1
60,35,1
61,36,1
62,37,1
63,37,1
63,37,0
64,38,1
65,39,1
66,40,1
66,40,0
67,40,1
68,41,1
68,41,0
69,42,1
70,43,1
70,42,0
71,43,1
75,47,4
77,49,2
78,50,1
79,50,1
80,51,1
81,52,1
81,52,0
82,53,1
84,55,2
85,55,1
86,56,1
87,57,1
88,58,1
90,60,2
91,61,1
92,62,1
93,62,1
94,63,1
94,63,0
95,64,1
95,64,0
96,65,1
97,66,1
97,65,0
98,66,1
98,66,0
99,67,1
100,68,1
101,69,1
102,70,1
103,71,1
104,72,1
106,73,2
107,74,1
108,75,1
109,76,1
111,78,2
112,79,1
113,80,1
115,81,2
116,82,1
117,83,1
118,84,1
120,86,2
121,87,1
122,88,1
124,89,2
125,90,1
126,91,1
128,93,2
129,94,1
130,95,1
130,95,0
131,96,1
132,96,1
133,97,1
133,97,0
134,98,1
135,99,1
135,99,0
136,100,1
137,101,1
137,101,0
138,101,1
138,101,0
139,102,1
139,102,0
140,102,1
140,102,0
141,103,1
142,104,1
142,104,0
143,105,1
143,105,0
144,106,1
144,106,0
145,106,1
146,107,1
147,108,1
147,108,0
148,109,1
149,110,1
149,110,0
150,111,1
151,111,1
151,111,0
152,112,1
152,112,0
153,113,1
153,113,0
154,114,1
154,114,0
155,115,1
156,115,1
156,115,0
157,116,1
157,116,0
158,117,1
158,117,0
159,118,1
159,118,0
160,119,1
161,119,1
162,120,1
162,120,0
163,121,1
164,122,1
165,123,1
166,124,1
167,125,1
168,125,1
168,125,0
169,126,1
170,127,1
170,127,0
171,128,1
172,129,1
172,129,0
173,130,1
173,129,0
174,130,1
174,130,0
175,131,1
175,131,0
177,133,2
178,134,1
178,134,0
179,135,1
180,136,1
180,135,0
181,136,1
181,136,0
182,137,1
182,137,0
183,138,1
193,147,10
194,148,1
199,153,5
200,154,1
200,154,0
200,154,0
201,152,1
202,153,1
202,153,0
203,154,1
203,154,0
204,155,1
204,155,0
205,156,1
206,156,1
206,156,0
207,157,1
207,157,0
208,158,1
208,158,0
209,159,1
209,159,0
210,160,1
211,161,1
211,160,0
212,161,1
212,161,0
213,162,1
214,163,1
214,163,0
215,164,1
216,165,1
216,165,0
217,165,1
217,165,0
218,166,1
219,167,1
219,167,0
220,167,1
220,160,0
221,161,1
222,161,1
222,161,0
223,162,1
223,162,0
224,163,1
224,163,0
225,163,1
226,164,1
226,164,0
226,164,0
227,165,1
227,164,0
228,165,1
228,165,0
229,166,1
230,167,1
230,165,0
231,166,1
231,166,0
232,167,1
232,167,0
233,168,1
233,167,0
234,168,1
234,168,0
235,169,1
236,170,1
236,170,0
237,170,1
237,170,0
238,171,1
238,171,0
238,171,0
239,171,1
239,171,0
240,172,1
242,174,2
243,174,1
244,175,1
246,177,2
247,178,1
248,179,1
249,180,1
251,182,2
252,183,1
253,183,1
255,185,2
256,186,1
257,187,1
258,188,1
259,189,1
260,189,1
262,191,2
263,192,1
264,193,1
265,194,1
267,196,2
268,197,1
270,199,2
273,201,3
276,204,3
280,208,4
283,211,3
290,218,7
293,221,3
296,224,3
299,227,3
321,248,22
324,251,3
328,255,4
332,259,4
335,262,3
337,264,2
339,266,2
341,268,2
343,269,2
345,271,2
346,272,1
348,274,2
350,276,2
352,278,2
354,279,2
356,281,2
358,283,2
361,286,3
363,288,2
366,291,3
368,293,2
370,294,2
371,295,1
375,299,4
386,310,11
394,318,8
399,323,5
404,328,5
405,329,1
410,333,5
414,337,4
416,339,2
418,341,2
419,342,1
421,344,2
422,345,1
424,346,2
425,347,1
427,349,2
433,355,6
437,359,4
445,367,8
448,370,3
452,374,4
454,376,2
457,379,3
460,381,3
462,383,2
464,385,2
465,386,1
467,388,2
475,396,8
478,399,3
479,400,1
481,401,2
483,403,2
484,404,1
486,406,2
488,408,2
492,412,4
494,413,2
496,415,2
497,416,1
499,418,2
500,419,1
502,421,2
503,421,1
504,422,1
506,424,2
507,425,1
509,427,2
510,428,1
511,429,1
513,431,2
514,431,1
515,432,1
517,434,2
519,436,2
522,439,3
524,441,2
532,449,8
534,450,2
536,452,2
538,454,2
540,456,2
547,463,7
550,466,3
553,468,3
556,471,3
558,473,2
565,480,7
566,481,1
567,482,1
568,483,1
569,483,1
571,485,2
572,486,1
574,488,2
579,493,5
582,496,3
583,497,1
587,500,4
590,503,3
591,504,1
592,505,1
594,507,2
595,508,1
596,509,1
599,511,3
602,514,3
605,517,3
606,518,1
607,519,1
608,520,1
609,521,1
610,522,1
612,523,2
613,524,1
614,525,1
621,532,7
624,535,3
627,538,3
628,538,1
637,547,9
648,558,11
654,564,6
657,567,3
659,569,2
662,572,3
666,576,4
669,578,3
674,583,5
676,585,2
677,586,1
679,588,2
682,591,3
684,593,2
686,594,2
687,595,1
689,597,2
691,599,2
692,600,1
