time (ms),latency (ms),consume (ms)
0,8,0
8,7,8
8,5,0
8,2,0
10,2,2
12,2,2
14,1,2
16,1,2
19,2,3
21,1,2
23,1,2
25,1,2
27,0,2
32,3,5
34,1,2
36,1,2
37,0,1
39,0,2
42,2,3
45,1,3
47,1,2
49,1,2
51,1,2
53,1,2
55,1,2
56,0,1
59,1,3
61,1,2
63,1,2
66,1,3
68,1,2
72,1,4
74,1,2
76,1,2
77,0,1
79,0,2
81,1,2
83,1,2
85,1,2
87,1,2
89,1,2
91,1,2
93,1,2
94,0,1
97,1,3
100,2,3
102,1,2
106,3,4
108,1,2
110,1,2
112,1,2
114,1,2
116,1,2
118,1,2
120,1,2
122,1,2
124,1,2
126,1,2
128,1,2
129,0,1
131,0,2
133,1,2
135,1,2
137,1,2
138,0,1
140,0,2
142,1,2
144,1,2
146,1,2
148,1,2
150,1,2
152,1,2
154,1,2
156,0,2
158,1,2
160,1,2
162,1,2
163,0,1
165,0,2
168,2,3
170,1,2
172,1,2
174,1,2
176,0,2
178,0,2
180,1,2
182,1,2
184,1,2
185,0,1
187,0,2
189,1,2
191,1,2
193,1,2
195,1,2
197,1,2
200,1,3
202,1,2
204,1,2
206,1,2
208,1,2
210,1,2
212,1,2
214,1,2
216,1,2
218,1,2
219,0,1
221,0,2
223,1,2
225,1,2
226,0,1
228,0,2
231,2,3
233,1,2
235,1,2
236,0,1
239,1,3
244,1,5
246,1,2
248,1,2
250,1,2
252,1,2
254,1,2
256,1,2
258,1,2
260,1,2
262,1,2
263,1,1
265,1,2
267,1,2
269,1,2
270,0,1
272,0,2
274,1,2
276,1,2
277,0,1
279,0,2
281,1,2
282,0,1
284,0,2
286,1,2
287,0,1
289,0,2
291,1,2
293,1,2
295,0,2
297,1,2
298,0,1
300,0,2
302,1,2
303,0,1
305,0,2
307,1,2
308,0,1
310,0,2
312,1,2
313,0,1
315,0,2
317,1,2
319,1,2
320,0,1
322,1,2
324,1,2
326,1,2
327,0,1
329,1,2
331,0,2
333,1,2
335,1,2
337,1,2
338,0,1
340,1,2
342,1,2
344,1,2
346,1,2
348,1,2
350,1,2
353,1,3
355,1,2
356,0,1
358,1,2
360,1,2
362,1,2
364,0,2
366,0,2
368,1,2
370,1,2
372,1,2
376,2,4
378,1,2
380,1,2
382,1,2
387,1,5
389,1,2
391,1,2
392,0,1
394,0,2
396,0,2
398,1,2
400,1,2
402,1,2
404,0,2
406,1,2
408,1,2
410,1,2
412,1,2
414,1,2
416,1,2
417,0,1
419,0,2
421,0,2
423,1,2
425,1,2
427,1,2
429,1,2
430,0,1
432,0,2
434,1,2
445,10,11
446,3,1
446,1,0
447,0,1
449,1,2
453,3,4
455,1,2
457,1,2
458,0,1
460,1,2
461,0,1
463,1,2
465,1,2
467,1,2
468,0,1
470,1,2
471,0,1
473,0,2
476,1,3
478,1,2
480,1,2
482,1,2
484,1,2
486,1,2
488,1,2
490,1,2
494,2,4
495,1,1
497,1,2
498,0,1
501,2,3
506,4,5
509,2,3
511,1,2
515,1,4
517,1,2
519,1,2
521,1,2
523,1,2
525,1,2
527,1,2
529,1,2
531,1,2
533,1,2
534,0,1
536,0,2
538,1,2
540,1,2
542,1,2
543,0,1
545,0,2
547,0,2
549,1,2
551,1,2
553,1,2
554,0,1
556,0,2
558,1,2
560,1,2
561,0,1
563,0,2
565,1,2
566,0,1
568,1,2
570,1,2
571,0,1
574,2,3
575,0,1
577,1,2
579,1,2
580,0,1
582,0,2
584,1,2
585,0,1
587,0,2
589,1,2
590,0,1
592,0,2
594,1,2
596,1,2
597,0,1
599,1,2
601,1,2
603,1,2
605,0,2
607,0,2
609,1,2
610,0,1
612,0,2
614,1,2
616,1,2
617,0,1
619,1,2
621,1,2
622,0,1
624,1,2
631,6,7
633,1,2
635,1,2
636,0,1
638,1,2
640,1,2
645,1,5
647,0,2
649,0,2
651,1,2
653,1,2
654,0,1
658,2,4
660,1,2
661,0,1
663,0,2
667,1,4
668,0,1
670,0,2
672,1,2
673,0,1
675,0,2
677,1,2
679,1,2
680,0,1
682,0,2
684,1,2
685,0,1
687,0,2
689,1,2
690,0,1
692,0,2
694,1,2
695,0,1
697,0,2
699,1,2
700,0,1
702,0,2
704,1,2
705,0,1
707,0,2
709,1,2
710,0,1
712,0,2
714,1,2
715,0,1
717,0,2
719,1,2
720,0,1
722,0,2
724,1,2
725,0,1
727,0,2
729,1,2
730,0,1
732,0,2
734,1,2
736,1,2
738,0,2
740,1,2
742,1,2
743,0,1
745,0,2
749,2,4
752,2,3
756,3,4
758,0,2
764,1,6
765,0,1
767,0,2
786,9,19
791,1,5
796,1,5
797,0,1
799,1,2
801,1,2
802,0,1
804,1,2
805,0,1
807,0,2
809,1,2
810,0,1
812,1,2
813,0,1
815,0,2
817,0,2
819,1,2
820,0,1
822,0,2
824,1,2
825,0,1
827,1,2
828,0,1
830,0,2
832,1,2
833,0,1
835,1,2
837,1,2
838,0,1
840,1,2
841,0,1
843,0,2
845,1,2
846,0,1
848,1,2
849,0,1
851,0,2
853,1,2
854,0,1
856,0,2
860,1,4
861,0,1
863,0,2
865,1,2
866,0,1
868,0,2
870,1,2
871,0,1
874,1,3
875,0,1
877,1,2
878,0,1
880,0,2
882,1,2
883,0,1
885,1,2
886,0,1
888,0,2
890,1,2
891,0,1
893,1,2
895,1,2
896,0,1
898,1,2
900,1,2
901,0,1
903,1,2
905,0,2
907,1,2
908,0,1
910,1,2
912,1,2
913,0,1
915,0,2
917,1,2
918,0,1
920,1,2
921,0,1
923,0,2
925,1,2
926,0,1
928,1,2
929,0,1
931,0,2
933,1,2
934,0,1
936,1,2
937,0,1
939,0,2
941,0,2
