time (ms),latency (ms),consume (ms)
0,11,0
1,7,1
1,6,0
1,5,0
1,5,0
1,4,0
9,9,8
10,9,1
11,9,1
11,8,0
11,7,0
11,7,0
11,6,0
11,6,0
17,7,6
18,6,1
18,6,0
18,5,0
18,5,0
19,4,1
19,3,0
20,4,1
25,8,5
26,7,1
26,6,0
29,9,3
30,9,1
31,9,1
31,8,0
32,9,1
32,8,0
32,8,0
33,3,1
33,0,0
35,1,2
35,0,0
36,0,1
37,0,1
39,1,2
40,1,1
41,1,1
42,1,1
42,0,0
43,1,1
44,0,1
46,2,2
46,0,0
49,2,3
50,0,1
52,2,2
52,0,0
53,0,1
54,1,1
54,0,0
55,1,1
56,0,1
59,1,3
60,1,1
61,1,1
62,1,1
62,0,0
63,0,1
66,0,3
68,1,2
68,0,0
69,1,1
70,1,1
70,0,0
71,1,1
71,0,0
72,1,1
73,1,1
74,1,1
75,1,1
78,0,3
79,1,1
80,1,1
80,0,0
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
87,2,2
88,0,1
90,1,2
90,0,0
91,1,1
91,0,0
92,0,1
94,1,2
94,0,0
96,0,2
98,1,2
99,1,1
99,0,0
100,1,1
100,0,0
101,1,1
102,1,1
102,0,0
103,1,1
105,0,2
106,1,1
106,0,0
107,1,1
108,1,1
109,1,1
110,1,1
110,0,0
111,1,1
111,0,0
112,0,1
114,0,2
115,1,1
116,1,1
116,0,0
117,1,1
118,0,1
119,1,1
120,0,1
122,0,2
123,1,1
123,0,0
124,1,1
125,1,1
125,0,0
130,4,5
132,1,2
133,0,1
134,1,1
134,0,0
135,1,1
135,0,0
136,1,1
136,0,0
137,0,1
138,1,1
138,0,0
139,1,1
141,1,2
141,0,0
142,1,1
143,1,1
143,0,0
144,1,1
144,0,0
145,1,1
145,0,0
146,0,1
147,1,1
147,0,0
150,1,3
150,0,0
151,0,1
152,1,1
153,0,1
154,1,1
154,0,0
155,0,1
156,1,1
156,0,0
157,1,1
157,0,0
158,1,1
159,1,1
159,0,0
160,1,1
162,0,2
164,1,2
164,0,0
165,1,1
165,0,0
166,1,1
166,0,0
167,0,1
168,0,1
169,0,1
170,1,1
170,0,0
171,1,1
174,0,3
175,1,1
175,0,0
176,0,1
177,1,1
177,0,0
180,1,3
180,0,0
181,1,1
181,0,0
182,0,1
183,1,1
183,0,0
184,1,1
184,0,0
186,0,2
187,1,1
187,0,0
188,1,1
188,0,0
189,1,1
189,0,0
190,1,1
194,1,4
194,0,0
195,1,1
195,0,0
197,1,2
197,0,0
198,1,1
198,0,0
199,1,1
199,0,0
200,1,1
209,1,9
211,1,2
217,6,6
224,7,7
224,6,0
224,5,0
224,5,0
226,6,2
226,3,0
226,2,0
226,1,0
227,1,1
227,0,0
228,1,1
228,0,0
230,2,2
231,1,1
232,0,1
233,1,1
233,0,0
234,1,1
235,1,1
238,1,3
238,0,0
239,1,1
239,0,0
240,1,1
241,1,1
243,2,2
244,1,1
244,0,0
245,1,1
245,0,0
246,0,1
250,1,4
252,2,2
254,0,2
256,1,2
256,0,0
257,1,1
258,1,1
261,1,3
262,1,1
262,0,0
263,1,1
263,0,0
264,1,1
264,0,0
265,1,1
265,0,0
266,1,1
266,0,0
270,0,4
271,1,1
271,0,0
272,1,1
272,0,0
273,0,1
274,1,1
274,0,0
275,1,1
275,0,0
276,1,1
276,0,0
277,1,1
277,0,0
278,1,1
278,0,0
279,0,1
280,1,1
280,0,0
281,1,1
281,0,0
282,1,1
282,0,0
283,1,1
283,0,0
284,1,1
284,0,0
285,1,1
285,0,0
286,1,1
286,0,0
290,0,4
291,1,1
291,0,0
294,1,3
294,0,0
295,1,1
295,0,0
296,1,1
296,0,0
297,1,1
297,0,0
298,1,1
298,0,0
299,1,1
299,0,0
300,1,1
301,1,1
301,0,0
302,1,1
302,0,0
303,1,1
310,0,7
311,1,1
311,0,0
312,0,1
312,0,0
313,0,1
313,0,0
314,0,1
314,0,0
321,3,7
321,0,0
322,1,1
322,0,0
323,1,1
323,0,0
324,1,1
324,0,0
325,1,1
326,1,1
330,1,4
330,0,0
331,1,1
331,0,0
332,1,1
332,0,0
333,1,1
333,0,0
334,1,1
334,0,0
335,1,1
335,0,0
336,1,1
336,0,0
337,1,1
337,0,0
338,0,1
339,1,1
339,0,0
341,1,2
341,0,0
342,0,1
343,1,1
343,0,0
344,0,1
345,1,1
345,0,0
345,0,0
346,0,1
350,0,4
351,1,1
351,0,0
352,1,1
353,0,1
354,1,1
354,0,0
355,1,1
355,0,0
356,1,1
357,0,1
358,1,1
358,0,0
359,0,1
359,0,0
360,1,1
362,2,2
363,1,1
363,0,0
366,0,3
367,1,1
367,0,0
368,1,1
368,0,0
368,0,0
369,0,1
369,0,0
370,1,1
370,0,0
371,1,1
371,0,0
372,1,1
372,0,0
373,1,1
373,0,0
374,1,1
374,0,0
380,1,6
381,1,1
381,0,0
382,1,1
382,0,0
383,1,1
383,0,0
383,0,0
384,0,1
384,0,0
385,1,1
385,0,0
386,1,1
386,0,0
388,2,2
388,0,0
389,1,1
389,0,0
390,1,1
391,0,1
392,1,1
392,0,0
393,1,1
393,0,0
394,1,1
394,0,0
395,1,1
395,0,0
395,0,0
396,0,1
396,0,0
397,1,1
397,0,0
398,1,1
398,0,0
399,1,1
399,0,0
400,1,1
400,0,0
400,0,0
401,0,1
401,0,0
402,0,1
403,1,1
406,1,3
406,0,0
407,1,1
407,0,0
408,1,1
408,0,0
409,1,1
409,0,0
410,1,1
410,0,0
411,1,1
411,0,0
412,1,1
412,0,0
412,0,0
413,1,1
413,0,0
414,1,1
414,0,0
415,1,1
415,0,0
416,1,1
416,0,0
416,0,0
417,0,1
417,0,0
418,1,1
418,0,0
419,1,1
419,0,0
420,1,1
420,0,0
422,0,2
423,1,1
423,0,0
424,1,1
424,0,0
425,1,1
425,0,0
425,0,0
426,0,1
426,0,0
427,1,1
427,0,0
428,1,1
428,0,0
429,1,1
429,0,0
430,1,1
430,0,0
434,0,4
435,1,1
435,0,0
436,1,1
436,0,0
437,1,1
437,0,0
438,1,1
438,0,0
439,1,1
439,0,0
440,1,1
442,2,2
461,7,19
461,0,0
462,0,1
462,0,0
463,0,1
463,0,0
464,1,1
464,0,0
465,1,1
466,0,1
466,0,0
467,0,1
467,0,0
469,2,2
470,1,1
470,0,0
471,1,1
471,0,0
472,0,1
473,0,1
474,1,1
474,0,0
475,1,1
475,0,0
476,1,1
476,0,0
477,1,1
477,0,0
478,0,1
478,0,0
479,0,1
479,0,0
480,1,1
482,0,2
484,0,2
485,1,1
485,0,0
486,1,1
486,0,0
486,0,0
487,0,1
487,0,0
494,0,7
495,0,1
495,0,0
496,1,1
496,0,0
497,1,1
497,0,0
498,1,1
498,0,0
499,1,1
499,0,0
500,1,1
502,0,2
503,1,1
503,0,0
504,1,1
504,0,0
505,1,1
505,0,0
505,0,0
506,0,1
506,0,0
507,1,1
507,0,0
508,1,1
508,0,0
509,1,1
509,0,0
509,0,0
510,0,1
510,0,0
511,1,1
511,0,0
512,1,1
512,0,0
513,1,1
513,0,0
513,0,0
514,0,1
516,0,2
518,0,2
519,1,1
519,0,0
519,0,0
520,1,1
520,0,0
521,1,1
521,0,0
522,1,1
522,0,0
523,1,1
523,0,0
523,0,0
524,1,1
524,0,0
525,1,1
525,0,0
526,1,1
526,0,0
530,0,4
531,1,1
531,0,0
532,1,1
532,0,0
533,1,1
533,0,0
534,1,1
534,0,0
535,1,1
535,0,0
535,0,0
536,1,1
536,0,0
538,0,2
538,0,0
539,0,1
539,0,0
540,1,1
540,0,0
542,0,2
542,0,0
543,0,1
543,0,0
544,1,1
544,0,0
549,3,5
550,0,1
551,1,1
551,0,0
552,1,1
552,0,0
553,1,1
554,0,1
554,0,0
555,0,1
555,0,0
556,1,1
556,0,0
557,1,1
557,0,0
558,1,1
558,0,0
562,0,4
566,0,4
567,1,1
567,0,0
568,1,1
568,0,0
568,0,0
569,0,1
569,0,0
570,1,1
574,4,4
578,0,4
579,1,1
579,0,0
582,1,3
583,1,1
583,0,0
584,1,1
584,0,0
585,1,1
585,0,0
585,0,0
586,1,1
586,0,0
587,1,1
587,0,0
588,1,1
588,0,0
588,0,0
589,0,1
589,0,0
590,1,1
590,0,0
591,1,1
591,0,0
592,1,1
592,0,0
592,0,0
593,1,1
593,0,0
594,1,1
594,0,0
595,1,1
595,0,0
595,0,0
598,0,3
599,1,1
599,0,0
602,0,3
603,1,1
603,0,0
604,1,1
604,0,0
604,0,0
606,0,2
606,0,0
607,0,1
607,0,0
608,1,1
608,0,0
609,1,1
609,0,0
610,1,1
610,0,0
610,0,0
611,0,1
611,0,0
612,1,1
612,0,0
613,1,1
614,0,1
615,1,1
615,0,0
615,0,0
616,0,1
618,0,2
619,1,1
619,0,0
619,0,0
620,0,1
620,0,0
621,1,1
622,0,1
622,0,0
623,1,1
626,0,3
627,1,1
627,0,0
628,1,1
628,0,0
628,0,0
629,0,1
629,0,0
630,0,1
630,0,0
631,1,1
634,0,3
635,1,1
638,0,3
639,1,1
639,0,0
639,0,0
640,0,1
640,0,0
641,1,1
641,0,0
642,1,1
642,0,0
643,1,1
643,0,0
643,0,0
644,0,1
645,1,1
645,0,0
646,1,1
646,0,0
647,1,1
647,0,0
647,0,0
648,1,1
648,0,0
650,0,2
650,0,0
651,0,1
651,0,0
652,1,1
652,0,0
653,1,1
653,0,0
654,1,1
654,0,0
654,0,0
655,0,1
655,0,0
656,0,1
657,1,1
657,0,0
658,1,1
658,0,0
659,1,1
662,0,3
671,1,9
671,0,0
672,1,1
672,0,0
673,1,1
673,0,0
673,0,0
674,1,1
674,0,0
675,1,1
675,0,0
676,1,1
676,0,0
676,0,0
677,1,1
677,0,0
678,1,1
678,0,0
679,1,1
679,0,0
679,0,0
680,1,1
680,0,0
681,1,1
681,0,0
681,0,0
682,0,1
682,0,0
683,1,1
683,0,0
684,1,1
684,0,0
684,0,0
685,1,1
685,0,0
686,1,1
686,0,0
687,1,1
687,0,0
687,0,0
688,1,1
690,0,2
690,0,0
691,0,1
691,0,0
695,1,4
695,0,0
696,1,1
696,0,0
696,0,0
697,0,1
697,0,0
698,1,1
698,0,0
699,1,1
699,0,0
700,1,1
700,0,0
700,0,0
701,1,1
702,0,1
702,0,0
703,0,1
703,0,0
704,1,1
704,0,0
705,1,1
706,0,1
706,0,0
707,0,1
710,0,3
711,1,1
711,0,0
711,0,0
712,0,1
712,0,0
713,1,1
714,0,1
718,0,4
719,1,1
719,0,0
719,0,0
720,1,1
720,0,0
721,1,1
721,0,0
722,1,1
726,0,4
727,1,1
727,0,0
727,0,0
728,0,1
728,0,0
729,1,1
729,0,0
730,1,1
730,0,0
731,1,1
731,0,0
732,1,1
732,0,0
732,0,0
733,1,1
733,0,0
734,1,1
734,0,0
735,1,1
735,0,0
737,0,2
737,0,0
738,0,1
738,0,0
739,1,1
739,0,0
740,1,1
740,0,0
741,1,1
741,0,0
741,0,0
742,0,1
742,0,0
743,1,1
743,0,0
744,1,1
744,0,0
745,1,1
745,0,0
745,0,0
746,1,1
746,0,0
751,1,5
751,0,0
753,0,2
754,0,1
754,0,0
755,0,1
755,0,0
756,1,1
756,0,0
757,1,1
757,0,0
758,1,1
758,0,0
758,0,0
762,0,4
763,1,1
763,0,0
764,1,1
764,0,0
764,0,0
765,1,1
765,0,0
766,1,1
766,0,0
767,1,1
767,0,0
767,0,0
768,0,1
768,0,0
769,1,1
769,0,0
770,1,1
770,0,0
770,0,0
771,0,1
771,0,0
772,1,1
772,0,0
773,1,1
773,0,0
773,0,0
774,1,1
774,0,0
775,1,1
775,0,0
776,1,1
776,0,0
776,0,0
777,1,1
778,0,1
778,0,0
779,0,1
779,0,0
780,1,1
780,0,0
781,1,1
781,0,0
781,0,0
782,1,1
782,0,0
786,0,4
789,0,3
790,1,1
790,0,0
791,1,1
791,0,0
792,1,1
792,0,0
793,1,1
793,0,0
793,0,0
794,1,1
794,0,0
795,1,1
795,0,0
796,1,1
796,0,0
796,0,0
797,1,1
797,0,0
798,1,1
798,0,0
799,1,1
799,0,0
799,0,0
800,1,1
800,0,0
801,1,1
801,0,0
801,0,0
802,0,1
802,0,0
803,1,1
803,0,0
804,1,1
804,0,0
804,0,0
805,1,1
805,0,0
806,1,1
806,0,0
807,1,1
807,0,0
814,0,7
815,1,1
815,0,0
816,1,1
816,0,0
817,1,1
818,0,1
818,0,0
819,0,1
819,0,0
820,1,1
820,0,0
821,1,1
821,0,0
822,1,1
822,0,0
822,0,0
823,0,1
823,0,0
824,1,1
824,0,0
826,0,2
827,1,1
827,0,0
827,0,0
828,0,1
828,0,0
829,1,1
829,0,0
830,1,1
830,0,0
830,0,0
831,0,1
831,0,0
832,1,1
832,0,0
833,1,1
834,0,1
834,0,0
836,0,2
836,0,0
837,1,1
837,0,0
838,0,1
838,0,0
839,0,1
842,0,3
845,3,3
845,0,0
846,0,1
850,0,4
850,0,0
851,0,1
851,0,0
852,1,1
852,0,0
853,1,1
853,0,0
853,0,0
854,0,1
854,0,0
855,1,1
855,0,0
856,1,1
856,0,0
856,0,0
857,1,1
857,0,0
858,1,1
858,0,0
858,0,0
859,0,1
859,0,0
860,1,1
860,0,0
861,1,1
861,0,0
861,0,0
862,1,1
862,0,0
863,1,1
863,0,0
863,0,0
864,0,1
864,0,0
865,1,1
865,0,0
866,0,1
866,0,0
867,1,1
867,0,0
868,1,1
868,0,0
868,0,0
870,0,2
870,0,0
871,1,1
873,0,2
874,1,1
874,0,0
875,1,1
878,0,3
879,1,1
879,0,0
879,0,0
880,1,1
882,0,2
886,0,4
886,0,0
887,0,1
890,0,3
891,1,1
891,0,0
891,0,0
892,1,1
892,0,0
893,1,1
893,0,0
