time (ms),latency (ms),consume (ms)
0,17,0
0,14,0
2,16,2
3,16,1
3,16,0
3,16,0
3,15,0
3,15,0
4,16,1
4,15,0
4,15,0
4,15,0
4,14,0
5,15,1
5,15,0
5,15,0
5,14,0
5,14,0
6,15,1
7,15,1
7,15,0
7,15,0
8,15,1
8,15,0
8,15,0
9,16,1
9,15,0
9,15,0
10,16,1
10,15,0
10,15,0
11,16,1
11,16,0
11,15,0
15,19,4
16,20,1
16,20,0
16,19,0
16,19,0
17,20,1
17,19,0
17,19,0
17,19,0
17,19,0
17,18,0
17,18,0
18,19,1
18,18,0
18,18,0
18,18,0
18,17,0
18,17,0
18,17,0
19,17,1
19,17,0
19,17,0
19,17,0
19,16,0
20,17,1
20,17,0
20,16,0
20,16,0
20,16,0
20,15,0
21,16,1
21,16,0
21,15,0
21,15,0
21,15,0
21,14,0
21,14,0
21,13,0
21,13,0
22,13,1
22,13,0
22,12,0
22,12,0
22,11,0
22,11,0
22,10,0
22,10,0
23,11,1
23,10,0
23,10,0
23,10,0
23,10,0
24,10,1
24,7,0
24,6,0
24,6,0
24,5,0
24,5,0
25,5,1
25,5,0
27,6,2
27,6,0
27,5,0
27,4,0
27,4,0
28,4,1
28,4,0
28,4,0
28,3,0
29,4,1
29,3,0
30,4,1
30,4,0
30,3,0
30,2,0
30,2,0
30,2,0
30,1,0
31,2,1
31,1,0
32,1,1
33,2,1
33,2,0
33,1,0
38,6,5
38,5,0
39,6,1
39,5,0
40,6,1
40,6,0
40,5,0
40,5,0
41,5,1
42,5,1
42,3,0
42,2,0
43,2,1
43,2,0
44,2,1
45,2,1
46,2,1
47,2,1
47,1,0
48,1,1
49,1,1
50,1,1
51,1,1
53,2,2
53,2,0
54,3,1
54,3,0
55,3,1
55,3,0
57,5,2
57,4,0
58,5,1
58,5,0
59,6,1
59,6,0
59,5,0
59,5,0
62,8,3
63,9,1
64,9,1
64,9,0
64,9,0
68,12,4
68,12,0
69,13,1
69,13,0
69,13,0
69,12,0
69,12,0
69,12,0
69,11,0
69,11,0
69,10,0
69,10,0
70,11,1
70,11,0
70,10,0
70,10,0
70,10,0
70,10,0
70,10,0
70,9,0
70,9,0
70,9,0
71,10,1
71,9,0
71,9,0
71,9,0
71,7,0
71,6,0
72,7,1
72,7,0
72,7,0
72,6,0
72,6,0
72,6,0
73,6,1
73,6,0
73,6,0
73,6,0
73,5,0
74,6,1
74,5,0
74,5,0
74,4,0
74,4,0
75,5,1
75,5,0
76,5,1
76,5,0
76,5,0
78,6,2
79,7,1
80,8,1
81,9,1
81,8,0
81,8,0
81,8,0
81,7,0
82,8,1
82,8,0
83,9,1
83,9,0
83,8,0
84,9,1
85,9,1
85,9,0
85,9,0
86,10,1
86,10,0
87,10,1
87,10,0
88,11,1
88,10,0
89,11,1
89,11,0
89,11,0
89,11,0
89,10,0
90,11,1
90,10,0
90,10,0
91,11,1
91,11,0
91,10,0
91,10,0
92,11,1
92,10,0
92,10,0
92,10,0
92,9,0
93,10,1
93,10,0
93,9,0
93,9,0
93,9,0
94,9,1
94,9,0
94,9,0
95,9,1
95,9,0
95,9,0
95,9,0
95,8,0
95,8,0
95,8,0
96,9,1
96,8,0
96,8,0
96,8,0
96,8,0
96,7,0
97,7,1
97,7,0
97,7,0
97,6,0
97,6,0
97,6,0
97,5,0
98,6,1
98,6,0
98,5,0
98,5,0
98,4,0
98,4,0
99,5,1
99,4,0
99,4,0
99,3,0
99,3,0
99,2,0
100,3,1
100,3,0
100,2,0
100,2,0
100,2,0
101,2,1
102,3,1
103,4,1
103,3,0
104,4,1
104,4,0
104,3,0
104,3,0
104,3,0
105,4,1
105,3,0
105,3,0
105,3,0
105,3,0
105,3,0
106,3,1
106,3,0
106,3,0
106,3,0
106,2,0
107,3,1
107,2,0
113,7,6
113,7,0
113,7,0
114,7,1
115,8,1
115,7,0
116,8,1
116,8,0
116,8,0
116,7,0
117,8,1
117,8,0
117,7,0
118,8,1
118,8,0
118,8,0
119,8,1
119,8,0
120,9,1
121,10,1
121,9,0
121,9,0
121,9,0
122,9,1
123,10,1
123,10,0
123,9,0
124,10,1
124,10,0
148,34,24
148,33,0
148,33,0
148,33,0
148,32,0
148,32,0
149,33,1
149,32,0
149,32,0
149,32,0
149,31,0
149,31,0
149,31,0
149,31,0
149,30,0
149,30,0
149,30,0
149,30,0
149,29,0
149,29,0
149,29,0
150,30,1
150,30,0
150,29,0
150,29,0
150,29,0
150,28,0
150,28,0
150,28,0
150,27,0
150,27,0
150,27,0
150,27,0
151,27,1
151,27,0
151,27,0
151,26,0
151,26,0
151,25,0
151,23,0
151,23,0
151,23,0
151,22,0
151,22,0
151,22,0
151,22,0
152,22,1
152,22,0
152,22,0
152,22,0
152,21,0
152,21,0
152,21,0
152,20,0
152,20,0
152,20,0
152,19,0
152,19,0
153,20,1
153,20,0
153,20,0
153,19,0
153,19,0
153,19,0
153,19,0
153,19,0
153,19,0
153,18,0
153,18,0
153,18,0
153,18,0
153,18,0
153,17,0
153,17,0
154,18,1
154,18,0
154,18,0
154,18,0
154,17,0
154,17,0
154,17,0
154,17,0
154,17,0
154,17,0
154,16,0
154,16,0
154,16,0
155,17,1
155,17,0
155,17,0
155,17,0
155,16,0
155,16,0
156,17,1
157,18,1
157,17,0
157,17,0
157,17,0
157,17,0
157,17,0
157,16,0
158,17,1
159,18,1
159,18,0
160,19,1
160,19,0
161,20,1
162,20,1
162,20,0
162,20,0
162,20,0
162,20,0
162,20,0
163,20,1
164,21,1
165,22,1
166,23,1
166,23,0
167,24,1
168,24,1
169,25,1
169,25,0
170,26,1
171,27,1
172,28,1
172,28,0
172,27,0
175,30,3
175,30,0
175,30,0
175,30,0
175,30,0
175,29,0
175,29,0
175,29,0
175,29,0
176,30,1
176,30,0
176,30,0
176,29,0
176,29,0
177,30,1
177,30,0
177,30,0
177,30,0
177,30,0
177,29,0
177,29,0
177,29,0
177,29,0
178,30,1
178,30,0
178,29,0
178,29,0
178,29,0
178,29,0
179,30,1
179,30,0
179,29,0
179,29,0
179,29,0
179,29,0
180,29,1
180,29,0
180,29,0
180,29,0
181,29,1
181,29,0
182,30,1
182,30,0
182,29,0
182,29,0
182,29,0
183,30,1
183,30,0
183,30,0
183,30,0
183,29,0
183,29,0
183,29,0
183,29,0
183,29,0
183,29,0
183,28,0
183,28,0
183,28,0
184,29,1
184,29,0
184,29,0
184,29,0
184,28,0
184,28,0
184,28,0
184,28,0
184,28,0
184,28,0
185,28,1
185,28,0
187,30,2
188,31,1
188,31,0
188,30,0
188,30,0
188,30,0
188,30,0
188,30,0
188,30,0
189,31,1
189,30,0
189,30,0
189,30,0
189,30,0
189,30,0
189,30,0
190,30,1
190,30,0
190,30,0
190,30,0
190,30,0
190,30,0
190,29,0
190,29,0
190,29,0
190,29,0
191,30,1
191,30,0
191,29,0
191,29,0
191,29,0
191,29,0
191,29,0
192,30,1
192,30,0
192,29,0
192,29,0
192,29,0
192,29,0
199,36,7
199,36,0
200,36,1
200,36,0
200,36,0
200,36,0
200,36,0
200,36,0
200,35,0
200,35,0
200,35,0
200,35,0
200,35,0
200,35,0
200,35,0
200,34,0
201,35,1
201,35,0
201,35,0
201,35,0
201,35,0
201,35,0
202,36,1
202,35,0
207,40,5
207,40,0
207,40,0
208,41,1
208,41,0
208,41,0
209,41,1
209,41,0
209,41,0
209,41,0
209,41,0
209,41,0
209,41,0
209,40,0
209,40,0
209,40,0
209,40,0
209,40,0
209,40,0
209,40,0
209,39,0
209,39,0
209,39,0
209,39,0
209,39,0
209,39,0
209,39,0
209,39,0
210,39,1
210,39,0
210,39,0
210,39,0
210,39,0
210,26,0
210,25,0
210,25,0
210,25,0
210,25,0
210,25,0
210,24,0
210,24,0
210,24,0
210,24,0
210,24,0
210,24,0
210,24,0
210,24,0
210,23,0
211,24,1
211,24,0
211,24,0
211,24,0
211,24,0
211,24,0
211,23,0
211,23,0
211,23,0
211,23,0
211,23,0
211,23,0
211,23,0
211,22,0
211,22,0
211,22,0
211,22,0
211,22,0
211,22,0
211,22,0
211,22,0
211,21,0
212,22,1
212,22,0
212,22,0
212,22,0
212,22,0
212,22,0
212,22,0
212,21,0
212,21,0
212,21,0
212,21,0
212,21,0
212,21,0
212,21,0
212,21,0
212,20,0
212,20,0
212,20,0
212,20,0
212,20,0
212,20,0
212,20,0
212,20,0
213,20,1
213,20,0
213,20,0
213,20,0
213,20,0
213,20,0
213,20,0
213,20,0
