time (ms),latency (ms),consume (ms)
0,15,0
6,15,6
12,18,6
15,14,3
23,19,8
26,19,3
32,22,6
34,7,2
44,14,10
50,15,6
57,18,7
59,13,2
65,17,6
67,7,2
71,9,4
73,5,2
79,10,6
80,6,1
100,24,20
102,21,2
108,24,6
109,6,1
115,10,6
117,7,2
122,10,5
123,5,1
129,10,6
130,6,1
163,37,33
166,34,3
169,32,3
171,33,2
173,33,2
176,34,3
179,34,3
182,36,3
186,38,4
189,39,3
191,40,2
195,42,4
198,41,3
200,39,2
203,40,3
207,37,4
209,32,2
212,32,3
213,31,1
217,33,4
220,33,3
222,32,2
225,33,3
228,31,3
229,20,1
233,17,4
235,12,2
239,12,4
242,11,3
248,16,6
249,13,1
271,33,22
275,35,4
278,35,3
281,36,3
284,32,3
286,33,2
289,32,3
293,32,4
295,33,2
300,35,5
303,37,3
306,38,3
309,39,3
314,41,5
346,69,32
349,70,3
351,69,2
354,69,3
356,68,2
359,69,3
361,69,2
364,68,3
366,69,2
370,69,4
372,68,2
375,68,3
376,66,1
380,68,4
383,68,3
385,64,2
387,65,2
390,64,3
392,64,2
397,67,5
399,67,2
403,69,4
405,70,2
408,71,3
411,71,3
413,72,2
416,72,3
417,70,1
420,70,3
421,67,1
425,67,4
428,69,3
430,67,2
432,65,2
434,65,2
437,66,3
440,67,3
441,63,1
444,65,3
446,65,2
448,64,2
453,67,5
455,62,2
460,65,5
461,63,1
487,87,26
490,88,3
495,92,5
496,89,1
501,92,5
509,97,8
516,101,7
518,94,2
521,95,3
538,109,17
540,102,2
542,99,2
544,85,2
552,87,8
561,85,9
566,89,5
567,88,1
568,87,1
569,85,1
570,84,1
571,83,1
573,84,2
575,84,2
576,84,1
578,85,2
579,85,1
581,86,2
583,85,2
585,86,2
587,85,2
588,84,1
590,84,2
591,84,1
593,84,2
595,85,2
596,84,1
599,86,3
602,87,3
603,86,1
607,88,4
608,87,1
610,87,2
616,92,6
618,92,2
623,95,5
625,96,2
649,118,24
652,120,3
654,121,2
656,121,2
658,122,2
660,121,2
663,122,3
665,122,2
667,122,2
669,123,2
672,124,3
674,123,2
676,124,2
678,124,2
680,125,2
682,125,2
684,125,2
686,126,2
689,89,3
691,90,2
694,89,3
696,90,2
698,89,2
699,88,1
701,88,2
704,89,3
706,87,2
707,86,1
710,88,3
713,89,3
715,88,2
717,88,2
718,88,1
720,88,2
724,91,4
725,90,1
727,91,2
729,90,2
731,90,2
734,92,3
736,92,2
738,93,2
740,94,2
744,96,4
747,96,3
749,96,2
773,118,24
775,117,2
777,116,2
779,117,2
781,117,2
784,117,3
785,117,1
788,116,3
791,116,3
793,117,2
795,116,2
796,115,1
799,115,3
801,114,2
803,114,2
805,115,2
806,113,1
810,115,4
812,115,2
814,113,2
816,114,2
818,113,2
820,112,2
822,112,2
824,113,2
828,114,4
829,113,1
831,112,2
832,111,1
836,114,4
838,112,2
840,112,2
842,111,2
845,113,3
847,112,2
849,112,2
851,112,2
854,112,3
856,113,2
858,113,2
862,114,4
863,112,1
865,113,2
871,117,6
873,118,2
875,118,2
910,152,35
915,154,5
919,156,4
921,157,2
922,156,1
925,157,3
927,157,2
929,158,2
932,156,3
934,155,2
937,156,3
940,157,3
942,156,2
944,156,2
946,157,2
947,155,1
949,155,2
