time (ms),latency (ms),consume (ms)
0,34,0
2,20,2
21,27,19
21,17,0
47,31,26
49,23,2
70,32,21
70,16,0
96,29,26
99,22,3
120,29,21
121,20,1
140,28,19
141,14,1
163,26,22
164,15,1
183,23,19
184,14,1
219,39,35
220,30,1
240,37,20
241,15,1
262,25,21
263,15,1
283,24,20
283,13,0
304,24,21
305,15,1
327,26,22
328,17,1
346,24,18
347,14,1
366,23,19
366,13,0
388,25,22
389,16,1
409,25,20
410,15,1
432,26,22
432,15,0
455,27,23
455,16,0
477,26,22
478,16,1
500,26,22
500,15,0
521,24,21
521,14,0
543,25,22
544,15,1
569,29,25
570,18,1
589,22,19
589,12,0
610,23,21
610,11,0
630,21,20
631,12,1
650,21,19
651,12,1
671,22,20
671,12,0
691,22,20
692,12,1
712,22,20
712,12,0
735,24,23
735,14,0
757,25,22
757,14,0
777,23,20
778,13,1
799,24,21
800,15,1
821,25,21
821,14,0
843,25,22
843,14,0
864,24,21
865,14,1
884,23,19
884,13,0
905,24,21
906,14,1
927,25,21
928,15,1
949,25,21
949,14,0
975,29,26
976,19,1
996,25,20
996,14,0
1017,24,21
1017,13,0
1037,23,20
1038,14,1
1059,24,21
1059,14,0
1080,24,21
1080,13,0
1100,23,20
1101,14,1
1123,25,22
1123,15,0
1146,27,23
1146,16,0
1166,24,20
1167,15,1
1188,25,21
1189,15,1
1208,23,19
1209,14,1
1229,24,20
1230,15,1
1249,23,19
1250,13,1
1271,24,21
1271,13,0
1294,25,23
1296,17,2
1314,24,18
1315,14,1
1338,27,23
1339,18,1
1359,27,20
1360,14,1
1384,28,24
1384,17,0
1408,30,24
1409,21,1
1433,31,24
1437,21,4
1455,25,18
1456,15,1
1475,24,19
1477,15,2
1495,23,18
1497,15,2
1517,24,20
1517,13,0
1537,23,20
1538,13,1
1558,23,20
1558,13,0
1580,24,22
1580,14,0
1602,25,22
1602,14,0
1622,23,20
1623,14,1
1644,24,21
1644,13,0
1665,24,21
1666,14,1
1687,24,21
1687,13,0
1709,25,22
1709,14,0
1729,23,20
1729,13,0
1749,22,20
1750,13,1
1771,24,21
1771,14,0
1791,23,20
1792,13,1
1813,24,21
1813,13,0
1834,24,21
1836,15,2
1856,24,20
1856,13,0
1878,24,22
1878,14,0
1899,24,21
1899,13,0
1920,24,21
1920,14,0
1941,24,21
1941,13,0
1963,25,22
1963,14,0
1984,23,21
1985,14,1
2005,23,20
2005,13,0
2043,41,38
2047,34,4
2049,26,2
2050,16,1
2068,24,18
2068,14,0
2088,23,20
2089,14,1
2110,24,21
2110,14,0
2131,24,21
2132,15,1
2151,23,19
2152,13,1
2173,24,21
2173,13,0
2193,23,20
2194,13,1
2215,24,21
2216,14,1
2237,25,21
2237,14,0
2260,26,23
2260,15,0
2282,26,22
2282,14,0
2302,23,20
2303,14,1
2324,24,21
2324,14,0
2344,23,20
2345,14,1
2363,22,18
2364,13,1
2385,24,21
2385,14,0
2406,24,21
2407,14,1
2426,23,19
2427,13,1
2448,24,21
2448,14,0
2469,24,21
2469,14,0
2490,24,21
2491,14,1
2511,23,20
2511,13,0
2532,24,21
2533,15,1
2553,24,20
2554,14,1
2574,23,20
2575,14,1
2596,24,21
2596,13,0
2617,23,21
2618,14,1
2639,24,21
2639,13,0
2661,25,22
2661,14,0
2681,23,20
2681,13,0
2702,23,21
2703,14,1
2724,24,21
2724,13,0
2744,23,20
2745,13,1
2766,24,21
2766,14,0
2787,24,21
2788,14,1
2823,38,35
2823,28,0
2843,37,20
2844,14,1
2864,23,20
2866,15,2
2886,24,20
2886,13,0
2906,23,20
2907,13,1
2930,26,23
2931,17,1
2948,24,17
2948,14,0
2970,25,22
2971,14,1
2991,24,20
2991,13,0
3012,24,21
3013,15,1
3033,24,20
3034,14,1
3054,23,20
3055,14,1
3076,24,21
3076,13,0
3097,24,21
3098,14,1
3119,24,21
3119,13,0
