time (ms),latency (ms),consume (ms)
0,11,0
6,3,6
15,3,9
23,3,8
30,3,7
37,1,7
45,2,8
52,1,7
61,3,9
68,2,7
76,2,8
83,2,7
90,1,7
99,3,9
109,2,10
116,2,7
123,2,7
131,2,8
140,4,9
148,2,8
155,1,7
162,1,7
170,2,8
177,2,7
184,2,7
191,2,7
199,2,8
214,3,15
219,3,5
224,1,5
231,1,7
242,2,11
249,1,7
257,2,8
263,1,6
270,1,7
278,2,8
285,2,7
292,2,7
299,1,7
307,2,8
313,1,6
320,1,7
326,1,6
333,1,7
341,3,8
347,1,6
355,2,8
362,2,7
368,1,6
376,2,8
383,2,7
389,1,6
396,1,7
406,3,10
412,1,6
419,1,7
428,2,9
435,2,7
442,2,7
449,1,7
456,1,7
464,3,8
471,1,7
479,2,8
487,2,8
495,2,8
502,2,7
508,1,6
515,1,7
522,1,7
531,2,9
538,2,7
544,1,6
552,2,8
558,1,6
565,1,7
573,2,8
579,1,6
588,3,9
595,1,7
603,2,8
611,2,8
621,4,10
629,1,8
637,1,8
644,1,7
651,1,7
658,1,7
666,2,8
673,2,7
680,2,7
694,2,14
702,3,8
710,2,8
718,2,8
725,2,7
731,1,6
738,2,7
745,2,7
752,2,7
759,2,7
766,1,7
773,1,7
779,1,6
786,1,7
793,1,7
800,1,7
806,1,6
813,1,7
820,2,7
828,3,8
835,1,7
842,1,7
852,2,10
861,3,9
870,2,9
877,1,7
888,5,11
897,2,9
905,2,8
914,2,9
922,1,8
931,2,9
940,3,9
950,2,10
958,2,8
966,2,8
974,2,8
982,2,8
989,2,7
996,1,7
1003,2,7
1011,1,8
1018,1,7
1025,1,7
1032,1,7
1039,2,7
1046,2,7
1054,1,8
1061,2,7
1067,1,6
1075,1,8
1084,3,9
1091,1,7
1098,2,7
1106,3,8
1113,2,7
1120,2,7
1127,2,7
1133,1,6
1141,1,8
1148,1,7
1154,1,6
1161,1,7
1168,1,7
1176,2,8
1182,1,6
1196,1,14
1203,1,7
1210,1,7
1216,1,6
1223,1,7
1230,2,7
1236,1,6
1243,1,7
1250,2,7
1256,1,6
1263,2,7
1270,1,7
1278,2,8
1284,1,6
1291,1,7
1298,2,7
1304,1,6
1311,1,7
1318,2,7
1324,1,6
1331,1,7
1338,2,7
1344,1,6
1352,3,8
1358,1,6
1365,1,7
1372,2,7
1379,1,7
1387,3,8
1395,1,8
1403,1,8
1410,1,7
1419,4,9
1432,2,13
1438,1,6
1445,2,7
1454,2,9
1460,1,6
1467,1,7
1474,2,7
1481,2,7
1488,2,7
1496,2,8
1503,2,7
1511,2,8
1518,2,7
1525,1,7
1532,1,7
1539,1,7
1547,2,8
1554,2,7
1568,3,14
1576,2,8
1584,3,8
1591,2,7
1599,2,8
1606,1,7
1614,2,8
1622,2,8
1672,44,50
1672,30,0
1673,23,1
1673,15,0
1673,7,0
1687,12,14
1687,3,0
1694,2,7
1702,2,8
1710,2,8
1717,2,7
1725,2,8
1732,1,7
1740,2,8
1747,1,7
1755,2,8
1762,2,7
1770,3,8
1783,8,13
1799,6,16
1807,2,8
1821,8,14
1829,2,8
1837,3,8
1845,2,8
1853,2,8
1862,2,9
1875,3,13
1885,5,10
1895,2,10
1904,2,9
1914,2,10
1922,3,8
1931,3,9
1939,2,8
1947,2,8
1955,2,8
1963,3,8
1971,2,8
