time (ms),latency (ms),consume (ms)
0,9,0
6,11,6
11,15,5
13,12,2
14,11,1
17,13,3
18,12,1
21,13,3
23,15,2
27,18,4
37,28,10
38,22,1
39,23,1
40,18,1
42,17,2
48,22,6
50,19,2
51,18,1
55,21,4
60,16,5
62,18,2
64,19,2
66,19,2
67,20,1
69,20,2
71,19,2
79,26,8
80,23,1
81,20,1
83,21,2
84,21,1
86,21,2
88,15,2
89,13,1
94,18,5
96,11,2
97,11,1
99,13,2
101,14,2
103,13,2
105,14,2
107,15,2
112,20,5
114,16,2
115,16,1
116,14,1
117,13,1
118,13,1
120,11,2
123,13,3
127,17,4
128,9,1
133,13,5
135,13,2
136,14,1
138,15,2
140,16,2
143,19,3
156,31,13
168,38,12
172,40,4
173,41,1
177,40,4
178,32,1
180,31,2
183,30,3
185,31,2
186,26,1
189,29,3
214,52,25
216,54,2
218,56,2
222,58,4
223,59,1
224,60,1
227,59,3
228,59,1
230,61,2
231,61,1
233,62,2
234,63,1
237,63,3
240,65,3
241,62,1
243,63,2
244,62,1
246,59,2
249,59,3
251,61,2
253,62,2
255,59,2
256,30,1
261,35,5
263,34,2
265,36,2
267,35,2
268,36,1
270,37,2
271,36,1
274,35,3
275,36,1
277,35,2
279,37,2
281,39,2
283,38,2
284,39,1
285,38,1
287,37,2
288,38,1
290,39,2
291,37,1
294,39,3
295,38,1
297,39,2
298,39,1
300,37,2
304,38,4
305,39,1
309,43,4
311,42,2
312,43,1
314,42,2
316,44,2
327,51,11
332,54,5
338,52,6
342,55,4
362,75,20
365,75,3
366,76,1
368,72,2
378,75,10
387,71,9
391,74,4
393,76,2
394,75,1
396,77,2
397,76,1
399,78,2
400,77,1
403,80,3
405,79,2
406,80,1
408,82,2
409,82,1
411,83,2
417,87,6
419,86,2
421,88,2
422,87,1
424,89,2
425,89,1
429,93,4
430,94,1
432,95,2
433,92,1
435,94,2
436,93,1
438,94,2
441,97,3
444,99,3
446,101,2
447,100,1
449,92,2
452,95,3
454,95,2
456,95,2
457,96,1
459,98,2
460,97,1
462,99,2
465,98,3
467,100,2
468,100,1
474,105,6
475,106,1
476,105,1
478,107,2
480,107,2
482,106,2
484,108,2
516,139,32
518,141,2
520,143,2
521,142,1
524,145,3
526,146,2
528,145,2
529,146,1
531,148,2
532,147,1
534,149,2
537,152,3
538,149,1
540,151,2
541,149,1
543,151,2
545,150,2
547,152,2
548,153,1
551,153,3
553,155,2
554,153,1
556,152,2
557,152,1
559,152,2
560,152,1
562,154,2
565,155,3
567,156,2
569,157,2
570,154,1
572,156,2
573,156,1
576,156,3
577,157,1
579,158,2
580,157,1
582,158,2
583,155,1
586,157,3
587,156,1
590,158,3
592,158,2
593,158,1
595,160,2
596,157,1
598,156,2
600,158,2
601,158,1
603,160,2
604,158,1
606,160,2
606,156,0
607,157,1
608,155,1
609,155,1
610,156,1
610,155,0
611,153,1
611,152,0
612,151,1
613,150,1
614,148,1
614,148,0
615,146,1
615,146,0
616,145,1
617,146,1
618,146,1
618,146,0
620,143,2
620,142,0
621,142,1
621,141,0
622,139,1
623,140,1
624,140,1
624,139,0
625,136,1
625,136,0
627,137,2
628,137,1
628,136,0
630,138,2
630,136,0
631,137,1
631,134,0
633,131,2
633,131,0
634,132,1
635,132,1
636,133,1
636,133,0
637,133,1
638,132,1
639,133,1
640,133,1
640,133,0
641,134,1
642,133,1
643,134,1
644,133,1
645,131,1
645,131,0
646,129,1
647,130,1
647,128,0
648,129,1
649,127,1
650,128,1
651,126,1
651,125,0
653,126,2
653,123,0
655,124,2
655,124,0
656,121,1
656,121,0
668,129,12
668,128,0
669,129,1
671,129,2
671,128,0
671,125,0
672,126,1
673,126,1
674,122,1
674,122,0
675,120,1
676,121,1
677,121,1
677,119,0
678,119,1
678,115,0
679,113,1
679,113,0
681,113,2
681,113,0
683,112,2
683,112,0
685,113,2
686,112,1
687,109,1
687,108,0
688,107,1
689,107,1
690,106,1
690,105,0
691,106,1
692,104,1
693,102,1
694,103,1
694,71,0
695,72,1
695,70,0
696,71,1
697,72,1
699,73,2
699,72,0
700,72,1
701,73,1
701,72,0
702,73,1
703,74,1
705,76,2
705,76,0
706,74,1
707,75,1
707,73,0
709,75,2
709,75,0
710,75,1
710,75,0
711,74,1
712,73,1
714,75,2
716,77,2
718,79,2
718,77,0
720,79,2
720,79,0
721,79,1
721,77,0
722,78,1
723,79,1
724,79,1
724,78,0
725,79,1
726,79,1
727,80,1
728,79,1
728,79,0
729,80,1
730,80,1
730,80,0
731,81,1
732,80,1
733,81,1
734,80,1
735,81,1
736,82,1
736,82,0
737,83,1
738,84,1
744,89,6
745,88,1
747,88,2
748,89,1
749,90,1
750,91,1
751,92,1
753,93,2
759,96,6
762,82,3
762,80,0
763,81,1
763,81,0
764,81,1
765,82,1
766,81,1
766,81,0
767,82,1
768,80,1
768,80,0
770,82,2
770,81,0
772,83,2
772,83,0
773,83,1
773,82,0
774,82,1
775,82,1
776,83,1
787,94,11
788,95,1
788,95,0
789,96,1
789,94,0
790,93,1
790,92,0
791,93,1
792,94,1
792,94,0
793,94,1
794,94,1
794,94,0
795,93,1
795,93,0
796,94,1
797,94,1
798,95,1
798,94,0
800,96,2
800,96,0
801,95,1
802,96,1
802,96,0
804,97,2
804,96,0
805,97,1
806,98,1
806,98,0
808,97,2
808,97,0
809,98,1
810,99,1
810,97,0
811,98,1
811,98,0
813,100,2
813,98,0
814,99,1
815,100,1
816,101,1
817,102,1
817,101,0
818,101,1
819,102,1
820,101,1
821,102,1
822,103,1
822,103,0
823,104,1
824,105,1
825,105,1
825,103,0
826,102,1
826,102,0
827,102,1
828,103,1
829,103,1
830,104,1
830,104,0
832,105,2
832,103,0
834,105,2
834,105,0
835,106,1
835,104,0
836,105,1
836,105,0
837,105,1
838,104,1
839,105,1
840,106,1
840,106,0
842,107,2
842,107,0
844,107,2
844,107,0
845,106,1
845,106,0
846,106,1
847,107,1
848,108,1
848,108,0
849,108,1
850,109,1
850,108,0
851,109,1
852,109,1
853,110,1
853,110,0
855,112,2
856,112,1
856,112,0
857,111,1
858,112,1
858,112,0
859,112,1
859,112,0
860,113,1
861,113,1
862,114,1
863,113,1
864,114,1
865,115,1
865,115,0
866,115,1
867,115,1
869,117,2
869,117,0
869,114,0
870,115,1
871,116,1
872,117,1
872,117,0
873,117,1
873,116,0
875,118,2
876,118,1
889,131,13
890,132,1
890,132,0
891,133,1
892,134,1
892,134,0
894,134,2
895,135,1
895,134,0
896,135,1
897,136,1
898,137,1
898,137,0
898,137,0
900,136,2
901,136,1
901,135,0
902,135,1
902,135,0
903,136,1
904,137,1
905,136,1
906,137,1
907,136,1
908,137,1
908,137,0
909,138,1
910,139,1
911,140,1
912,140,1
912,138,0
913,138,1
913,137,0
914,138,1
915,138,1
915,138,0
916,139,1
917,140,1
917,140,0
919,140,2
920,141,1
920,141,0
922,143,2
922,126,0
923,127,1
923,127,0
926,129,3
926,127,0
926,127,0
927,127,1
928,128,1
929,128,1
930,129,1
931,128,1
931,128,0
932,128,1
933,129,1
934,129,1
934,128,0
936,129,2
937,130,1
937,130,0
938,131,1
939,130,1
940,131,1
940,131,0
941,130,1
942,130,1
942,130,0
943,131,1
944,132,1
945,131,1
946,131,1
947,132,1
948,133,1
948,133,0
949,134,1
949,134,0
949,133,0
951,132,2
952,133,1
952,132,0
953,133,1
954,134,1
954,134,0
955,134,1
956,135,1
957,134,1
958,134,1
958,134,0
959,135,1
960,136,1
961,137,1
962,138,1
962,135,0
963,135,1
963,135,0
964,135,1
965,136,1
966,135,1
968,137,2
968,137,0
969,138,1
969,136,0
971,138,2
971,138,0
971,138,0
972,139,1
972,137,0
974,138,2
975,139,1
975,137,0
977,139,2
977,139,0
978,139,1
979,140,1
979,138,0
981,140,2
994,153,13
996,153,2
997,154,1
997,154,0
998,155,1
999,156,1
1000,157,1
1001,157,1
1001,155,0
1002,155,1
1003,156,1
1004,156,1
1005,157,1
1005,156,0
1006,157,1
1007,157,1
1008,157,1
1008,156,0
1009,157,1
1010,157,1
1011,157,1
1012,158,1
1012,158,0
1013,159,1
1014,160,1
1014,157,0
1015,158,1
1016,159,1
1016,159,0
1017,158,1
1018,159,1
1019,160,1
1021,162,2
1021,159,0
1021,159,0
1022,160,1
1023,160,1
1024,161,1
1024,161,0
1025,162,1
1025,162,0
1026,160,1
1027,161,1
1028,162,1
1029,162,1
1029,162,0
1030,162,1
1031,163,1
1032,164,1
1033,163,1
1034,163,1
1034,163,0
1035,164,1
1035,164,0
1036,165,1
1037,166,1
1038,167,1
1040,166,2
1040,165,0
1041,166,1
1041,166,0
1043,168,2
1043,168,0
1044,169,1
1044,166,0
1045,167,1
1047,168,2
1047,168,0
1048,169,1
1048,169,0
1049,170,1
1050,171,1
1051,172,1
1051,170,0
1052,171,1
1053,172,1
1053,171,0
1055,173,2
1055,173,0
1056,174,1
1056,174,0
1058,174,2
1059,174,1
1059,174,0
1060,175,1
1062,177,2
1062,177,0
1063,178,1
1063,178,0
1065,178,2
1065,178,0
1067,179,2
1067,179,0
1067,179,0
1068,180,1
1068,180,0
1069,181,1
1070,179,1
1070,179,0
1072,180,2
1072,180,0
1074,181,2
1074,181,0
1075,182,1
1075,182,0
1076,180,1
1077,181,1
1078,182,1
1078,182,0
1079,182,1
1080,183,1
1080,183,0
1082,185,2
1083,183,1
1083,183,0
1085,185,2
1085,184,0
1099,198,14
1100,199,1
1100,197,0
1102,199,2
1102,197,0
1104,199,2
1104,199,0
1105,199,1
1105,199,0
1107,201,2
1108,202,1
1108,201,0
1110,201,2
1110,201,0
1111,201,1
1112,202,1
1112,202,0
1113,202,1
1114,203,1
1114,203,0
1115,201,1
1116,202,1
1117,203,1
1119,204,2
1119,203,0
1120,204,1
1120,203,0
1122,204,2
1122,203,0
1123,204,1
1123,204,0
1124,204,1
1125,204,1
1126,205,1
1127,206,1
1127,206,0
1128,203,1
1128,203,0
1129,204,1
1130,205,1
1131,206,1
1131,206,0
1132,207,1
1133,206,1
1133,204,0
1135,206,2
1136,207,1
1136,206,0
1137,207,1
1138,208,1
1138,206,0
1139,207,1
1141,205,2
1141,205,0
1141,204,0
1142,204,1
1143,205,1
1144,206,1
1146,207,2
1146,207,0
1147,206,1
1148,207,1
1148,206,0
1149,206,1
1150,207,1
1151,208,1
1151,207,0
1152,208,1
1153,207,1
1154,208,1
1155,209,1
1155,208,0
1156,209,1
1157,210,1
1157,210,0
1158,211,1
1159,208,1
1160,209,1
1160,209,0
1161,210,1
1162,209,1
1162,209,0
1163,210,1
1164,211,1
1165,209,1
1165,209,0
1166,210,1
1167,210,1
1167,210,0
1168,211,1
1169,212,1
1170,211,1
1171,211,1
1171,211,0
1173,212,2
1173,212,0
1174,213,1
1174,213,0
1176,215,2
1177,216,1
1177,212,0
1178,213,1
1179,214,1
1180,214,1
1180,214,0
1180,213,0
1181,214,1
1182,215,1
1183,214,1
1183,213,0
1185,215,2
1186,216,1
1186,216,0
1187,217,1
1188,218,1
1189,217,1
1189,215,0
1190,216,1
1200,226,10
1200,225,0
1201,225,1
1202,226,1
1203,227,1
1204,228,1
1205,227,1
1205,227,0
1206,228,1
1206,226,0
1207,227,1
1208,228,1
1209,229,1
1210,230,1
1210,228,0
1211,226,1
1212,227,1
1213,228,1
1213,228,0
1215,230,2
1215,229,0
1216,230,1
1217,230,1
1217,230,0
1218,231,1
1219,232,1
1219,232,0
1221,234,2
1221,234,0
1223,235,2
1223,235,0
1223,234,0
1224,235,1
1224,235,0
1225,236,1
1227,238,2
1227,238,0
1228,238,1
1229,238,1
1230,238,1
1230,238,0
1231,239,1
1232,240,1
1232,239,0
1233,240,1
1234,240,1
1234,239,0
1235,240,1
1236,240,1
1237,241,1
1237,241,0
1238,242,1
1239,243,1
1239,243,0
1241,242,2
1242,243,1
1242,242,0
1244,244,2
1244,244,0
1245,245,1
1246,246,1
1246,244,0
1247,243,1
1248,244,1
1248,244,0
1249,244,1
1250,244,1
1251,245,1
1251,245,0
1253,246,2
1254,245,1
1254,245,0
1254,245,0
1255,245,1
1256,246,1
1257,247,1
1258,248,1
1259,248,1
1259,246,0
1260,247,1
1261,248,1
1262,247,1
1262,247,0
1263,248,1
1264,249,1
1264,247,0
1266,248,2
1266,248,0
1267,249,1
1267,249,0
1269,250,2
1269,250,0
1270,250,1
1271,251,1
1271,249,0
1273,250,2
1273,250,0
1275,252,2
1275,252,0
1276,253,1
1276,253,0
1277,252,1
1278,251,1
1279,252,1
1279,251,0
1281,253,2
1281,252,0
1282,253,1
1282,252,0
1284,253,2
1284,252,0
1285,253,1
1285,252,0
1286,253,1
1287,254,1
1288,255,1
1288,255,0
1289,253,1
1300,263,11
1300,263,0
1301,264,1
1302,264,1
1303,265,1
1304,265,1
1304,265,0
1305,266,1
1306,264,1
1306,264,0
1307,265,1
1308,266,1
1309,267,1
1310,268,1
1310,268,0
1311,267,1
1311,265,0
1312,266,1
1313,267,1
1314,268,1
1315,269,1
1316,269,1
1317,270,1
1317,268,0
1318,267,1
1319,268,1
1320,269,1
1321,269,1
1321,269,0
1322,269,1
1322,269,0
1323,269,1
1324,269,1
1325,269,1
1326,270,1
1326,269,0
1327,270,1
1328,271,1
1328,271,0
1329,272,1
1330,269,1
1330,269,0
1331,270,1
1332,271,1
1333,272,1
1334,273,1
1334,271,0
1335,271,1
1336,270,1
1337,271,1
1338,272,1
1338,272,0
1339,273,1
1339,273,0
1340,269,1
1341,270,1
1344,271,3
1344,271,0
1345,272,1
1345,272,0
1346,273,1
1347,274,1
1348,275,1
1349,273,1
1350,273,1
1350,272,0
1351,273,1
1352,273,1
1353,274,1
1354,274,1
1355,275,1
1356,275,1
1356,274,0
1357,275,1
1358,276,1
1358,275,0
1360,276,2
1360,276,0
1361,277,1
1361,277,0
1363,276,2
1363,276,0
1364,277,1
1364,277,0
1365,278,1
1365,277,0
1367,279,2
1367,279,0
1369,279,2
1370,280,1
1370,280,0
1371,281,1
1371,281,0
1372,282,1
1373,283,1
1374,282,1
1375,283,1
1375,282,0
1376,283,1
1377,284,1
1377,284,0
1377,284,0
1378,285,1
1379,286,1
1380,285,1
1381,286,1
1382,287,1
1382,286,0
1383,287,1
1384,288,1
1385,289,1
1386,290,1
1386,288,0
1388,290,2
1388,290,0
1389,291,1
1390,292,1
1391,292,1
1401,302,10
1401,300,0
1402,300,1
1403,300,1
1404,301,1
1405,302,1
1405,302,0
1406,303,1
1407,304,1
1407,304,0
1408,301,1
1409,302,1
1410,303,1
1410,301,0
1410,301,0
1412,303,2
1412,303,0
1413,304,1
1414,303,1
1415,304,1
1416,304,1
1416,304,0
1417,304,1
1418,305,1
1418,305,0
1419,304,1
1420,304,1
1420,304,0
1422,306,2
1423,305,1
1423,305,0
1423,305,0
1424,306,1
1425,307,1
1427,306,2
1427,306,0
1429,308,2
1429,308,0
1430,309,1
1430,309,0
1431,310,1
1432,309,1
1433,308,1
1433,308,0
1434,309,1
1435,309,1
1436,310,1
1437,311,1
1438,310,1
1438,309,0
1439,309,1
1440,309,1
1441,310,1
1441,310,0
1442,310,1
1443,311,1
1443,311,0
1444,310,1
1445,310,1
1446,311,1
1446,311,0
1448,313,2
1449,314,1
1449,312,0
1449,312,0
1450,312,1
1451,312,1
1452,312,1
1453,313,1
1454,314,1
1454,314,0
1455,313,1
1456,313,1
1457,314,1
1458,313,1
1458,313,0
1459,314,1
1460,315,1
1461,314,1
1462,315,1
1462,315,0
1462,314,0
1464,314,2
