time (ms),latency (ms),consume (ms)
0,12,0
0,7,0
17,22,17
17,16,0
18,15,1
18,13,0
18,11,0
19,10,1
20,10,1
22,11,2
40,26,18
40,19,0
41,19,1
41,16,0
42,16,1
43,15,1
43,10,0
43,8,0
60,23,17
64,20,4
65,20,1
65,18,0
66,17,1
66,16,0
67,16,1
68,14,1
81,26,13
81,19,0
81,14,0
81,13,0
82,13,1
82,12,0
82,9,0
83,7,1
97,20,14
97,14,0
97,13,0
97,12,0
97,11,0
98,11,1
98,9,0
98,7,0
112,19,14
112,13,0
112,12,0
113,12,1
113,11,0
113,10,0
113,8,0
114,7,1
127,19,13
127,13,0
127,12,0
127,11,0
128,10,1
128,9,0
128,7,0
128,6,0
149,26,21
149,20,0
149,18,0
149,17,0
150,16,1
150,11,0
150,9,0
151,8,1
167,21,16
167,16,0
167,14,0
167,13,0
168,13,1
169,13,1
169,10,0
169,9,0
182,21,13
183,15,1
183,14,0
184,13,1
184,12,0
187,13,3
187,11,0
190,12,3
213,34,23
213,27,0
231,44,18
231,42,0
232,41,1
232,40,0
232,38,0
233,38,1
233,24,0
233,17,0
234,16,1
234,15,0
235,14,1
235,13,0
235,12,0
235,10,0
243,17,8
243,13,0
244,13,1
244,11,0
245,11,1
245,9,0
245,8,0
245,7,0
256,17,11
256,14,0
256,12,0
258,12,2
258,11,0
258,9,0
258,8,0
258,6,0
271,18,13
271,14,0
271,12,0
271,11,0
271,9,0
271,7,0
272,7,1
272,6,0
293,26,21
293,21,0
293,19,0
293,16,0
294,15,1
295,15,1
296,14,1
296,13,0
312,24,16
316,20,4
317,15,1
317,14,0
317,13,0
317,12,0
318,12,1
318,10,0
330,21,12
330,14,0
330,13,0
331,12,1
331,11,0
331,9,0
331,7,0
332,7,1
346,19,14
347,15,1
347,13,0
347,12,0
347,10,0
347,9,0
348,8,1
348,6,0
365,22,17
365,17,0
366,16,1
366,14,0
366,12,0
366,11,0
367,11,1
367,10,0
381,22,14
381,13,0
381,12,0
381,10,0
381,9,0
382,8,1
382,6,0
382,5,0
397,19,15
397,14,0
397,13,0
398,12,1
399,12,1
399,10,0
399,8,0
400,8,1
411,17,11
411,11,0
411,10,0
413,11,2
413,10,0
413,9,0
413,8,0
414,8,1
429,21,15
429,15,0
430,15,1
430,11,0
430,9,0
430,8,0
430,6,0
431,6,1
443,17,12
443,12,0
443,10,0
443,9,0
444,9,1
444,8,0
444,7,0
444,6,0
457,17,13
457,12,0
457,11,0
457,10,0
458,10,1
458,9,0
458,8,0
458,6,0
474,20,16
474,15,0
474,14,0
474,12,0
475,11,1
475,10,0
475,8,0
475,6,0
491,20,16
491,15,0
491,13,0
491,12,0
492,11,1
492,9,0
492,8,0
492,6,0
513,26,21
514,19,1
514,18,0
515,17,1
515,15,0
515,14,0
515,13,0
516,12,1
522,17,6
523,15,1
523,14,0
523,12,0
524,11,1
524,10,0
524,9,0
524,7,0
535,16,11
535,13,0
535,12,0
535,10,0
536,10,1
537,9,1
537,8,0
537,6,0
548,16,11
548,12,0
548,11,0
548,10,0
549,10,1
549,8,0
549,7,0
550,6,1
562,17,12
562,12,0
562,11,0
562,10,0
562,9,0
563,9,1
563,8,0
563,6,0
576,18,13
576,12,0
576,11,0
576,10,0
576,9,0
577,8,1
577,7,0
577,5,0
589,16,12
590,13,1
590,11,0
590,10,0
590,9,0
590,8,0
591,8,1
591,6,0
606,19,15
606,15,0
606,13,0
607,12,1
607,11,0
607,9,0
607,7,0
607,6,0
621,18,14
621,13,0
622,12,1
622,11,0
622,9,0
622,8,0
622,6,0
623,6,1
635,17,12
635,12,0
636,12,1
636,11,0
636,10,0
636,9,0
636,7,0
637,7,1
650,18,13
650,13,0
651,12,1
651,11,0
651,9,0
651,7,0
651,6,0
651,5,0
666,19,15
667,15,1
667,13,0
667,12,0
667,10,0
667,8,0
667,7,0
668,6,1
691,27,23
691,23,0
692,23,1
692,9,0
692,8,0
692,7,0
692,6,0
693,6,1
705,17,12
705,12,0
705,10,0
705,9,0
705,8,0
706,8,1
706,7,0
706,6,0
718,16,12
718,12,0
718,10,0
719,9,1
719,8,0
719,7,0
719,6,0
719,5,0
733,18,14
733,13,0
734,13,1
734,11,0
734,9,0
734,8,0
734,7,0
735,7,1
746,16,11
746,11,0
746,10,0
748,11,2
749,11,1
750,11,1
750,10,0
751,10,1
759,16,8
760,11,1
760,10,0
760,9,0
760,7,0
761,7,1
777,22,16
777,21,0
778,21,1
778,16,0
779,16,1
779,15,0
779,13,0
780,13,1
780,12,0
780,10,0
788,17,8
788,14,0
788,13,0
788,12,0
789,11,1
789,10,0
789,8,0
792,10,3
814,30,22
814,27,0
814,26,0
815,25,1
815,24,0
815,23,0
815,21,0
824,28,9
832,21,8
832,14,0
832,13,0
833,12,1
833,11,0
833,9,0
835,10,2
835,8,0
843,15,8
844,13,1
844,11,0
844,10,0
844,9,0
845,9,1
845,8,0
845,7,0
853,13,8
853,11,0
854,11,1
854,10,0
855,9,1
855,8,0
855,6,0
856,6,1
865,14,9
866,12,1
866,11,0
866,10,0
866,8,0
866,7,0
867,6,1
867,5,0
880,17,13
880,13,0
880,11,0
881,11,1
881,9,0
881,7,0
881,6,0
881,5,0
896,19,15
896,14,0
896,13,0
896,11,0
896,10,0
897,9,1
897,7,0
897,6,0
908,15,11
908,10,0
909,10,1
909,9,0
909,8,0
909,7,0
909,6,0
910,6,1
923,18,13
923,13,0
923,11,0
924,11,1
924,10,0
924,9,0
924,7,0
924,6,0
939,19,15
939,14,0
939,13,0
940,12,1
940,10,0
940,9,0
940,7,0
940,6,0
954,18,14
954,13,0
954,12,0
955,11,1
955,10,0
955,9,0
955,7,0
955,6,0
970,19,15
970,14,0
971,14,1
971,12,0
971,10,0
971,9,0
971,7,0
973,7,2
985,18,12
985,11,0
986,11,1
986,9,0
986,8,0
986,7,0
986,6,0
987,6,1
1000,18,13
1001,14,1
1001,12,0
1001,11,0
1001,9,0
1001,8,0
1001,6,0
1002,6,1
1015,18,13
1015,13,0
1016,13,1
1016,12,0
1016,10,0
1016,9,0
1016,7,0
1017,6,1
1030,18,13
1030,13,0
1031,12,1
1044,24,13
1045,23,1
1045,22,0
1048,23,3
1049,23,1
1049,22,0
1049,15,0
1050,15,1
1050,13,0
1050,12,0
1050,10,0
1051,10,1
1051,8,0
1061,16,10
1062,14,1
1062,13,0
1062,11,0
1063,11,1
1063,9,0
1063,7,0
1063,6,0
1072,14,9
1072,11,0
1073,11,1
1073,9,0
1073,8,0
1073,7,0
1073,6,0
1074,6,1
1086,17,12
1086,12,0
1086,10,0
1086,9,0
1086,8,0
1087,8,1
1087,7,0
1087,6,0
1101,18,14
1101,14,0
1101,12,0
1101,10,0
1101,9,0
1102,8,1
1102,6,0
1102,5,0
1127,29,25
1127,24,0
1128,24,1
1128,22,0
1128,21,0
1128,19,0
1128,18,0
1129,18,1
1142,18,13
1142,13,0
1142,11,0
1142,10,0
1143,10,1
