time (ms),latency (ms),consume (ms)
0,22,0
19,27,19
34,30,15
49,24,15
61,19,12
74,19,13
86,19,12
97,17,11
109,14,12
120,14,11
131,14,11
143,14,12
154,14,11
165,14,11
175,13,10
190,18,15
198,16,8
210,17,12
219,15,9
229,14,10
243,16,14
253,15,10
264,14,11
276,15,12
286,14,10
297,14,11
308,14,11
319,14,11
329,13,10
339,13,10
351,15,12
361,14,10
372,14,11
383,14,11
395,14,12
405,14,10
416,14,11
427,14,11
438,14,11
462,27,24
463,18,1
470,14,7
481,14,11
492,14,11
517,28,25
527,28,10
538,13,11
548,13,10
559,13,11
569,13,10
580,13,11
590,13,10
601,13,11
611,13,10
622,13,11
632,13,10
643,13,11
653,13,10
664,13,11
677,16,13
686,13,9
698,14,12
708,14,10
719,14,11
729,14,10
742,15,13
751,14,9
761,13,10
772,13,11
783,14,11
793,13,10
804,14,11
815,14,11
825,13,10
836,14,11
846,13,10
857,14,11
867,13,10
878,13,11
889,14,11
899,13,10
912,16,13
921,14,9
932,14,11
942,14,10
953,14,11
964,14,11
975,13,11
986,14,11
995,12,9
1010,17,15
1018,13,8
1029,14,11
1040,13,11
1051,14,11
1062,13,11
1073,14,11
1083,13,10
1094,14,11
1104,13,10
1115,14,11
1125,13,10
1135,13,10
1146,13,11
1157,14,11
1168,13,11
1179,14,11
1190,13,11
1200,13,10
1211,13,11
1221,13,10
1232,13,11
1243,14,11
1256,16,13
1266,15,10
1278,14,12
1288,14,10
1298,13,10
1310,15,12
1320,13,10
1330,13,10
1343,16,13
1353,15,10
1365,15,12
1376,15,11
1386,13,10
1399,15,13
1410,16,11
1424,18,14
1436,19,12
1450,18,14
1463,19,13
1471,13,8
1481,12,10
1493,14,12
1503,12,10
1514,13,11
1524,12,10
1536,14,12
1546,13,10
1561,18,15
1567,13,6
1578,14,11
1588,13,10
1598,13,10
1609,13,11
1620,14,11
1631,13,11
1641,13,10
1652,14,11
1662,13,10
1673,13,11
1684,14,11
1695,13,11
1706,14,11
1717,13,11
1728,14,11
1739,13,11
1750,14,11
1760,13,10
1770,13,10
1781,13,11
1792,14,11
1804,14,12
1825,25,21
1826,14,1
1835,13,9
1846,13,11
1856,13,10
1867,13,11
1877,13,10
1888,13,11
1898,13,10
1918,23,20
1928,23,10
1963,37,35
1965,22,2
1970,15,5
1980,14,10
1991,13,11
2001,12,10
2012,13,11
2022,13,10
2033,13,11
2047,16,14
2055,14,8
2067,15,12
2076,14,9
2087,14,11
2097,13,10
2107,13,10
2118,14,11
