time (ms),latency (ms),consume (ms)
0,16,0
3,14,3
3,12,0
3,11,0
4,10,1
4,9,0
4,7,0
4,5,0
4,3,0
6,3,2
7,3,1
7,1,0
9,2,2
11,2,2
14,3,3
15,3,1
15,1,0
18,3,3
18,1,0
21,3,3
22,2,1
24,3,2
24,1,0
26,2,2
28,2,2
32,5,4
33,4,1
33,3,0
35,3,2
36,2,1
36,1,0
38,1,2
40,2,2
42,2,2
43,2,1
46,3,3
47,2,1
48,2,1
49,1,1
51,2,2
53,2,2
54,2,1
55,2,1
56,1,1
58,2,2
59,1,1
61,2,2
63,2,2
64,2,1
65,1,1
67,2,2
68,1,1
70,2,2
71,1,1
73,2,2
74,1,1
76,2,2
77,1,1
79,2,2
80,1,1
81,1,1
83,2,2
85,2,2
86,1,1
88,2,2
89,1,1
90,1,1
92,2,2
93,1,1
95,2,2
97,2,2
98,2,1
99,1,1
101,2,2
102,1,1
104,2,2
106,2,2
107,2,1
108,1,1
110,2,2
112,2,2
114,2,2
115,2,1
117,2,2
118,1,1
120,2,2
121,1,1
123,2,2
124,1,1
126,2,2
127,1,1
129,2,2
130,2,1
132,2,2
133,1,1
135,2,2
136,1,1
138,2,2
139,1,1
141,2,2
142,1,1
144,2,2
145,1,1
147,2,2
149,2,2
150,2,1
151,1,1
153,1,2
155,2,2
156,1,1
158,2,2
159,1,1
161,2,2
162,1,1
164,1,2
166,2,2
167,1,1
169,2,2
170,1,1
172,1,2
173,1,1
175,1,2
177,2,2
178,1,1
180,1,2
182,2,2
183,1,1
185,1,2
187,2,2
188,1,1
190,2,2
191,1,1
193,1,2
195,2,2
196,2,1
197,1,1
199,2,2
200,1,1
202,2,2
203,1,1
205,2,2
206,1,1
207,1,1
209,2,2
210,1,1
212,2,2
213,1,1
215,2,2
216,1,1
218,1,2
220,2,2
221,1,1
222,1,1
224,1,2
226,2,2
227,1,1
229,1,2
230,1,1
234,1,4
236,1,2
237,1,1
239,1,2
240,1,1
242,1,2
243,1,1
245,1,2
247,2,2
248,1,1
250,2,2
251,1,1
253,2,2
254,1,1
255,1,1
257,1,2
259,2,2
260,1,1
262,2,2
263,1,1
265,1,2
266,1,1
268,1,2
270,2,2
271,1,1
272,1,1
274,1,2
276,2,2
277,1,1
279,2,2
280,1,1
282,2,2
283,1,1
285,2,2
286,1,1
287,1,1
289,2,2
290,1,1
292,2,2
293,1,1
295,2,2
297,2,2
297,1,0
299,2,2
300,1,1
302,2,2
303,1,1
304,1,1
306,2,2
307,1,1
309,2,2
310,1,1
311,1,1
313,2,2
314,1,1
316,2,2
317,1,1
318,1,1
320,2,2
339,19,19
339,18,0
339,16,0
339,15,0
340,14,1
340,13,0
340,12,0
340,10,0
340,9,0
340,7,0
340,6,0
340,4,0
340,3,0
340,1,0
342,2,2
343,1,1
345,2,2
346,1,1
347,1,1
349,2,2
350,1,1
352,2,2
353,1,1
355,2,2
356,1,1
357,1,1
359,1,2
361,2,2
362,1,1
364,2,2
365,1,1
366,1,1
368,2,2
370,2,2
371,1,1
373,2,2
