time (ms),latency (ms),consume (ms)
0,30,0
2,18,2
41,46,39
42,37,1
42,26,0
43,17,1
43,6,0
51,3,8
62,4,11
110,41,48
110,31,0
111,21,1
113,13,2
149,38,36
149,26,0
150,16,1
193,42,43
193,31,0
195,21,2
198,13,3
233,37,35
233,27,0
233,16,0
234,6,1
272,34,38
273,23,1
274,14,1
316,42,42
317,30,1
318,21,1
318,10,0
356,37,38
357,26,1
357,13,0
400,42,43
401,33,1
401,22,0
401,11,0
441,39,40
441,28,0
441,18,0
442,7,1
481,35,39
481,25,0
481,14,0
481,3,0
520,28,39
521,18,1
521,6,0
569,42,48
569,32,0
570,23,1
570,13,0
609,38,39
609,28,0
609,17,0
609,6,0
649,36,40
649,25,0
649,14,0
650,5,1
688,32,38
689,22,1
689,12,0
732,43,43
735,35,3
735,24,0
735,13,0
773,37,38
773,27,0
773,17,0
774,8,1
812,33,38
813,24,1
813,13,0
856,42,43
867,43,11
868,32,1
868,22,0
898,35,30
898,25,0
899,15,1
937,41,38
937,30,0
937,20,0
939,11,2
976,38,37
977,28,1
977,18,0
1024,54,47
1025,31,1
1025,20,0
1026,11,1
1065,37,39
1065,27,0
1065,16,0
1066,6,1
1104,34,38
1105,24,1
1105,13,0
1145,43,40
1145,29,0
1145,19,0
1146,9,1
1185,38,39
1185,28,0
1185,17,0
1186,7,1
1225,36,39
1225,25,0
1225,14,0
1225,4,0
1265,33,40
1265,22,0
1265,11,0
1308,42,43
1309,33,1
1309,23,0
1311,14,2
1349,38,38
1349,27,0
1349,16,0
1350,7,1
1388,34,38
1389,25,1
1390,13,1
1433,43,43
1438,37,5
1438,26,0
1439,16,1
1473,36,34
1478,28,5
1481,16,3
1516,40,35
1517,30,1
1517,20,0
1517,9,0
1557,39,40
1557,28,0
1557,18,0
1558,9,1
1597,37,39
1597,27,0
1597,16,0
1597,6,0
1637,36,40
1638,26,1
1639,16,1
1639,6,0
1678,35,39
1678,25,0
1678,14,0
1717,41,39
1717,31,0
1717,21,0
1718,11,1
1757,40,39
1757,29,0
1757,18,0
1758,9,1
1796,36,38
1797,26,1
1797,16,0
1837,40,40
1837,29,0
1837,19,0
1837,8,0
1877,38,40
1877,28,0
1877,17,0
1877,7,0
1917,36,40
1917,26,0
1918,17,1
1919,7,1
1957,34,38
1957,24,0
1957,13,0
2002,44,45
2002,34,0
2002,24,0
2002,14,0
2041,38,39
2041,28,0
2041,18,0
2042,9,1
2081,37,39
2081,27,0
2082,17,1
2082,4,0
2120,32,38
2121,23,1
2121,13,0
2164,42,43
2165,32,1
2165,21,0
2165,10,0
2205,39,40
2205,29,0
2205,18,0
2206,9,1
2245,34,39
2245,24,0
2246,15,1
2246,5,0
2286,34,40
2286,23,0
2286,13,0
2325,41,39
2325,30,0
2325,20,0
2325,9,0
2365,38,40
2365,27,0
2366,18,1
2366,7,0
2405,35,39
2405,25,0
2405,14,0
2405,4,0
2444,33,39
2445,23,1
2445,13,0
2488,46,43
2489,33,1
2489,22,0
2489,12,0
2529,39,40
2529,29,0
2529,18,0
2529,8,0
2569,38,40
2569,27,0
2569,17,0
2569,7,0
