time (ms),latency (ms),consume (ms)
0,11,0
1,5,1
1,3,0
2,2,1
5,4,3
5,2,0
6,1,1
8,2,2
10,2,2
12,1,2
15,2,3
17,2,2
19,2,2
21,2,2
22,1,1
24,2,2
26,2,2
27,2,1
29,2,2
30,1,1
32,2,2
33,1,1
35,2,2
37,2,2
38,2,1
40,2,2
41,2,1
43,2,2
45,2,2
46,2,1
48,2,2
50,2,2
51,2,1
53,2,2
54,1,1
56,2,2
58,2,2
60,2,2
62,2,2
65,1,3
68,2,3
69,2,1
71,2,2
72,1,1
74,2,2
76,2,2
77,2,1
78,1,1
80,1,2
82,2,2
83,1,1
85,2,2
87,2,2
88,1,1
90,2,2
91,1,1
93,1,2
95,2,2
96,1,1
98,2,2
100,2,2
101,1,1
103,1,2
105,2,2
106,1,1
108,2,2
110,2,2
111,1,1
113,2,2
114,1,1
116,2,2
118,2,2
119,2,1
121,2,2
122,1,1
124,2,2
125,1,1
127,2,2
128,1,1
130,2,2
132,2,2
134,2,2
135,2,1
137,2,2
138,1,1
140,2,2
141,1,1
143,1,2
144,1,1
146,2,2
147,1,1
149,2,2
150,1,1
152,1,2
153,1,1
155,1,2
157,2,2
158,1,1
160,1,2
162,2,2
163,1,1
164,1,1
166,1,2
167,1,1
169,2,2
170,1,1
172,2,2
173,1,1
175,2,2
176,1,1
178,2,2
179,1,1
181,2,2
182,1,1
184,2,2
186,2,2
187,1,1
189,2,2
190,1,1
192,1,2
194,1,2
196,2,2
198,2,2
200,2,2
202,2,2
204,2,2
206,2,2
208,2,2
209,1,1
211,1,2
213,2,2
214,1,1
216,1,2
218,2,2
219,1,1
221,2,2
222,1,1
224,2,2
225,1,1
226,1,1
228,1,2
229,1,1
231,2,2
232,1,1
234,2,2
235,1,1
237,2,2
238,1,1
240,2,2
241,1,1
243,2,2
244,1,1
246,1,2
247,1,1
249,2,2
250,1,1
252,2,2
253,1,1
255,2,2
256,1,1
258,2,2
259,1,1
261,2,2
262,1,1
263,1,1
265,1,2
267,2,2
268,1,1
270,2,2
271,1,1
273,2,2
274,1,1
275,1,1
277,1,2
279,2,2
280,1,1
281,1,1
283,1,2
284,1,1
286,1,2
287,1,1
290,2,3
291,1,1
293,1,2
298,5,5
299,4,1
299,3,0
300,2,1
301,2,1
303,2,2
304,2,1
306,2,2
307,1,1
309,2,2
311,2,2
312,1,1
314,2,2
315,1,1
317,2,2
319,2,2
320,1,1
322,2,2
323,1,1
324,1,1
326,2,2
327,1,1
329,2,2
330,2,1
331,1,1
333,2,2
334,1,1
335,1,1
337,2,2
338,1,1
340,2,2
341,1,1
342,1,1
356,14,14
356,12,0
356,11,0
356,9,0
356,8,0
356,6,0
356,3,0
357,2,1
358,2,1
359,1,1
361,2,2
362,1,1
363,1,1
365,2,2
366,1,1
368,2,2
369,1,1
370,1,1
372,2,2
373,1,1
375,2,2
376,1,1
377,1,1
379,2,2
380,1,1
382,2,2
383,1,1
384,1,1
386,1,2
388,1,2
390,2,2
391,1,1
393,2,2
394,1,1
395,1,1
397,2,2
398,1,1
400,1,2
402,2,2
404,2,2
410,6,6
411,5,1
411,4,0
411,3,0
411,1,0
413,2,2
417,4,4
418,4,1
418,2,0
419,1,1
421,2,2
422,1,1
426,4,4
426,3,0
426,1,0
428,2,2
429,1,1
431,1,2
433,2,2
434,2,1
435,1,1
437,2,2
438,1,1
439,1,1
440,1,1
442,1,2
443,1,1
444,1,1
446,1,2
447,1,1
448,1,1
450,1,2
451,1,1
452,1,1
454,1,2
455,1,1
457,2,2
458,1,1
459,1,1
461,1,2
463,1,2
465,1,2
467,1,2
468,1,1
470,2,2
471,1,1
472,1,1
474,2,2
475,1,1
477,2,2
478,1,1
481,2,3
483,2,2
484,1,1
486,2,2
487,1,1
