time (ms),latency (ms),consume (ms)
0,9,0
13,4,13
23,2,10
35,2,12
48,3,13
60,2,12
72,1,12
84,1,12
97,3,13
108,1,11
121,2,13
133,2,12
145,2,12
159,4,14
171,1,12
182,1,11
195,2,13
207,1,12
220,2,13
233,2,13
245,1,12
257,2,12
268,1,11
281,2,13
293,1,12
306,1,13
319,1,13
331,1,12
343,1,12
357,1,14
369,1,12
384,2,15
396,1,12
408,1,12
420,1,12
431,1,11
443,1,12
455,2,12
467,2,12
479,1,12
491,1,12
503,1,12
514,1,11
526,1,12
538,1,12
551,2,13
562,1,11
576,3,14
588,1,12
600,2,12
612,2,12
624,1,12
636,1,12
648,1,12
660,2,12
673,2,13
684,1,11
697,1,13
709,2,12
722,2,13
735,2,13
749,2,14
763,2,14
779,3,16
793,2,14
808,2,15
821,2,13
833,2,12
846,2,13
859,2,13
872,2,13
886,3,14
900,2,14
913,2,13
937,2,24
950,2,13
963,2,13
977,2,14
992,2,15
1006,3,14
1020,2,14
1034,3,14
1048,3,14
1065,6,17
1077,1,12
1089,1,12
1102,2,13
1115,2,13
1127,1,12
1141,2,14
1154,2,13
1167,2,13
1180,2,13
1194,3,14
1206,1,12
1219,2,13
1232,2,13
1243,1,11
1256,2,13
1268,1,12
1280,1,12
1291,1,11
1303,1,12
1314,1,11
1326,1,12
1337,1,11
1349,1,12
1361,1,12
1373,2,12
1384,1,11
1395,1,11
1408,2,13
1423,1,15
1435,2,12
1446,1,11
1459,1,13
1470,1,11
1482,1,12
1497,4,15
1509,1,12
1522,2,13
1535,2,13
1547,1,12
1560,1,13
1573,2,13
1585,1,12
1599,1,14
1611,2,12
1622,1,11
1634,1,12
1645,1,11
1656,1,11
1667,1,11
1679,1,12
1690,1,11
1701,1,11
1713,1,12
1726,2,13
1738,1,12
1751,2,13
1763,1,12
1776,2,13
1788,1,12
1803,3,15
1815,1,12
1828,2,13
1842,3,14
1855,2,13
1868,2,13
1881,2,13
1894,2,13
1910,2,16
1923,2,13
1936,2,13
1950,1,14
1963,2,13
1977,2,14
1990,2,13
2008,2,18
2021,1,13
2034,2,13
2047,2,13
2059,1,12
2072,2,13
2084,1,12
2096,1,12
2109,2,13
2122,2,13
2136,3,14
2151,2,15
2164,1,13
2177,2,13
2189,2,12
2202,2,13
2215,2,13
2228,2,13
2241,2,13
2253,1,12
2266,2,13
2281,2,15
2294,2,13
2307,2,13
2320,2,13
2333,2,13
2348,2,15
2362,1,14
2376,3,14
2390,2,14
2404,2,14
2416,1,12
2431,1,15
2454,2,23
2468,2,14
2480,1,12
2493,2,13
2505,1,12
2517,1,12
2530,2,13
2542,1,12
2555,2,13
2567,1,12
2580,2,13
2593,2,13
2606,2,13
2619,2,13
2632,2,13
2645,2,13
2657,1,12
2670,2,13
2682,1,12
2695,2,13
2708,2,13
2720,1,12
2732,1,12
2745,2,13
2757,1,12
2770,2,13
2799,18,29
2802,3,3
2812,1,10
2825,3,13
2837,2,12
2852,5,15
2864,2,12
2876,2,12
2888,2,12
2899,1,11
2911,2,12
2922,1,11
2934,2,12
2946,2,12
2958,2,12
2970,2,12
2981,1,11
2994,2,13
3009,4,15
3027,5,18
3041,3,14
3056,3,15
3069,2,13
3083,2,14
3097,3,14
3112,3,15
3127,4,15
3142,2,15
3158,3,16
3173,2,15
3188,2,15
3202,3,14
3216,3,14
3282,50,66
3283,33,1
3284,12,1
3288,3,4
3300,3,12
3314,2,14
3328,2,14
3340,1,12
3354,3,14
3368,3,14
3381,2,13
3393,1,12
3406,2,13
3418,1,12
3431,2,13
3444,2,13
3457,2,13
3476,8,19
3490,2,14
3504,3,14
3516,2,12
3528,2,12
3541,2,13
3554,2,13
3567,2,13
3580,2,13
3593,2,13
3606,2,13
3619,2,13
3632,2,13
3645,2,13
3659,3,14
3672,2,13
3685,2,13
3698,2,13
3710,1,12
3723,2,13
3736,2,13
3750,2,14
3762,1,12
3775,2,13
3789,2,14
3802,2,13
3815,2,13
3827,2,12
3840,2,13
3856,5,16
3872,2,16
3885,2,13
3897,1,12
3912,4,15
3925,2,13
3937,1,12
3950,2,13
3962,1,12
3976,2,14
3990,3,14
4002,1,12
4015,2,13
4027,2,12
4041,2,14
4054,2,13
4067,2,13
4080,2,13
4093,2,13
4105,1,12
4118,2,13
4133,4,15
4145,1,12
4166,2,21
4179,1,13
4193,3,14
4205,1,12
4217,1,12
4232,4,15
4249,3,17
4261,1,12
4273,1,12
4289,5,16
4301,1,12
4314,2,13
4326,1,12
4339,2,13
4352,2,13
4364,2,12
4376,1,12
4388,1,12
4400,1,12
4412,1,12
4425,2,13
4437,2,12
4450,2,13
4463,2,13
4476,1,13
4493,2,17
4505,2,12
4518,2,13
4531,2,13
4544,2,13
4556,1,12
4569,2,13
4583,3,14
4596,2,13
4610,3,14
4624,3,14
4637,2,13
4651,2,14
4665,2,14
4679,2,14
4692,2,13
4705,2,13
4719,3,14
4732,2,13
4746,3,14
4759,2,13
4773,2,14
4787,2,14
4802,2,15
4816,3,14
4829,2,13
4850,5,21
4866,2,16
4879,2,13
4894,3,15
4909,3,15
4923,2,14
4940,2,17
4956,4,16
4971,2,15
4988,6,17
5000,1,12
5013,2,13
5026,2,13
5076,7,50
5096,6,20
5109,2,13
5122,2,13
5135,2,13
5148,2,13
5162,3,14
5175,2,13
5188,2,13
5205,2,17
5217,2,12
5230,2,13
5243,2,13
5256,2,13
5270,3,14
5284,3,14
5297,2,13
5310,1,13
5324,3,14
5339,4,15
5353,2,14
5366,2,13
5379,2,13
5393,2,14
5406,2,13
5418,1,12
5432,3,14
5445,2,13
5458,2,13
5471,2,13
5484,2,13
5498,3,14
5510,1,12
5523,2,13
5535,1,12
5548,2,13
5560,1,12
5572,1,12
5585,2,13
5597,1,12
5614,3,17
5627,2,13
5641,2,14
5654,2,13
5666,1,12
5679,2,13
5692,2,13
5704,1,12
5716,1,12
5729,2,13
5741,1,12
5756,4,15
5768,1,12
5781,2,13
5793,1,12
5807,2,14
5821,3,14
5834,2,13
5847,2,13
5860,2,13
5874,3,14
5890,4,16
5903,2,13
5917,2,14
5931,2,14
5945,3,14
5959,3,14
5973,3,14
5989,3,16
6002,2,13
6016,3,14
6029,2,13
6041,2,12
6054,2,13
6067,2,13
6080,2,13
6093,2,13
6106,2,13
6118,1,12
6131,2,13
6144,2,13
6157,2,13
6170,2,13
6182,1,12
6196,3,14
6209,2,13
6221,1,12
6234,2,13
6248,2,14
6261,2,13
6274,2,13
6287,2,13
6300,2,13
6313,2,13
6327,2,14
6340,2,13
6352,1,12
6365,2,13
6378,2,13
6391,2,13
6404,2,13
6420,5,16
6437,3,17
6449,1,12
6462,2,13
6475,2,13
6487,1,12
6500,2,13
6513,2,13
6525,1,12
6538,2,13
6550,2,12
6563,2,13
6575,2,12
6588,2,13
6601,2,13
6614,3,13
6627,2,13
6639,1,12
6652,2,13
6664,1,12
6677,2,13
6696,2,19
6711,3,15
6723,1,12
6735,1,12
6746,1,11
6760,4,14
6772,2,12
6784,1,12
6795,1,11
6807,1,12
6818,1,11
6829,0,11
6841,1,12
6852,1,11
6863,0,11
6875,1,12
6886,1,11
6897,1,11
6908,1,11
6920,2,12
6932,1,12
6944,1,12
6955,1,11
6966,1,11
6978,1,12
6989,1,11
7000,1,11
7011,1,11
7022,1,11
7033,1,11
7044,1,11
7055,1,11
7066,1,11
7077,0,11
7088,0,11
7099,1,11
7110,1,11
7123,3,13
