time (ms),latency (ms),consume (ms)
0,12,0
1,9,1
3,9,2
3,8,0
3,6,0
3,4,0
3,2,0
5,2,2
7,3,2
8,2,1
9,1,1
11,2,2
12,1,1
14,2,2
15,1,1
18,2,3
19,2,1
20,1,1
22,2,2
23,1,1
25,2,2
27,2,2
28,1,1
30,2,2
31,1,1
33,2,2
35,2,2
36,2,1
37,1,1
39,2,2
41,2,2
43,2,2
44,1,1
46,2,2
48,2,2
50,2,2
51,2,1
53,2,2
54,1,1
56,1,2
58,2,2
59,1,1
61,2,2
62,1,1
64,2,2
66,2,2
67,1,1
69,2,2
70,1,1
72,2,2
73,1,1
75,2,2
76,1,1
78,1,2
80,2,2
81,1,1
83,2,2
85,2,2
86,1,1
88,2,2
90,2,2
91,1,1
93,2,2
95,2,2
96,1,1
98,2,2
99,1,1
101,2,2
102,1,1
104,2,2
105,1,1
107,2,2
108,1,1
110,1,2
112,2,2
113,1,1
115,2,2
116,1,1
118,2,2
119,1,1
121,2,2
123,2,2
125,2,2
127,3,2
130,4,3
130,3,0
130,1,0
132,2,2
133,1,1
135,1,2
137,1,2
139,1,2
142,2,3
144,2,2
145,1,1
147,1,2
149,2,2
151,2,2
152,1,1
154,2,2
156,2,2
157,1,1
159,2,2
160,1,1
162,2,2
163,1,1
165,2,2
166,1,1
168,2,2
170,2,2
171,2,1
174,3,3
178,4,4
179,1,1
181,2,2
183,2,2
185,2,2
188,2,3
189,1,1
191,2,2
192,1,1
194,2,2
196,2,2
197,1,1
199,2,2
200,1,1
202,2,2
204,2,2
205,1,1
207,2,2
208,1,1
210,2,2
212,2,2
213,2,1
214,2,1
216,2,2
217,2,1
219,2,2
220,2,1
221,1,1
223,2,2
224,1,1
226,2,2
227,2,1
228,1,1
230,2,2
231,1,1
233,2,2
234,1,1
236,2,2
237,1,1
239,2,2
240,1,1
241,1,1
243,2,2
244,1,1
245,1,1
247,1,2
249,2,2
250,1,1
251,1,1
253,2,2
254,1,1
256,2,2
257,1,1
259,2,2
260,1,1
262,1,2
263,1,1
265,1,2
267,2,2
268,1,1
270,2,2
271,1,1
272,1,1
274,1,2
275,1,1
277,1,2
278,1,1
280,1,2
281,1,1
283,1,2
284,1,1
286,2,2
287,1,1
289,2,2
290,1,1
292,1,2
293,1,1
295,1,2
297,2,2
298,1,1
300,2,2
301,1,1
303,2,2
304,1,1
306,1,2
307,1,1
309,1,2
311,2,2
312,1,1
313,1,1
315,1,2
316,1,1
318,2,2
319,1,1
321,2,2
322,1,1
324,2,2
325,1,1
327,2,2
328,1,1
330,1,2
331,1,1
333,2,2
347,2,14
349,2,2
363,14,14
363,13,0
363,11,0
364,11,1
364,9,0
364,7,0
364,6,0
364,4,0
364,3,0
364,1,0
365,1,1
367,1,2
369,1,2
371,1,2
373,1,2
375,1,2
377,1,2
380,2,3
381,1,1
382,1,1
383,1,1
385,1,2
386,1,1
388,2,2
389,1,1
390,1,1
392,1,2
394,2,2
395,1,1
396,1,1
398,1,2
399,1,1
401,2,2
402,1,1
404,2,2
405,1,1
407,2,2
408,1,1
410,1,2
411,1,1
413,1,2
414,1,1
416,1,2
417,1,1
419,2,2
420,1,1
422,1,2
423,1,1
425,2,2
426,1,1
428,1,2
429,1,1
431,1,2
433,2,2
434,1,1
436,2,2
437,1,1
439,2,2
440,1,1
442,1,2
443,1,1
445,1,2
447,2,2
448,1,1
450,2,2
451,1,1
453,1,2
454,1,1
456,2,2
457,1,1
460,3,3
460,1,0
461,1,1
463,2,2
464,1,1
466,2,2
467,1,1
468,1,1
470,1,2
471,1,1
473,1,2
474,1,1
476,2,2
478,2,2
479,1,1
480,1,1
482,1,2
483,1,1
485,2,2
486,1,1
487,1,1
489,1,2
490,1,1
492,2,2
493,1,1
494,1,1
496,1,2
497,1,1
499,1,2
500,1,1
502,1,2
503,1,1
505,1,2
507,2,2
508,1,1
509,0,1
511,1,2
512,0,1
514,1,2
515,1,1
517,1,2
518,1,1
520,2,2
521,1,1
522,1,1
524,2,2
525,1,1
526,1,1
528,1,2
529,1,1
530,1,1
532,1,2
533,1,1
534,1,1
536,1,2
539,3,3
539,1,0
540,1,1
542,1,2
543,1,1
544,1,1
546,1,2
547,1,1
548,0,1
550,1,2
551,1,1
553,1,2
554,1,1
556,2,2
557,1,1
558,1,1
559,1,1
561,1,2
562,1,1
565,3,3
565,1,0
567,2,2
568,2,1
569,1,1
570,1,1
571,1,1
572,1,1
574,1,2
575,1,1
576,0,1
578,1,2
579,1,1
581,1,2
583,2,2
584,2,1
585,1,1
587,2,2
588,1,1
589,1,1
591,1,2
592,1,1
594,1,2
595,1,1
597,1,2
598,1,1
600,2,2
601,1,1
603,2,2
604,1,1
605,1,1
607,2,2
608,1,1
609,1,1
611,1,2
612,1,1
614,2,2
615,1,1
617,2,2
618,1,1
619,1,1
621,2,2
622,1,1
624,2,2
625,1,1
626,1,1
628,1,2
629,1,1
631,2,2
632,1,1
633,1,1
635,2,2
636,1,1
637,1,1
639,1,2
640,1,1
642,1,2
643,1,1
645,2,2
646,1,1
647,1,1
649,1,2
650,1,1
652,2,2
653,1,1
660,7,7
666,11,6
666,10,0
666,8,0
666,7,0
666,6,0
668,6,2
668,5,0
668,4,0
669,3,1
669,2,0
670,1,1
672,2,2
673,1,1
674,1,1
676,2,2
677,1,1
678,1,1
680,2,2
681,1,1
682,1,1
684,2,2
685,1,1
686,1,1
688,1,2
689,1,1
690,1,1
692,1,2
693,1,1
694,1,1
696,1,2
697,1,1
698,1,1
700,1,2
701,1,1
702,1,1
704,1,2
705,1,1
706,1,1
708,1,2
709,1,1
710,1,1
712,1,2
713,1,1
714,1,1
716,1,2
717,1,1
718,1,1
720,1,2
721,1,1
722,1,1
724,2,2
725,1,1
726,1,1
728,1,2
729,1,1
731,2,2
732,1,1
733,1,1
737,3,4
738,3,1
738,2,0
739,1,1
740,1,1
742,2,2
743,1,1
745,2,2
746,1,1
747,1,1
749,2,2
750,1,1
751,1,1
753,1,2
754,1,1
755,1,1
757,1,2
758,1,1
760,2,2
761,1,1
762,1,1
764,1,2
765,1,1
766,1,1
768,1,2
769,1,1
783,2,14
784,1,1
785,1,1
787,1,2
789,2,2
790,2,1
791,1,1
792,1,1
794,2,2
795,1,1
796,1,1
797,1,1
799,1,2
801,2,2
802,2,1
803,1,1
805,2,2
806,1,1
807,1,1
808,1,1
810,1,2
811,1,1
813,2,2
814,1,1
815,1,1
816,1,1
818,1,2
819,1,1
820,1,1
822,1,2
823,1,1
825,2,2
826,1,1
827,1,1
829,2,2
830,1,1
832,2,2
833,1,1
835,2,2
836,1,1
837,1,1
839,1,2
840,1,1
842,2,2
843,1,1
844,1,1
846,2,2
847,1,1
849,2,2
850,1,1
851,1,1
853,2,2
854,1,1
855,1,1
857,1,2
858,1,1
860,2,2
861,1,1
862,1,1
865,3,3
866,1,1
867,1,1
869,2,2
870,1,1
871,1,1
873,1,2
874,1,1
875,1,1
877,1,2
878,1,1
880,2,2
881,1,1
882,1,1
884,2,2
885,1,1
886,1,1
888,2,2
889,1,1
890,1,1
892,1,2
893,1,1
894,1,1
896,1,2
897,1,1
898,1,1
900,1,2
901,1,1
902,1,1
904,1,2
905,1,1
906,1,1
908,1,2
909,1,1
910,1,1
912,1,2
913,1,1
915,2,2
916,1,1
917,1,1
918,1,1
920,1,2
921,1,1
923,2,2
924,1,1
925,1,1
927,2,2
928,1,1
929,1,1
931,2,2
932,1,1
933,1,1
935,2,2
936,1,1
937,1,1
939,2,2
940,1,1
941,1,1
943,2,2
944,1,1
945,1,1
947,2,2
948,1,1
949,1,1
951,2,2
952,1,1
953,1,1
955,2,2
