time (ms),latency (ms),consume (ms)
0,15,0
6,16,6
20,28,14
22,21,2
24,19,2
27,20,3
30,22,3
32,21,2
34,22,2
38,25,4
56,42,18
58,31,2
59,30,1
61,26,2
63,26,2
70,30,7
73,27,3
75,27,2
81,30,6
87,24,6
89,23,2
91,24,2
93,24,2
95,24,2
98,26,3
100,25,2
112,35,12
114,31,2
116,27,2
118,26,2
121,26,3
122,26,1
124,22,2
126,20,2
138,30,12
140,20,2
142,20,2
143,19,1
146,21,3
148,21,2
150,21,2
152,21,2
165,32,13
167,22,2
169,21,2
170,20,1
172,18,2
174,19,2
176,18,2
178,18,2
189,28,11
191,18,2
196,20,5
198,20,2
202,23,4
204,24,2
206,25,2
209,26,3
222,37,13
235,41,13
243,48,8
245,48,2
247,47,2
249,37,2
251,36,2
253,35,2
255,36,2
260,33,5
264,35,4
299,69,35
302,71,3
304,71,2
310,75,6
312,76,2
314,77,2
316,74,2
318,74,2
320,74,2
322,75,2
329,81,7
332,82,3
334,79,2
336,80,2
338,78,2
340,79,2
341,78,1
346,81,5
350,84,4
353,86,3
355,87,2
357,50,2
358,49,1
361,49,3
363,50,2
365,50,2
370,53,5
374,56,4
377,58,3
378,55,1
380,53,2
382,51,2
384,51,2
385,51,1
388,52,3
390,53,2
391,52,1
393,52,2
395,53,2
399,51,4
405,54,6
407,53,2
409,53,2
411,53,2
412,53,1
415,53,3
417,53,2
418,52,1
420,50,2
424,49,4
426,48,2
429,49,3
430,49,1
432,49,2
444,59,12
448,62,4
453,60,5
456,57,3
474,71,18
481,67,7
484,68,3
486,53,2
499,62,13
508,57,9
510,57,2
511,57,1
513,58,2
515,58,2
519,61,4
522,62,3
525,62,3
527,62,2
529,63,2
530,62,1
532,62,2
533,61,1
535,62,2
545,71,10
546,70,1
548,69,2
550,69,2
551,68,1
553,68,2
558,72,5
562,74,4
564,75,2
566,75,2
568,76,2
570,74,2
571,73,1
573,74,2
575,74,2
577,75,2
579,75,2
584,75,5
587,73,3
589,73,2
591,70,2
593,69,2
595,69,2
597,70,2
601,71,4
605,74,4
608,75,3
610,76,2
613,77,3
615,76,2
620,77,5
623,79,3
626,80,3
628,81,2
629,80,1
661,110,32
663,111,2
665,111,2
667,110,2
668,109,1
670,107,2
679,114,9
680,113,1
682,106,2
684,106,2
685,106,1
687,107,2
692,108,5
695,108,3
697,106,2
699,107,2
702,108,3
703,108,1
705,109,2
707,110,2
709,111,2
713,109,4
716,110,3
719,110,3
721,110,2
723,111,2
724,111,1
726,112,2
728,112,2
729,112,1
731,109,2
735,110,4
739,112,4
741,111,2
743,111,2
745,112,2
747,112,2
748,112,1
750,113,2
752,111,2
756,113,4
759,115,3
762,116,3
764,117,2
766,117,2
767,116,1
769,117,2
771,118,2
772,115,1
777,118,5
780,119,3
783,120,3
785,121,2
787,121,2
789,121,2
790,121,1
792,121,2
794,120,2
795,118,1
799,121,4
803,123,4
806,125,3
808,125,2
809,124,1
811,125,2
813,125,2
815,123,2
816,120,1
821,122,5
824,123,3
827,124,3
829,124,2
830,124,1
832,124,2
834,124,2
836,122,2
837,119,1
839,119,2
844,122,5
848,125,4
850,125,2
852,125,2
854,124,2
855,123,1
857,121,2
862,123,5
863,120,1
866,122,3
870,124,4
871,123,1
873,124,2
875,124,2
877,124,2
878,122,1
880,119,2
882,119,2
883,118,1
885,118,2
886,118,1
888,118,2
891,120,3
893,120,2
895,117,2
896,115,1
898,116,2
900,112,2
901,111,1
904,113,3
905,112,1
907,112,2
910,114,3
912,112,2
914,109,2
915,108,1
917,106,2
919,107,2
921,107,2
936,121,15
938,121,2
940,122,2
942,119,2
943,115,1
945,115,2
952,120,7
954,121,2
956,121,2
958,121,2
960,122,2
967,127,7
969,125,2
970,122,1
972,121,2
974,121,2
975,120,1
977,121,2
984,127,7
986,128,2
987,128,1
990,124,3
992,123,2
993,121,1
995,122,2
997,123,2
1001,125,4
1005,69,4
1007,70,2
1008,69,1
1010,69,2
1012,69,2
1014,70,2
1015,69,1
1019,70,4
1023,72,4
1026,74,3
1028,74,2
1029,74,1
1031,74,2
1033,75,2
1034,75,1
1039,78,5
1042,78,3
1045,79,3
1047,79,2
1049,79,2
1051,79,2
1053,80,2
1057,82,4
1061,85,4
1063,85,2
1065,84,2
1067,84,2
1068,81,1
1071,82,3
1072,81,1
1076,83,4
1077,83,1
1083,87,6
1085,88,2
1087,84,2
1088,83,1
1090,82,2
1091,82,1
1093,82,2
1096,83,3
1097,82,1
1099,83,2
1100,83,1
1102,82,2
1103,78,1
1108,81,5
1109,80,1
1111,80,2
1113,81,2
1115,81,2
1116,81,1
1118,82,2
1119,78,1
1120,77,1
1122,76,2
1124,75,2
1125,74,1
1128,76,3
1129,76,1
1132,78,3
1140,85,8
1149,89,9
1151,86,2
1153,85,2
1156,86,3
1161,90,5
1167,94,6
1168,90,1
1185,104,17
1188,55,3
1196,62,8
1198,62,2
1199,62,1
1201,63,2
1203,64,2
1205,64,2
1212,68,7
1214,68,2
1216,68,2
1217,67,1
1219,68,2
1221,68,2
1222,68,1
1229,73,7
1231,74,2
1233,73,2
1235,72,2
1237,73,2
1238,73,1
1265,97,27
1267,97,2
1269,98,2
1271,98,2
1272,98,1
1273,95,1
1273,93,0
1274,93,1
1277,95,3
1278,95,1
1278,94,0
1279,93,1
1280,92,1
1280,91,0
1281,88,1
1282,87,1
1283,86,1
1283,84,0
1284,83,1
1284,82,0
1285,81,1
1285,80,0
1286,80,1
1289,79,3
1290,79,1
1291,78,1
1292,77,1
1292,75,0
1293,75,1
1294,74,1
1294,72,0
1295,72,1
1295,68,0
1296,67,1
1297,65,1
1297,64,0
1298,64,1
1298,63,0
1302,65,4
1303,63,1
1303,62,0
1304,60,1
1304,58,0
1305,57,1
1306,56,1
1306,55,0
1307,55,1
1308,54,1
1308,53,0
