time (ms),latency (ms),consume (ms)
0,13,0
3,5,3
6,2,3
13,3,7
17,2,4
23,2,6
28,2,5
34,2,6
39,1,5
45,2,6
50,1,5
56,2,6
61,1,5
67,2,6
72,1,5
78,2,6
83,1,5
89,2,6
95,2,6
100,2,5
106,2,6
111,2,5
117,2,6
122,2,5
128,2,6
133,1,5
139,2,6
144,1,5
150,2,6
155,1,5
161,2,6
169,2,8
174,1,5
180,2,6
186,2,6
191,1,5
197,2,6
203,2,6
209,2,6
214,1,5
220,2,6
226,2,6
231,1,5
237,1,6
244,2,7
250,1,6
257,2,7
263,1,6
270,2,7
276,2,6
281,1,5
287,2,6
293,2,6
298,1,5
304,2,6
310,2,6
315,1,5
321,2,6
327,2,6
333,2,6
338,1,5
344,2,6
350,2,6
356,2,6
361,1,5
367,2,6
373,2,6
378,1,5
383,1,5
389,1,6
394,1,5
400,2,6
405,1,5
411,2,6
416,1,5
422,1,6
427,1,5
433,2,6
438,1,5
444,2,6
449,1,5
455,1,6
461,2,6
466,1,5
472,2,6
478,2,6
483,1,5
489,1,6
494,1,5
500,1,6
505,1,5
511,1,6
516,1,5
522,2,6
527,1,5
533,1,6
539,2,6
544,1,5
550,2,6
555,1,5
561,2,6
566,1,5
572,2,6
577,1,5
584,3,7
590,3,6
594,1,4
600,2,6
605,1,5
610,1,5
616,1,6
621,1,5
627,1,6
633,2,6
638,1,5
644,2,6
649,1,5
655,2,6
660,1,5
666,2,6
671,1,5
677,1,6
682,1,5
688,1,6
694,2,6
699,1,5
705,1,6
711,2,6
716,1,5
722,2,6
727,1,5
733,2,6
738,1,5
744,2,6
749,1,5
754,1,5
760,1,6
765,1,5
771,2,6
776,1,5
782,2,6
787,1,5
793,2,6
798,1,5
804,2,6
809,1,5
815,2,6
824,5,9
826,1,2
831,1,5
837,2,6
842,1,5
848,2,6
853,1,5
859,2,6
864,1,5
870,2,6
875,1,5
881,1,6
887,2,6
892,1,5
898,2,6
903,1,5
909,2,6
914,1,5
919,1,5
