time (ms),latency (ms),consume (ms)
0,7,0
12,2,12
25,3,13
36,2,11
48,2,12
60,2,12
72,1,12
84,1,12
97,2,13
109,2,12
121,2,12
133,1,12
145,1,12
159,3,14
171,1,12
183,1,12
196,2,13
208,1,12
222,3,14
235,2,13
247,1,12
259,1,12
271,1,12
283,2,12
296,2,13
309,2,13
322,2,13
335,2,13
347,1,12
360,1,13
372,1,12
389,3,17
401,2,12
413,1,12
426,2,13
438,2,12
450,1,12
463,2,13
475,2,12
487,1,12
500,2,13
512,2,12
524,1,12
536,1,12
548,1,12
561,2,13
573,2,12
586,3,13
598,1,12
610,2,12
621,1,11
633,1,12
645,1,12
657,2,12
669,2,12
680,1,11
692,1,12
704,1,12
716,1,12
729,2,13
740,1,11
753,2,13
765,1,12
779,1,14
792,2,13
805,1,13
818,2,13
830,2,12
842,2,12
854,1,12
866,1,12
879,1,13
891,1,12
903,1,12
914,1,11
926,1,12
938,1,12
951,1,13
964,1,13
977,2,13
990,1,13
1003,2,13
1016,2,13
1031,4,15
1045,1,14
1058,1,13
1070,1,12
1082,1,12
1094,1,12
1105,0,11
1117,1,12
1129,1,12
1140,1,11
1151,1,11
1164,2,13
1177,2,13
1189,1,12
1200,1,11
1213,2,13
1224,1,11
1236,1,12
1247,1,11
1259,1,12
1271,1,12
1283,1,12
1294,1,11
1307,2,13
1319,2,12
1332,3,13
1343,1,11
1355,1,12
1369,4,14
1385,1,16
1397,1,12
1409,1,12
1422,1,13
1434,1,12
1446,2,12
1458,2,12
1471,2,13
1484,2,13
1496,1,12
1508,1,12
1520,1,12
1533,1,13
1547,2,14
1559,2,12
1572,1,13
1584,1,12
1596,2,12
1608,1,12
1619,1,11
1631,1,12
1642,1,11
1654,1,12
1666,1,12
1678,1,12
1690,2,12
1701,1,11
1713,1,12
1725,1,12
1737,1,12
1749,1,12
1762,3,13
1773,1,11
1791,2,18
1808,5,17
1824,4,16
1839,3,15
1852,1,13
1866,3,14
1879,2,13
1891,2,12
1903,2,12
1915,2,12
1927,1,12
1940,1,13
1952,2,12
1967,1,15
1979,2,12
1990,1,11
2002,1,12
2014,1,12
2029,3,15
2044,3,15
2058,3,14
2072,2,14
2086,3,14
2102,5,16
2118,2,16
2132,2,14
2146,2,14
2166,2,20
2179,1,13
2191,2,12
2202,1,11
2214,1,12
2226,1,12
2238,1,12
2251,1,13
2263,1,12
2276,2,13
2287,1,11
2299,1,12
2311,2,12
2323,1,12
2336,2,13
2348,1,12
2361,1,13
2373,1,12
2386,2,13
2405,1,19
2421,1,16
2437,2,16
2449,1,12
2461,1,12
2473,1,12
2485,1,12
2497,1,12
2509,1,12
2521,1,12
2533,1,12
2545,1,12
2557,1,12
2569,1,12
2581,1,12
2593,1,12
2606,2,13
2618,1,12
2630,1,12
2643,2,13
2655,1,12
2666,1,11
2682,1,16
2695,1,13
2708,2,13
2720,2,12
2747,17,27
2749,3,2
2759,2,10
2771,2,12
2782,1,11
2798,6,16
2810,2,12
2821,1,11
2833,1,12
2845,2,12
2856,1,11
2868,1,12
2880,2,12
2892,2,12
2903,1,11
2915,2,12
2926,1,11
2938,1,12
2951,2,13
2965,2,14
2977,1,12
2989,1,12
3001,1,12
3012,1,11
3025,2,13
3038,2,13
3051,2,13
3064,1,13
3078,2,14
3090,1,12
3103,1,13
3117,1,14
3130,2,13
3142,1,12
3157,2,15
3170,2,13
3183,2,13
3196,3,13
3208,2,12
3220,2,12
3231,1,11
3243,1,12
3255,1,12
3266,1,11
3277,0,11
3289,1,12
3300,1,11
3311,0,11
3322,0,11
3334,1,12
3345,1,11
3357,1,12
3368,1,11
3380,1,12
3391,1,11
3403,1,12
3415,2,12
3426,1,11
3438,1,12
3449,1,11
3461,1,12
3472,1,11
3484,1,12
3495,1,11
3507,1,12
3519,1,12
3530,1,11
3542,1,12
3554,1,12
3565,1,11
3577,1,12
3589,1,12
3601,1,12
3613,1,12
3625,1,12
3636,1,11
3648,1,12
3661,1,13
3672,1,11
3686,2,14
3701,2,15
3713,1,12
3725,2,12
3738,2,13
3751,1,13
3763,1,12
3775,1,12
3787,1,12
3798,1,11
3810,1,12
3822,1,12
3833,1,11
3845,1,12
3857,1,12
3869,1,12
3881,2,12
3892,1,11
3904,1,12
3915,1,11
3926,0,11
3938,1,12
3950,2,12
3965,1,15
3977,1,12
3988,1,11
4000,1,12
4012,1,12
4026,4,14
4037,1,11
4049,1,12
4061,1,12
4074,3,13
4087,2,13
4098,1,11
4110,1,12
4121,1,11
4133,1,12
4145,2,12
4156,1,11
4168,1,12
4179,1,11
4194,4,15
4201,1,7
4211,1,10
4222,1,11
4232,1,10
4243,1,11
4253,1,10
4263,1,10
4274,1,11
4284,1,10
4295,1,11
4306,2,11
4316,1,10
4326,1,10
4337,1,11
4348,2,11
4358,1,10
4369,1,11
4379,1,10
4391,1,12
4402,1,11
4414,1,12
4426,1,12
4438,1,12
4450,1,12
4461,1,11
4473,1,12
4485,1,12
4496,1,11
4508,1,12
4519,1,11
4531,1,12
4543,2,12
4554,0,11
4566,1,12
4577,1,11
4590,2,13
4602,1,12
4617,2,15
4630,2,13
4643,1,13
4656,3,13
4667,1,11
4679,1,12
4690,1,11
4720,5,30
4738,2,18
4749,1,11
4761,1,12
4772,1,11
4784,1,12
4795,1,11
4807,1,12
4818,1,11
4830,1,12
4842,1,12
4853,1,11
4864,0,11
4876,1,12
4888,2,12
4899,1,11
4911,1,12
4923,1,12
4934,1,11
4946,1,12
4958,1,12
4970,1,12
4982,2,12
4994,1,12
5006,1,12
5018,1,12
5029,1,11
5041,1,12
5053,1,12
5065,1,12
5076,1,11
5088,1,12
5099,1,11
5111,1,12
5122,1,11
5134,1,12
5146,1,12
5157,1,11
5169,1,12
5180,1,11
5194,1,14
5205,1,11
5217,1,12
5228,1,11
5240,1,12
5252,1,12
5263,1,11
5275,1,12
5286,1,11
5298,1,12
5309,1,11
5320,0,11
5334,3,14
5345,1,11
5356,0,11
5368,1,12
5379,1,11
5390,1,11
5401,0,11
5413,1,12
5425,1,12
5436,1,11
5448,1,12
5459,1,11
5471,1,12
5483,1,12
5494,1,11
5506,1,12
5517,1,11
5528,0,11
5540,1,12
5551,0,11
5563,1,12
5574,1,11
5586,1,12
5598,1,12
5609,1,11
5621,1,12
5633,2,12
5644,1,11
5656,1,12
5671,1,15
5682,1,11
5694,2,12
5705,1,11
5717,1,12
5728,1,11
5740,1,12
5751,1,11
5762,0,11
5774,1,12
5786,2,12
5797,1,11
5808,1,11
5820,1,12
5831,1,11
5842,0,11
5853,0,11
5864,0,11
5875,1,11
5887,1,12
5902,5,15
5913,1,11
5924,1,11
5936,1,12
5947,1,11
5959,1,12
5970,1,11
5981,1,11
5993,1,12
6004,1,11
6016,1,12
6027,0,11
6038,0,11
6050,1,12
6061,1,11
6073,1,12
6084,1,11
6096,1,12
6107,1,11
6118,1,11
6130,1,12
6145,1,15
6158,3,13
6169,1,11
6180,1,11
6192,1,12
6206,3,14
6218,1,12
6230,1,12
6242,1,12
6254,1,12
6265,1,11
6277,1,12
6288,1,11
6300,1,12
6311,0,11
6323,1,12
6335,2,12
6346,1,11
6358,1,12
6372,4,14
6383,1,11
6396,2,13
6408,1,12
6420,1,12
6432,1,12
6445,2,13
6457,2,12
6469,2,12
6481,1,12
6494,2,13
6506,1,12
6518,1,12
6530,2,12
6542,1,12
6562,9,20
6575,2,13
6587,1,12
6602,3,15
6618,2,16
6630,1,12
6642,1,12
6654,1,12
6666,2,12
6678,1,12
6690,1,12
6701,0,11
6714,2,13
6726,1,12
6738,1,12
6751,2,13
6763,1,12
6776,2,13
6788,2,12
6800,2,12
6812,1,12
6824,1,12
6836,1,12
6848,1,12
6860,1,12
6872,1,12
6884,1,12
6896,2,12
6908,1,12
6919,1,11
6930,1,11
6942,1,12
6953,1,11
6965,1,12
6976,1,11
6988,1,12
6999,1,11
7010,0,11
7022,1,12
7033,1,11
7044,0,11
7055,0,11
7066,0,11
7079,1,13
7090,1,11
7102,1,12
7113,1,11
7125,1,12
7136,1,11
7147,0,11
7159,1,12
7170,1,11
7181,0,11
7193,1,12
7204,1,11
7218,3,14
7230,1,12
7242,1,12
7253,1,11
7264,0,11
7275,0,11
7287,1,12
7305,1,18
7316,1,11
7328,1,12
7339,1,11
7350,1,11
7362,1,12
7373,1,11
7385,1,12
7396,1,11
7408,1,12
7419,1,11
7430,1,11
7442,1,12
7453,1,11
7464,1,11
7475,0,11
7487,1,12
7498,1,11
7510,1,12
7521,1,11
7534,3,13
7548,1,14
7560,1,12
7571,1,11
7582,1,11
7594,1,12
7605,1,11
7617,1,12
7628,1,11
7640,1,12
7651,1,11
7663,2,12
7674,1,11
7685,1,11
7696,1,11
7708,1,12
7719,1,11
7734,4,15
7749,1,15
7761,1,12
7772,1,11
7784,1,12
7795,1,11
7807,1,12
7818,1,11
7830,1,12
7841,1,11
7853,1,12
7864,1,11
7875,1,11
7887,1,12
7898,1,11
7909,0,11
7920,1,11
7932,1,12
7943,1,11
7955,1,12
7966,1,11
7977,1,11
7989,1,12
8000,1,11
8011,1,11
8023,1,12
8034,1,11
8053,5,19
8064,0,11
8076,1,12
8087,1,11
8098,1,11
8109,1,11
8121,1,12
8132,1,11
8145,3,13
8156,1,11
8169,1,13
8180,0,11
8192,1,12
8203,1,11
8214,1,11
8226,1,12
8237,1,11
8248,1,11
8259,0,11
8271,1,12
8282,1,11
8294,1,12
8305,1,11
8316,0,11
8328,1,12
8339,1,11
8350,0,11
8362,1,12
8373,1,11
8385,1,12
8396,1,11
8408,1,12
8419,1,11
8431,1,12
8442,1,11
8454,1,12
8471,7,17
8482,1,11
8495,2,13
8506,1,11
8518,1,12
8529,1,11
8541,1,12
8552,1,11
8563,0,11
8574,0,11
8586,1,12
8597,1,11
8608,0,11
8619,0,11
8631,1,12
8642,0,11
8654,1,12
8665,1,11
8677,1,12
8688,0,11
8700,1,12
8711,1,11
8722,1,11
8733,0,11
8745,1,12
8756,1,11
8768,1,12
8779,1,11
8791,1,12
8802,1,11
8814,2,12
8825,1,11
8837,1,12
8848,0,11
8860,1,12
8871,1,11
8884,1,13
8895,1,11
8906,0,11
8918,1,12
8929,1,11
8941,1,12
8952,1,11
8964,2,12
8976,1,12
8987,1,11
8998,1,11
9010,1,12
9022,1,12
9033,1,11
9045,1,12
9056,1,11
9068,1,12
9079,0,11
9091,1,12
9102,1,11
9113,0,11
9125,1,12
9136,1,11
9147,0,11
9158,0,11
9170,1,12
9181,1,11
9192,0,11
9209,1,17
9219,1,10
9229,1,10
9240,1,11
9250,1,10
9260,0,10
9271,1,11
9282,1,11
9293,1,11
9304,1,11
9315,1,11
9326,0,11
9338,1,12
9349,1,11
9360,1,11
9374,1,14
9385,1,11
9396,0,11
9408,1,12
9419,1,11
9430,1,11
9441,1,11
9453,1,12
9464,1,11
9475,1,11
9486,1,11
9497,1,11
9508,1,11
9519,1,11
9530,0,11
9542,1,12
9553,1,11
9564,1,11
9575,0,11
9586,0,11
9597,0,11
9608,0,11
9619,0,11
9631,1,12
9642,1,11
9653,1,11
9664,0,11
9676,1,12
9687,1,11
9698,0,11
9710,1,12
9721,1,11
9733,1,12
9744,0,11
9755,0,11
9767,1,12
9778,1,11
9790,1,12
9801,1,11
9812,1,11
9824,1,12
9836,2,12
9849,3,13
9862,2,13
9875,2,13
9894,2,19
9908,3,14
9921,2,13
9933,1,12
9944,0,11
9956,1,12
9967,1,11
9979,1,12
9990,1,11
10002,1,12
10014,1,12
10026,1,12
10040,1,14
10052,1,12
10063,1,11
10075,1,12
10086,1,11
10098,1,12
10109,1,11
10121,1,12
10133,1,12
10144,1,11
10155,0,11
10167,1,12
10178,1,11
10190,1,12
10201,1,11
10212,1,11
10224,1,12
10235,1,11
10246,1,11
10258,1,12
10269,1,11
10281,2,12
10292,1,11
10303,0,11
10319,1,16
10330,0,11
10342,1,12
10353,0,11
10365,1,12
10376,1,11
10387,0,11
10399,1,12
10411,2,12
10422,1,11
10433,1,11
10445,1,12
10456,0,11
10467,0,11
10479,1,12
10490,1,11
10501,1,11
10513,2,12
10526,1,13
10539,2,13
10552,2,13
10565,2,13
10578,2,13
10591,2,13
10604,2,13
10616,2,12
10630,3,14
10642,1,12
10655,1,13
10666,1,11
10678,1,12
10689,1,11
10701,1,12
10712,1,11
10723,1,11
10734,0,11
10745,0,11
10756,0,11
10767,1,11
10779,1,12
10790,1,11
10804,0,14
10816,1,12
10827,1,11
10838,1,11
10849,0,11
10861,1,12
10872,1,11
10884,1,12
10895,1,11
10906,0,11
10918,1,12
10930,2,12
10941,1,11
10953,1,12
10964,1,11
10976,1,12
10988,1,12
10999,1,11
11011,1,12
11022,1,11
11034,1,12
11046,1,12
11057,1,11
11069,1,12
11080,1,11
11092,1,12
11110,5,18
11122,2,12
11133,1,11
11145,1,12
11156,1,11
11167,1,11
11179,1,12
11190,1,11
11201,0,11
11212,0,11
11223,0,11
11235,1,12
11246,1,11
11257,1,11
11268,1,11
11280,1,12
11291,1,11
11302,1,11
11314,1,12
11325,1,11
11336,0,11
11348,1,12
11359,1,11
11370,1,11
11382,1,12
11394,1,12
11406,1,12
11418,1,12
11429,1,11
11441,1,12
11453,1,12
11464,1,11
11476,1,12
11487,1,11
11498,1,11
11510,1,12
11522,1,12
11533,1,11
11545,1,12
11561,1,16
11572,1,11
11584,1,12
11595,0,11
11607,1,12
11618,1,11
11630,1,12
11641,1,11
11653,1,12
11664,1,11
11676,1,12
11687,1,11
11699,1,12
11710,1,11
11722,1,12
11735,2,13
11747,2,12
11759,1,12
11772,2,13
11784,1,12
11796,1,12
11808,1,12
11820,1,12
11834,2,14
11846,1,12
11858,1,12
11871,2,13
11884,2,13
11896,1,12
11907,1,11
11919,1,12
11930,1,11
11942,1,12
11953,1,11
11965,1,12
11976,0,11
11988,1,12
11999,0,11
12011,1,12
12022,1,11
12034,1,12
12046,1,12
12058,2,12
12069,1,11
12081,1,12
12092,0,11
12103,0,11
12114,0,11
12125,0,11
12136,0,11
12148,1,12
12159,1,11
12170,1,11
12185,1,15
12196,1,11
12207,0,11
12219,1,12
12230,1,11
12241,0,11
12253,1,12
12264,1,11
12275,0,11
12287,1,12
12298,1,11
12310,1,12
12321,1,11
12332,1,11
12344,1,12
12355,1,11
12367,1,12
12378,1,11
12389,0,11
12401,1,12
12412,1,11
12424,1,12
12435,1,11
12446,1,11
12457,0,11
12469,1,12
12480,1,11
12491,0,11
12506,1,15
12517,1,11
12528,1,11
12540,1,12
12551,1,11
12562,1,11
12574,1,12
12585,1,11
12597,1,12
12609,2,12
12620,1,11
12632,1,12
12647,1,15
12659,1,12
12670,1,11
12682,1,12
12693,1,11
12705,1,12
12716,1,11
12728,1,12
12740,1,12
12751,1,11
12763,1,12
12774,1,11
12787,1,13
12799,1,12
12816,1,17
12827,1,11
12839,2,12
12850,1,11
12861,1,11
12873,1,12
12884,1,11
12896,1,12
12907,1,11
12919,1,12
12930,1,11
12941,0,11
12953,1,12
12964,1,11
12975,1,11
12987,1,12
12998,1,11
13010,1,12
13021,1,11
13032,1,11
13043,0,11
13055,1,12
13066,1,11
13077,1,11
13089,1,12
13100,1,11
13112,1,12
13124,1,12
13135,1,11
