time (ms),latency (ms),consume (ms)
0,4,0
36,28,36
37,19,1
37,9,0
39,1,2
49,1,10
59,1,10
69,1,10
79,1,10
89,1,10
99,1,10
110,2,11
119,1,9
129,1,10
139,1,10
150,1,11
161,0,11
172,1,11
184,2,12
193,1,9
203,1,10
213,1,10
225,2,12
234,1,9
246,2,12
256,1,10
266,1,10
277,2,11
287,1,10
297,0,10
308,1,11
318,1,10
328,1,10
338,1,10
349,1,11
358,0,9
368,0,10
380,1,12
390,1,10
400,1,10
410,1,10
422,1,12
432,1,10
442,1,10
453,1,11
463,1,10
473,1,10
483,1,10
493,1,10
503,1,10
513,1,10
523,1,10
533,1,10
544,2,11
553,0,9
563,0,10
574,0,11
584,0,10
594,0,10
605,1,11
616,1,11
628,3,12
637,1,9
647,1,10
658,1,11
670,2,12
679,0,9
689,0,10
700,1,11
710,1,10
720,1,10
730,1,10
740,1,10
749,0,9
761,2,12
771,1,10
781,1,10
791,1,10
800,0,9
811,1,11
822,1,11
833,2,11
843,1,10
853,1,10
862,0,9
873,0,11
884,1,11
894,1,10
903,0,9
915,2,12
925,0,10
936,1,11
946,0,10
957,0,11
968,1,11
980,2,12
991,0,11
1002,1,11
1012,1,10
1023,2,11
1032,1,9
1042,1,10
1052,1,10
1062,1,10
1072,1,10
1081,0,9
1092,0,11
1103,1,11
1113,1,10
1122,0,9
1133,1,11
1143,1,10
1153,1,10
1162,0,9
1173,1,11
1183,1,10
1192,0,9
1203,1,11
1213,1,10
1222,0,9
1233,0,11
1244,1,11
1254,1,10
1264,1,10
1277,3,13
1286,1,9
1295,0,9
1307,2,12
1317,1,10
1330,3,13
1341,2,11
1353,3,12
1363,1,10
1373,1,10
1383,0,10
1393,0,10
1404,1,11
1415,1,11
1426,0,11
1437,0,11
1448,1,11
1458,1,10
1467,0,9
1478,1,11
1487,0,9
1498,0,11
1509,1,11
1518,0,9
1529,1,11
1540,1,11
1550,1,10
1559,0,9
1570,1,11
1580,1,10
1590,1,10
1600,0,10
1611,1,11
1621,1,10
1631,0,10
1642,1,11
1651,0,9
