time (ms),latency (ms),consume (ms)
0,9,0
35,34,35
37,31,2
38,27,1
39,23,1
40,19,1
41,14,1
42,10,1
43,4,1
46,2,3
52,2,6
59,2,7
63,1,4
69,2,6
75,2,6
81,1,6
86,1,5
92,2,6
97,2,5
103,1,6
109,2,6
115,3,6
119,2,4
125,1,6
131,2,6
137,2,6
143,1,6
151,4,8
155,1,4
160,1,5
165,1,5
170,1,5
176,2,6
182,1,6
187,1,5
192,1,5
197,1,5
203,2,6
209,2,6
238,24,29
239,20,1
240,15,1
242,12,2
243,8,1
244,4,1
247,2,3
252,1,5
257,1,5
264,2,7
269,1,5
274,1,5
280,2,6
286,1,6
292,2,6
297,1,5
302,1,5
307,1,5
312,1,5
317,1,5
325,4,8
329,2,4
337,4,8
341,3,4
345,1,4
351,2,6
357,2,6
362,1,5
367,1,5
372,1,5
377,1,5
382,1,5
388,1,6
393,1,5
401,3,8
406,1,5
411,1,5
417,2,6
423,2,6
429,1,6
434,1,5
439,1,5
447,4,8
451,2,4
456,1,5
461,1,5
467,2,6
472,1,5
477,1,5
483,2,6
491,3,8
497,1,6
503,2,6
509,1,6
514,1,5
520,2,6
525,1,5
530,1,5
535,1,5
540,1,5
546,2,6
552,1,6
557,1,5
562,1,5
567,1,5
573,2,6
579,1,6
584,1,5
589,1,5
594,1,5
600,1,6
606,2,6
612,2,6
617,1,5
622,1,5
628,2,6
633,1,5
638,1,5
644,2,6
649,1,5
654,1,5
659,1,5
666,2,7
672,1,6
678,2,6
685,4,7
691,2,6
696,1,5
707,7,11
710,1,3
722,8,12
727,2,5
738,6,11
743,2,5
747,1,4
752,1,5
757,1,5
763,2,6
769,1,6
774,1,5
779,1,5
784,1,5
789,1,5
805,12,16
806,8,1
807,4,1
809,1,2
814,1,5
820,2,6
825,1,5
831,2,6
836,1,5
841,1,5
846,1,5
851,1,5
857,2,6
863,1,6
868,1,5
873,1,5
878,1,5
883,1,5
889,2,6
895,1,6
900,1,5
905,1,5
910,1,5
915,1,5
921,2,6
926,1,5
931,1,5
936,1,5
941,1,5
947,2,6
952,1,5
957,1,5
962,1,5
967,1,5
973,2,6
979,1,6
984,1,5
989,1,5
994,1,5
999,1,5
1006,2,7
1013,2,7
1018,1,5
1023,1,5
1028,1,5
1033,1,5
1040,2,7
1046,1,6
1051,1,5
1056,1,5
1062,2,6
1066,1,4
1071,1,5
1077,1,6
1083,2,6
1088,1,5
1094,1,6
1099,1,5
1104,1,5
1109,1,5
1114,1,5
1119,1,5
1124,1,5
1129,1,5
1135,2,6
1140,1,5
