time (ms),latency (ms),consume (ms)
0,12,0
38,31,38
39,31,1
40,30,1
41,30,1
42,30,1
43,30,1
45,30,2
46,30,1
48,31,2
50,31,2
55,35,5
57,35,2
58,35,1
60,35,2
62,36,2
63,36,1
68,39,5
72,42,4
76,44,4
80,47,4
85,51,5
87,43,2
88,43,1
90,43,2
93,41,3
96,43,3
100,44,4
102,42,2
103,42,1
105,41,2
107,42,2
108,42,1
110,43,2
112,44,2
114,44,2
116,45,2
117,45,1
119,44,2
122,46,3
124,46,2
125,44,1
128,44,3
130,45,2
131,44,1
132,44,1
134,44,2
135,44,1
137,45,2
138,44,1
140,45,2
142,45,2
143,44,1
145,43,2
146,39,1
148,39,2
149,39,1
152,40,3
155,40,3
170,53,15
175,55,5
179,58,4
182,49,3
184,45,2
186,45,2
187,43,1
189,40,2
190,39,1
194,41,4
195,41,1
197,42,2
200,43,3
205,46,5
211,51,6
213,52,2
214,52,1
217,53,3
219,53,2
220,53,1
223,54,3
225,55,2
230,58,5
233,59,3
235,59,2
237,60,2
240,62,3
243,64,3
245,63,2
247,64,2
248,63,1
249,57,1
253,58,4
255,59,2
257,59,2
258,59,1
259,59,1
261,58,2
263,59,2
264,58,1
266,58,2
267,58,1
267,57,0
270,58,3
271,57,1
272,57,1
273,57,1
274,57,1
275,57,1
277,57,2
278,57,1
279,57,1
281,58,2
282,57,1
283,57,1
284,57,1
285,56,1
287,57,2
288,57,1
291,59,3
293,59,2
295,60,2
296,59,1
298,60,2
306,67,8
309,69,3
312,56,3
314,53,2
332,70,18
334,65,2
336,64,2
337,43,1
345,45,8
353,44,8
355,45,2
357,45,2
358,44,1
359,44,1
361,45,2
363,46,2
364,46,1
366,46,2
389,68,23
392,69,3
394,70,2
396,70,2
398,71,2
400,72,2
401,71,1
403,72,2
404,71,1
405,70,1
407,70,2
409,71,2
410,70,1
412,70,2
413,70,1
414,70,1
416,71,2
418,72,2
420,73,2
422,74,2
422,73,0
424,74,2
425,74,1
426,73,1
428,74,2
429,73,1
430,72,1
432,73,2
434,74,2
435,73,1
437,74,2
439,75,2
440,74,1
443,75,3
444,75,1
445,74,1
447,75,2
448,75,1
449,75,1
451,76,2
453,77,2
453,75,0
455,76,2
456,76,1
457,76,1
460,78,3
461,78,1
462,78,1
464,79,2
465,79,1
466,78,1
468,79,2
470,79,2
470,78,0
472,78,2
473,78,1
474,77,1
477,79,3
478,79,1
479,79,1
481,79,2
483,79,2
484,79,1
486,80,2
487,79,1
488,79,1
491,81,3
492,80,1
493,79,1
496,81,3
497,80,1
498,79,1
500,79,2
501,78,1
502,77,1
504,78,2
506,78,2
507,77,1
509,78,2
511,78,2
512,78,1
515,80,3
516,80,1
517,79,1
519,80,2
520,80,1
521,80,1
523,81,2
524,80,1
525,80,1
527,80,2
528,79,1
529,79,1
531,79,2
533,80,2
534,78,1
535,78,1
536,78,1
537,78,1
539,78,2
541,79,2
542,78,1
543,77,1
545,78,2
546,77,1
547,76,1
549,76,2
551,77,2
552,77,1
553,77,1
554,76,1
555,76,1
557,75,2
558,75,1
559,75,1
561,74,2
563,75,2
564,75,1
565,75,1
567,75,2
569,76,2
569,75,0
571,76,2
572,75,1
574,76,2
575,75,1
577,75,2
578,75,1
580,75,2
581,75,1
582,75,1
584,76,2
586,76,2
586,75,0
588,76,2
589,76,1
590,76,1
592,76,2
596,79,4
596,77,0
598,77,2
599,77,1
600,76,1
603,78,3
604,76,1
605,76,1
607,77,2
608,76,1
609,75,1
611,75,2
612,75,1
613,74,1
615,75,2
616,74,1
617,74,1
619,73,2
620,73,1
621,73,1
623,73,2
625,73,2
626,72,1
628,73,2
629,71,1
630,71,1
634,74,4
635,73,1
636,73,1
638,73,2
639,73,1
640,72,1
642,72,2
643,71,1
644,71,1
646,72,2
647,71,1
648,71,1
652,74,4
653,72,1
654,72,1
656,73,2
662,77,6
664,77,2
666,77,2
666,76,0
668,76,2
669,76,1
670,76,1
672,77,2
674,77,2
675,76,1
678,78,3
679,78,1
680,78,1
682,78,2
684,79,2
685,78,1
689,80,4
691,81,2
692,80,1
693,80,1
694,79,1
695,78,1
696,78,1
698,78,2
700,79,2
700,78,0
703,79,3
704,79,1
705,79,1
706,78,1
707,77,1
709,78,2
710,78,1
711,78,1
713,78,2
714,78,1
715,77,1
716,76,1
718,77,2
718,75,0
719,75,1
721,75,2
722,74,1
723,74,1
724,73,1
726,73,2
727,73,1
728,72,1
729,71,1
731,72,2
732,72,1
732,69,0
734,69,2
735,68,1
736,67,1
737,67,1
738,65,1
739,65,1
741,66,2
742,66,1
742,65,0
744,65,2
745,65,1
747,65,2
751,67,4
752,67,1
753,65,1
754,61,1
756,57,2
757,57,1
757,55,0
758,50,1
762,50,4
763,6,1
763,5,0
764,4,1
764,3,0
765,2,1
765,1,0
766,1,1
766,0,0
767,0,1
769,0,2
772,1,3
773,0,1
775,1,2
776,0,1
778,1,2
778,0,0
779,0,1
781,1,2
782,0,1
784,1,2
786,1,2
787,0,1
788,0,1
790,0,2
791,0,1
793,1,2
794,0,1
796,1,2
797,0,1
799,1,2
801,1,2
802,0,1
803,0,1
805,1,2
806,0,1
808,1,2
809,1,1
810,1,1
810,0,0
811,0,1
813,1,2
814,1,1
815,1,1
816,0,1
818,1,2
818,0,0
819,0,1
821,1,2
822,1,1
823,1,1
824,0,1
826,1,2
827,0,1
829,1,2
829,0,0
830,0,1
832,1,2
833,1,1
834,1,1
835,0,1
837,1,2
838,0,1
839,0,1
841,0,2
843,1,2
844,0,1
846,1,2
846,0,0
