time (ms),latency (ms),consume (ms)
0,7,0
38,38,38
38,36,0
38,34,0
39,34,1
39,32,0
39,31,0
39,29,0
39,28,0
39,26,0
40,25,1
43,27,3
43,25,0
43,24,0
44,23,1
46,22,2
46,21,0
46,19,0
51,23,5
51,21,0
54,23,3
54,13,0
54,12,0
54,10,0
54,9,0
56,8,2
57,7,1
61,9,4
61,6,0
61,5,0
61,3,0
61,1,0
65,4,4
67,4,2
67,2,0
69,1,2
74,4,5
74,3,0
74,2,0
76,3,2
77,2,1
79,2,2
81,2,2
82,1,1
83,1,1
84,1,1
86,2,2
87,1,1
88,1,1
89,1,1
90,1,1
92,1,2
94,2,2
97,3,3
98,1,1
99,1,1
100,1,1
101,1,1
103,1,2
104,1,1
105,1,1
109,3,4
114,3,5
115,1,1
117,2,2
119,2,2
120,1,1
122,2,2
123,1,1
124,1,1
125,1,1
126,1,1
128,1,2
129,1,1
130,1,1
131,1,1
133,2,2
135,1,2
136,1,1
137,1,1
138,1,1
141,3,3
143,1,2
144,1,1
145,1,1
148,2,3
150,2,2
151,1,1
152,1,1
155,3,3
156,1,1
158,1,2
159,1,1
160,1,1
161,1,1
162,1,1
164,1,2
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
172,1,3
173,1,1
174,1,1
175,1,1
176,1,1
178,1,2
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
185,1,2
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
193,1,2
194,1,1
195,1,1
196,1,1
201,5,5
205,2,4
206,1,1
211,3,5
213,2,2
221,8,8
224,2,3
232,6,8
233,1,1
235,2,2
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
243,1,3
244,1,1
245,1,1
246,1,1
247,1,1
248,0,1
289,40,41
289,39,0
289,38,0
289,36,0
289,35,0
289,33,0
290,33,1
290,31,0
290,30,0
290,28,0
292,29,2
292,27,0
292,26,0
292,25,0
293,25,1
293,24,0
293,22,0
294,22,1
294,20,0
294,19,0
294,17,0
294,16,0
294,14,0
295,14,1
295,12,0
295,11,0
330,36,35
330,34,0
330,33,0
330,32,0
330,30,0
330,29,0
330,27,0
330,26,0
331,25,1
331,24,0
331,22,0
331,21,0
331,19,0
331,18,0
331,16,0
331,15,0
332,14,1
332,13,0
332,11,0
332,10,0
336,12,4
351,18,15
351,16,0
381,43,30
381,41,0
382,41,1
382,39,0
382,38,0
382,37,0
382,35,0
382,34,0
382,33,0
382,32,0
383,32,1
383,31,0
385,31,2
385,30,0
385,28,0
385,27,0
385,26,0
386,26,1
386,25,0
386,23,0
386,22,0
386,20,0
386,19,0
386,17,0
386,16,0
386,14,0
387,14,1
387,12,0
387,11,0
422,35,35
422,34,0
422,33,0
422,32,0
422,31,0
422,29,0
423,29,1
423,27,0
423,26,0
423,24,0
423,23,0
423,21,0
423,20,0
423,18,0
423,17,0
424,17,1
424,16,0
424,15,0
425,14,1
425,13,0
425,11,0
425,10,0
427,2,2
427,1,0
469,42,42
469,41,0
469,39,0
469,38,0
469,36,0
469,35,0
469,33,0
469,32,0
470,31,1
470,30,0
472,30,2
472,28,0
472,27,0
472,25,0
472,24,0
472,22,0
472,21,0
473,20,1
473,19,0
473,17,0
473,16,0
473,15,0
473,14,0
473,13,0
473,11,0
473,10,0
509,35,36
509,34,0
509,32,0
510,32,1
510,31,0
510,29,0
510,28,0
510,26,0
510,25,0
510,23,0
510,22,0
510,21,0
510,20,0
511,20,1
511,18,0
511,17,0
511,15,0
512,15,1
512,13,0
512,12,0
512,10,0
512,9,0
513,1,1
516,1,3
557,41,41
557,40,0
558,39,1
558,38,0
559,37,1
559,35,0
560,31,1
560,30,0
561,30,1
561,29,0
562,29,1
562,28,0
563,27,1
563,26,0
563,25,0
563,24,0
564,24,1
564,23,0
565,22,1
565,21,0
566,21,1
566,19,0
566,18,0
566,17,0
566,15,0
566,14,0
597,44,31
597,43,0
597,42,0
597,41,0
597,39,0
597,37,0
597,35,0
597,33,0
598,32,1
598,30,0
600,31,2
600,29,0
600,28,0
600,27,0
600,25,0
600,24,0
601,23,1
601,22,0
601,21,0
601,20,0
601,19,0
601,17,0
601,16,0
601,14,0
601,13,0
602,12,1
602,11,0
637,35,35
637,34,0
