time (ms),latency (ms),consume (ms)
0,12,0
2,10,2
3,10,1
3,9,0
3,9,0
24,29,21
26,25,2
26,25,0
26,24,0
26,22,0
29,25,3
29,24,0
29,24,0
29,24,0
31,25,2
31,23,0
33,25,2
35,26,2
36,26,1
37,27,1
37,25,0
44,27,7
46,18,2
46,16,0
49,17,3
50,18,1
51,19,1
51,17,0
51,17,0
52,18,1
53,18,1
54,18,1
54,17,0
54,16,0
55,17,1
55,17,0
56,17,1
69,30,13
70,23,1
70,23,0
70,22,0
70,20,0
70,15,0
71,15,1
71,12,0
71,12,0
72,12,1
72,12,0
73,12,1
73,12,0
73,12,0
73,11,0
74,12,1
93,31,19
93,19,0
93,19,0
94,19,1
94,19,0
94,19,0
94,18,0
94,18,0
95,18,1
95,17,0
95,15,0
95,14,0
95,11,0
96,10,1
96,10,0
96,10,0
112,25,16
113,16,1
113,16,0
113,16,0
113,15,0
113,15,0
114,13,1
114,13,0
114,11,0
114,11,0
114,11,0
115,11,1
118,14,3
119,15,1
119,14,0
119,14,0
131,26,12
133,17,2
133,17,0
133,15,0
134,16,1
134,13,0
134,12,0
134,11,0
134,11,0
136,12,2
136,12,0
137,13,1
138,13,1
138,13,0
139,14,1
140,15,1
148,22,8
148,13,0
148,12,0
148,11,0
149,12,1
149,11,0
149,10,0
149,10,0
149,9,0
150,10,1
150,9,0
150,9,0
150,9,0
152,10,2
152,10,0
152,10,0
175,32,23
175,24,0
176,25,1
176,24,0
176,23,0
176,23,0
176,22,0
177,23,1
177,21,0
203,46,26
203,46,0
203,46,0
205,45,2
205,42,0
217,52,12
219,50,2
219,50,0
219,40,0
219,40,0
221,41,2
221,40,0
221,40,0
221,40,0
221,38,0
227,44,6
228,45,1
228,43,0
228,43,0
228,43,0
229,38,1
229,38,0
230,39,1
230,38,0
231,33,1
232,34,1
232,34,0
232,33,0
233,34,1
233,33,0
234,34,1
234,34,0
234,34,0
234,32,0
236,34,2
237,33,1
237,33,0
237,32,0
237,31,0
237,31,0
239,26,2
239,26,0
239,25,0
239,25,0
239,25,0
239,23,0
241,25,2
241,25,0
241,23,0
241,23,0
241,23,0
243,23,2
243,23,0
243,23,0
249,29,6
250,28,1
250,21,0
250,21,0
250,21,0
252,21,2
252,21,0
252,19,0
252,19,0
252,19,0
253,19,1
254,19,1
254,19,0
254,18,0
254,16,0
254,14,0
258,18,4
264,22,6
264,15,0
265,16,1
266,17,1
266,15,0
266,15,0
266,14,0
267,14,1
267,14,0
267,13,0
268,13,1
268,13,0
