time (ms),latency (ms),consume (ms)
0,11,0
3,6,3
5,2,2
11,3,6
16,2,5
21,2,5
27,2,6
32,1,5
38,2,6
44,2,6
49,1,5
55,2,6
60,1,5
66,1,6
72,2,6
77,1,5
83,2,6
89,1,6
95,1,6
102,2,7
107,2,5
113,2,6
118,1,5
124,1,6
130,2,6
136,2,6
141,2,5
147,2,6
153,2,6
159,1,6
165,1,6
172,2,7
178,2,6
184,1,6
191,2,7
196,1,5
203,2,7
210,2,7
218,3,8
224,2,6
230,2,6
235,2,5
241,2,6
247,2,6
252,2,5
258,2,6
265,3,7
270,2,5
275,1,5
282,2,7
287,2,5
293,2,6
299,2,6
305,2,6
310,2,5
316,2,6
322,2,6
327,2,5
332,1,5
338,1,6
344,1,6
350,1,6
356,1,6
362,1,6
368,2,6
373,1,5
379,2,6
384,1,5
390,2,6
395,1,5
401,2,6
407,2,6
412,1,5
418,2,6
424,2,6
429,1,5
435,1,6
441,2,6
446,1,5
452,2,6
458,2,6
464,2,6
469,1,5
475,2,6
481,2,6
486,1,5
492,1,6
498,2,6
503,1,5
509,1,6
515,2,6
521,2,6
526,1,5
532,2,6
538,2,6
543,1,5
549,1,6
555,2,6
560,1,5
566,2,6
571,1,5
577,2,6
582,1,5
587,1,5
593,1,6
599,2,6
604,1,5
610,2,6
615,1,5
621,2,6
626,1,5
635,5,9
637,1,2
643,2,6
648,1,5
654,1,6
660,2,6
666,2,6
671,2,5
677,2,6
682,2,5
688,2,6
693,1,5
699,2,6
705,2,6
711,2,6
716,2,5
722,2,6
727,1,5
733,2,6
738,1,5
744,2,6
749,1,5
755,2,6
760,1,5
766,2,6
771,2,5
777,2,6
782,2,5
787,1,5
793,2,6
798,1,5
804,2,6
809,1,5
815,2,6
820,1,5
825,1,5
831,1,6
837,2,6
842,1,5
848,2,6
853,1,5
858,1,5
864,2,6
869,1,5
875,2,6
880,1,5
885,1,5
891,1,6
896,1,5
902,2,6
907,1,5
913,2,6
918,1,5
924,2,6
929,1,5
934,1,5
940,1,6
945,1,5
951,2,6
956,1,5
962,2,6
967,1,5
973,2,6
978,1,5
984,2,6
989,1,5
995,2,6
1000,1,5
1006,2,6
1012,2,6
1018,3,6
1023,1,5
1029,2,6
1034,1,5
1040,2,6
1045,1,5
1051,2,6
1056,1,5
1062,2,6
1067,1,5
1073,1,6
1079,2,6
1084,1,5
1090,2,6
1095,1,5
1101,2,6
1106,1,5
1111,1,5
1117,1,6
1124,2,7
1129,1,5
1134,1,5
1140,1,6
1145,1,5
1151,2,6
1156,1,5
1162,2,6
1167,1,5
1172,1,5
1178,2,6
1183,1,5
1189,2,6
1194,1,5
1199,1,5
1215,1,16
1221,1,6
1239,14,18
1239,8,0
1239,3,0
1243,1,4
1248,1,5
1254,2,6
1259,1,5
1265,1,6
1270,1,5
1276,1,6
1281,1,5
1287,2,6
1292,1,5
1298,1,6
1303,1,5
1309,1,6
1314,1,5
1320,2,6
1326,2,6
1331,1,5
1337,1,6
1342,1,5
1348,1,6
1353,1,5
1359,1,6
1364,1,5
1370,1,6
1376,2,6
1381,1,5
1387,2,6
1392,1,5
1397,1,5
1403,1,6
1408,1,5
1414,2,6
1420,2,6
1425,1,5
1430,1,5
1436,1,6
1442,1,6
1448,1,6
1453,1,5
1459,2,6
1464,1,5
1470,2,6
1475,1,5
1480,1,5
1486,2,6
1491,1,5
1497,2,6
1502,1,5
1508,2,6
1513,1,5
1518,1,5
1524,2,6
1529,1,5
1534,1,5
1540,1,6
1545,1,5
1551,2,6
1556,1,5
1562,2,6
1567,1,5
1573,2,6
1578,1,5
1583,1,5
1589,2,6
1594,1,5
