time (ms),latency (ms),consume (ms)
0,11,0
6,3,6
14,3,8
21,2,7
30,4,9
37,1,7
44,1,7
51,2,7
59,3,8
65,1,6
72,1,7
79,1,7
86,1,7
95,4,9
102,1,7
109,1,7
116,1,7
123,1,7
132,4,9
139,2,7
146,1,7
152,1,6
159,1,7
166,1,7
172,1,6
179,1,7
186,1,7
193,1,7
201,2,8
210,2,9
216,1,6
230,2,14
238,3,8
245,1,7
252,1,7
259,2,7
265,1,6
272,1,7
279,2,7
286,1,7
292,1,6
298,1,6
304,1,6
310,1,6
316,1,6
323,2,7
329,1,6
339,4,10
345,1,6
352,1,7
358,1,6
365,1,7
371,1,6
377,1,6
384,2,7
391,1,7
397,1,6
404,1,7
410,1,6
417,1,7
423,1,6
429,0,6
436,1,7
443,1,7
449,1,6
456,1,7
462,1,6
469,1,7
476,2,7
482,1,6
489,1,7
498,2,9
505,2,7
515,1,10
522,1,7
529,1,7
536,2,7
543,1,7
550,1,7
558,3,8
566,1,8
574,3,8
582,2,8
592,4,10
600,2,8
608,1,8
615,1,7
622,2,7
628,1,6
635,1,7
642,2,7
648,1,6
660,1,12
667,1,7
674,1,7
682,2,8
689,1,7
696,2,7
703,2,7
710,2,7
716,1,6
723,2,7
729,1,6
736,1,7
742,1,6
748,1,6
755,1,7
762,2,7
768,1,6
775,2,7
781,1,6
790,4,9
797,1,7
804,2,7
813,1,9
821,2,8
829,2,8
835,1,6
842,1,7
849,1,7
855,1,6
862,1,7
868,1,6
874,1,6
881,1,7
887,1,6
894,1,7
900,1,6
907,1,7
913,1,6
920,1,7
926,1,6
932,1,6
938,1,6
944,1,6
950,1,6
956,1,6
962,1,6
968,1,6
975,1,7
981,1,6
986,0,5
992,0,6
999,2,7
1005,1,6
1011,1,6
1018,2,7
1024,0,6
1031,1,7
1037,1,6
1044,1,7
1051,0,7
1057,0,6
1064,1,7
1070,1,6
1077,1,7
1085,2,8
1091,1,6
1100,1,9
1106,1,6
1113,1,7
1119,1,6
1126,1,7
1132,1,6
1138,1,6
1145,1,7
1151,1,6
1157,1,6
1166,3,9
1172,1,6
1179,1,7
1185,1,6
1192,1,7
1199,2,7
1205,1,6
1212,1,7
1218,1,6
1225,1,7
1231,1,6
1238,1,7
1244,1,6
1251,2,7
1257,1,6
1263,1,6
1270,1,7
1276,1,6
1284,2,8
1291,1,7
1298,1,7
1304,1,6
1311,2,7
1324,2,13
1333,1,9
1339,1,6
1345,0,6
1352,1,7
1358,1,6
1364,1,6
1370,1,6
1376,0,6
1382,1,6
1388,1,6
1394,1,6
1400,1,6
1406,1,6
1412,1,6
1418,1,6
1424,0,6
1430,0,6
1436,0,6
1442,0,6
1448,1,6
1460,5,12
1461,1,1
1466,1,5
1472,1,6
1477,1,5
1489,8,12
1489,2,0
1494,1,5
1500,1,6
1506,1,6
1514,3,8
1520,1,6
1526,1,6
1532,1,6
1539,2,7
1545,1,6
1551,1,6
1557,1,6
1563,1,6
1569,1,6
1575,1,6
1581,1,6
1586,0,5
1593,2,7
1601,3,8
1608,2,7
1614,1,6
1621,1,7
1627,1,6
1633,1,6
1640,2,7
1648,3,8
1655,1,7
1662,2,7
1668,1,6
1677,3,9
1684,1,7
1694,2,10
1702,3,8
1709,2,7
1715,1,6
1723,2,8
1731,2,8
1737,1,6
1744,1,7
