time (ms),latency (ms),consume (ms)
0,2,0
6,1,6
9,1,3
11,0,2
13,0,2
14,0,1
17,0,3
19,0,2
20,0,1
22,0,2
23,0,1
26,0,3
27,0,1
30,0,3
32,0,2
33,0,1
35,0,2
36,0,1
39,0,3
41,1,2
43,0,2
46,0,3
47,0,1
50,0,3
52,0,2
53,0,1
56,0,3
58,1,2
60,0,2
63,0,3
65,0,2
67,1,2
69,0,2
72,0,3
74,1,2
76,0,2
78,0,2
80,1,2
82,0,2
84,0,2
85,0,1
88,0,3
90,0,2
91,0,1
94,0,3
96,1,2
98,0,2
100,0,2
101,0,1
104,0,3
105,0,1
108,0,3
110,0,2
111,0,1
114,0,3
115,0,1
118,0,3
120,0,2
121,0,1
124,0,3
125,0,1
128,0,3
130,0,2
131,0,1
134,0,3
138,1,4
140,0,2
142,0,2
144,0,2
146,0,2
149,0,3
151,1,2
153,0,2
155,0,2
157,1,2
159,0,2
161,0,2
163,0,2
166,0,3
168,1,2
170,0,2
172,1,2
174,0,2
176,0,2
177,0,1
180,0,3
183,0,3
185,1,2
188,1,3
191,1,3
193,0,2
196,0,3
198,1,2
200,0,2
202,0,2
204,1,2
206,0,2
209,0,3
212,0,3
215,0,3
217,1,2
219,0,2
221,0,2
223,1,2
225,0,2
227,0,2
228,0,1
231,0,3
236,0,5
238,0,2
239,0,1
240,0,1
243,0,3
244,0,1
245,0,1
247,0,2
248,0,1
249,0,1
250,0,1
253,0,3
254,0,1
255,0,1
258,0,3
259,0,1
260,0,1
263,0,3
264,0,1
265,0,1
268,0,3
269,0,1
273,1,4
282,1,9
285,1,3
287,0,2
288,0,1
291,0,3
292,0,1
293,0,1
295,0,2
296,0,1
297,0,1
298,0,1
301,0,3
302,0,1
303,0,1
305,0,2
306,0,1
307,0,1
309,1,2
311,0,2
312,0,1
316,1,4
319,0,3
320,0,1
321,0,1
324,0,3
325,0,1
326,0,1
329,0,3
330,0,1
331,0,1
333,0,2
334,0,1
335,0,1
338,0,3
339,0,1
340,0,1
343,0,3
344,0,1
345,0,1
348,0,3
350,1,2
353,1,3
355,0,2
358,0,3
360,1,2
362,0,2
365,0,3
367,0,2
368,0,1
371,0,3
373,0,2
375,1,2
377,0,2
379,1,2
381,0,2
384,0,3
386,0,2
388,1,2
390,0,2
392,0,2
393,0,1
396,0,3
398,1,2
402,0,4
405,0,3
410,2,5
414,1,4
416,0,2
419,0,3
421,1,2
423,0,2
425,1,2
427,0,2
429,0,2
430,0,1
433,0,3
435,1,2
437,0,2
439,1,2
441,0,2
443,1,2
445,0,2
447,0,2
448,0,1
451,0,3
453,1,2
455,0,2
457,0,2
458,0,1
461,0,3
463,1,2
465,0,2
467,0,2
468,0,1
470,0,2
471,0,1
474,0,3
476,1,2
478,0,2
480,0,2
481,0,1
484,0,3
486,1,2
488,0,2
490,1,2
492,0,2
494,0,2
495,0,1
498,0,3
500,0,2
501,0,1
503,0,2
504,0,1
506,0,2
507,0,1
510,0,3
512,1,2
514,0,2
516,0,2
517,0,1
519,0,2
521,1,2
523,0,2
525,0,2
527,0,2
528,0,1
531,0,3
533,1,2
535,0,2
538,0,3
540,1,2
542,0,2
544,0,2
545,0,1
546,0,1
548,0,2
549,0,1
550,0,1
552,0,2
553,0,1
554,0,1
556,0,2
557,0,1
558,0,1
560,1,2
562,0,2
563,0,1
564,0,1
567,0,3
568,0,1
571,0,3
572,0,1
573,0,1
575,1,2
577,0,2
578,0,1
580,1,2
582,0,2
583,0,1
585,1,2
587,0,2
588,0,1
589,0,1
592,0,3
593,0,1
594,0,1
596,0,2
597,0,1
598,0,1
601,0,3
602,0,1
603,0,1
605,0,2
606,0,1
607,0,1
609,1,2
611,0,2
612,0,1
613,0,1
615,0,2
616,0,1
617,0,1
619,1,2
621,0,2
622,0,1
623,0,1
626,0,3
627,0,1
628,0,1
630,0,2
631,0,1
632,0,1
634,1,2
636,0,2
638,1,2
641,0,3
642,0,1
644,0,2
645,0,1
648,0,3
650,1,2
652,0,2
654,0,2
655,0,1
657,0,2
658,0,1
661,0,3
662,0,1
665,0,3
667,1,2
669,0,2
671,1,2
673,0,2
676,0,3
677,0,1
680,0,3
682,1,2
684,0,2
687,0,3
688,0,1
690,1,2
692,0,2
693,0,1
695,1,2
697,0,2
698,0,1
699,0,1
702,0,3
703,0,1
704,0,1
707,0,3
708,0,1
709,0,1
711,0,2
712,0,1
713,0,1
714,0,1
717,0,3
718,0,1
720,1,2
722,0,2
723,0,1
724,0,1
727,0,3
728,0,1
729,0,1
731,0,2
732,0,1
733,0,1
734,0,1
737,0,3
738,0,1
739,0,1
741,0,2
742,0,1
743,0,1
745,0,2
746,0,1
747,0,1
749,0,2
750,0,1
756,1,6
759,0,3
763,0,4
764,0,1
767,0,3
768,0,1
769,0,1
771,0,2
772,0,1
773,0,1
775,1,2
777,0,2
778,0,1
779,0,1
782,0,3
783,0,1
784,0,1
786,0,2
787,0,1
788,0,1
790,1,2
792,0,2
793,0,1
794,0,1
797,0,3
798,0,1
799,0,1
801,1,2
803,0,2
804,0,1
805,0,1
808,0,3
809,0,1
