time (ms),latency (ms),consume (ms)
0,8,0
35,34,35
37,30,2
38,26,1
39,21,1
41,18,2
42,14,1
43,10,1
44,4,1
47,2,3
51,1,4
59,3,8
64,1,5
70,2,6
76,2,6
82,1,6
87,1,5
93,2,6
98,2,5
103,2,5
109,2,6
115,3,6
118,1,3
123,1,5
130,3,7
135,1,5
140,1,5
148,4,8
152,1,4
157,1,5
163,2,6
169,1,6
174,1,5
179,1,5
184,1,5
190,2,6
196,1,6
202,2,6
207,1,5
212,1,5
218,1,6
224,2,6
229,1,5
234,1,5
239,1,5
244,1,5
250,2,6
256,1,6
261,1,5
266,1,5
272,2,6
278,1,6
283,1,5
290,3,7
295,1,5
301,1,6
307,2,6
311,1,4
317,1,6
325,4,8
328,2,3
337,4,9
341,3,4
346,2,5
352,2,6
359,3,7
364,1,5
370,1,6
375,1,5
380,1,5
385,1,5
390,1,5
396,1,6
402,2,6
406,1,4
411,1,5
418,3,7
423,1,5
428,1,5
433,1,5
439,2,6
447,3,8
452,1,5
457,1,5
463,2,6
469,1,6
475,2,6
481,1,6
486,1,5
493,3,7
498,1,5
504,2,6
509,1,5
514,1,5
519,1,5
524,1,5
529,1,5
535,2,6
541,1,6
546,1,5
551,1,5
557,2,6
564,1,7
569,1,5
574,1,5
580,2,6
586,1,6
592,2,6
597,1,5
604,2,7
610,1,6
615,1,5
620,1,5
626,2,6
631,1,5
636,1,5
642,1,6
647,1,5
652,1,5
658,2,6
664,1,6
669,1,5
674,1,5
680,2,6
687,4,7
693,2,6
698,1,5
708,6,10
712,2,4
723,7,11
730,3,7
740,6,10
745,2,5
749,1,4
755,2,6
761,1,6
770,5,9
790,20,20
791,16,1
792,12,1
793,8,1
794,4,1
808,12,14
809,8,1
810,3,1
813,1,3
819,2,6
825,1,6
830,1,5
835,1,5
840,1,5
846,2,6
852,1,6
857,1,5
862,1,5
867,1,5
872,1,5
877,1,5
883,1,6
888,1,5
893,1,5
898,1,5
903,1,5
908,1,5
913,1,5
920,2,7
926,1,6
931,1,5
936,1,5
941,1,5
946,1,5
951,1,5
957,2,6
963,1,6
968,1,5
973,1,5
978,1,5
983,1,5
990,1,7
996,1,6
1001,1,5
1006,1,5
1011,1,5
1017,2,6
1022,1,5
1029,2,7
1035,1,6
1040,1,5
1045,1,5
1050,1,5
1055,1,5
1061,2,6
1068,2,7
1073,1,5
1078,1,5
1084,1,6
1089,1,5
1095,1,6
1100,1,5
1106,1,6
1111,1,5
1117,1,6
1123,2,6
1128,1,5
1133,1,5
1138,1,5
1144,1,6
1150,1,6
1155,1,5
1161,1,6
1166,1,5
1171,1,5
1177,1,6
1183,1,6
1189,2,6
1194,1,5
1200,1,6
1205,1,5
1210,1,5
1215,1,5
1221,1,6
1226,1,5
1232,1,6
1237,1,5
1242,1,5
1247,1,5
1253,2,6
1258,1,5
1264,1,6
1269,1,5
1274,1,5
1280,1,6
