time (ms),latency (ms),consume (ms)
0,6,0
2,1,2
5,2,3
6,0,1
8,1,2
11,1,3
15,1,4
17,1,2
19,1,2
21,1,2
23,1,2
25,1,2
27,1,2
32,3,5
33,0,1
35,0,2
38,1,3
40,1,2
43,2,3
45,1,2
46,0,1
48,0,2
50,0,2
52,0,2
55,1,3
57,0,2
59,0,2
61,0,2
64,1,3
66,1,2
68,1,2
71,2,3
73,1,2
75,1,2
78,1,3
81,2,3
82,1,1
85,2,3
87,1,2
89,0,2
92,1,3
94,1,2
96,1,2
98,1,2
100,1,2
102,1,2
104,0,2
107,1,3
109,1,2
111,1,2
113,1,2
115,1,2
116,0,1
118,0,2
120,0,2
122,0,2
124,0,2
127,1,3
129,0,2
131,1,2
133,0,2
136,1,3
138,1,2
140,0,2
142,0,2
144,0,2
146,0,2
148,0,2
150,1,2
152,1,2
154,1,2
156,1,2
158,0,2
160,0,2
162,1,2
164,1,2
166,1,2
168,1,2
170,1,2
172,1,2
174,0,2
176,0,2
180,2,4
182,1,2
184,1,2
186,1,2
188,1,2
190,1,2
192,1,2
194,1,2
196,1,2
198,1,2
200,1,2
202,1,2
204,1,2
206,1,2
209,1,3
211,1,2
213,1,2
215,1,2
217,0,2
219,0,2
221,1,2
223,1,2
225,1,2
227,1,2
229,0,2
231,0,2
233,0,2
235,1,2
237,1,2
240,2,3
242,0,2
244,0,2
246,0,2
249,1,3
252,0,3
254,0,2
256,0,2
258,0,2
260,0,2
262,0,2
264,0,2
266,0,2
269,1,3
271,1,2
273,0,2
276,1,3
278,1,2
280,1,2
282,0,2
284,0,2
286,0,2
288,0,2
290,1,2
292,1,2
294,1,2
295,0,1
298,1,3
300,1,2
302,1,2
304,1,2
305,0,1
307,0,2
309,0,2
311,0,2
313,1,2
315,0,2
317,0,2
319,0,2
321,0,2
323,0,2
326,1,3
328,1,2
329,0,1
331,0,2
333,0,2
335,0,2
337,0,2
339,1,2
341,1,2
343,1,2
344,0,1
346,0,2
348,0,2
350,0,2
352,1,2
354,1,2
356,1,2
358,1,2
359,0,1
361,0,2
363,0,2
365,1,2
367,1,2
369,1,2
371,1,2
373,1,2
374,0,1
376,0,2
378,0,2
381,1,3
383,0,2
385,0,2
