time (ms),latency (ms),consume (ms)
0,10,0
1,7,1
10,15,9
10,8,0
10,7,0
11,8,1
11,7,0
11,6,0
12,7,1
16,10,4
29,23,13
29,16,0
30,17,1
30,13,0
32,14,2
32,13,0
32,9,0
33,9,1
42,16,9
47,14,5
47,14,0
47,13,0
47,12,0
49,14,2
49,13,0
51,14,2
60,23,9
60,16,0
60,12,0
61,13,1
61,11,0
61,11,0
61,7,0
62,6,1
69,12,7
69,7,0
69,6,0
70,7,1
70,7,0
70,6,0
70,6,0
71,6,1
80,14,9
80,9,0
80,8,0
81,9,1
81,8,0
81,7,0
81,6,0
82,6,1
89,12,7
89,7,0
89,6,0
89,6,0
90,6,1
90,6,0
90,6,0
90,5,0
108,23,18
108,17,0
109,18,1
109,17,0
109,16,0
109,11,0
110,10,1
110,6,0
118,13,8
118,7,0
118,7,0
119,8,1
119,7,0
119,7,0
119,7,0
121,8,2
126,13,5
126,6,0
127,7,1
128,7,1
128,6,0
132,10,4
132,10,0
136,13,4
142,19,6
143,14,1
162,32,19
162,31,0
163,28,1
163,28,0
163,27,0
163,26,0
172,33,9
172,26,0
173,6,1
173,6,0
173,6,0
173,5,0
173,5,0
174,5,1
180,11,6
180,6,0
180,5,0
180,5,0
181,6,1
181,5,0
181,5,0
181,5,0
188,11,7
188,6,0
188,6,0
188,6,0
188,5,0
189,6,1
189,6,0
189,5,0
195,11,6
196,7,1
196,6,0
196,5,0
196,5,0
196,5,0
197,5,1
197,5,0
208,16,11
208,11,0
208,10,0
208,8,0
209,8,1
209,8,0
209,8,0
209,7,0
219,16,10
224,14,5
224,10,0
224,9,0
224,9,0
226,11,2
226,10,0
226,10,0
230,14,4
231,8,1
231,8,0
232,7,1
232,7,0
233,8,1
233,6,0
234,7,1
239,12,5
239,8,0
239,7,0
239,6,0
240,6,1
240,6,0
240,5,0
241,6,1
250,15,9
250,9,0
250,9,0
250,8,0
251,9,1
251,9,0
252,9,1
252,9,0
259,16,7
259,5,0
259,5,0
260,6,1
260,5,0
260,5,0
260,5,0
261,6,1
267,11,6
267,6,0
267,6,0
267,5,0
268,6,1
269,7,1
269,6,0
269,6,0
275,12,6
275,5,0
275,5,0
277,7,2
277,6,0
277,6,0
278,7,1
278,6,0
284,12,6
284,6,0
284,5,0
284,5,0
285,6,1
285,5,0
285,5,0
285,5,0
291,10,6
291,5,0
291,5,0
292,6,1
292,5,0
292,5,0
292,5,0
292,4,0
298,10,6
299,6,1
299,6,0
299,5,0
299,5,0
299,5,0
300,5,1
300,5,0
306,11,6
306,6,0
307,6,1
307,6,0
307,5,0
307,5,0
307,5,0
308,5,1
314,11,6
314,6,0
314,5,0
314,5,0
315,6,1
315,5,0
315,5,0
315,5,0
347,36,32
347,29,0
347,29,0
348,29,1
349,30,1
349,30,0
349,28,0
350,29,1
351,28,1
351,25,0
351,24,0
351,23,0
355,27,4
355,25,0
355,25,0
355,23,0
358,26,3
358,22,0
358,22,0
358,21,0
359,21,1
360,22,1
360,18,0
360,18,0
363,21,3
364,18,1
364,18,0
364,17,0
365,17,1
366,18,1
366,16,0
367,17,1
368,17,1
368,12,0
368,12,0
369,12,1
369,12,0
370,11,1
370,11,0
370,10,0
373,12,3
375,10,2
375,10,0
375,9,0
376,9,1
376,9,0
377,8,1
377,8,0
381,11,4
381,7,0
381,7,0
382,7,1
382,6,0
382,5,0
382,5,0
383,5,1
389,11,6
389,6,0
389,6,0
389,5,0
389,5,0
390,5,1
390,5,0
390,5,0
396,10,6
396,5,0
397,6,1
397,6,0
397,5,0
397,5,0
397,4,0
398,5,1
404,11,6
404,6,0
404,5,0
404,5,0
405,6,1
405,5,0
405,5,0
405,4,0
411,10,6
411,5,0
412,6,1
412,6,0
412,5,0
412,5,0
412,4,0
413,5,1
419,11,6
419,6,0
419,6,0
420,6,1
420,6,0
420,5,0
420,5,0
421,6,1
427,11,6
427,6,0
427,6,0
427,5,0
427,5,0
428,5,1
428,5,0
428,5,0
448,24,20
448,20,0
448,19,0
449,20,1
449,6,0
449,5,0
449,5,0
449,5,0
455,10,6
455,5,0
455,5,0
455,5,0
456,5,1
456,5,0
456,5,0
456,4,0
463,11,7
463,6,0
463,6,0
463,5,0
463,5,0
464,6,1
464,5,0
464,5,0
470,10,6
470,5,0
470,5,0
472,7,2
474,8,2
474,8,0
474,8,0
475,8,1
479,12,4
480,7,1
480,7,0
480,5,0
480,5,0
481,6,1
481,5,0
504,28,23
505,28,1
506,25,1
506,24,0
506,23,0
507,24,1
507,23,0
508,23,1
509,23,1
509,23,0
509,19,0
510,20,1
510,20,0
511,19,1
511,19,0
511,17,0
514,20,3
527,29,13
527,27,0
528,27,1
529,28,1
529,28,0
530,28,1
530,25,0
549,41,19
549,24,0
549,18,0
549,18,0
550,18,1
550,17,0
550,17,0
555,21,5
555,20,0
556,21,1
556,18,0
558,19,2
558,18,0
558,18,0
558,16,0
558,16,0
559,17,1
560,17,1
560,13,0
560,13,0
561,13,1
561,13,0
564,15,3
565,14,1
565,14,0
565,14,0
566,10,1
567,10,1
567,10,0
567,10,0
567,8,0
570,11,3
571,12,1
571,11,0
571,8,0
572,8,1
573,9,1
573,7,0
573,7,0
573,7,0
574,7,1
578,10,4
578,6,0
578,6,0
579,6,1
579,5,0
580,6,1
580,5,0
580,5,0
585,10,5
585,6,0
586,6,1
587,6,1
587,6,0
587,6,0
587,5,0
587,5,0
593,11,6
593,5,0
594,6,1
594,5,0
594,5,0
594,5,0
594,4,0
595,5,1
600,10,5
601,6,1
601,5,0
601,5,0
601,5,0
601,4,0
601,4,0
602,5,1
607,9,5
608,6,1
608,5,0
608,5,0
608,5,0
608,4,0
609,5,1
609,5,0
615,10,6
615,6,0
615,5,0
615,5,0
615,5,0
616,5,1
616,5,0
616,5,0
622,10,6
622,6,0
622,5,0
622,5,0
622,4,0
623,5,1
623,5,0
623,4,0
629,10,6
629,6,0
629,5,0
629,5,0
630,5,1
630,5,0
630,5,0
630,4,0
636,10,6
636,5,0
636,5,0
636,5,0
637,5,1
637,5,0
637,5,0
637,4,0
643,10,6
643,5,0
644,6,1
644,5,0
644,5,0
667,28,23
668,28,1
671,31,3
671,31,0
671,24,0
671,24,0
671,22,0
674,25,3
674,25,0
674,23,0
680,29,6
681,30,1
