time (ms),latency (ms),consume (ms)
0,6,0
12,2,12
25,3,13
36,2,11
48,2,12
60,1,12
73,2,13
85,2,12
97,2,12
109,2,12
121,1,12
134,2,13
146,1,12
161,4,15
173,1,12
185,1,12
197,1,12
210,2,13
223,2,13
236,2,13
248,1,12
261,2,13
274,2,13
286,2,12
300,2,14
314,1,14
326,1,12
339,2,13
351,1,12
365,2,14
376,1,11
394,2,18
405,1,11
418,2,13
430,2,12
442,2,12
455,2,13
467,2,12
479,2,12
491,1,12
503,1,12
515,1,12
527,1,12
539,1,12
551,1,12
564,2,13
576,1,12
590,3,14
602,1,12
614,1,12
626,1,12
638,2,12
650,1,12
661,1,11
674,2,13
686,1,12
698,2,12
710,1,12
722,1,12
734,2,12
746,2,12
758,1,12
770,1,12
783,1,13
796,2,13
809,2,13
821,1,12
833,1,12
845,1,12
857,1,12
869,1,12
882,2,13
894,2,12
905,1,11
917,1,12
929,2,12
941,1,12
954,2,13
966,1,12
979,2,13
992,2,13
1004,2,12
1018,2,14
1033,4,15
1051,6,18
1057,1,6
1067,1,10
1080,3,13
1093,1,13
1107,3,14
1119,1,12
1131,1,12
1143,1,12
1155,1,12
1169,2,14
1187,2,18
1203,2,16
1215,2,12
1229,3,14
1242,2,13
1254,2,12
1266,1,12
1278,1,12
1290,1,12
1302,1,12
1314,2,12
1327,2,13
1339,1,12
1352,2,13
1364,2,12
1377,2,13
1393,4,16
1409,1,16
1421,1,12
1433,1,12
1446,2,13
1457,1,11
1469,1,12
1487,2,18
1499,1,12
1511,1,12
1523,1,12
1535,2,12
1547,1,12
1559,1,12
1572,1,13
1583,1,11
1595,1,12
1607,1,12
1620,2,13
1632,2,12
1644,1,12
1655,1,11
1667,1,12
1678,1,11
1690,1,12
1702,1,12
1714,1,12
1725,1,11
1737,1,12
1748,1,11
1760,1,12
1772,1,12
1786,4,14
1801,2,15
1814,1,13
1827,3,13
1839,1,12
1850,1,11
1862,1,12
1876,3,14
1888,1,12
1900,1,12
1911,1,11
1923,1,12
1936,3,13
1948,2,12
1960,2,12
1975,2,15
1987,2,12
1999,2,12
2010,1,11
2022,1,12
2034,1,12
2046,1,12
2058,2,12
2069,1,11
2081,1,12
2094,2,13
2106,1,12
2118,1,12
2130,1,12
2142,1,12
2154,1,12
2166,1,12
2178,1,12
2192,1,14
2204,1,12
2216,1,12
2230,1,14
2242,1,12
2255,2,13
2267,1,12
2279,1,12
2292,1,13
2305,2,13
2318,3,13
2330,1,12
2344,2,14
2356,2,12
2370,2,14
2389,1,19
2405,1,16
2418,2,13
2430,1,12
2442,1,12
2454,1,12
2469,1,15
2480,1,11
2491,1,11
2503,1,12
2514,1,11
2526,2,12
2537,1,11
2548,1,11
2560,1,12
2571,1,11
2583,2,12
2594,1,11
2606,1,12
2617,1,11
2629,1,12
2641,1,12
2653,1,12
2666,2,13
2677,1,11
2689,1,12
2711,11,22
2716,1,5
2727,1,11
2739,2,12
2750,1,11
2765,5,15
2776,1,11
2788,2,12
2799,1,11
2810,1,11
2822,1,12
2834,2,12
2846,2,12
2858,1,12
2870,2,12
2882,2,12
2894,1,12
2906,2,12
2920,3,14
2937,5,17
2949,1,12
2961,1,12
2974,2,13
2986,1,12
2999,2,13
3013,3,14
3026,3,13
3039,1,13
3053,2,14
3066,2,13
3080,2,14
3098,2,18
3110,2,12
3124,2,14
3138,2,14
3152,3,14
3165,2,13
3193,17,28
3196,2,3
3207,1,11
3220,1,13
3233,2,13
3245,2,12
3257,1,12
3269,1,12
3281,1,12
3294,1,13
3306,1,12
3318,1,12
3335,1,17
3351,5,16
3363,2,12
3375,2,12
3386,1,11
3398,1,12
3410,1,12
3423,2,13
3434,1,11
3446,1,12
3458,1,12
3470,1,12
3482,1,12
3494,2,12
3505,1,11
3517,1,12
3529,1,12
3541,1,12
3553,1,12
3565,1,12
3577,1,12
3589,1,12
3601,1,12
3613,1,12
3625,1,12
3637,1,12
3648,1,11
3660,1,12
3672,1,12
3684,1,12
3698,4,14
3712,1,14
3724,1,12
3736,1,12
3750,4,14
3762,2,12
3773,1,11
3787,1,14
3799,2,12
3810,1,11
3822,1,12
3834,1,12
3846,1,12
3858,2,12
3876,3,18
3891,3,15
3904,2,13
3918,2,14
3931,2,13
3945,3,14
3959,2,14
3982,3,23
3998,8,16
4019,3,21
4032,2,13
4047,3,15
4061,2,14
4075,2,14
4094,8,19
4108,2,14
4122,2,14
4135,2,13
4152,6,17
4165,2,13
4178,2,13
4191,1,13
4202,1,11
4214,1,12
4226,1,12
4238,1,12
4250,1,12
4262,2,12
4274,2,12
4286,1,12
4299,2,13
4311,1,12
4324,2,13
4335,1,11
4348,1,13
4360,1,12
4372,1,12
4384,1,12
4395,1,11
4407,1,12
4419,1,12
4431,1,12
4443,1,12
4455,1,12
4466,0,11
4478,1,12
4490,1,12
4501,1,11
4513,1,12
4524,1,11
4536,1,12
4548,1,12
4560,1,12
4572,2,12
4585,3,13
4596,0,11
4608,1,12
4620,1,12
4632,1,12
4643,1,11
4657,3,14
4668,1,11
4681,1,13
4693,2,12
4705,1,12
4718,1,13
4733,1,15
4745,1,12
4759,1,14
4774,4,15
4786,2,12
4797,1,11
4809,1,12
4835,4,26
4850,2,15
4862,2,12
4874,1,12
4886,2,12
4898,1,12
4910,2,12
4922,1,12
4934,1,12
4946,1,12
4958,2,12
4970,1,12
4982,1,12
4995,3,13
5007,2,12
5019,2,12
5031,2,12
5043,2,12
5054,1,11
5066,1,12
5078,1,12
5090,1,12
5102,1,12
5114,1,12
5125,1,11
5137,1,12
5149,2,12
5160,1,11
5172,1,12
5184,1,12
5195,1,11
5207,1,12
5218,1,11
5231,1,13
5242,1,11
5257,1,15
5269,1,12
5281,1,12
5292,1,11
5304,1,12
5318,1,14
5330,2,12
5342,1,12
5354,2,12
5365,1,11
5377,1,12
5389,1,12
5400,1,11
5411,0,11
5423,1,12
5434,1,11
5445,0,11
5457,1,12
5468,1,11
5479,1,11
5491,1,12
5502,1,11
5514,1,12
5526,1,12
5537,1,11
5548,1,11
5559,0,11
5571,1,12
5582,1,11
5593,0,11
5605,1,12
5616,1,11
5627,1,11
5639,1,12
5650,1,11
5661,1,11
5673,1,12
5685,2,12
5696,1,11
5707,0,11
5719,1,12
5731,1,12
5742,1,11
5754,1,12
5765,1,11
5777,1,12
5789,2,12
5801,2,12
5812,1,11
5824,1,12
