time (ms),latency (ms),consume (ms)
0,6,0
9,12,9
13,11,4
18,8,5
21,6,3
25,7,4
29,7,4
31,5,2
32,3,1
35,4,3
37,4,2
39,3,2
41,3,2
43,3,2
45,3,2
56,12,11
60,11,4
62,12,2
64,12,2
65,8,1
68,8,3
70,9,2
72,4,2
74,4,2
76,4,2
78,3,2
80,4,2
82,4,2
84,4,2
85,3,1
88,4,3
90,4,2
91,3,1
93,3,2
95,3,2
97,3,2
99,3,2
100,2,1
102,3,2
118,17,16
121,18,3
122,16,1
123,16,1
125,17,2
127,17,2
129,18,2
131,3,2
132,2,1
134,3,2
136,3,2
137,2,1
139,3,2
141,3,2
142,2,1
144,3,2
146,3,2
147,2,1
149,3,2
151,3,2
155,5,4
158,6,3
161,8,3
162,7,1
176,19,14
178,19,2
180,17,2
183,16,3
184,16,1
187,18,3
189,19,2
190,19,1
192,21,2
193,20,1
195,21,2
197,21,2
199,21,2
200,21,1
201,20,1
203,21,2
205,21,2
207,22,2
210,22,3
211,22,1
216,25,5
217,23,1
219,25,2
221,23,2
236,36,15
238,36,2
239,35,1
241,35,2
242,34,1
245,36,3
248,37,3
249,37,1
251,37,2
252,37,1
253,37,1
254,36,1
256,37,2
258,37,2
260,38,2
260,37,0
262,37,2
264,38,2
266,39,2
267,37,1
269,38,2
271,39,2
273,40,2
274,41,1
287,53,13
289,53,2
291,54,2
293,53,2
294,53,1
296,53,2
298,54,2
302,56,4
303,56,1
305,57,2
306,56,1
309,57,3
314,58,5
317,59,3
319,57,2
321,57,2
333,68,12
334,67,1
336,67,2
338,66,2
343,68,5
348,67,5
348,66,0
358,75,10
368,84,10
372,86,4
373,86,1
375,86,2
377,87,2
378,86,1
380,86,2
382,87,2
384,87,2
385,86,1
386,86,1
388,87,2
390,87,2
391,87,1
393,87,2
394,86,1
396,86,2
399,88,3
400,88,1
402,89,2
404,89,2
405,89,1
407,89,2
409,90,2
424,104,15
426,104,2
427,104,1
429,104,2
430,104,1
432,105,2
433,105,1
435,106,2
437,106,2
439,107,2
440,106,1
441,106,1
444,107,3
445,107,1
446,106,1
448,107,2
449,95,1
451,96,2
453,96,2
454,96,1
456,97,2
457,97,1
459,97,2
462,99,3
474,110,12
475,110,1
478,111,3
479,110,1
481,112,2
482,111,1
484,112,2
487,113,3
487,111,0
492,115,5
494,115,2
495,114,1
497,114,2
499,114,2
500,113,1
502,113,2
503,113,1
504,112,1
505,111,1
506,111,1
508,111,2
509,111,1
510,111,1
512,111,2
524,121,12
526,122,2
527,121,1
528,120,1
531,122,3
532,122,1
534,123,2
535,122,1
537,123,2
539,124,2
540,124,1
542,124,2
543,112,1
545,112,2
547,112,2
548,112,1
550,112,2
552,112,2
553,111,1
556,113,3
557,111,1
559,112,2
562,113,3
565,114,3
576,124,11
578,124,2
580,125,2
581,124,1
582,123,1
584,124,2
585,123,1
587,124,2
588,124,1
589,124,1
590,124,1
592,124,2
593,123,1
594,124,1
596,124,2
597,124,1
598,123,1
600,123,2
601,123,1
603,123,2
605,123,2
606,123,1
608,123,2
610,124,2
622,134,12
624,135,2
626,135,2
628,136,2
630,137,2
631,136,1
633,137,2
635,137,2
636,121,1
638,123,2
640,123,2
643,125,3
645,126,2
648,127,3
649,128,1
650,128,1
652,127,2
653,127,1
655,127,2
657,127,2
658,127,1
661,128,3
663,128,2
665,129,2
681,143,16
682,143,1
685,144,3
686,143,1
688,144,2
690,144,2
691,144,1
693,144,2
694,143,1
696,144,2
698,144,2
699,144,1
701,144,2
702,144,1
704,144,2
706,145,2
708,145,2
709,145,1
711,145,2
712,145,1
714,146,2
716,146,2
718,148,2
720,149,2
732,159,12
734,160,2
736,161,2
738,161,2
740,143,2
741,142,1
743,142,2
745,143,2
746,142,1
747,142,1
749,142,2
750,142,1
751,141,1
753,142,2
754,142,1
755,141,1
757,142,2
757,141,0
759,142,2
761,143,2
762,142,1
764,143,2
765,142,1
767,143,2
780,154,13
782,155,2
784,156,2
786,155,2
787,155,1
789,155,2
791,156,2
793,156,2
794,155,1
796,154,2
797,154,1
799,155,2
800,154,1
802,155,2
804,156,2
805,154,1
807,155,2
809,155,2
812,157,3
813,157,1
815,157,2
817,158,2
819,157,2
822,159,3
832,154,10
833,154,1
834,154,1
835,152,1
837,154,2
839,153,2
841,154,2
842,153,1
844,154,2
846,154,2
847,154,1
850,155,3
852,155,2
853,155,1
855,156,2
856,154,1
858,155,2
860,155,2
861,155,1
863,156,2
865,156,2
866,156,1
868,156,2
869,155,1
881,166,12
883,166,2
885,166,2
886,165,1
888,167,2
889,166,1
891,166,2
893,167,2
894,167,1
896,167,2
897,168,1
899,168,2
901,168,2
902,168,1
904,168,2
905,168,1
907,168,2
908,166,1
910,167,2
911,165,1
913,153,2
914,153,1
915,152,1
917,152,2
929,163,12
930,162,1
933,164,3
934,163,1
936,165,2
937,165,1
939,166,2
941,166,2
942,166,1
943,166,1
945,167,2
947,167,2
948,166,1
950,167,2
951,166,1
954,167,3
955,167,1
956,166,1
958,166,2
960,167,2
961,166,1
963,166,2
964,166,1
967,167,3
985,184,18
987,184,2
988,184,1
990,184,2
991,183,1
993,183,2
994,183,1
996,184,2
998,184,2
999,183,1
1001,184,2
1003,185,2
1004,183,1
1006,183,2
1008,184,2
1009,184,1
1011,176,2
1013,176,2
1015,177,2
1016,176,1
1018,176,2
1019,176,1
1020,175,1
1023,176,3
1036,187,13
1038,187,2
1039,186,1
1041,187,2
1043,187,2
1045,188,2
1047,188,2
1048,187,1
1050,188,2
1051,187,1
1053,188,2
1055,188,2
1057,187,2
1057,186,0
1058,186,1
1060,187,2
1061,186,1
1063,187,2
1064,187,1
1066,188,2
1067,188,1
1068,188,1
1070,188,2
1071,187,1
1085,199,14
1086,199,1
1088,199,2
1090,200,2
1091,199,1
1094,201,3
1094,199,0
1096,199,2
1099,201,3
1100,200,1
1102,201,2
1104,201,2
1105,190,1
1107,190,2
1108,190,1
1110,190,2
1112,190,2
1113,191,1
1115,192,2
1117,192,2
1118,192,1
1120,192,2
1121,192,1
1123,192,2
1135,203,12
1137,204,2
1138,203,1
1140,203,2
1141,203,1
1142,202,1
1143,202,1
1145,202,2
1145,199,0
1147,200,2
1148,199,1
1149,199,1
1151,199,2
1153,200,2
1154,199,1
1156,200,2
1158,200,2
1160,201,2
1161,199,1
1163,200,2
1165,200,2
1166,200,1
1168,200,2
1170,201,2
1181,211,11
1183,212,2
1185,213,2
1186,212,1
1189,214,3
1190,214,1
1192,214,2
1193,215,1
1195,207,2
1197,207,2
1198,206,1
1200,206,2
1202,207,2
1203,206,1
1205,207,2
1207,207,2
1208,207,1
1210,207,2
1211,207,1
1213,206,2
1216,209,3
1217,208,1
1218,208,1
1219,207,1
1228,214,9
1231,216,3
1233,216,2
1234,215,1
1236,215,2
1238,216,2
1240,216,2
1241,216,1
1243,217,2
1245,218,2
1246,217,1
1248,219,2
1249,219,1
1251,219,2
1253,220,2
1254,220,1
1255,218,1
1257,219,2
1258,219,1
1260,219,2
1261,219,1
1264,220,3
1265,220,1
1267,220,2
1289,241,22
1291,240,2
1293,241,2
1294,240,1
1295,222,1
1297,222,2
1297,221,0
1298,222,1
1300,222,2
1301,221,1
1302,221,1
1304,222,2
1306,222,2
1307,221,1
1309,222,2
1311,222,2
1313,223,2
1315,223,2
1316,223,1
1319,224,3
1321,224,2
1323,225,2
1325,226,2
1327,226,2
1339,236,12
1341,237,2
1344,238,3
1345,238,1
1347,238,2
1348,237,1
1350,238,2
1352,238,2
1353,237,1
1355,237,2
1357,238,2
1358,237,1
1360,238,2
1361,237,1
1363,238,2
1365,239,2
1366,238,1
1368,239,2
1369,240,1
1371,240,2
1372,240,1
1373,240,1
1374,239,1
1376,240,2
1386,234,10
1388,235,2
1390,236,2
1391,235,1
1393,235,2
1395,236,2
1397,236,2
1398,236,1
1399,235,1
1401,235,2
1402,235,1
1404,235,2
1406,235,2
1407,235,1
1410,237,3
1411,236,1
1412,237,1
1414,238,2
1415,237,1
1418,239,3
1419,239,1
1421,239,2
1422,239,1
1424,240,2
1436,249,12
1437,250,1
1440,251,3
1441,250,1
1442,249,1
1445,251,3
1446,250,1
1446,248,0
1448,249,2
1449,248,1
1451,249,2
1452,248,1
1454,249,2
1455,248,1
1456,247,1
1457,247,1
1459,247,2
1461,248,2
1462,247,1
1464,247,2
1466,239,2
1467,237,1
1469,237,2
1470,237,1
1482,247,12
1484,248,2
1486,248,2
1487,248,1
1489,248,2
1491,249,2
1492,248,1
1494,248,2
1496,249,2
1498,248,2
1499,249,1
1500,248,1
1502,248,2
1504,248,2
1505,247,1
1507,248,2
1509,248,2
1510,248,1
1512,249,2
1513,248,1
1515,249,2
1517,249,2
1518,249,1
1520,249,2
1530,259,10
1531,258,1
1533,259,2
1534,258,1
1535,259,1
1536,258,1
1538,259,2
1540,260,2
1541,260,1
1542,260,1
1544,260,2
1545,259,1
1547,261,2
1549,261,2
1550,260,1
1552,261,2
1554,251,2
1556,251,2
1557,251,1
1559,251,2
1562,253,3
1564,253,2
1565,252,1
1567,252,2
1588,272,21
1591,273,3
1592,273,1
1594,274,2
1595,274,1
1597,273,2
1599,274,2
1601,275,2
1603,275,2
1604,275,1
1605,275,1
1606,275,1
1607,273,1
1608,273,1
1610,275,2
1611,275,1
1612,275,1
1613,274,1
1615,275,2
1616,274,1
1618,275,2
1621,276,3
1623,277,2
1624,275,1
1639,289,15
1641,290,2
1643,289,2
1644,290,1
1647,291,3
1648,290,1
1650,291,2
1652,290,2
1653,291,1
1654,290,1
1656,290,2
1657,290,1
1660,280,3
1662,281,2
1663,281,1
1664,280,1
1666,282,2
1668,281,2
1669,280,1
1671,281,2
1672,281,1
1674,281,2
1676,282,2
1678,282,2
1689,291,11
1690,290,1
1691,289,1
1691,288,0
1693,288,2
1695,289,2
1696,288,1
1698,289,2
1699,289,1
1701,288,2
1703,289,2
1704,288,1
1706,289,2
1708,290,2
1709,289,1
1710,288,1
1713,290,3
1715,290,2
1717,291,2
1719,291,2
1720,291,1
1722,293,2
1723,292,1
1725,293,2
1737,304,12
1739,305,2
1741,305,2
1743,305,2
1744,305,1
1746,305,2
1747,304,1
1749,305,2
1751,293,2
1752,292,1
1754,292,2
1755,292,1
1757,292,2
1758,292,1
1760,292,2
1762,293,2
1763,292,1
1764,292,1
1766,293,2
1767,293,1
1768,293,1
1769,292,1
1771,293,2
1772,293,1
1784,304,12
1785,303,1
1787,304,2
1789,304,2
1791,305,2
1792,304,1
1794,305,2
1795,304,1
1797,305,2
1798,303,1
1800,305,2
1802,305,2
1804,304,2
1805,304,1
1807,305,2
1809,305,2
1811,306,2
1813,307,2
1814,306,1
1816,306,2
1818,306,2
1820,307,2
1823,308,3
1824,308,1
1827,309,3
1829,310,2
1831,310,2
1833,311,2
1834,295,1
1838,297,4
1839,296,1
1841,297,2
1843,297,2
1844,296,1
1845,296,1
1847,296,2
1849,296,2
1850,296,1
1852,297,2
1853,296,1
1856,297,3
1858,298,2
1859,298,1
