time (ms),latency (ms),consume (ms)
0,7,0
7,2,7
14,2,7
20,1,6
26,1,6
33,1,7
39,1,6
46,1,7
53,2,7
59,1,6
67,2,8
73,1,6
80,1,7
88,3,8
94,1,6
100,1,6
106,1,6
113,1,7
120,2,7
127,1,7
133,1,6
139,1,6
145,1,6
151,1,6
157,1,6
163,1,6
170,2,7
176,1,6
183,1,7
191,1,8
198,1,7
209,1,11
216,1,7
223,1,7
229,1,6
235,1,6
241,1,6
247,1,6
254,1,7
260,1,6
267,1,7
273,1,6
279,1,6
285,1,6
291,1,6
298,1,7
305,1,7
315,5,10
321,1,6
328,1,7
334,1,6
339,0,5
345,0,6
351,0,6
357,0,6
364,1,7
370,1,6
376,1,6
382,1,6
388,1,6
394,1,6
400,1,6
407,2,7
413,1,6
419,1,6
425,1,6
431,0,6
438,1,7
443,0,5
449,1,6
455,1,6
461,1,6
467,1,6
473,0,6
479,0,6
485,0,6
491,1,6
497,1,6
503,1,6
510,2,7
516,1,6
523,1,7
529,1,6
536,1,7
542,1,6
549,1,7
555,1,6
561,1,6
567,1,6
573,1,6
579,1,6
585,1,6
591,0,6
598,1,7
604,1,6
611,2,7
617,1,6
623,0,6
630,1,7
636,1,6
642,1,6
647,0,5
653,0,6
659,0,6
665,1,6
671,1,6
677,1,6
683,1,6
689,1,6
695,1,6
701,1,6
708,2,7
715,1,7
721,1,6
730,1,9
737,1,7
743,0,6
749,0,6
755,0,6
762,1,7
768,1,6
775,1,7
781,1,6
787,1,6
793,1,6
799,1,6
805,1,6
811,1,6
817,0,6
824,1,7
830,1,6
835,0,5
841,0,6
847,1,6
852,0,5
858,0,6
864,0,6
870,0,6
876,0,6
882,1,6
888,1,6
893,0,5
899,0,6
907,2,8
913,1,6
919,1,6
925,1,6
931,1,6
937,1,6
942,0,5
948,0,6
955,0,7
961,0,6
967,0,6
973,0,6
979,1,6
985,0,6
991,0,6
997,1,6
1003,1,6
1009,1,6
1014,0,5
1020,0,6
1027,1,7
1033,1,6
1039,1,6
1045,1,6
1050,0,5
1056,0,6
1064,1,8
1070,1,6
1076,1,6
1081,0,5
1087,0,6
1093,1,6
1098,0,5
1104,0,6
1110,0,6
1116,1,6
1123,1,7
1129,1,6
1136,2,7
1142,1,6
1148,1,6
1154,1,6
1160,1,6
1167,2,7
1174,1,7
1181,1,7
1186,0,5
1192,0,6
1204,1,12
1213,1,9
1219,1,6
1225,1,6
1231,1,6
1237,1,6
1243,1,6
1248,0,5
1254,0,6
1260,1,6
1266,1,6
1272,0,6
1278,1,6
1284,1,6
1289,0,5
1295,0,6
1301,1,6
1307,1,6
1312,0,5
1318,0,6
1324,1,6
1330,1,6
1336,1,6
1341,0,5
1347,0,6
1353,1,6
1366,8,13
1368,1,2
1373,0,5
1379,1,6
1385,1,6
1393,3,8
1399,1,6
1405,1,6
1410,0,5
1416,1,6
1422,1,6
1427,0,5
1433,0,6
