time (ms),latency (ms),consume (ms)
0,15,0
16,25,16
26,27,10
34,17,8
42,15,8
50,15,8
59,16,9
62,10,3
66,6,4
71,8,5
76,9,5
80,7,4
84,7,4
88,7,4
92,7,4
122,33,30
128,32,6
130,30,2
133,29,3
135,21,2
137,18,2
140,17,3
144,11,4
150,11,6
153,8,3
156,7,3
160,7,4
163,6,3
167,6,4
171,7,4
175,7,4
179,7,4
182,6,3
186,6,4
190,7,4
193,6,3
199,8,6
203,9,4
207,7,4
211,7,4
238,30,27
239,25,1
242,21,3
244,21,2
254,28,10
258,29,4
261,6,3
264,5,3
268,6,4
271,6,3
274,5,3
277,5,3
281,6,4
284,5,3
288,6,4
291,6,3
294,6,3
297,5,3
300,5,3
304,6,4
307,6,3
312,8,5
315,7,3
324,11,9
326,9,2
360,37,34
360,33,0
364,34,4
369,35,5
371,33,2
374,33,3
377,33,3
381,33,4
381,29,0
385,30,4
388,29,3
391,28,3
394,28,3
395,25,1
400,27,5
405,29,5
410,30,5
413,30,3
415,28,2
418,27,3
420,25,2
424,26,4
425,23,1
433,27,8
435,24,2
437,23,2
441,24,4
475,54,34
476,52,1
479,52,3
484,54,5
486,52,2
489,51,3
492,52,3
495,51,3
496,48,1
498,47,2
498,44,0
502,44,4
505,43,3
508,43,3
509,41,1
512,41,3
515,41,3
517,39,2
522,40,5
524,40,2
525,37,1
528,37,3
529,34,1
533,32,4
536,32,3
537,29,1
558,47,21
558,44,0
558,40,0
561,40,3
564,39,3
564,32,0
565,29,1
566,21,1
566,18,0
569,19,3
570,14,1
570,11,0
573,10,3
577,10,4
577,5,0
580,6,3
580,5,0
584,8,4
584,6,0
587,8,3
587,6,0
587,5,0
590,7,3
594,9,4
594,8,0
597,9,3
618,29,21
618,27,0
621,29,3
621,28,0
621,26,0
625,29,4
625,27,0
629,30,4
629,28,0
629,27,0
632,28,3
632,27,0
633,27,1
635,27,2
635,25,0
635,24,0
639,25,4
639,24,0
640,24,1
640,23,0
640,21,0
640,20,0
641,19,1
641,18,0
643,19,2
643,16,0
659,31,16
660,30,1
662,31,2
662,29,0
665,31,3
665,18,0
665,17,0
668,18,3
668,17,0
668,15,0
671,17,3
671,15,0
671,14,0
675,17,4
675,15,0
676,15,1
678,15,2
678,14,0
678,12,0
681,14,3
681,12,0
681,11,0
685,13,4
688,15,3
688,14,0
688,12,0
701,24,13
701,22,0
703,23,2
703,21,0
703,20,0
704,20,1
708,22,4
708,21,0
710,21,2
710,20,0
710,18,0
710,17,0
712,18,2
712,16,0
712,15,0
713,14,1
714,14,1
714,12,0
714,10,0
717,12,3
717,11,0
719,12,2
720,11,1
722,3,2
724,3,2
725,2,1
733,9,8
735,8,2
736,8,1
736,6,0
736,5,0
738,5,2
738,4,0
740,4,2
744,6,4
744,3,0
744,2,0
747,4,3
747,2,0
748,2,1
750,3,2
753,5,3
753,2,0
754,2,1
756,3,2
757,2,1
758,2,1
760,3,2
761,2,1
764,4,3
764,3,0
766,3,2
775,11,9
776,9,1
780,12,4
780,11,0
780,9,0
783,11,3
786,12,3
786,10,0
786,9,0
788,10,2
788,9,0
788,7,0
789,7,1
793,9,4
795,10,2
796,2,1
797,2,1
798,2,1
800,2,2
801,2,1
803,3,2
804,2,1
805,2,1
807,3,2
808,2,1
815,8,7
815,6,0
818,5,3
820,6,2
820,4,0
820,3,0
822,3,2
823,3,1
824,2,1
829,6,5
829,4,0
829,2,0
837,9,8
837,7,0
837,6,0
840,8,3
840,6,0
840,4,0
844,6,4
844,5,0
847,6,3
847,5,0
847,4,0
851,6,4
854,8,3
854,6,0
854,5,0
868,18,14
870,18,2
870,17,0
870,15,0
872,16,2
872,15,0
874,15,2
876,3,2
877,2,1
878,2,1
880,3,2
881,2,1
882,2,1
884,3,2
885,2,1
886,2,1
888,3,2
889,2,1
890,2,1
892,3,2
893,2,1
894,2,1
896,3,2
897,2,1
898,2,1
912,14,14
912,13,0
912,10,0
915,12,3
915,11,0
915,9,0
917,10,2
918,10,1
918,8,0
918,7,0
921,8,3
921,7,0
921,5,0
924,7,3
924,5,0
925,5,1
928,6,3
928,5,0
930,5,2
930,4,0
930,3,0
935,6,5
935,4,0
936,4,1
941,8,5
943,9,2
944,2,1
949,6,5
950,3,1
952,3,2
953,2,1
954,2,1
956,3,2
957,2,1
958,2,1
960,3,2
961,2,1
963,3,2
964,2,1
965,2,1
967,3,2
968,2,1
969,2,1
971,3,2
972,2,1
973,2,1
975,3,2
976,2,1
977,2,1
979,3,2
980,2,1
982,3,2
991,11,9
991,9,0
992,7,1
994,8,2
994,6,0
996,7,2
996,6,0
996,4,0
997,4,1
1001,6,4
1001,5,0
1001,3,0
1002,3,1
1005,5,3
1005,3,0
1007,4,2
1013,9,6
1014,3,1
1016,3,2
1017,2,1
1019,3,2
1020,2,1
1021,2,1
1023,3,2
1024,2,1
1025,2,1
1032,8,7
1032,6,0
1033,3,1
1035,4,2
1035,2,0
1037,3,2
1038,2,1
1039,2,1
1041,3,2
1042,2,1
1044,3,2
1045,2,1
1046,2,1
1048,3,2
1049,2,1
1050,2,1
1051,2,1
1053,2,2
1054,2,1
1056,3,2
1057,3,1
1058,2,1
1059,2,1
1061,2,2
1062,2,1
1063,2,1
1074,12,11
1074,10,0
1076,9,2
1076,8,0
1077,8,1
1078,7,1
1078,6,0
1078,5,0
1083,8,5
1084,2,1
1086,3,2
1087,2,1
1088,2,1
1089,2,1
1091,2,2
1092,2,1
1094,3,2
1095,2,1
1096,2,1
1098,3,2
1099,2,1
1100,2,1
1101,2,1
1103,2,2
1104,2,1
1105,2,1
1112,8,7
1117,11,5
1117,7,0
1119,8,2
1119,6,0
1119,4,0
1123,6,4
1123,3,0
1123,2,0
1129,7,6
1129,5,0
1129,4,0
1131,5,2
1131,4,0
1131,3,0
1133,4,2
1135,4,2
1138,5,3
1138,2,0
1142,5,4
1142,3,0
1142,2,0
1145,4,3
1145,2,0
1149,5,4
1149,3,0
1153,6,4
1158,10,5
1159,3,1
1160,2,1
1162,3,2
1163,2,1
1164,2,1
1166,3,2
1167,2,1
1169,3,2
1170,2,1
1171,2,1
1172,2,1
1174,3,2
1175,2,1
1176,2,1
1178,3,2
1179,2,1
1181,3,2
1182,2,1
1183,2,1
1185,3,2
1186,2,1
1187,2,1
1189,2,2
1190,2,1
1199,10,9
1199,9,0
1199,6,0
1202,7,3
1202,5,0
1202,4,0
1204,4,2
1204,3,0
1207,5,3
1207,2,0
1209,3,2
1213,5,4
1213,3,0
1213,2,0
1216,4,3
1216,2,0
1218,3,2
1219,3,1
1224,7,5
1225,7,1
1227,3,2
1228,2,1
1229,2,1
1231,3,2
1232,2,1
1233,2,1
1235,3,2
1240,6,5
1242,4,2
1245,5,3
1245,3,0
1246,2,1
1249,4,3
1249,3,0
1251,3,2
1252,3,1
1253,3,1
1254,2,1
1255,2,1
1257,3,2
1258,2,1
1259,2,1
1261,3,2
1262,2,1
1263,2,1
1265,3,2
1266,2,1
1267,2,1
1269,3,2
1270,2,1
1271,2,1
1273,3,2
1284,12,11
1285,12,1
1287,12,2
1287,10,0
1288,10,1
1291,12,3
1291,10,0
1291,9,0
1291,8,0
1292,7,1
1296,10,4
1298,10,2
1299,2,1
1301,3,2
1302,2,1
1303,2,1
1304,2,1
1306,3,2
1307,2,1
1308,2,1
1310,3,2
1311,2,1
1312,2,1
1314,3,2
1315,2,1
1316,2,1
1321,6,5
1322,5,1
1324,3,2
1325,2,1
1326,2,1
1327,2,1
1329,3,2
1330,2,1
1331,2,1
1333,2,2
1334,2,1
1335,2,1
1337,3,2
1338,2,1
1339,2,1
1341,3,2
1342,2,1
1343,2,1
1345,3,2
1346,2,1
1347,2,1
1348,2,1
1350,2,2
1351,2,1
1352,2,1
1354,2,2
1361,8,7
1365,11,4
1367,10,2
1368,10,1
1370,3,2
1371,2,1
1372,2,1
1374,3,2
1375,2,1
1376,2,1
1378,3,2
1379,2,1
1380,2,1
1382,3,2
1383,2,1
1384,2,1
1386,3,2
1387,2,1
1388,2,1
1390,3,2
1391,2,1
1392,2,1
1393,2,1
1395,2,2
1396,2,1
1402,7,6
1402,5,0
1404,4,2
1409,6,5
1409,4,0
1409,3,0
1412,5,3
1412,4,0
1412,2,0
1414,3,2
1417,5,3
1417,2,0
1420,4,3
1420,3,0
1421,2,1
1423,3,2
1424,2,1
1425,2,1
1427,3,2
1428,2,1
1429,2,1
1435,7,6
1436,6,1
1437,2,1
1439,3,2
1440,2,1
1464,25,24
1469,29,5
1472,25,3
1475,24,3
1476,21,1
1476,15,0
1478,14,2
1478,10,0
1478,6,0
1478,4,0
1480,4,2
1485,6,5
1485,4,0
1485,3,0
1486,3,1
1490,6,4
1490,4,0
1490,3,0
1493,5,3
1493,4,0
1495,4,2
1495,3,0
1500,7,5
1500,4,0
1500,3,0
1503,5,3
1503,4,0
1512,11,9
1512,10,0
1515,11,3
1515,10,0
1515,7,0
1523,13,8
1523,12,0
1523,10,0
1524,10,1
1524,8,0
1524,7,0
1524,6,0
1527,8,3
1529,9,2
1530,2,1
1531,2,1
1533,2,2
1534,2,1
1536,3,2
1537,2,1
