time (ms),latency (ms),consume (ms)
0,9,0
12,3,12
25,3,13
36,2,11
48,2,12
61,2,13
73,2,12
85,1,12
98,3,13
110,2,12
122,1,12
134,1,12
146,1,12
162,5,16
174,1,12
186,1,12
200,2,14
212,1,12
226,3,14
239,2,13
252,2,13
264,1,12
276,1,12
288,1,12
301,1,13
314,1,13
327,2,13
339,1,12
352,2,13
365,1,13
377,1,12
392,2,15
405,2,13
416,1,11
428,1,12
440,1,12
452,1,12
464,2,12
478,3,14
491,2,13
503,1,12
514,0,11
527,2,13
539,2,12
550,1,11
563,2,13
575,2,12
588,3,13
600,2,12
612,1,12
623,1,11
635,1,12
647,2,12
658,1,11
670,1,12
683,1,13
695,1,12
708,1,13
720,1,12
731,1,11
744,2,13
757,2,13
769,1,12
784,2,15
796,1,12
810,2,14
822,2,12
835,2,13
847,2,12
860,2,13
871,1,11
884,1,13
896,1,12
908,1,12
920,1,12
932,1,12
944,2,12
956,1,12
969,1,13
982,2,13
995,1,13
1008,2,13
1022,3,14
1037,4,15
1050,1,13
1064,1,14
1076,1,12
1089,2,13
1103,1,14
1115,1,12
1127,1,12
1139,1,12
1151,1,12
1164,2,13
1176,2,12
1189,2,13
1202,2,13
1214,1,12
1226,1,12
1239,2,13
1251,1,12
1263,1,12
1275,1,12
1287,1,12
1299,1,12
1311,1,12
1324,1,13
1337,2,13
1349,2,12
1360,1,11
1372,1,12
1388,5,16
1404,2,16
1416,1,12
1428,1,12
1444,3,16
1457,2,13
1472,3,15
1489,4,17
1505,5,16
1520,3,15
1533,1,13
1547,2,14
1564,1,17
1578,2,14
1593,2,15
1606,2,13
1619,3,13
1632,2,13
1644,2,12
1657,2,13
1669,2,12
1681,2,12
1695,2,14
1707,1,12
1719,1,12
1731,1,12
1743,1,12
1757,3,14
1769,2,12
1781,1,12
1801,2,20
1813,1,12
1826,2,13
1838,1,12
1850,1,12
1864,2,14
1876,1,12
1888,1,12
1900,1,12
1913,2,13
1926,1,13
1938,1,12
1950,1,12
1962,1,12
1974,1,12
1991,1,17
2003,1,12
2018,2,15
2031,1,13
2044,2,13
2056,2,12
2069,2,13
2080,1,11
2092,1,12
2105,2,13
2119,3,14
2132,1,13
2147,4,15
2159,1,12
2172,1,13
2184,1,12
2196,1,12
2208,1,12
2221,2,13
2233,2,12
2246,2,13
2258,1,12
2271,2,13
2284,2,13
2296,1,12
2309,3,13
2321,1,12
2334,3,13
2351,1,17
2364,1,13
2378,3,14
2390,1,12
2409,3,19
2423,3,14
2440,6,17
2462,3,22
2475,2,13
2491,3,16
2506,3,15
2520,3,14
2532,1,12
2544,1,12
2558,2,14
2570,2,12
2582,1,12
2596,1,14
2608,1,12
2619,1,11
2630,0,11
2642,1,12
2654,1,12
2665,1,11
2678,2,13
2690,1,12
2702,1,12
2714,1,12
2736,9,22
2749,2,13
2760,1,11
2772,1,12
2784,1,12
2807,12,23
2811,1,4
2823,2,12
2835,2,12
2846,1,11
2861,5,15
2871,1,10
2882,1,11
2894,2,12
2905,1,11
2917,2,12
2928,1,11
2940,2,12
2951,1,11
2963,2,12
2974,1,11
2986,2,12
2998,2,12
3010,2,12
3023,3,13
3035,1,12
3046,0,11
3058,1,12
3070,2,12
3083,2,13
3097,3,14
3110,2,13
3123,1,13
3137,2,14
3149,1,12
3164,3,15
3179,1,15
3192,2,13
3204,2,12
3219,2,15
3232,2,13
3244,1,12
3258,3,14
3270,1,12
3282,1,12
3294,2,12
3306,1,12
3318,1,12
3329,1,11
3343,2,14
3355,2,12
3367,2,12
3379,2,12
3391,1,12
3402,1,11
3414,1,12
3426,1,12
3440,3,14
3452,1,12
3464,1,12
3476,1,12
3488,2,12
3500,1,12
3512,1,12
3523,1,11
3535,1,12
3547,1,12
3558,1,11
3570,1,12
3581,0,11
3594,1,13
3617,9,23
3619,1,2
3629,1,10
3640,1,11
3650,1,10
3661,1,11
3671,1,10
3682,1,11
3694,1,12
3706,1,12
3721,1,15
3733,1,12
3745,1,12
3760,5,15
3773,1,13
3785,1,12
3797,2,12
3811,4,14
3823,1,12
3835,1,12
3847,2,12
3858,1,11
3870,1,12
3882,1,12
3895,2,13
3907,1,12
3919,2,12
3931,2,12
3943,2,12
3956,2,13
3968,2,12
3980,1,12
3992,1,12
4004,1,12
4016,2,12
4028,2,12
4048,1,20
4060,1,12
4072,1,12
4084,1,12
4096,1,12
4112,5,16
4124,1,12
4136,1,12
4148,1,12
4164,5,16
4176,2,12
4188,1,12
4199,1,11
4213,1,14
4225,2,12
4237,1,12
4249,2,12
4260,1,11
4272,1,12
4284,1,12
4296,1,12
4308,1,12
4320,1,12
4332,1,12
4344,1,12
4357,2,13
4369,2,12
4381,2,12
4393,2,12
4405,1,12
4420,2,15
4435,2,15
4449,3,14
4462,2,13
4476,2,14
4489,2,13
4502,2,13
4514,1,12
4526,1,12
4538,1,12
4550,1,12
4562,1,12
4575,2,13
4586,1,11
4598,1,12
4610,1,12
4622,1,12
4634,2,12
4646,2,12
4658,1,12
4670,2,12
4683,3,13
4695,1,12
4707,1,12
4721,3,14
4735,1,14
4748,2,13
4762,2,14
4779,5,17
4792,2,13
4808,5,16
4820,2,12
4832,2,12
4844,2,12
4880,8,36
4896,2,16
4910,1,14
4922,1,12
4935,2,13
4947,1,12
4959,1,12
4972,1,13
4985,2,13
4997,1,12
5010,1,13
5024,3,14
5038,3,14
5050,1,12
5064,2,14
5076,1,12
5091,2,15
5104,2,13
5116,2,12
5128,2,12
5140,1,12
5153,2,13
5165,2,12
5177,2,12
5189,1,12
5201,2,12
5213,1,12
5226,2,13
5245,1,19
5257,1,12
5269,1,12
5281,1,12
5293,1,12
5306,2,13
5318,1,12
5330,1,12
5343,2,13
5355,1,12
5367,1,12
5379,2,12
5394,2,15
5406,1,12
5418,1,12
5431,1,13
5444,2,13
5457,2,13
5471,2,14
5483,1,12
5496,2,13
5508,1,12
5521,1,13
5535,2,14
5548,2,13
5561,2,13
5573,1,12
5585,1,12
5597,1,12
5610,2,13
5622,2,12
5633,1,11
5645,1,12
5658,2,13
5672,1,14
5684,1,12
5701,2,17
5713,1,12
5725,1,12
5738,2,13
5750,2,12
5762,1,12
5774,1,12
5786,1,12
5798,1,12
5812,2,14
5824,1,12
5837,2,13
5849,1,12
5862,2,13
5874,2,12
5888,2,14
5901,2,13
5914,2,13
5926,1,12
5938,1,12
5951,2,13
5964,1,13
5977,2,13
5990,2,13
6003,2,13
6018,3,15
6031,2,13
6043,2,12
6056,1,13
6069,2,13
6082,2,13
6094,1,12
6107,2,13
6119,1,12
6132,2,13
6146,3,14
6158,1,12
6172,2,14
6189,3,17
6202,2,13
6213,2,11
6224,1,11
6236,1,12
6249,1,13
6262,2,13
6274,2,12
6288,3,14
6302,2,14
6314,1,12
6327,1,13
6340,2,13
6353,2,13
6366,2,13
6380,2,14
6393,2,13
6413,1,20
6428,2,15
6441,2,13
6461,2,20
6476,4,15
6489,2,13
6502,2,13
6514,1,12
6530,5,16
6542,2,12
6555,2,13
6568,2,13
6581,2,13
6594,2,13
6607,2,13
6620,2,13
6633,2,13
6647,2,14
6660,2,13
6673,2,13
6687,2,14
6700,2,13
6720,7,20
6734,3,14
6747,2,13
6769,10,22
6780,2,11
6791,3,11
6801,2,10
6813,3,12
6824,2,11
6841,8,17
6852,2,11
6863,2,11
6873,1,10
6884,2,11
6894,1,10
6904,1,10
6916,1,12
6928,1,12
6944,5,16
6956,1,12
6967,1,11
6979,1,12
6991,1,12
7003,1,12
7014,1,11
7026,1,12
7038,2,12
7049,1,11
7061,1,12
7072,1,11
7083,1,11
7094,1,11
7105,0,11
7116,0,11
7127,0,11
7139,1,12
7151,1,12
7162,1,11
7174,1,12
7186,1,12
7197,1,11
7209,1,12
7220,1,11
7232,1,12
7243,1,11
7255,1,12
7266,1,11
7277,0,11
7289,1,12
7301,2,12
7312,1,11
7324,1,12
7336,1,12
