time (ms),latency (ms),consume (ms)
0,7,0
12,2,12
25,3,13
36,2,11
48,2,12
61,2,13
73,2,12
84,1,11
97,2,13
109,2,12
121,1,12
134,2,13
146,2,12
161,4,15
174,2,13
186,1,12
199,2,13
212,2,13
225,3,13
239,1,14
251,1,12
265,3,14
279,2,14
293,3,14
314,2,21
329,2,15
345,4,16
359,2,14
375,3,16
391,2,16
404,2,13
417,2,13
434,4,17
446,1,12
458,1,12
470,1,12
482,1,12
495,2,13
507,1,12
520,2,13
532,2,12
544,1,12
556,1,12
568,1,12
580,1,12
593,2,13
604,1,11
618,3,14
631,2,13
642,1,11
654,1,12
669,2,15
680,1,11
691,1,11
704,2,13
715,1,11
728,2,13
746,1,18
758,2,12
769,1,11
783,2,14
794,1,11
809,3,15
822,1,13
835,1,13
848,1,13
860,1,12
872,1,12
884,1,12
896,1,12
908,1,12
921,2,13
932,1,11
944,1,12
956,1,12
967,1,11
978,1,11
990,1,12
1001,1,11
1014,3,13
1026,1,12
1038,1,12
1051,2,13
1064,3,13
1076,1,12
1088,1,12
1099,1,11
1111,2,12
1122,1,11
1134,1,12
1146,1,12
1157,1,11
1169,1,12
1180,1,11
1192,1,12
1205,2,13
1217,2,12
1228,1,11
1240,1,12
1252,1,12
1263,1,11
1275,1,12
1287,1,12
1299,2,12
1310,1,11
1322,1,12
1334,1,12
1346,1,12
1358,1,12
1369,1,11
1381,1,12
1395,3,14
1408,1,13
1420,1,12
1431,1,11
1444,2,13
1455,1,11
1467,1,12
1481,3,14
1494,2,13
1507,1,13
1520,1,13
1533,2,13
1545,1,12
1558,2,13
1572,2,14
1591,3,19
1605,3,14
1618,2,13
1632,3,14
1646,3,14
1662,1,16
1675,2,13
1687,2,12
1699,2,12
1711,1,12
1723,1,12
1735,1,12
1747,1,12
1759,1,12
1771,1,12
1783,1,12
1795,1,12
1809,3,14
1821,1,12
1834,2,13
1847,3,13
1860,2,13
1872,2,12
1884,1,12
1896,1,12
1910,2,14
1922,1,12
1935,2,13
1947,2,12
1959,1,12
1973,2,14
1985,2,12
2000,1,15
2013,2,13
2025,2,12
2037,1,12
2050,2,13
2062,1,12
2075,2,13
2094,4,19
2101,1,7
2112,2,11
2123,2,11
2132,1,9
2144,1,12
2156,1,12
2167,1,11
2179,1,12
2190,1,11
2202,1,12
2213,1,11
2225,1,12
2237,1,12
2250,2,13
2261,1,11
2274,2,13
2286,2,12
2297,1,11
2309,1,12
2321,1,12
2334,2,13
2346,1,12
2359,1,13
2371,1,12
2384,1,13
2402,1,18
2417,1,15
2429,1,12
2441,1,12
2452,1,11
2464,1,12
2476,1,12
2488,2,12
2500,2,12
2511,1,11
2523,1,12
2535,1,12
2547,1,12
2558,1,11
2570,1,12
2581,1,11
2593,1,12
2604,1,11
2616,1,12
2627,1,11
2639,1,12
2651,2,12
2662,1,11
2674,1,12
2686,1,12
2698,1,12
2721,13,23
2725,1,4
2736,1,11
2747,1,11
2758,1,11
2772,3,14
2784,2,12
2795,1,11
2806,1,11
2817,1,11
2829,2,12
2840,1,11
2851,1,11
2862,1,11
2874,2,12
2885,1,11
2896,1,11
2907,1,11
2920,2,13
2932,2,12
2943,1,11
2955,1,12
2967,2,12
2978,1,11
2990,1,12
3003,2,13
3016,2,13
3028,1,12
3042,2,14
3053,1,11
3068,3,15
3080,1,12
3093,2,13
3106,3,13
3118,2,12
3132,3,14
3144,1,12
3157,2,13
3170,2,13
3184,2,14
3195,1,11
3207,1,12
3218,1,11
3230,1,12
3242,1,12
3253,1,11
3265,1,12
3276,1,11
3288,1,12
3300,1,12
3312,1,12
3323,1,11
3335,1,12
3346,0,11
3358,1,12
3370,1,12
3382,2,12
3393,0,11
3405,1,12
3417,1,12
3428,1,11
3440,1,12
3451,1,11
3463,1,12
3474,1,11
3486,1,12
3498,1,12
3510,1,12
3523,2,13
3534,1,11
3546,1,12
3558,2,12
3569,1,11
3581,1,12
3593,1,12
3604,1,11
3616,1,12
3627,1,11
3639,1,12
3653,4,14
3667,1,14
3679,1,12
3691,1,12
3705,4,14
3717,1,12
3729,2,12
3740,1,11
3751,0,11
3763,1,12
3774,1,11
3786,1,12
3797,1,11
3809,1,12
3821,1,12
3833,2,12
3844,1,11
3856,1,12
3868,2,12
3879,1,11
3891,1,12
3903,1,12
3915,1,12
3933,1,18
3945,1,12
3957,1,12
3969,1,12
3981,1,12
3994,3,13
4006,2,12
4017,1,11
4029,1,12
4045,5,16
4057,1,12
4069,1,12
4081,1,12
4093,2,12
4104,1,11
4116,1,12
4128,1,12
4139,1,11
4150,1,11
4162,1,12
4173,1,11
4185,1,12
4196,1,11
4208,1,12
4219,1,11
4231,1,12
4243,1,12
4254,1,11
4266,1,12
4277,1,11
4289,1,12
4300,0,11
4312,1,12
4323,1,11
4335,1,12
4346,1,11
4357,0,11
4369,1,12
4380,1,11
4392,1,12
4403,1,11
4415,1,12
4427,1,12
4438,1,11
4449,1,11
4461,1,12
4472,1,11
4484,1,12
4495,1,11
4507,1,12
4519,1,12
4531,2,12
4543,1,12
4554,1,11
4566,1,12
4579,1,13
4590,1,11
4603,1,13
4618,3,15
4633,5,15
4644,1,11
4657,1,13
4669,1,12
4680,1,11
4718,9,38
4730,2,12
4743,1,13
4754,1,11
4766,1,12
4778,1,12
4789,1,11
4801,1,12
4813,2,12
4824,1,11
4836,1,12
4847,1,11
4859,1,12
4871,1,12
4882,1,11
4894,1,12
4906,2,12
4917,1,11
4929,1,12
4941,1,12
4952,1,11
4964,1,12
4975,1,11
4986,0,11
4998,1,12
5010,1,12
5021,1,11
5033,1,12
5044,1,11
5055,1,11
5067,1,12
5079,1,12
5090,1,11
5102,1,12
5113,1,11
5124,0,11
5136,1,12
5147,1,11
5159,1,12
5170,1,11
5183,1,13
5195,1,12
5206,1,11
5217,1,11
5229,1,12
5241,1,12
5252,1,11
5264,1,12
5275,1,11
5287,1,12
5298,1,11
5310,1,12
5321,1,11
5333,1,12
5344,1,11
5355,0,11
5367,1,12
5378,1,11
5390,1,12
5401,1,11
5413,1,12
5424,1,11
5436,1,12
5447,1,11
5459,1,12
5470,1,11
5482,1,12
5493,1,11
5505,1,12
5516,1,11
5528,1,12
5540,1,12
5551,1,11
5563,1,12
5574,1,11
5586,1,12
5597,1,11
5609,1,12
5621,1,12
5633,1,12
5644,1,11
5655,0,11
5667,1,12
5678,1,11
5690,1,12
5702,1,12
5714,2,12
5726,2,12
5737,1,11
5749,1,12
5761,1,12
5772,1,11
5784,1,12
5796,1,12
5807,1,11
5818,0,11
5830,1,12
5841,1,11
5853,1,12
5864,1,11
5876,1,12
5890,4,14
5902,1,12
5914,1,12
5925,1,11
5937,1,12
5948,1,11
5960,1,12
5972,1,12
5983,1,11
5995,1,12
6006,1,11
6017,1,11
6028,0,11
6040,1,12
6051,1,11
6063,1,12
6074,1,11
6085,0,11
6097,1,12
6108,1,11
6121,3,13
6138,2,17
6149,1,11
6161,1,12
6172,1,11
6184,1,12
6197,3,13
6209,1,12
6220,1,11
6232,1,12
6243,1,11
6254,1,11
6265,1,11
6276,1,11
6287,1,11
6299,1,12
6310,1,11
6321,1,11
6332,1,11
6343,1,11
6355,2,12
6367,1,12
6378,1,11
6389,1,11
6400,1,11
6411,1,11
6423,1,12
6434,1,11
6445,1,11
6456,1,11
6467,1,11
6478,0,11
6490,1,12
6501,1,11
6512,1,11
6523,1,11
6534,0,11
6545,0,11
6558,2,13
6573,1,15
6585,1,12
6597,1,12
6610,2,13
6622,1,12
6634,1,12
6646,1,12
6658,1,12
6670,2,12
6682,2,12
6694,2,12
6706,1,12
6718,1,12
6730,1,12
6742,1,12
6754,1,12
6767,2,13
6779,1,12
6792,2,13
6805,2,13
6818,2,13
6831,2,13
6844,2,13
6856,1,12
6870,2,14
6882,1,12
6895,2,13
6908,2,13
6921,2,13
6934,2,13
6946,1,12
6959,2,13
6971,1,12
6983,1,12
6996,2,13
7008,2,12
7020,1,12
7032,1,12
7045,2,13
7058,1,13
7071,2,13
7084,2,13
7115,17,31
7115,5,0
7121,1,6
7132,1,11
7143,2,11
7155,2,12
7168,2,13
7181,2,13
7194,2,13
7207,2,13
7219,1,12
7231,1,12
7243,1,12
7255,1,12
7267,1,12
7279,1,12
7292,2,13
7304,1,12
7317,2,13
7329,1,12
7342,2,13
7354,1,12
7367,2,13
7380,2,13
7393,2,13
7406,2,13
7419,2,13
7431,1,12
7444,2,13
7456,1,12
7469,2,13
7482,2,13
7495,2,13
7508,2,13
7520,1,12
7533,2,13
7550,6,17
7563,2,13
7575,1,12
7587,1,12
7599,1,12
7610,1,11
7622,1,12
7633,1,11
7645,1,12
7656,1,11
7667,1,11
7679,1,12
7690,1,11
7701,1,11
7713,1,12
7724,1,11
7736,1,12
7748,2,12
7764,2,16
7777,2,13
7789,2,12
7801,2,12
7813,2,12
7824,1,11
7836,1,12
7848,1,12
7860,1,12
7871,1,11
7883,1,12
7895,1,12
7907,1,12
7918,1,11
7930,1,12
7942,1,12
7953,1,11
7965,1,12
7977,1,12
7989,2,12
8000,1,11
8012,1,12
8024,1,12
8036,1,12
8048,1,12
8059,1,11
8080,7,21
8092,1,12
8105,1,13
8116,1,11
8127,1,11
8138,0,11
8150,1,12
8161,1,11
8174,3,13
8185,1,11
8197,1,12
8208,1,11
8219,1,11
8230,0,11
8242,1,12
8253,1,11
8265,1,12
8276,1,11
8287,1,11
8298,0,11
8310,1,12
8321,1,11
8332,1,11
8343,1,11
8354,1,11
8365,0,11
8377,1,12
8388,1,11
8399,1,11
8410,0,11
8422,1,12
8433,1,11
8444,1,11
8455,1,11
8466,1,11
8477,0,11
8494,6,17
8506,1,12
8518,1,12
8529,1,11
8540,0,11
8552,1,12
8563,1,11
8574,0,11
8587,1,13
8598,1,11
8614,6,16
8626,2,12
8637,0,11
8649,1,12
8660,1,11
8671,1,11
8682,1,11
8693,1,11
8704,1,11
8715,1,11
8726,0,11
8738,1,12
8749,1,11
8760,1,11
8771,1,11
8782,1,11
8794,1,12
8805,1,11
8816,1,11
8827,1,11
8838,1,11
8849,1,11
8861,1,12
8872,1,11
8883,1,11
8894,1,11
8905,1,11
8916,1,11
8927,0,11
8938,0,11
8951,1,13
8962,1,11
8973,1,11
8984,1,11
8995,1,11
9006,1,11
9017,0,11
9029,1,12
9041,2,12
9052,1,11
9063,0,11
9075,1,12
9087,1,12
9098,1,11
9109,1,11
9121,1,12
9132,1,11
9144,1,12
9155,1,11
9167,1,12
9178,1,11
9189,1,11
9201,1,12
9212,0,11
9224,1,12
9235,0,11
9247,1,12
9258,1,11
9270,1,12
9281,1,11
9297,1,16
9308,1,11
9320,1,12
9331,1,11
9343,1,12
9354,1,11
9366,1,12
9377,1,11
9389,1,12
9400,1,11
9412,1,12
9423,1,11
9434,1,11
9446,1,12
9457,1,11
9469,1,12
9480,1,11
9492,1,12
9503,1,11
9515,1,12
9526,1,11
9537,0,11
9549,1,12
9560,1,11
9572,1,12
9583,1,11
9594,1,11
9606,1,12
9617,1,11
9629,1,12
9640,1,11
9652,1,12
9663,1,11
9675,1,12
9691,1,16
9701,1,10
9711,1,10
9722,1,11
9732,1,10
9742,1,10
9753,1,11
9763,1,10
9773,1,10
9784,1,11
9794,1,10
9804,1,10
9815,1,11
9825,1,10
9836,1,11
9846,1,10
9856,0,10
9867,1,11
9877,1,10
9888,1,11
9898,1,10
9909,1,11
9919,1,10
9929,0,10
9940,0,11
9951,1,11
9962,1,11
9972,1,10
9983,1,11
9994,1,11
10005,1,11
10015,0,10
10026,1,11
10037,1,11
10048,0,11
10060,1,12
10071,1,11
10083,1,12
10094,1,11
10105,1,11
10117,1,12
10128,1,11
10139,1,11
10151,1,12
10162,1,11
10180,1,18
10191,1,11
10202,0,11
10214,1,12
10225,1,11
10237,1,12
10248,1,11
10259,0,11
10271,1,12
10282,1,11
10293,1,11
10305,1,12
10316,1,11
10327,1,11
10339,1,12
10350,1,11
10361,1,11
10373,1,12
10384,1,11
10395,0,11
10407,1,12
10418,1,11
10430,1,12
10441,1,11
10452,1,11
10463,1,11
10474,0,11
10485,0,11
10497,1,12
10508,1,11
10520,1,12
10531,1,11
10542,1,11
10554,1,12
10565,1,11
10576,0,11
10588,1,12
10599,1,11
10610,1,11
10622,0,12
10634,1,12
10645,1,11
10657,1,12
10668,1,11
10680,1,12
10691,1,11
10702,1,11
10714,1,12
10725,1,11
10736,0,11
10748,1,12
10759,0,11
10776,1,17
10787,1,11
10798,1,11
10810,1,12
10821,1,11
10832,0,11
10844,1,12
10855,1,11
10867,1,12
10878,1,11
10889,1,11
10901,1,12
10912,1,11
10923,1,11
10935,1,12
10946,1,11
10958,1,12
10969,1,11
10980,1,11
10992,1,12
11003,1,11
11014,1,11
11025,0,11
11037,1,12
11048,1,11
11059,1,11
11074,3,15
11089,1,15
11100,1,11
11111,0,11
11122,0,11
11133,0,11
11144,0,11
11156,1,12
11167,1,11
11178,1,11
11189,0,11
11200,0,11
11211,0,11
11223,1,12
11234,1,11
11245,1,11
11256,1,11
11267,0,11
11279,1,12
11290,1,11
11301,1,11
11313,1,12
11324,1,11
11336,1,12
11347,1,11
11358,1,11
11369,0,11
11381,1,12
11392,1,11
11403,1,11
11414,1,11
11425,0,11
11437,1,12
11448,0,11
11460,1,12
11471,1,11
11482,0,11
11494,1,12
11505,1,11
11521,1,16
11532,1,11
11544,1,12
11555,1,11
11566,1,11
11577,1,11
11589,1,12
11600,1,11
11611,1,11
11622,0,11
11633,0,11
11644,0,11
11656,1,12
11667,1,11
11678,0,11
11690,1,12
11701,1,11
11712,1,11
11723,0,11
11737,3,14
11749,1,12
11760,1,11
11771,1,11
11783,1,12
11794,1,11
11805,1,11
11816,0,11
11827,0,11
11838,0,11
11850,1,12
11861,1,11
11872,1,11
11883,1,11
11894,0,11
11905,1,11
11916,0,11
11928,1,12
11938,0,10
11950,0,12
11961,0,11
11973,1,12
11984,1,11
11996,1,12
12007,1,11
12018,1,11
12030,1,12
12041,1,11
12052,1,11
12064,1,12
12075,1,11
12086,1,11
12098,1,12
12109,1,11
12122,3,13
12130,0,8
12141,1,11
12151,1,10
12162,1,11
12172,1,10
12183,2,11
12193,1,10
12204,1,11
12215,2,11
12225,1,10
12236,1,11
12247,2,11
12257,1,10
12268,1,11
12280,2,12
12292,2,12
12304,2,12
12316,2,12
12328,2,12
12340,2,12
12351,1,11
12363,1,12
12375,1,12
12387,1,12
12398,1,11
12410,1,12
12422,1,12
12437,1,15
12449,1,12
12460,1,11
12472,1,12
12483,1,11
12495,1,12
12506,1,11
12518,1,12
12529,1,11
12541,1,12
12553,1,12
12564,1,11
12575,0,11
12587,1,12
12598,1,11
12609,1,11
12620,0,11
12632,1,12
12643,1,11
12655,1,12
12666,1,11
12677,0,11
12689,1,12
12700,1,11
12713,1,13
12724,1,11
12741,1,17
12752,1,11
12763,1,11
12775,1,12
12786,1,11
12797,0,11
12809,1,12
12820,0,11
12832,1,12
12843,1,11
12854,1,11
12866,1,12
12877,1,11
12888,1,11
12899,0,11
12911,1,12
12922,1,11
12933,1,11
12945,1,12
12956,1,11
12967,1,11
12979,1,12
12990,1,11
13001,1,11
13013,1,12
13024,1,11
13035,1,11
13046,1,11
