time (ms),latency (ms),consume (ms)
0,13,0
2,10,2
9,15,7
10,9,1
20,17,10
22,14,2
28,16,6
29,6,1
38,12,9
42,12,4
49,16,7
50,11,1
55,14,5
56,5,1
60,8,4
61,5,1
65,8,4
65,4,0
82,20,17
83,17,1
87,19,4
88,4,1
92,7,4
92,4,0
96,7,4
97,4,1
101,7,4
101,4,0
107,9,6
107,5,0
141,39,34
144,36,3
144,30,0
148,31,4
148,31,0
152,33,4
152,32,0
154,31,2
154,30,0
157,30,3
159,31,2
160,27,1
161,28,1
164,26,3
164,24,0
166,22,2
166,21,0
167,18,1
169,19,2
169,16,0
173,18,4
174,16,1
179,10,5
179,7,0
183,6,4
183,3,0
187,6,4
187,3,0
191,6,4
192,4,1
197,8,5
198,5,1
205,11,7
205,6,0
210,10,5
210,4,0
214,7,4
215,4,1
218,7,3
219,4,1
222,6,3
223,4,1
227,7,4
227,4,0
231,7,4
231,3,0
235,7,4
235,3,0
266,34,31
267,29,1
269,29,2
271,28,2
271,27,0
274,27,3
274,26,0
276,24,2
276,22,0
280,23,4
280,22,0
284,23,4
286,19,2
287,17,1
288,17,1
289,14,1
292,17,3
293,14,1
294,15,1
297,15,3
297,14,0
299,12,2
299,10,0
302,11,3
303,8,1
306,8,3
306,8,0
307,5,1
310,8,3
311,6,1
314,7,3
315,5,1
317,6,2
321,8,4
321,6,0
322,4,1
329,11,7
330,8,1
331,9,1
331,5,0
335,9,4
335,5,0
338,8,3
341,7,3
345,11,4
347,10,2
349,11,2
350,4,1
372,26,22
375,25,3
376,26,1
377,23,1
380,21,3
394,31,14
395,24,1
396,21,1
397,21,1
397,18,0
401,21,4
401,18,0
404,21,3
405,18,1
405,17,0
408,18,3
408,16,0
410,14,2
413,16,3
416,17,3
416,16,0
418,14,2
418,13,0
422,13,4
422,13,0
425,13,3
426,13,1
433,16,7
434,17,1
438,17,4
439,18,1
441,16,2
443,17,2
447,18,4
450,20,3
451,18,1
451,16,0
455,18,4
455,17,0
458,16,3
458,16,0
460,14,2
460,14,0
464,14,4
467,15,3
467,13,0
470,16,3
474,15,4
512,53,38
512,50,0
519,56,7
519,53,0
519,53,0
522,53,3
523,54,1
523,48,0
530,53,7
530,39,0
530,39,0
533,41,3
533,40,0
533,39,0
539,44,6
539,42,0
539,40,0
541,38,2
541,37,0
547,37,6
547,37,0
550,32,3
550,32,0
552,31,2
552,31,0
552,26,0
559,33,7
560,29,1
560,29,0
565,28,5
565,27,0
571,31,6
571,31,0
573,27,2
573,27,0
573,25,0
578,30,5
578,27,0
583,31,5
583,25,0
584,25,1
588,27,4
592,30,4
600,30,8
600,30,0
601,29,1
602,29,1
607,32,5
644,68,37
646,64,2
646,64,0
649,63,3
654,68,5
654,64,0
654,64,0
657,59,3
660,62,3
661,62,1
661,60,0
667,65,6
667,65,0
669,62,2
669,59,0
669,58,0
675,63,6
675,57,0
675,57,0
677,51,2
677,50,0
690,62,13
690,62,0
690,60,0
691,61,1
691,56,0
691,56,0
692,49,1
692,49,0
692,47,0
698,53,6
698,50,0
698,49,0
700,45,2
700,44,0
700,42,0
702,44,2
702,36,0
714,48,12
714,46,0
723,55,9
723,49,0
723,47,0
724,5,1
739,19,15
740,10,1
740,10,0
746,14,6
797,65,51
801,68,4
807,73,6
807,73,0
807,71,0
809,72,2
810,60,1
810,60,0
810,56,0
817,62,7
820,65,3
820,57,0
821,58,1
825,60,4
825,60,0
825,50,0
828,53,3
829,52,1
829,51,0
835,57,6
835,53,0
835,45,0
839,48,4
839,48,0
842,47,3
843,48,1
844,44,1
845,39,1
846,40,1
848,40,2
848,39,0
850,37,2
850,34,0
850,32,0
853,35,3
853,29,0
854,27,1
857,29,3
857,25,0
860,27,3
860,24,0
862,25,2
863,23,1
867,27,4
870,26,3
870,25,0
870,24,0
872,23,2
899,48,27
899,46,0
902,48,3
903,47,1
904,46,1
904,43,0
905,43,1
907,44,2
908,42,1
908,42,0
911,42,3
911,40,0
912,39,1
914,40,2
916,39,2
917,38,1
917,35,0
918,34,1
921,37,3
921,35,0
922,35,1
922,32,0
923,33,1
926,33,3
926,31,0
929,34,3
931,33,2
931,32,0
931,29,0
935,32,4
935,28,0
935,27,0
938,27,3
939,26,1
939,26,0
942,26,3
942,23,0
943,22,1
946,24,3
946,21,0
946,21,0
949,21,3
950,20,1
955,23,5
957,23,2
957,21,0
957,19,0
959,20,2
973,31,14
973,30,0
975,30,2
976,29,1
976,28,0
976,25,0
976,25,0
977,23,1
978,23,1
978,20,0
978,19,0
979,17,1
980,16,1
980,16,0
