time (ms),latency (ms),consume (ms)
0,10,0
3,5,3
6,2,3
16,6,10
19,3,3
24,2,5
30,2,6
36,2,6
41,2,5
47,2,6
52,1,5
58,2,6
64,2,6
69,1,5
75,2,6
81,2,6
87,2,6
93,2,6
102,6,9
104,2,2
109,1,5
115,2,6
121,2,6
127,2,6
132,1,5
138,2,6
144,2,6
149,1,5
155,2,6
160,1,5
166,1,6
172,2,6
178,2,6
184,2,6
190,2,6
195,2,5
201,2,6
207,2,6
212,2,5
218,2,6
223,2,5
229,2,6
235,3,6
240,2,5
245,1,5
251,2,6
257,2,6
263,2,6
269,2,6
275,2,6
281,2,6
286,2,5
292,2,6
297,2,5
303,2,6
308,1,5
314,2,6
320,2,6
325,2,5
331,2,6
336,1,5
342,2,6
348,2,6
353,1,5
359,2,6
364,1,5
370,2,6
375,1,5
381,1,6
387,2,6
393,2,6
398,2,5
404,1,6
410,1,6
416,2,6
422,2,6
427,1,5
433,2,6
439,2,6
445,2,6
451,3,6
456,2,5
462,2,6
468,2,6
474,2,6
479,2,5
485,2,6
491,2,6
496,2,5
501,1,5
507,2,6
512,1,5
518,2,6
524,2,6
530,2,6
535,2,5
541,2,6
547,3,6
551,1,4
558,3,7
562,1,4
568,2,6
574,2,6
579,1,5
585,2,6
590,1,5
595,1,5
601,1,6
607,2,6
613,2,6
618,2,5
625,3,7
629,1,4
635,2,6
640,1,5
646,2,6
651,1,5
658,3,7
663,2,5
668,2,5
674,2,6
680,2,6
685,1,5
691,2,6
696,1,5
702,2,6
708,2,6
714,2,6
719,2,5
724,1,5
730,2,6
735,2,5
740,1,5
746,2,6
751,1,5
757,2,6
762,1,5
768,2,6
773,2,5
778,1,5
784,2,6
789,1,5
795,2,6
800,1,5
806,2,6
811,1,5
816,1,5
822,2,6
828,2,6
833,1,5
838,1,5
844,2,6
849,1,5
855,2,6
860,1,5
866,2,6
871,2,5
877,2,6
883,2,6
888,2,5
893,1,5
898,1,5
904,2,6
909,1,5
915,2,6
920,1,5
926,2,6
931,1,5
937,2,6
942,2,5
947,1,5
953,2,6
958,1,5
964,2,6
969,1,5
975,2,6
980,2,5
985,1,5
991,1,6
996,1,5
1002,1,6
1007,1,5
1013,1,6
1018,1,5
1024,1,6
1030,2,6
1035,1,5
1041,2,6
1046,1,5
1052,2,6
1057,1,5
1063,2,6
1068,1,5
1074,2,6
1079,1,5
1084,1,5
1089,1,5
1095,1,6
1101,1,6
1107,2,6
1112,1,5
1118,1,6
1136,2,18
1141,1,5
1146,1,5
1152,1,6
1157,1,5
1163,1,6
1169,2,6
1174,1,5
1180,1,6
1186,2,6
1191,1,5
1197,2,6
1202,1,5
1207,1,5
1213,1,6
1229,12,16
1229,7,0
1229,1,0
1235,2,6
1240,1,5
1246,2,6
1251,1,5
1257,2,6
1262,1,5
1269,2,7
1274,1,5
1280,2,6
1285,1,5
1290,1,5
1296,2,6
1301,1,5
1307,2,6
1312,1,5
1317,1,5
1323,2,6
1328,1,5
1334,2,6
1339,1,5
1345,2,6
1350,1,5
1355,1,5
1361,1,6
1366,1,5
1372,2,6
1377,1,5
1383,2,6
1388,1,5
1394,2,6
1402,4,8
1407,4,5
1410,1,3
1416,2,6
1421,1,5
1427,2,6
1432,1,5
1438,1,6
1444,2,6
1449,1,5
1455,2,6
1460,1,5
1465,1,5
1471,2,6
1476,1,5
1482,2,6
1488,2,6
1493,2,5
1498,1,5
1504,2,6
1509,1,5
1515,2,6
1520,1,5
1526,1,6
1532,2,6
1537,1,5
1543,2,6
1548,1,5
1554,2,6
1559,1,5
1565,1,6
1571,1,6
1577,2,6
1582,1,5
1588,2,6
1593,1,5
1599,2,6
1604,1,5
1610,1,6
1615,1,5
1621,2,6
1626,1,5
1632,2,6
1637,2,5
1643,1,6
1649,1,6
1656,2,7
1661,1,5
1667,1,6
1673,2,6
1678,1,5
1684,2,6
1689,1,5
1695,2,6
1700,1,5
1706,1,6
1712,2,6
1717,1,5
1723,2,6
1728,1,5
1734,1,6
1740,2,6
1745,1,5
1751,2,6
1756,1,5
1762,1,6
1768,2,6
