time (ms),latency (ms),consume (ms)
0,15,0
0,11,0
2,13,2
2,13,0
2,12,0
2,12,0
3,13,1
3,12,0
3,12,0
3,12,0
3,11,0
3,11,0
3,11,0
4,12,1
4,11,0
4,11,0
7,14,3
8,14,1
8,14,0
8,14,0
8,13,0
9,14,1
9,14,0
9,14,0
9,13,0
9,13,0
9,13,0
9,13,0
9,12,0
10,13,1
10,13,0
10,12,0
10,12,0
10,12,0
10,11,0
10,11,0
10,10,0
11,11,1
11,10,0
11,10,0
11,9,0
11,9,0
11,8,0
11,8,0
12,9,1
12,8,0
12,8,0
12,7,0
12,7,0
12,6,0
12,6,0
13,7,1
15,8,2
15,8,0
15,7,0
15,7,0
15,6,0
16,7,1
16,6,0
18,8,2
18,7,0
19,8,1
19,7,0
19,7,0
19,6,0
19,6,0
20,7,1
20,6,0
20,6,0
20,6,0
20,5,0
21,6,1
21,5,0
21,5,0
21,4,0
21,4,0
22,4,1
22,4,0
22,3,0
23,4,1
23,3,0
23,3,0
24,3,1
24,3,0
24,2,0
25,3,1
26,3,1
26,3,0
26,3,0
26,2,0
30,2,4
32,2,2
33,3,1
33,3,0
33,2,0
34,3,1
34,3,0
34,2,0
34,2,0
37,3,3
37,2,0
37,2,0
39,4,2
39,4,0
39,3,0
39,3,0
40,4,1
40,4,0
40,3,0
40,3,0
40,2,0
41,3,1
41,3,0
41,2,0
41,2,0
43,3,2
43,3,0
43,2,0
46,5,3
46,5,0
47,5,1
47,5,0
48,6,1
48,6,0
49,6,1
50,7,1
51,8,1
51,7,0
52,8,1
52,8,0
52,8,0
53,8,1
53,8,0
53,8,0
53,8,0
55,9,2
55,9,0
56,10,1
56,9,0
56,9,0
56,9,0
56,9,0
57,10,1
57,9,0
57,9,0
57,8,0
57,8,0
61,12,4
62,12,1
62,12,0
63,13,1
63,13,0
63,13,0
64,13,1
64,13,0
67,16,3
67,15,0
67,15,0
67,15,0
67,14,0
68,15,1
68,15,0
68,15,0
68,15,0
69,15,1
69,15,0
69,15,0
69,15,0
69,14,0
70,15,1
70,15,0
70,14,0
70,14,0
70,14,0
72,16,2
72,15,0
72,15,0
73,16,1
73,15,0
74,16,1
74,16,0
74,16,0
75,16,1
75,16,0
75,16,0
76,17,1
76,16,0
76,16,0
76,16,0
77,17,1
83,22,6
83,22,0
83,22,0
83,22,0
83,22,0
84,22,1
84,22,0
84,22,0
85,22,1
85,22,0
85,22,0
85,22,0
85,22,0
85,21,0
85,21,0
85,21,0
85,21,0
85,21,0
86,21,1
86,21,0
86,21,0
86,21,0
86,20,0
86,20,0
86,20,0
87,21,1
87,21,0
87,20,0
87,20,0
87,20,0
87,20,0
87,20,0
87,19,0
87,19,0
87,19,0
88,20,1
88,19,0
88,19,0
88,19,0
88,19,0
88,19,0
88,18,0
88,18,0
88,18,0
89,19,1
89,19,0
89,18,0
89,18,0
89,18,0
89,18,0
89,17,0
89,17,0
89,17,0
90,17,1
90,17,0
90,17,0
90,17,0
90,16,0
90,16,0
90,16,0
90,15,0
91,16,1
91,16,0
91,15,0
91,15,0
92,15,1
92,15,0
92,15,0
92,14,0
92,14,0
92,14,0
92,14,0
92,13,0
92,13,0
93,14,1
93,14,0
93,14,0
93,13,0
93,13,0
93,13,0
93,13,0
93,13,0
93,12,0
93,12,0
94,13,1
94,9,0
94,9,0
94,9,0
94,9,0
94,8,0
94,8,0
95,9,1
95,9,0
95,9,0
95,8,0
95,8,0
95,8,0
95,8,0
96,8,1
96,8,0
96,8,0
96,8,0
96,7,0
96,7,0
96,7,0
96,7,0
97,7,1
97,7,0
98,8,1
100,10,2
101,11,1
101,10,0
101,10,0
101,10,0
101,10,0
101,10,0
101,9,0
102,10,1
102,10,0
102,10,0
102,9,0
103,10,1
103,10,0
103,10,0
103,9,0
103,9,0
103,9,0
103,8,0
103,8,0
107,12,4
107,12,0
107,11,0
107,11,0
107,11,0
108,12,1
108,12,0
108,11,0
108,11,0
108,11,0
109,12,1
109,11,0
110,12,1
110,12,0
110,12,0
110,11,0
110,11,0
110,11,0
110,11,0
111,11,1
111,11,0
111,11,0
111,11,0
111,11,0
111,10,0
111,10,0
111,10,0
112,11,1
112,11,0
112,8,0
112,7,0
112,7,0
113,8,1
113,7,0
113,7,0
113,7,0
113,6,0
113,5,0
113,5,0
113,5,0
114,6,1
114,5,0
114,5,0
114,5,0
115,6,1
116,6,1
116,6,0
118,8,2
118,8,0
118,7,0
118,7,0
119,8,1
120,8,1
120,7,0
121,7,1
121,6,0
121,6,0
122,7,1
124,9,2
124,8,0
124,8,0
125,8,1
125,8,0
125,8,0
126,8,1
126,8,0
126,7,0
127,8,1
127,8,0
127,7,0
127,7,0
128,7,1
128,7,0
128,7,0
129,7,1
129,7,0
130,8,1
130,7,0
130,7,0
130,7,0
130,6,0
130,6,0
131,7,1
131,6,0
131,6,0
131,6,0
131,5,0
131,5,0
132,6,1
132,6,0
132,5,0
132,5,0
132,5,0
132,4,0
132,4,0
133,5,1
133,5,0
133,4,0
133,4,0
133,4,0
134,4,1
134,4,0
134,4,0
134,3,0
134,3,0
134,3,0
134,3,0
135,3,1
135,3,0
135,3,0
135,2,0
135,2,0
135,2,0
136,2,1
136,2,0
136,2,0
136,2,0
136,1,0
137,2,1
137,2,0
138,2,1
138,2,0
138,2,0
138,2,0
139,2,1
139,2,0
139,2,0
140,3,1
140,2,0
140,2,0
140,1,0
141,2,1
141,2,0
141,2,0
141,1,0
142,2,1
142,2,0
142,1,0
143,2,1
144,3,1
144,2,0
144,2,0
144,2,0
145,2,1
145,2,0
145,2,0
145,2,0
145,1,0
146,2,1
146,2,0
146,2,0
146,1,0
146,1,0
147,2,1
147,1,0
148,2,1
148,2,0
148,2,0
148,1,0
148,1,0
149,2,1
149,2,0
149,1,0
150,2,1
150,2,0
150,2,0
150,1,0
150,1,0
151,2,1
151,1,0
151,1,0
152,2,1
152,2,0
152,1,0
152,1,0
153,2,1
153,2,0
153,1,0
153,1,0
154,2,1
154,2,0
154,1,0
155,2,1
155,2,0
155,2,0
157,3,2
157,3,0
157,2,0
157,2,0
158,2,1
158,2,0
159,3,1
160,3,1
160,2,0
161,3,1
161,3,0
161,3,0
161,2,0
162,3,1
168,7,6
175,11,7
175,11,0
175,10,0
175,10,0
176,11,1
176,11,0
176,11,0
176,10,0
180,14,4
181,15,1
181,15,0
181,15,0
181,15,0
181,14,0
181,14,0
181,14,0
181,14,0
181,13,0
182,14,1
182,14,0
182,13,0
182,13,0
182,13,0
182,13,0
182,13,0
182,12,0
182,12,0
182,12,0
182,12,0
182,12,0
183,12,1
183,12,0
183,12,0
184,13,1
184,12,0
185,13,1
186,14,1
186,14,0
187,15,1
188,16,1
188,15,0
188,15,0
189,16,1
190,17,1
191,17,1
192,18,1
193,19,1
193,19,0
203,29,10
203,28,0
203,28,0
203,28,0
203,28,0
204,28,1
204,28,0
204,28,0
204,28,0
204,27,0
204,27,0
204,27,0
204,27,0
205,27,1
205,27,0
205,27,0
215,37,10
215,37,0
215,36,0
215,36,0
215,36,0
215,36,0
216,37,1
216,36,0
216,36,0
216,36,0
216,36,0
216,35,0
216,35,0
216,35,0
216,35,0
216,34,0
216,34,0
216,34,0
216,34,0
216,34,0
216,33,0
216,33,0
216,33,0
217,34,1
217,34,0
217,33,0
218,34,1
218,34,0
218,34,0
218,33,0
219,34,1
219,34,0
219,34,0
219,33,0
220,34,1
220,34,0
220,34,0
220,34,0
221,34,1
221,34,0
221,34,0
221,34,0
222,35,1
222,34,0
222,34,0
222,34,0
223,35,1
223,34,0
223,34,0
224,35,1
224,35,0
224,35,0
224,35,0
225,35,1
225,35,0
225,35,0
225,35,0
226,36,1
226,36,0
226,35,0
227,36,1
227,36,0
227,36,0
227,36,0
227,36,0
228,37,1
228,36,0
228,36,0
228,36,0
229,37,1
229,37,0
229,37,0
229,37,0
230,37,1
230,37,0
230,37,0
230,37,0
231,38,1
231,38,0
231,38,0
231,37,0
232,38,1
232,38,0
232,38,0
232,38,0
232,38,0
233,39,1
233,38,0
233,38,0
236,41,3
