time (ms),latency (ms),consume (ms)
0,7,0
12,2,12
24,2,12
35,1,11
47,2,12
60,2,13
71,1,11
83,1,12
96,3,13
107,1,11
120,2,13
132,1,12
144,1,12
159,4,15
170,0,11
182,1,12
194,1,12
206,1,12
218,2,12
230,1,12
243,1,13
255,1,12
266,1,11
277,1,11
289,1,12
301,1,12
313,1,12
326,2,13
338,1,12
351,1,13
362,0,11
376,1,14
388,1,12
400,1,12
411,1,11
422,1,11
434,1,12
447,2,13
459,2,12
471,1,12
483,1,12
495,1,12
506,1,11
518,1,12
529,1,11
542,2,13
558,1,16
572,5,14
584,1,12
596,1,12
607,0,11
619,1,12
630,0,11
642,1,12
653,1,11
664,0,11
676,1,12
688,1,12
700,1,12
711,1,11
723,1,12
735,1,12
748,1,13
762,2,14
773,1,11
785,1,12
797,1,12
809,1,12
820,1,11
832,1,12
844,2,12
855,1,11
866,0,11
878,1,12
889,1,11
901,1,12
913,2,12
926,2,13
937,1,11
950,2,13
962,1,12
976,3,14
989,2,13
1002,3,13
1014,1,12
1026,2,12
1037,1,11
1049,1,12
1060,1,11
1072,1,12
1083,1,11
1095,1,12
1106,1,11
1118,1,12
1129,1,11
1142,1,13
1154,1,12
1165,1,11
1177,2,12
1188,1,11
1200,1,12
1211,1,11
1223,2,12
1234,1,11
1246,1,12
1258,1,12
1271,2,13
1283,1,12
1296,2,13
1308,1,12
1321,2,13
1337,5,16
1352,1,15
1364,1,12
1376,1,12
1389,1,13
1401,1,12
1412,1,11
1425,2,13
1438,2,13
1452,1,14
1464,1,12
1475,1,11
1487,1,12
1498,1,11
1510,1,12
1522,2,12
1533,1,11
1545,1,12
1557,1,12
1568,1,11
1580,1,12
1592,1,12
1603,1,11
1615,1,12
1626,1,11
1638,1,12
1650,1,12
1661,1,11
1672,1,11
1683,1,11
1695,1,12
1706,1,11
1719,2,13
1730,1,11
1741,1,11
1753,2,12
1764,1,11
1775,0,11
1786,0,11
1798,1,12
1810,1,12
1821,1,11
1833,2,12
1844,1,11
1856,1,12
1868,1,12
1879,1,11
1894,1,15
1906,1,12
1917,1,11
1929,1,12
1940,1,11
1952,1,12
1963,0,11
1975,1,12
1987,1,12
1998,1,11
2011,2,13
2022,0,11
2034,1,12
2046,1,12
2057,1,11
2068,1,11
2080,1,12
2091,1,11
2102,1,11
2113,1,11
2124,1,11
2137,1,13
2148,1,11
2160,2,12
2171,1,11
2183,1,12
2194,1,11
2206,1,12
2219,2,13
2230,1,11
2243,1,13
2254,1,11
2267,1,13
2285,1,18
2300,1,15
2311,0,11
2323,1,12
2334,1,11
2345,1,11
2357,1,12
2368,1,11
2379,1,11
2391,1,12
2402,1,11
2418,0,16
2430,1,12
2441,1,11
2453,1,12
2464,1,11
2476,1,12
2487,1,11
2499,1,12
2510,1,11
2522,1,12
2533,1,11
2545,1,12
2556,1,11
2568,1,12
2579,1,11
2596,6,17
2608,2,12
2619,1,11
2630,1,11
2642,2,12
2658,6,16
2669,1,11
2680,1,11
2692,1,12
2704,1,12
2716,1,12
2728,1,12
2740,1,12
2751,1,11
2763,1,12
2775,1,12
2786,1,11
2797,1,11
2810,2,13
2823,2,13
2835,2,12
2846,0,11
2858,1,12
2869,1,11
2882,2,13
2895,2,13
2909,3,14
2922,1,13
2935,2,13
2947,0,12
2960,1,13
2974,1,14
2987,2,13
3001,4,14
3013,2,12
3027,3,14
3038,1,11
3051,2,13
3063,1,12
3075,1,12
3087,2,12
3098,1,11
3110,1,12
3121,1,11
3133,2,12
3144,1,11
3155,0,11
3167,1,12
3178,1,11
3189,1,11
3201,1,12
3212,1,11
3223,1,11
3235,1,12
3247,1,12
3258,1,11
3270,1,12
3282,1,12
3294,1,12
3305,1,11
3317,1,12
3329,1,12
3341,1,12
3353,1,12
3365,1,12
3377,1,12
3389,2,12
3400,1,11
3412,1,12
3424,1,12
3435,1,11
3447,1,12
3458,1,11
3470,1,12
3482,1,12
3493,1,11
3505,1,12
3517,2,12
3528,1,11
3541,2,13
3555,1,14
3567,1,12
3578,1,11
3593,4,15
3605,1,12
3616,1,11
3628,1,12
3640,2,12
3651,1,11
3663,1,12
3675,1,12
3687,1,12
3699,2,12
3711,1,12
3722,1,11
3734,1,12
3745,1,11
3757,1,12
3769,1,12
3780,0,11
3792,1,12
3804,1,12
3820,1,16
3831,1,11
3843,1,12
3854,1,11
3866,1,12
3881,5,15
3893,2,12
3904,1,11
3916,1,12
3929,3,13
3941,1,12
3953,1,12
3966,1,13
3978,1,12
3990,1,12
4002,1,12
4014,1,12
4026,1,12
4038,1,12
4050,1,12
4062,2,12
4074,2,12
4085,1,11
4096,0,11
4108,1,12
4119,1,11
4130,1,11
4142,1,12
4153,1,11
4165,1,12
4176,1,11
4187,1,11
4198,1,11
4209,0,11
4220,0,11
4232,1,12
4243,1,11
4255,1,12
4267,1,12
4278,1,11
4290,1,12
4302,1,12
4313,1,11
4324,0,11
4335,0,11
4347,1,12
4358,1,11
4369,0,11
4381,1,12
4392,1,11
4404,1,12
4416,2,12
4427,1,11
4439,1,12
4450,1,11
4462,1,12
4474,1,12
4488,1,14
4502,2,14
4516,4,14
4527,1,11
4540,1,13
4552,1,12
4564,2,12
4595,8,31
4612,1,17
4623,1,11
4635,1,12
4646,1,11
4658,1,12
4669,1,11
4680,0,11
4692,1,12
4703,1,11
4714,0,11
4726,1,12
4737,1,11
4749,1,12
4760,1,11
4771,0,11
4782,0,11
4794,1,12
4805,1,11
4816,0,11
4828,1,12
4839,1,11
4851,1,12
4862,1,11
4873,0,11
4885,1,12
4896,1,11
4908,1,12
4919,1,11
4930,1,11
4941,1,11
4952,1,11
4964,1,12
4975,1,11
4986,1,11
4998,1,12
5010,1,12
5021,1,11
5033,1,12
5044,1,11
5057,1,13
5068,1,11
5079,1,11
5090,1,11
5101,0,11
5113,1,12
5124,1,11
5136,1,12
5147,1,11
5158,1,11
5170,1,12
5181,1,11
5193,1,12
5204,1,11
5216,1,12
5227,1,11
5238,1,11
5250,1,12
5262,2,12
5273,1,11
5284,1,11
5296,1,12
5307,1,11
5318,1,11
5329,1,11
5341,2,12
5352,1,11
5363,1,11
5374,1,11
5386,1,12
5397,1,11
5409,1,12
5420,1,11
5432,1,12
5444,1,12
5456,1,12
5467,1,11
5478,1,11
5489,1,11
5500,1,11
5511,1,11
5523,1,12
5534,1,11
5545,1,11
5557,1,12
5572,1,15
5582,1,10
5593,1,11
5603,1,10
5614,1,11
5624,1,10
5635,1,11
5645,1,10
5656,1,11
5666,1,10
5676,1,10
5687,1,11
5697,1,10
5710,1,13
5720,1,10
5732,1,12
5745,2,13
5760,1,15
5771,1,11
5783,1,12
5794,1,11
5806,1,12
5817,1,11
5828,1,11
5839,0,11
5851,1,12
5862,1,11
5874,1,12
5885,1,11
5897,2,12
5909,2,12
5921,2,12
5933,2,12
5945,2,12
5957,1,12
5969,1,12
5983,3,14
6005,6,22
6018,2,13
6032,3,14
6044,1,12
6056,1,12
6069,2,13
6081,1,12
6093,1,12
6105,2,12
6117,1,12
6129,1,12
6141,1,12
6154,2,13
6166,1,12
6178,1,12
6190,1,12
6202,1,12
6215,2,13
6227,2,12
6241,3,14
6255,2,14
6267,1,12
6279,1,12
6291,1,12
6303,1,12
6317,1,14
6330,2,13
6342,1,12
6354,1,12
6367,2,13
6379,2,12
6391,2,12
6403,1,12
6416,1,13
6429,2,13
6441,1,12
6454,2,13
6469,4,15
6484,1,15
6496,1,12
6508,1,12
6520,1,12
6532,1,12
6545,2,13
6558,2,13
6570,1,12
6582,1,12
6595,2,13
6607,1,12
6620,2,13
6632,2,12
6644,1,12
6656,1,12
6668,1,12
6681,2,13
6693,1,12
6706,2,13
6719,2,13
6731,1,12
6744,1,13
6757,2,13
6770,2,13
6782,2,12
6794,2,12
6806,1,12
6819,2,13
6831,1,12
6844,2,13
6856,1,12
6869,2,13
6881,1,12
6894,2,13
6906,1,12
6918,1,12
6930,1,12
6943,2,13
6956,2,13
6970,2,14
6982,1,12
6995,2,13
7008,2,13
7019,1,11
7033,3,14
7046,2,13
7058,1,12
7070,1,12
7082,1,12
7094,1,12
7106,1,12
7123,6,17
7135,2,12
7147,2,12
7164,1,17
7177,2,13
7189,2,12
7201,1,12
7213,1,12
7225,1,12
7238,2,13
7251,2,13
7263,1,12
7275,1,12
7287,1,12
7299,1,12
7312,2,13
7324,2,12
7337,2,13
7349,1,12
7362,2,13
7374,1,12
7387,2,13
7400,2,13
7412,1,12
7425,2,13
7437,1,12
7449,1,12
7465,5,16
7481,2,16
7493,2,12
7506,2,13
7519,2,13
7532,2,13
7544,1,12
7557,2,13
7569,1,12
7581,1,12
7593,1,12
7607,3,14
7620,1,13
7633,2,13
7646,2,13
7658,1,12
7669,1,11
7682,2,13
7701,3,19
7715,2,14
7728,2,13
7741,2,13
7754,2,13
7766,1,12
7779,2,13
7792,2,13
7804,1,12
7817,1,13
7831,3,14
7843,1,12
7855,1,12
7867,1,12
7879,1,12
7891,1,12
7903,1,12
7915,2,12
7927,1,12
7939,1,12
7951,1,12
7964,1,13
7976,1,12
7988,1,12
8000,2,12
8012,1,12
8032,5,20
8045,2,13
8058,2,13
8070,1,12
8083,2,13
8095,1,12
8107,1,12
8119,1,12
8131,1,12
8143,1,12
8155,1,12
8167,1,12
8180,2,13
8192,2,12
8205,2,13
8221,2,16
8234,2,13
8246,1,12
8259,2,13
8272,2,13
8284,1,12
8297,2,13
8310,2,13
8322,1,12
8335,1,13
8348,2,13
8361,2,13
8373,1,12
8386,1,13
8399,2,13
8411,1,12
8423,1,12
8435,1,12
8447,1,12
8459,2,12
8470,1,11
8490,9,20
8502,2,12
8514,1,12
8526,1,12
8538,1,12
8550,2,12
8562,2,12
8574,2,12
8586,2,12
8598,2,12
8610,2,12
8621,1,11
8633,1,12
8645,1,12
8657,1,12
8669,1,12
8681,1,12
8693,2,12
8704,1,11
8716,1,12
8728,1,12
8740,2,12
8751,1,11
8763,1,12
8775,1,12
8787,1,12
8799,1,12
8813,3,14
8825,1,12
8837,1,12
8850,2,13
8861,1,11
8873,1,12
8885,1,12
8897,1,12
8908,1,11
8920,1,12
8931,1,11
8942,1,11
8954,1,12
8965,1,11
8976,0,11
8988,1,12
8999,1,11
9010,1,11
9021,0,11
9033,1,12
9044,1,11
9056,1,12
9067,1,11
9078,0,11
9090,1,12
9101,1,11
9112,1,11
9122,1,10
9132,1,10
9143,1,11
9153,1,10
9163,1,10
9173,1,10
9184,1,11
9194,1,10
9209,6,15
9221,1,12
9232,1,11
9243,1,11
9255,1,12
9266,1,11
9277,1,11
9288,0,11
9304,1,16
9315,1,11
9326,1,11
9337,1,11
9348,1,11
9359,0,11
9370,0,11
9382,1,12
9393,1,11
9404,1,11
9415,0,11
9427,1,12
9438,1,11
9449,1,11
9460,1,11
9471,1,11
9482,0,11
9493,0,11
9505,1,12
9516,1,11
9527,1,11
9538,0,11
9550,1,12
9561,1,11
9572,1,11
9583,1,11
9594,1,11
9605,1,11
9617,1,12
9628,1,11
9639,1,11
9651,1,12
9662,1,11
9673,0,11
9685,1,12
9696,1,11
9707,1,11
9718,0,11
9730,1,12
9741,1,11
9752,1,11
9763,1,11
9774,1,11
9785,1,11
9796,1,11
9807,1,11
9818,1,11
9829,1,11
9840,1,11
9852,1,12
9863,1,11
9874,1,11
9884,0,10
9896,1,12
9908,2,12
9919,0,11
9931,1,12
9943,1,12
9955,1,12
9967,1,12
9980,2,13
9991,1,11
10003,1,12
10018,1,15
10030,1,12
10042,1,12
10059,2,17
10071,1,12
10083,1,12
10096,2,13
10109,2,13
10121,1,12
10134,2,13
10146,1,12
10158,1,12
10170,1,12
10182,1,12
10194,1,12
10207,2,13
10220,2,13
10232,2,12
10246,3,14
10259,2,13
10269,1,10
10282,2,13
10294,2,12
10306,1,12
10318,1,12
10330,2,12
10342,1,12
10354,1,12
10372,1,18
10384,1,12
10396,1,12
10408,1,12
10420,1,12
10431,1,11
10442,1,11
10454,1,12
10465,1,11
10476,1,11
10488,1,12
10499,1,11
10510,1,11
10521,1,11
10531,0,10
10543,1,12
10554,1,11
10569,4,15
10580,1,11
10591,1,11
10601,1,10
10611,1,10
10622,1,11
10632,1,10
10643,1,11
10653,1,10
10664,1,11
10674,0,10
10686,1,12
10697,1,11
10709,1,12
10720,1,11
10731,1,11
10743,1,12
10754,1,11
10765,0,11
10776,0,11
10788,1,12
10799,1,11
10812,1,13
10828,1,16
10839,1,11
10850,1,11
10862,1,12
10873,1,11
10885,1,12
10896,1,11
10907,0,11
10919,1,12
10930,1,11
10941,1,11
10952,1,11
10963,0,11
10975,1,12
10986,1,11
10997,1,11
11008,0,11
11019,0,11
11030,0,11
11042,1,12
11053,1,11
11064,0,11
11076,1,12
11087,1,11
11098,1,11
11109,0,11
11125,3,16
11140,1,15
11152,1,12
11163,1,11
11174,1,11
11185,1,11
11197,1,12
11208,1,11
11219,0,11
11231,1,12
11242,1,11
11253,1,11
11264,0,11
11276,1,12
11287,1,11
11298,1,11
11309,0,11
11321,1,12
11332,1,11
11343,1,11
11354,0,11
11366,1,12
11377,1,11
11388,1,11
11399,0,11
11411,1,12
11422,1,11
11433,1,11
11445,1,12
11456,1,11
11468,1,12
11479,1,11
11490,1,11
11501,0,11
11513,1,12
11524,1,11
11535,1,11
11546,1,11
11558,1,12
11576,1,18
11587,1,11
11598,1,11
11610,1,12
11621,1,11
11632,1,11
11643,0,11
11654,0,11
11666,1,12
11677,1,11
11688,1,11
11699,0,11
11711,1,12
11722,1,11
11733,1,11
11744,0,11
11756,1,12
11767,1,11
11777,0,10
11789,1,12
11800,1,11
11811,1,11
11822,1,11
11833,1,11
11844,1,11
11856,1,12
11867,1,11
11878,0,11
11889,0,11
11900,0,11
11912,1,12
11923,1,11
11934,1,11
11945,0,11
11956,0,11
11967,0,11
11978,0,11
11990,1,12
12001,1,11
12012,1,11
12023,1,11
12034,1,11
12045,1,11
12057,1,12
12068,1,11
12079,1,11
12090,1,11
12102,1,12
12113,1,11
12124,1,11
12135,1,11
12147,2,12
12158,1,11
12176,1,18
12187,1,11
12198,1,11
12208,1,10
12218,0,10
12229,1,11
12239,1,10
12250,1,11
12260,1,10
12270,1,10
12280,0,10
12291,1,11
12301,1,10
12312,1,11
12322,1,10
12333,1,11
12343,0,10
12355,1,12
12366,1,11
12377,1,11
12388,1,11
12399,1,11
12410,0,11
12421,0,11
12433,1,12
12444,1,11
12455,0,11
12467,1,12
12481,1,14
12492,1,11
12503,0,11
12515,1,12
12526,1,11
12538,1,12
12549,1,11
12560,1,11
12571,1,11
12582,0,11
12594,1,12
12605,1,11
12616,1,11
12627,0,11
12638,0,11
12650,1,12
12661,1,11
12672,1,11
12683,1,11
12694,1,11
12706,1,12
12717,1,11
12728,1,11
12739,1,11
12754,0,15
12766,1,12
12781,1,15
12792,1,11
12803,1,11
12814,1,11
12826,1,12
12837,1,11
12849,1,12
12860,1,11
12871,1,11
12882,1,11
12893,1,11
12904,1,11
12915,0,11
12926,0,11
12937,0,11
12948,0,11
12959,0,11
12970,0,11
12982,1,12
12993,1,11
13003,0,10
13015,1,12
13026,1,11
13037,1,11
13048,1,11
13059,1,11
13070,0,11
13081,1,11
13092,1,11
