time (ms),latency (ms),consume (ms)
0,20,0
40,45,40
41,36,1
42,26,1
43,16,1
46,3,3
57,4,11
109,45,52
110,35,1
110,24,0
111,12,1
149,34,38
149,24,0
154,18,5
196,45,42
196,33,0
196,22,0
197,12,1
236,39,39
237,29,1
237,19,0
278,47,41
278,35,0
278,25,0
279,15,1
320,45,41
320,35,0
320,24,0
321,14,1
322,5,1
331,3,9
380,42,49
380,30,0
381,19,1
381,9,0
417,34,36
418,25,1
418,15,0
420,6,2
468,43,48
468,33,0
469,23,1
469,12,0
507,38,38
508,27,1
510,18,2
560,57,50
560,31,0
560,20,0
561,10,1
596,34,35
596,24,0
609,26,13
610,16,1
644,40,34
645,31,1
645,20,0
646,10,1
682,36,36
682,25,0
682,14,0
683,5,1
732,42,49
732,31,0
732,20,0
733,10,1
768,34,35
768,23,0
768,13,0
770,4,2
816,40,46
816,29,0
816,19,0
817,10,1
851,33,34
851,23,0
851,13,0
853,5,2
901,42,48
901,30,0
901,20,0
902,9,1
938,35,36
938,24,0
938,14,0
940,5,2
988,43,48
988,32,0
988,22,0
989,13,1
1022,33,33
1022,23,0
1023,13,1
1024,4,1
1072,42,48
1072,32,0
1072,21,0
1072,10,0
1107,34,35
1107,24,0
1108,14,1
1109,4,1
1156,40,47
1156,30,0
1156,19,0
1158,11,2
1195,37,37
1196,27,1
1196,16,0
1236,40,40
1236,29,0
1236,19,0
1237,9,1
1273,34,36
1274,25,1
1274,13,0
1275,4,1
1324,43,49
1324,33,0
1324,22,0
1325,12,1
1363,38,38
1363,27,0
1364,16,1
1365,6,1
1412,40,47
1412,30,0
1412,19,0
1413,8,1
1451,36,38
1452,24,1
1457,16,5
1496,41,39
1496,31,0
1496,20,0
1497,11,1
1532,35,35
1532,24,0
1532,14,0
1546,17,14
1580,41,34
1580,31,0
1580,20,0
1581,10,1
1617,36,36
1617,25,0
1619,16,2
1619,5,0
1668,43,49
1669,34,1
1669,23,0
1669,13,0
1702,35,33
1703,25,1
1703,14,0
1704,4,1
1752,41,48
1752,31,0
1752,20,0
1752,10,0
1787,34,35
1787,23,0
1787,13,0
1789,5,2
1836,41,47
1836,31,0
1836,21,0
1836,10,0
1871,34,35
1872,24,1
1872,14,0
1873,4,1
1920,41,47
1920,31,0
1920,20,0
1921,11,1
1955,34,34
1956,24,1
1956,14,0
1957,4,1
2004,40,47
2004,30,0
2004,19,0
2004,9,0
2039,33,35
2039,23,0
2040,13,1
2041,4,1
2088,41,47
2088,30,0
2088,20,0
2088,9,0
2123,34,35
2123,24,0
2123,13,0
2125,4,2
2172,41,47
2172,31,0
2172,21,0
2172,10,0
2206,33,34
2206,23,0
2206,12,0
2208,4,2
2256,42,48
2256,31,0
2256,20,0
2256,10,0
2290,33,34
2290,23,0
2290,12,0
2292,4,2
2340,42,48
2340,32,0
2340,22,0
2340,11,0
2375,34,35
2376,25,1
2376,14,0
2377,4,1
2424,41,47
2424,30,0
2424,20,0
2424,9,0
2460,34,36
2472,36,12
2472,25,0
2473,15,1
2508,40,35
2508,30,0
2508,19,0
2509,9,1
2545,35,36
2546,25,1
2546,14,0
2546,4,0
2598,45,52
2598,34,0
2598,23,0
2599,14,1
2631,35,32
2631,24,0
2631,14,0
2631,4,0
2680,42,49
2680,31,0
2680,20,0
2681,11,1
2715,34,34
2715,23,0
2716,14,1
2717,4,1
2763,39,46
2764,30,1
2764,19,0
2764,8,0
2801,35,37
2801,24,0
2801,13,0
2802,4,1
2852,43,50
2852,32,0
2852,22,0
2853,12,1
2887,34,34
2887,24,0
2888,14,1
2889,4,1
2936,41,47
2936,30,0
2936,19,0
2936,9,0
2972,34,36
2973,24,1
2973,14,0
2974,4,1
3024,43,50
3024,33,0
3024,22,0
3025,13,1
3058,33,33
3058,23,0
3059,13,1
3060,4,1
3108,41,48
3108,31,0
3108,20,0
3109,11,1
3142,33,33
3142,23,0
3142,12,0
3144,4,2
3192,42,48
3192,31,0
3192,20,0
3192,10,0
3227,34,35
3228,24,1
3228,14,0
3229,4,1
3276,41,47
3276,31,0
3276,20,0
3277,11,1
3311,33,34
3311,23,0
3311,12,0
3313,4,2
3360,41,47
3360,30,0
3360,19,0
3369,18,9
3401,35,32
3401,25,0
3401,14,0
3440,41,39
3440,30,0
3440,20,0
3440,9,0
3476,34,36
3476,24,0
3476,13,0
3478,4,2
3524,40,46
3524,30,0
3524,19,0
3525,10,1
3559,33,34
3559,23,0
3559,12,0
3561,4,2
3607,40,46
3608,31,1
3608,21,0
3608,10,0
3644,34,36
3644,23,0
3644,13,0
3646,4,2
3692,40,46
3692,29,0
3693,19,1
3694,10,1
3729,34,35
3729,23,0
3730,14,1
3731,4,1
3780,42,49
3780,32,0
3780,22,0
3781,13,1
3815,34,34
3816,25,1
3816,14,0
3817,4,1
3863,39,46
3864,30,1
3866,21,2
3866,10,0
3914,47,48
3915,38,1
3915,27,0
3943,41,28
3945,32,2
3946,22,1
3947,13,1
3979,34,32
3980,24,1
3981,15,1
3981,4,0
3989,2,8
3998,1,9
4009,2,11
4019,1,10
4030,2,11
4041,2,11
4051,2,10
4062,2,11
4073,2,11
4083,2,10
4093,2,10
4144,42,51
4144,31,0
4145,21,1
4146,12,1
4180,35,34
4180,25,0
4180,15,0
4180,5,0
4228,42,48
4229,32,1
4229,21,0
4230,11,1
4273,43,43
4273,19,0
4283,19,10
4316,42,33
4316,31,0
4317,21,1
4317,11,0
4350,34,33
4350,24,0
4350,13,0
4351,4,1
4399,42,48
4400,33,1
4400,22,0
4401,13,1
4434,34,33
4435,24,1
4435,13,0
4436,4,1
4483,40,47
4484,31,1
