time (ms),latency (ms),consume (ms)
0,7,0
7,2,7
13,2,6
20,2,7
26,2,6
33,2,7
40,1,7
46,1,6
54,3,8
60,1,6
67,1,7
73,1,6
79,0,6
89,4,10
95,1,6
101,1,6
108,1,7
115,1,7
124,3,9
131,1,7
138,1,7
144,1,6
150,1,6
157,1,7
163,0,6
170,1,7
177,1,7
183,0,6
190,1,7
198,1,8
205,1,7
213,1,8
219,0,6
226,1,7
232,1,6
238,1,6
244,1,6
251,1,7
257,1,6
264,1,7
270,1,6
276,0,6
282,0,6
288,0,6
295,1,7
301,1,6
308,1,7
315,3,7
321,1,6
327,1,6
333,0,6
339,0,6
345,0,6
351,0,6
357,0,6
363,0,6
369,0,6
375,0,6
381,0,6
387,0,6
394,1,7
400,1,6
406,1,6
412,1,6
418,1,6
424,1,6
430,1,6
436,1,6
441,0,5
447,0,6
453,0,6
459,0,6
465,0,6
472,1,7
478,1,6
484,1,6
490,1,6
496,1,6
502,1,6
509,2,7
515,1,6
521,1,6
527,0,6
534,0,7
540,0,6
547,1,7
553,1,6
559,1,6
565,1,6
571,1,6
577,1,6
583,1,6
589,1,6
595,1,6
601,1,6
608,2,7
614,1,6
621,2,7
627,1,6
633,1,6
639,1,6
645,1,6
651,1,6
657,1,6
663,1,6
668,0,5
674,0,6
680,0,6
686,0,6
692,0,6
698,0,6
706,2,8
712,1,6
718,1,6
728,1,10
734,1,6
740,1,6
746,1,6
752,1,6
758,1,6
765,1,7
771,1,6
777,0,6
783,0,6
789,0,6
795,0,6
802,1,7
808,1,6
814,0,6
820,1,6
826,0,6
832,0,6
838,0,6
844,0,6
850,0,6
856,0,6
862,1,6
868,1,6
874,1,6
880,1,6
885,0,5
891,0,6
897,0,6
904,2,7
910,1,6
916,1,6
923,2,7
929,1,6
934,0,5
940,0,6
946,0,6
953,1,7
960,1,7
971,1,11
977,1,6
984,1,7
991,1,7
998,1,7
1008,1,10
1014,1,6
1021,2,7
1027,1,6
1033,1,6
1040,1,7
1047,2,7
1053,1,6
1059,1,6
1066,1,7
1072,1,6
1080,1,8
1086,1,6
1092,1,6
1098,1,6
1104,1,6
1110,1,6
1116,1,6
1122,1,6
1128,0,6
1134,0,6
1141,1,7
1147,0,6
1154,1,7
1160,0,6
1167,1,7
1174,1,7
1180,0,6
1188,2,8
1194,1,6
1201,1,7
1207,1,6
1214,1,7
1225,1,11
1232,1,7
1238,1,6
1244,0,6
1251,1,7
1257,1,6
1263,1,6
1269,1,6
1275,0,6
1281,0,6
1287,0,6
1293,0,6
1299,1,6
1305,0,6
1311,1,6
1317,1,6
1323,1,6
1330,1,7
1335,0,5
1342,1,7
1348,1,6
1353,0,5
1359,0,6
1365,0,6
1371,0,6
1377,0,6
1390,7,13
1393,1,3
1399,1,6
1404,0,5
1410,0,6
1418,3,8
1424,1,6
1430,1,6
1436,1,6
1442,1,6
1448,1,6
1454,1,6
1460,1,6
