time (ms),latency (ms),consume (ms)
0,8,0
34,28,34
35,18,1
36,9,1
39,1,3
49,1,10
60,2,11
71,1,11
81,1,10
92,2,11
102,2,10
114,3,12
122,1,8
133,2,11
144,2,11
155,2,11
166,1,11
177,2,11
187,2,10
197,2,10
208,2,11
219,3,11
228,2,9
239,1,11
251,3,12
261,1,10
272,2,11
285,4,13
294,1,9
304,1,10
314,1,10
325,1,11
335,1,10
345,1,10
356,2,11
367,2,11
377,2,10
388,2,11
398,1,10
409,1,11
420,2,11
431,1,11
442,2,11
452,2,10
462,1,10
472,1,10
482,1,10
492,1,10
502,1,10
512,1,10
523,2,11
534,1,11
544,1,10
556,3,12
567,2,11
578,1,11
589,1,11
599,1,10
610,0,11
622,2,12
632,1,10
643,2,11
652,1,9
662,0,10
673,0,11
684,1,11
693,0,9
704,0,11
715,1,11
725,1,10
735,1,10
744,0,9
755,1,11
766,1,11
776,0,10
787,1,11
797,1,10
807,1,10
817,0,10
828,1,11
837,0,9
849,2,12
859,1,10
870,1,11
879,0,9
890,0,11
901,1,11
910,0,9
921,1,11
933,2,12
943,1,10
953,0,10
963,0,10
974,0,11
985,1,11
996,1,11
1005,0,9
1016,1,11
1025,0,9
1036,1,11
1045,0,9
1056,0,11
1067,1,11
1076,0,9
1087,1,11
1096,0,9
1107,1,11
1117,0,10
1128,0,11
1139,1,11
1148,0,9
1159,1,11
1168,0,9
1179,1,11
1188,0,9
1199,1,11
1208,0,9
1219,1,11
1230,1,11
1240,0,10
1251,1,11
1260,0,9
1271,1,11
1281,1,10
1294,4,13
1303,1,9
1313,1,10
1324,1,11
1335,1,11
1349,4,14
1359,2,10
1371,3,12
1381,1,10
1390,0,9
1401,1,11
1410,0,9
1421,1,11
1432,1,11
1442,0,10
1453,1,11
1462,0,9
1473,1,11
1482,0,9
1493,1,11
1502,0,9
1513,1,11
1523,0,10
1534,0,11
1545,1,11
1555,0,10
1566,1,11
1575,0,9
1586,1,11
1595,0,9
1606,1,11
1615,0,9
1626,1,11
1635,0,9
1646,1,11
1655,0,9
1666,1,11
1676,0,10
1687,1,11
1698,1,11
1707,0,9
1718,1,11
1727,0,9
1738,1,11
1747,0,9
1758,1,11
1767,0,9
1778,1,11
1787,0,9
1798,1,11
1807,0,9
1818,1,11
1827,0,9
1838,1,11
1848,0,10
1859,1,11
1870,1,11
1880,0,10
1891,1,11
1901,1,10
1910,0,9
1921,1,11
1930,0,9
1941,1,11
1952,1,11
1962,0,10
1973,1,11
1982,0,9
1993,1,11
2003,1,10
2014,1,11
2023,0,9
2034,1,11
2043,0,9
2054,1,11
2063,0,9
2074,1,11
2085,1,11
2094,0,9
2105,1,11
2114,0,9
2125,1,11
2134,0,9
2145,1,11
2156,1,11
2166,0,10
2177,1,11
2186,0,9
2197,1,11
2206,0,9
2217,1,11
2226,0,9
2237,1,11
2248,1,11
2257,0,9
2268,1,11
2277,0,9
2288,1,11
2297,0,9
2308,1,11
2317,0,9
2328,1,11
2339,1,11
2349,0,10
2360,1,11
2369,0,9
2380,1,11
2389,0,9
2400,1,11
2409,0,9
2420,1,11
2430,0,10
2441,0,11
2452,1,11
2462,0,10
2473,1,11
2482,0,9
2493,1,11
2502,0,9
2513,1,11
2522,0,9
2533,1,11
2542,0,9
2553,1,11
2563,0,10
2574,0,11
2585,1,11
2595,0,10
2606,1,11
2615,0,9
2626,1,11
2635,0,9
2646,1,11
2655,0,9
2666,1,11
2675,0,9
2686,1,11
2696,0,10
2707,1,11
2718,1,11
2728,0,10
2739,1,11
2748,0,9
2785,27,37
2786,17,1
2786,7,0
2825,36,39
2826,27,1
2826,16,0
2827,7,1
2865,35,38
2866,25,1
2866,15,0
2866,5,0
2905,34,39
2906,25,1
2906,15,0
2906,5,0
2945,34,39
2945,23,0
2946,14,1
2946,4,0
2985,33,39
2986,23,1
2986,13,0
2986,3,0
3025,31,39
3026,22,1
3026,12,0
3027,3,1
3065,30,38
3066,21,1
3066,11,0
3067,1,1
3076,0,9
3113,26,37
3114,17,1
3114,7,0
3153,36,39
3154,26,1
3154,16,0
3154,6,0
3202,44,48
3202,34,0
3202,24,0
3203,15,1
3233,35,30
3233,25,0
3234,16,1
3234,6,0
3273,35,39
3273,24,0
3274,15,1
3275,6,1
3313,34,38
3314,25,1
3314,14,0
3316,6,2
3353,33,37
3353,23,0
3354,14,1
3354,3,0
3393,32,39
3393,22,0
3394,12,1
3394,2,0
3433,31,39
3434,21,1
3434,11,0
3435,2,1
3444,0,9
3481,27,37
3481,17,0
3482,7,1
3521,36,39
3521,26,0
3522,17,1
3522,7,0
3561,35,39
3561,25,0
3562,16,1
3562,6,0
3601,34,39
3601,24,0
3602,15,1
3602,5,0
3641,33,39
3641,23,0
3642,14,1
3642,4,0
3681,32,39
3681,22,0
3682,12,1
3682,2,0
3721,31,39
3722,22,1
3722,11,0
3723,2,1
3732,1,9
3769,27,37
3769,17,0
3770,8,1
3809,37,39
3809,27,0
3810,18,1
3810,8,0
3849,36,39
3849,26,0
3850,17,1
3850,7,0
3889,35,39
3889,25,0
3890,15,1
3890,5,0
3929,33,39
3929,23,0
3930,14,1
3930,3,0
3969,32,39
3969,22,0
3970,13,1
3971,4,1
4009,31,38
4010,21,1
4010,11,0
4011,2,1
4021,1,10
4057,26,36
4057,16,0
4100,48,43
4101,31,1
4101,21,0
4102,12,1
4137,36,35
4138,27,1
4138,17,0
4138,7,0
4177,36,39
4177,26,0
4178,17,1
4178,6,0
4217,35,39
4218,26,1
4218,16,0
4218,5,0
4257,34,39
4257,24,0
4258,15,1
4258,4,0
4297,33,39
4298,24,1
4298,14,0
4298,3,0
4337,32,39
4337,22,0
4338,13,1
4338,2,0
4377,31,39
4378,22,1
4378,12,0
4379,2,1
4388,1,9
4425,27,37
4425,17,0
4426,8,1
4465,36,39
4466,27,1
4466,17,0
4466,7,0
4505,35,39
4505,25,0
4506,16,1
4506,6,0
4545,35,39
4545,25,0
4546,16,1
4546,6,0
4585,34,39
4585,24,0
4586,15,1
4586,5,0
4625,33,39
4625,23,0
4626,14,1
4626,4,0
4665,32,39
4665,22,0
4666,13,1
4666,3,0
4705,31,39
4705,21,0
4706,12,1
4706,2,0
4745,30,39
4746,21,1
4746,11,0
4746,1,0
4755,0,9
4793,28,38
4793,17,0
4794,8,1
4833,37,39
4833,27,0
4834,17,1
4834,7,0
4873,36,39
4873,26,0
4874,17,1
4874,6,0
4913,35,39
4913,25,0
4914,16,1
4914,6,0
4953,35,39
4953,25,0
4954,16,1
4954,5,0
4993,34,39
4994,25,1
4994,15,0
4994,4,0
5033,33,39
5034,24,1
5034,14,0
5035,4,1
5073,32,38
5073,22,0
5074,13,1
5074,3,0
5113,31,39
5114,22,1
5114,12,0
5115,3,1
5124,1,9
5161,28,37
5161,18,0
5162,9,1
5201,38,39
5202,28,1
5202,18,0
5202,8,0
5242,38,40
5242,27,0
5242,17,0
5243,8,1
5281,35,38
5282,26,1
5282,16,0
5282,6,0
5321,34,39
5321,24,0
5322,15,1
5324,7,2
5361,34,37
5362,25,1
5362,15,0
5363,6,1
5401,33,38
5401,23,0
5402,14,1
5402,4,0
5441,32,39
5441,22,0
5442,13,1
5442,3,0
5481,32,39
5481,21,0
5482,12,1
5482,2,0
5521,31,39
5521,21,0
5522,12,1
5522,2,0
5561,31,39
5562,21,1
5562,11,0
5562,1,0
5572,1,10
5609,28,37
5609,18,0
5610,9,1
5649,37,39
5650,28,1
5650,18,0
5650,8,0
5689,36,39
5690,27,1
5690,17,0
5690,6,0
5729,35,39
5730,26,1
5730,16,0
5730,6,0
5769,34,39
5770,25,1
5770,15,0
5771,6,1
5811,32,40
5812,23,1
5813,14,1
5814,4,1
5821,1,7
5861,31,40
5862,21,1
5863,12,1
5898,36,35
5899,27,1
5900,17,1
5901,8,1
5938,35,37
5939,26,1
5940,17,1
5941,8,1
5978,34,37
5979,25,1
5980,15,1
5981,6,1
6019,34,38
6020,24,1
6022,15,2
6023,5,1
6029,1,6
6069,31,40
6070,21,1
6071,12,1
6106,36,35
6107,27,1
6108,18,1
6108,7,0
6146,35,38
6148,26,2
6149,17,1
6150,7,1
6186,33,36
6187,23,1
6188,14,1
6189,3,1
6198,2,9
6238,30,40
6239,21,1
6240,11,1
6278,39,38
6279,30,1
6280,20,1
6281,10,1
6318,36,37
6319,27,1
6320,17,1
6321,8,1
6359,36,38
6360,27,1
6361,17,1
6362,4,1
6370,1,8
6410,31,40
6412,23,2
6412,12,0
6450,40,38
6452,31,2
6454,23,2
6455,13,1
6491,38,36
6492,29,1
6493,19,1
6495,10,2
6530,35,35
6532,26,2
6533,17,1
6534,7,1
6572,35,38
6573,25,1
6574,15,1
6575,5,1
6582,2,7
6622,31,40
6623,22,1
6624,13,1
6662,40,38
6663,31,1
6664,21,1
6665,11,1
6702,38,37
6704,30,2
6705,20,1
6706,11,1
6742,36,36
6744,28,2
6745,18,1
6746,8,1
6782,34,36
6783,24,1
6784,15,1
6785,5,1
6824,34,39
6825,24,1
6826,14,1
6827,5,1
6835,1,8
6875,31,40
6876,22,1
6878,14,2
6914,39,36
6915,30,1
6916,20,1
6917,10,1
6954,36,37
6955,27,1
6956,17,1
6957,7,1
6994,34,37
6995,24,1
6996,15,1
6997,6,1
7035,33,38
7036,23,1
7037,14,1
7038,4,1
7046,2,8
7086,31,40
7088,22,2
7089,13,1
7126,39,37
7127,30,1
7128,21,1
7130,13,2
7166,38,36
7167,29,1
7168,19,1
7169,10,1
7206,36,37
7207,26,1
7208,17,1
7209,8,1
7246,35,37
7247,26,1
7248,17,1
7249,7,1
7286,34,37
7287,24,1
7288,15,1
7289,5,1
7326,32,37
7328,23,2
7328,13,0
7329,2,1
7339,1,10
7378,30,39
7380,22,2
7381,12,1
7418,39,37
7419,29,1
7420,20,1
7421,11,1
7459,39,38
7460,29,1
7461,20,1
7462,10,1
7498,36,36
7499,27,1
7500,18,1
7501,9,1
7538,35,37
7540,26,2
7541,17,1
7542,7,1
7579,34,37
7580,24,1
7581,15,1
7581,3,0
7590,1,9
7630,31,40
7631,22,1
7632,12,1
7671,40,39
